year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Hunters Hill 66_11kV,01MAY2020,MW,18.58100,18.94233,17.92293,17.51267,17.81160,16.86752,16.35637,15.86374,15.18647,14.49544,14.05672,13.96507,13.64137,13.31299,13.31299,13.31299,13.31299,13.31299,13.58789,13.70444,14.29205,14.57701,14.90628,15.43523,16.93046,17.90990,19.10274,20.17430,21.10626,22.43129,23.40783,24.05622,24.50338,24.72867,24.85101,24.45537,24.19554,23.66603,23.55855,23.18179,22.49957,22.29633,22.21183,21.90568,22.05931,21.59959,21.35275,21.44545,21.23114,21.60303,22.05240,21.82590,21.52176,21.07632,21.44880,21.41562,21.24341,20.84147,20.98006,21.15088,21.20285,21.77386,22.13769,22.75284,23.03926,23.68201,24.29493,25.40325,26.55711,28.21489,29.64140,31.13147,31.70882,32.31653,31.68604,31.21276,30.32856,30.03672,29.33867,28.77309,28.18924,27.75059,27.05781,26.47715,25.91901,25.04346,24.90962,24.25266,23.84743,23.66436,23.20766,22.26178,21.36143,20.86937,21.07535,20.54495
2021,Hunters Hill 66_11kV,02MAY2020,MW,20.13981,20.03633,19.43799,19.05385,19.09248,18.14121,17.45579,16.73067,16.18635,15.65327,15.29644,15.00278,14.66758,14.41603,14.15813,13.85192,13.85192,13.85192,13.85192,13.85192,14.09127,14.27213,14.36340,14.70740,14.94850,15.46076,15.93955,16.56625,17.17232,17.60410,18.26628,18.97280,19.91952,20.08610,20.04207,20.17915,20.47160,20.08701,20.00177,20.05930,20.05930,20.05930,19.97669,19.30834,19.28892,18.96514,18.45864,18.81610,18.65901,18.47139,18.41418,18.29179,17.99570,17.99570,18.06498,18.36069,18.36069,18.58374,18.79432,18.79432,19.06887,19.39656,20.09785,20.63793,21.01370,21.20894,22.29179,23.60278,25.01879,26.43635,28.36191,29.74648,30.32754,30.50452,30.72986,30.16658,29.31658,28.50222,27.98554,27.29203,26.91605,26.49770,26.11003,25.48108,25.12806,24.38771,24.28539,23.54424,23.51526,23.04393,22.69075,21.90957,21.17189,20.92381,20.92700,20.21384
2021,Hunters Hill 66_11kV,03MAY2020,MW,20.33614,20.26095,19.57457,19.14434,19.08849,18.55469,17.93579,17.34775,16.40527,16.00251,15.42987,14.81259,14.53740,14.53740,14.25621,14.11664,14.11664,13.96758,14.15949,14.15519,14.02736,14.07172,14.32892,14.37678,14.74628,15.30018,15.91470,16.46012,16.85508,17.52702,18.21795,18.71109,19.37025,19.74661,20.02912,20.48934,20.69405,20.61949,20.53004,20.30520,19.92776,19.68049,19.45266,19.37367,18.64776,18.61427,18.24309,18.19816,18.65654,18.43744,18.05661,18.05661,18.05661,18.05661,17.80806,17.83431,17.80560,17.80560,18.25382,18.26746,18.70165,18.70223,19.11112,19.64297,20.34836,21.33254,22.14329,23.51129,24.87040,26.90246,28.87750,30.19986,31.21526,31.31318,31.17836,31.11169,30.37079,29.79557,29.06920,28.59340,27.71211,27.11273,26.69571,26.07726,25.26837,24.54415,24.08869,23.11464,22.82118,22.40779,21.82445,20.57090,19.81380,19.75900,19.83888,19.02374
2021,Hunters Hill 66_11kV,04MAY2020,MW,19.30089,19.31926,18.46293,18.26484,18.52292,17.73324,17.06311,16.60777,15.95150,15.67368,15.25165,14.71030,14.50740,14.50740,14.05091,13.99194,13.99194,13.99194,14.22963,14.35109,14.99230,15.45621,16.06645,16.63322,18.10709,19.43781,21.16660,22.45242,23.46396,25.06341,26.09221,27.14878,27.90402,28.22884,28.16272,27.91114,27.51044,26.81017,26.27011,25.92350,25.35689,24.77345,24.23694,23.80180,23.25931,22.76152,22.39394,21.94517,22.07686,22.96852,22.71496,21.86195,21.80694,21.93314,21.80108,21.39793,21.00511,21.85526,21.82304,22.33575,22.57359,22.24204,22.82836,23.33905,23.91997,24.80760,25.73346,27.32076,28.50809,30.26245,32.23896,33.48357,33.94366,34.47066,34.33143,34.27440,33.07281,31.75379,30.78789,30.12587,29.36191,28.77191,28.07817,27.38137,26.51540,25.47145,24.69693,23.65146,23.47506,22.85830,22.04594,21.01673,20.20790,19.85191,20.01208,19.56054
2021,Hunters Hill 66_11kV,05MAY2020,MW,19.46941,19.54533,18.67530,18.28057,18.46083,17.90398,17.28588,16.71601,16.18217,15.27756,15.02965,14.79067,14.46945,14.28189,13.93273,13.90280,13.90280,13.90280,13.90280,14.27827,14.89440,15.29051,15.60833,16.38033,17.64988,18.70862,20.21542,21.32095,22.32516,23.92500,25.21455,26.39051,27.15375,27.21566,26.36892,26.19414,25.52229,25.04733,24.38889,24.00186,24.43541,24.32524,24.43121,24.52763,24.94600,24.75087,24.10813,22.88148,22.18537,22.16902,22.42494,22.11862,21.83481,21.68577,21.59578,21.46715,21.12734,20.86615,20.81141,21.01880,21.08768,21.38564,21.55901,21.85117,22.32727,23.07530,24.01077,24.76456,25.74556,27.24017,29.09795,30.66711,31.29938,31.97426,31.98533,31.59158,30.46417,29.41445,28.85072,28.47116,28.01529,27.29467,26.60506,26.00777,25.46153,24.71445,23.94705,23.00194,22.64284,22.49905,22.05593,20.91317,19.89589,19.71703,19.88010,19.13006
2021,Hunters Hill 66_11kV,06MAY2020,MW,19.05889,19.02695,18.44686,18.35864,18.49392,17.59642,16.93821,16.40334,15.93251,15.36112,14.89492,14.57878,14.43869,14.21012,14.21012,14.21012,14.17259,13.82302,13.97773,14.33822,15.11187,15.45699,16.02865,16.59074,17.97119,19.29189,20.40804,22.05793,22.75350,24.12298,25.08208,25.59144,26.10139,26.71657,26.27442,25.98718,25.58733,25.01127,24.43292,23.94654,23.31382,22.72393,22.33794,21.96137,21.94840,21.39911,21.02074,20.75155,20.75155,20.75155,21.02670,20.81069,20.70190,20.37360,20.35120,20.32619,20.27587,20.17598,20.17598,20.25606,20.53393,20.72460,21.02551,21.17446,21.56969,22.00588,22.88586,23.67712,24.47634,26.37198,28.05183,29.43691,30.32743,30.61197,30.72179,30.05550,29.25747,28.50672,27.81509,27.50119,26.89409,26.29153,25.60848,24.96383,24.39751,23.96256,23.28764,22.41358,22.09723,21.70381,21.28646,20.21304,19.44122,19.15124,19.58550,18.92022
2021,Hunters Hill 66_11kV,07MAY2020,MW,18.76728,18.79766,17.99641,17.59858,17.91773,17.18781,16.74263,15.94396,15.58896,15.07076,14.80473,14.33250,14.07898,13.80348,13.80348,13.80348,13.80348,13.80348,13.80348,13.84074,14.63384,15.37774,15.69940,16.45315,17.72657,18.75768,20.09356,21.51515,22.30764,23.66022,24.88127,25.65238,26.13698,26.88374,27.58743,27.48087,27.22375,26.71277,26.45730,26.09744,25.48717,24.91801,24.74619,24.03959,23.23366,22.54824,22.75548,22.56498,22.66184,22.19829,22.13116,21.74719,21.04631,21.15155,20.80016,20.75456,20.51275,20.30409,20.47320,20.82325,20.69211,21.21259,20.79908,21.91692,22.08495,22.67718,23.15431,24.32605,24.95668,26.20202,27.95557,28.99876,29.39677,29.45621,29.31204,29.17094,28.17368,27.73217,27.20043,26.53382,25.93907,25.38580,25.11151,24.37600,23.49236,23.00084,22.56976,21.77011,21.51140,21.18051,20.56822,19.96964,19.15133,18.99097,18.96501,18.53351
2021,Hunters Hill 66_11kV,08MAY2020,MW,18.43523,18.69455,17.70363,17.33365,17.66289,16.93103,16.07241,15.64397,15.27632,14.67691,14.39997,13.99648,13.75084,13.75084,13.57151,13.28937,13.28937,13.28937,13.28937,13.40709,14.27756,14.48875,14.89152,15.32643,16.57880,17.66898,18.52892,19.63161,20.23738,21.36239,22.24604,22.41316,22.86495,22.86700,23.10943,22.83202,22.71451,21.91219,21.69821,21.81465,21.10151,20.58239,20.34577,20.10866,20.07836,19.81280,19.71073,19.71340,20.02985,19.98002,20.03640,20.43644,20.23733,20.14696,20.14696,20.31056,20.27555,20.16730,20.40064,20.50691,21.07225,21.00867,20.99280,21.08885,21.29917,21.43505,21.79209,22.52699,22.77462,23.95806,25.09255,25.93474,26.11242,26.10931,25.73589,25.49694,24.79504,24.36392,23.78809,23.42800,22.86858,22.58185,21.94794,21.49744,20.98674,20.61562,19.98506,19.38068,19.81247,19.68622,19.38885,18.68364,18.38885,18.20048,18.44744,17.91519
2021,Hunters Hill 66_11kV,09MAY2020,MW,17.86345,17.83521,17.21034,16.84639,17.21734,16.56196,15.83391,15.23452,14.78389,14.21962,13.86807,13.56204,13.32827,13.08247,13.08247,12.86029,12.71937,12.71937,12.71937,12.71937,13.10244,13.10404,13.10404,13.16294,13.71851,13.99516,14.41688,14.79426,15.14679,15.99311,16.65718,16.90971,17.21045,17.49364,17.58803,18.73325,18.12814,17.76667,18.53986,19.67640,19.70342,19.68372,19.47356,19.31400,19.43140,18.87607,17.28708,17.31759,17.05644,17.22246,17.32678,16.93776,17.67727,18.20654,16.91264,16.65361,17.34628,17.48612,16.85853,17.09394,17.25924,17.40410,17.80053,18.50161,18.95347,19.62986,20.01981,20.39561,21.68452,23.13271,24.41063,25.45963,25.47150,25.10999,25.10999,24.82290,24.16199,23.48601,22.78010,22.16349,21.82674,21.30180,21.01627,20.52010,20.12740,19.84828,19.59051,19.37589,19.69143,19.60839,19.33599,18.73246,18.17370,18.03564,18.49557,18.04170
2021,Hunters Hill 66_11kV,10MAY2020,MW,18.09623,18.13144,17.53750,17.11895,17.29713,16.65545,15.97695,15.46473,15.04443,14.46203,14.07685,13.77238,13.42222,13.07426,13.04475,13.04475,12.94905,12.64937,12.64937,12.68352,13.05234,13.05234,13.05234,13.37110,13.91213,14.32284,14.92381,15.54013,15.91838,16.40602,17.07317,17.57770,18.29290,18.76025,19.10574,19.56780,19.84560,19.94193,20.18114,20.02581,19.98834,19.80514,19.52632,18.99114,18.60818,18.30084,18.02043,18.05758,17.88288,17.53587,17.53587,17.44978,17.10248,16.77405,16.82386,17.20126,16.83600,17.07939,17.13355,17.31640,17.55182,18.14799,18.93260,19.34181,19.97403,20.48609,21.52245,22.97171,24.22256,26.26471,27.79441,28.72333,29.39483,29.83589,29.96919,30.06350,28.99818,28.51139,28.13296,27.79487,27.22340,26.95491,26.53998,25.93580,24.76454,24.00447,23.26475,22.38280,22.03233,21.44141,20.86244,19.72408,18.97641,18.68553,18.80072,18.46521
