year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Hurstville North 132_11kV,01MAY2020,MW,9.23180,8.97591,8.71716,8.39730,8.11800,7.75835,7.54984,7.25338,7.14156,6.74438,6.58087,6.51871,6.63504,6.31232,6.27129,6.32834,6.36878,6.38837,6.56369,6.60469,6.87696,7.06261,7.11876,7.37138,7.73160,8.13893,8.55454,8.88921,9.16739,9.25859,9.49025,9.83557,10.17010,10.34310,10.47630,10.39194,10.53684,10.51405,10.42339,10.57683,10.47046,10.43007,10.47140,10.57626,10.59694,10.32908,10.05674,10.14276,10.50823,10.42648,10.61952,10.49121,10.22881,10.30145,9.98197,10.05227,10.19498,10.24841,10.21831,10.18507,10.24172,10.29469,10.25198,10.52248,10.75406,11.05741,11.51570,11.90902,11.78633,12.29599,12.51569,12.85321,12.79808,12.72882,12.70616,12.55616,12.26083,12.00248,11.75973,11.55830,11.54614,11.34120,11.17455,10.96597,10.85003,10.74919,10.84656,10.70089,10.92917,10.77515,10.66148,10.32518,10.03928,9.69828,10.08096,9.68107
2021,Hurstville North 132_11kV,02MAY2020,MW,9.93084,9.48629,9.18079,8.70575,8.45238,8.10740,7.72730,7.51667,7.22170,7.11097,6.89768,6.75535,6.71242,6.58305,6.46999,6.32931,6.40752,6.44656,6.37090,6.37272,6.44879,6.56062,6.56961,6.58383,6.81143,6.77191,6.85400,7.03635,7.02368,7.20130,7.26766,7.33629,7.47833,7.57526,7.74049,8.01110,8.54177,8.49501,8.47827,8.46001,8.32322,8.35856,8.30644,8.31121,8.35868,8.29233,8.30650,8.36314,8.17021,8.18079,8.27496,8.22478,8.23721,8.23706,8.17434,8.16103,8.18257,8.21609,8.15715,8.28316,8.38956,8.43197,8.53376,8.80725,9.08632,9.43782,9.59145,9.95983,10.24787,10.83675,11.29525,11.65443,11.74438,11.64709,11.61649,11.63838,11.45017,11.26758,11.16717,11.12414,11.11484,10.94544,10.83713,10.57263,10.51086,10.45107,10.49399,10.22556,10.60984,10.42736,10.44308,10.16172,9.89426,9.61999,9.95025,9.59877
2021,Hurstville North 132_11kV,03MAY2020,MW,9.71732,9.47283,9.08884,8.61301,8.43656,8.05592,7.77154,7.48425,7.23920,6.98654,6.81826,6.55412,6.45939,6.40346,6.25301,6.21492,6.21118,6.27641,6.23382,6.23381,6.34732,6.42154,6.31604,6.44742,6.60865,6.65110,6.54964,6.74111,6.79555,7.01160,7.15767,7.17286,7.42988,7.49519,7.55201,7.50382,7.70883,7.81874,7.82888,7.80211,7.92591,7.86714,7.91162,7.87622,7.87381,7.75318,7.84267,7.96459,7.98298,8.00066,7.82156,7.78055,7.66524,7.59581,7.68486,7.66780,7.75350,7.78531,7.80847,7.85528,7.89584,8.01472,8.17565,8.38099,8.78184,9.08857,9.27130,9.76746,10.11744,10.75394,11.11308,11.58684,11.50645,11.57960,11.53852,11.36940,11.22174,11.00987,11.00868,11.03373,10.97737,10.75906,10.67990,10.47086,10.36689,10.11784,10.16456,9.82834,10.11875,9.99809,10.00410,9.62844,9.32373,9.03042,9.43783,9.17098
2021,Hurstville North 132_11kV,04MAY2020,MW,9.38899,9.02411,8.72112,8.30131,8.04740,7.76326,7.41802,7.13326,7.01059,6.72731,6.59164,6.45249,6.35605,6.26653,6.24266,6.21268,6.20375,6.22532,6.34836,6.40966,6.74693,6.89861,7.10973,7.29862,7.91298,8.39098,8.87416,9.12358,9.50860,9.80731,10.02545,10.43435,10.83301,10.85011,11.10514,11.28979,11.14510,11.04435,10.82350,10.78732,10.69783,10.73801,10.61232,10.65071,10.73165,10.76704,11.02001,10.73631,10.62098,10.87284,10.54056,10.57151,10.58541,10.57863,10.48644,10.31785,10.76947,10.86768,10.55961,10.60393,10.39650,10.42791,10.75351,11.06104,11.30228,11.31607,11.67369,12.21436,12.40867,12.83329,13.26254,13.36850,13.29881,13.40526,13.18734,12.92859,12.51838,12.41964,12.20948,12.21924,12.02134,11.70608,11.57016,11.26371,11.12133,10.91027,10.97018,10.58457,10.80083,10.68708,10.49244,10.00272,9.77572,9.48133,9.96904,9.50665
2021,Hurstville North 132_11kV,05MAY2020,MW,9.63565,9.28006,8.95241,8.46679,8.33197,8.06198,7.75482,7.49749,7.19338,6.97129,6.88995,6.79317,6.80014,6.58461,6.68374,6.55946,6.42089,6.50060,6.59247,6.64310,6.81210,7.05958,7.18480,7.46927,7.97223,8.33851,8.52900,8.91198,9.29430,9.68664,9.92527,10.41717,10.94564,11.20691,11.28898,10.91366,10.78864,10.64968,10.71705,10.67045,10.72174,10.50469,10.55397,10.51255,10.52229,10.50798,10.72033,10.77348,10.62832,10.87411,10.89620,10.78842,10.56171,10.62951,10.53056,10.64853,10.48911,10.75303,10.39744,10.33630,10.39949,10.45343,10.54113,10.83222,11.02990,11.30286,11.36460,11.76653,12.04982,12.31547,12.71738,12.88118,12.80943,12.65873,12.45927,12.37046,12.19671,11.95720,11.76800,11.66588,11.65323,11.24394,11.21383,11.04206,10.77947,10.83475,10.85599,10.44043,10.66144,10.50853,10.25770,9.89540,9.76040,9.47275,9.89286,9.37515
2021,Hurstville North 132_11kV,06MAY2020,MW,9.55505,9.23886,8.85569,8.52894,8.30664,7.97938,7.67305,7.43879,7.12977,6.96397,6.73289,6.69996,6.65518,6.52489,6.53750,6.51224,6.54488,6.43023,6.52651,6.72783,6.95150,7.19937,7.28394,7.55969,8.23909,8.59347,8.82280,9.23274,9.54620,9.80310,10.05639,10.37976,10.59244,10.64604,10.78278,10.92692,10.97618,10.74633,10.93853,10.83931,10.85518,10.67849,10.50995,10.46376,10.48949,10.45453,10.27326,10.35308,10.33550,10.53595,10.60319,10.54894,10.57381,10.53647,10.47424,10.49643,10.33858,10.30253,10.29404,10.36072,10.44673,10.48022,10.63727,10.67771,10.75028,11.03078,11.14628,11.52155,11.37882,12.08390,12.55087,12.65959,12.52188,12.24923,11.95789,11.87434,11.58410,11.46442,11.42453,11.38588,11.18636,10.81593,10.78064,10.58517,10.52013,10.46077,10.31500,10.15445,10.37339,10.35495,10.22186,9.87779,9.54183,9.24189,9.64418,9.29073
2021,Hurstville North 132_11kV,07MAY2020,MW,9.54243,9.20104,8.81964,8.56603,8.36751,7.96514,7.67830,7.40267,7.14773,6.87285,6.79523,6.59442,6.60155,6.55188,6.54543,6.42134,6.45848,6.55898,6.57090,6.63159,6.93132,7.13717,7.39163,7.58442,8.04094,8.27638,8.68348,9.07004,9.25501,9.59032,10.07718,10.51439,10.79134,11.01769,11.16446,11.29912,11.32811,11.24919,11.07326,11.07432,11.32991,11.27198,10.99896,11.08896,10.91970,10.72304,10.66234,10.74184,10.67808,10.72744,11.02413,10.86231,10.83931,10.93352,11.05799,10.58427,10.51006,10.48943,10.42752,10.31337,10.32732,10.65192,10.64795,10.64891,10.87642,11.11643,11.39491,11.58528,11.62181,11.93639,12.20325,12.35695,12.20200,12.00635,12.00529,11.80433,11.56368,11.37215,11.30378,11.24461,10.90951,10.69711,10.69115,10.43528,10.24131,10.02542,10.10705,9.82744,10.07050,9.90686,9.82838,9.38624,9.19766,9.01133,9.41452,9.01211
2021,Hurstville North 132_11kV,08MAY2020,MW,9.08142,8.69181,8.36841,8.07891,7.86127,7.53022,7.26200,7.04726,6.74043,6.63968,6.35915,6.33854,6.32391,6.21425,6.16287,6.16104,6.18430,6.21552,6.33275,6.34419,6.53687,6.87036,6.88496,7.13433,7.59384,7.85828,8.10841,8.36426,8.59296,8.86038,9.21316,9.42682,9.75103,9.87305,9.94313,10.02819,10.11706,10.11041,10.20067,10.02387,10.01901,9.87209,9.81148,9.99375,9.97847,10.00631,10.05718,10.21512,10.00197,10.03231,10.11470,10.14439,10.18973,10.02630,10.06043,10.02612,10.10987,10.08245,10.04537,10.16100,10.07652,10.21328,10.46630,10.48536,10.44979,10.57188,10.79949,11.04920,10.99915,11.47398,11.71160,11.66038,11.53342,11.32803,11.02579,10.89509,10.59442,10.62014,10.26944,10.06794,10.00633,9.83975,9.81845,9.56227,9.52257,9.41996,9.48480,9.25091,9.37479,9.13040,9.16981,8.87512,8.71567,8.42973,8.84199,8.49559
2021,Hurstville North 132_11kV,09MAY2020,MW,8.69276,8.45829,8.16626,7.85784,7.63574,7.26883,6.98523,6.76060,6.48766,6.27035,6.09705,6.05695,5.98686,5.82241,5.76815,5.66471,5.67714,5.80553,5.79068,5.71668,5.87431,5.98067,6.00641,6.05971,6.14151,6.15893,6.35011,6.48299,6.63935,6.86355,7.04059,7.13927,7.17935,7.36386,7.58400,7.70260,8.03567,8.67205,8.38228,8.70953,8.73536,8.72547,8.68304,8.78787,8.78534,8.56897,8.17303,8.13335,8.05129,8.15418,8.15336,8.07423,8.55497,8.85751,8.49877,7.97126,8.10967,8.52522,8.53614,8.42964,8.28771,8.59508,8.52154,8.60774,8.65163,8.84933,9.09649,9.47105,9.55508,9.91210,10.28003,10.39361,10.33027,10.22196,10.17714,10.00253,9.88669,9.74657,9.48107,9.42925,9.27090,9.12136,9.09886,8.90240,8.93028,8.85497,9.00386,8.76791,8.91569,8.93805,8.90308,8.58687,8.50201,8.31437,8.85635,8.55565
2021,Hurstville North 132_11kV,10MAY2020,MW,8.68618,8.37802,8.17620,7.80029,7.69373,7.27310,7.01384,6.69268,6.37385,6.20046,6.04714,5.94941,5.90883,5.88247,5.77753,5.61018,5.59065,5.63338,5.57389,5.67214,5.74266,5.81791,5.82844,5.82579,6.00779,6.06641,6.15188,6.24626,6.37379,6.57364,6.65742,6.77883,6.97709,7.14840,7.35410,7.42523,7.51582,7.69011,7.72209,7.66901,7.75362,7.70512,7.72670,7.79605,7.96544,7.84572,7.82704,7.73414,7.76122,7.70930,7.60610,7.59421,7.65074,7.59856,7.54387,7.52848,7.40990,7.41144,7.45724,7.51575,7.73144,7.85362,8.04431,8.31207,8.53533,8.62932,9.15079,9.66237,9.84664,10.37070,10.78782,11.04141,11.13060,11.08871,11.11514,10.99439,10.95063,10.93776,10.69454,10.74556,10.77489,10.65334,10.57831,10.43906,10.40639,10.36143,10.40400,9.94323,10.12950,10.04016,9.94510,9.50375,9.28053,9.02166,9.31647,9.00717
