year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Killarney 33_11kV,01MAY2020,MW,5.73215,5.47075,5.17201,4.94795,5.67614,5.67614,5.32138,4.98529,4.77991,4.55585,4.31312,4.14507,4.07039,3.99570,3.86500,3.82766,3.88367,3.86500,3.65962,3.69696,3.73430,3.90235,3.99570,4.16375,4.49983,4.83592,5.24669,5.63880,5.88152,6.21761,6.38566,6.47901,6.62839,6.60971,6.47901,6.29230,6.25496,6.03090,5.84418,5.60145,5.60145,5.69481,5.43341,5.15334,5.04131,5.04131,5.04131,4.98529,4.91061,4.91061,5.35872,5.39607,5.60145,5.20935,4.85459,4.63053,4.70522,4.91061,5.24669,5.43341,5.28404,5.30271,5.63880,5.63880,5.99355,6.36698,6.68440,7.11384,7.37525,8.04742,8.53288,8.96232,9.29841,9.37310,9.46645,9.42911,9.03701,8.88764,8.70092,8.58889,8.45819,8.40218,8.83162,8.45819,8.25281,7.93539,7.87938,7.56196,7.82336,7.99141,7.76735,7.24454,7.31923,6.96447,6.83377,6.44167
2021,Killarney 33_11kV,02MAY2020,MW,6.32964,5.93754,5.67614,5.45208,6.06824,6.08691,5.62012,5.34005,5.07865,4.79858,4.46249,4.35046,4.23843,4.18242,4.03305,4.05172,4.01437,4.08906,3.80899,3.79032,3.88367,3.88367,3.95836,4.03305,4.23843,4.42515,4.70522,4.92928,5.09732,5.30271,5.50809,5.62012,5.69481,5.73215,5.80684,5.76950,5.95621,5.80684,5.78817,5.73215,5.60145,5.35872,5.11599,5.11599,5.00396,4.85459,4.83592,4.81725,4.76123,4.59319,4.68655,4.59319,4.46249,4.53718,4.46249,4.44382,4.48116,4.48116,4.61186,4.85459,4.83592,5.05998,5.32138,5.63880,5.88152,6.04957,6.38566,6.72174,7.15119,7.73000,8.47686,8.83162,9.01834,9.01834,9.03701,8.85029,8.86897,8.60757,8.27148,8.04742,7.86070,7.76735,8.23413,8.04742,7.71133,7.44993,7.44993,7.09517,7.43126,7.82336,7.58063,7.09517,7.22587,6.77776,6.70307,6.40433
2021,Killarney 33_11kV,03MAY2020,MW,6.27363,5.88152,5.60145,5.45208,6.03090,5.95621,5.62012,5.39607,5.17201,4.85459,4.64921,4.38780,4.31312,4.18242,4.01437,4.03305,3.93969,4.01437,3.93969,3.92102,3.79032,3.82766,3.84633,3.86500,4.08906,4.27578,4.55585,4.57452,4.85459,5.11599,5.45208,5.60145,5.88152,5.88152,5.90020,5.90020,5.95621,5.88152,5.82551,5.54544,5.41474,5.30271,5.07865,4.96662,4.77991,4.61186,4.53718,4.40648,4.49983,4.48116,4.35046,4.42515,4.36913,4.29445,4.27578,4.27578,4.12640,4.20109,4.25710,4.46249,4.63053,4.85459,4.98529,5.17201,5.50809,5.65747,6.04957,6.53503,6.96447,7.63665,8.40218,8.96232,9.07435,9.18638,8.99967,8.86897,8.64491,8.47686,8.25281,8.12211,7.91672,7.76735,8.34616,7.97273,7.69266,7.20720,7.16986,6.75909,7.07650,7.54329,7.22587,6.74041,6.88979,6.42300,6.38566,6.08691
2021,Killarney 33_11kV,04MAY2020,MW,6.10558,5.75082,5.52677,5.24669,5.91887,5.88152,5.52677,5.37739,5.09732,4.89194,4.61186,4.38780,4.35046,4.29445,4.03305,4.01437,4.01437,3.97703,4.01437,4.01437,4.20109,4.29445,4.46249,4.61186,4.66788,4.98529,5.41474,5.82551,6.04957,6.40433,6.60971,6.90846,7.24454,7.37525,7.35657,7.09517,6.94580,6.70307,6.38566,6.03090,5.80684,5.63880,5.48942,5.11599,4.91061,4.77991,4.59319,4.53718,4.68655,4.57452,5.17201,5.07865,4.70522,4.70522,4.49983,4.51850,4.29445,4.48116,4.64921,4.85459,4.81725,4.94795,5.11599,5.37739,5.75082,6.04957,6.34831,6.79643,7.35657,8.04742,8.75694,9.11170,9.31708,9.44778,9.31708,9.05568,8.81295,8.55155,8.36484,8.06609,7.89805,7.74868,8.15945,7.91672,7.61798,7.20720,7.20720,6.87111,7.05783,7.44993,7.13252,6.62839,6.88979,6.34831,6.27363,5.95621
2021,Killarney 33_11kV,05MAY2020,MW,5.88152,5.62012,5.35872,5.13466,5.88152,5.82551,5.47075,5.17201,4.92928,4.72389,4.48116,4.20109,4.10773,4.03305,3.97703,3.97703,3.86500,3.92102,3.84633,3.79032,3.95836,4.12640,3.99570,4.18242,4.35046,4.72389,5.19068,5.54544,5.84418,6.21761,6.49768,6.90846,7.26322,7.28189,7.24454,7.24454,6.74041,6.34831,5.88152,5.60145,5.62012,5.50809,5.76950,6.03090,5.90020,5.28404,5.07865,5.19068,4.92928,4.70522,5.20935,5.22802,4.76123,5.34005,4.57452,4.27578,4.48116,4.81725,4.48116,4.77991,4.61186,4.76123,4.89194,5.04131,5.34005,5.65747,5.97488,6.38566,6.66573,7.24454,7.95406,8.43952,8.75694,8.71959,8.55155,8.38351,8.15945,7.89805,7.71133,7.58063,7.46860,7.30056,7.76735,7.39392,7.20720,6.87111,6.85244,6.51636,6.83377,7.22587,6.88979,6.47901,6.68440,6.19894,6.12425,5.88152
2021,Killarney 33_11kV,06MAY2020,MW,5.78817,5.54544,5.30271,5.05998,5.78817,5.67614,5.34005,5.07865,4.81725,4.63053,4.42515,4.23843,4.05172,4.03305,3.99570,3.90235,3.86500,3.86500,3.84633,3.88367,3.99570,4.08906,3.97703,4.14507,4.61186,4.96662,5.30271,5.69481,5.75082,6.10558,6.23628,6.40433,6.53503,6.53503,6.47901,6.18027,5.97488,5.76950,5.39607,5.34005,5.19068,4.96662,4.64921,4.46249,4.29445,4.10773,4.05172,3.93969,4.05172,4.05172,4.03305,4.07039,3.99570,4.03305,4.03305,4.03305,3.95836,3.90235,3.95836,3.99570,4.25710,4.46249,4.59319,4.68655,4.94795,5.26537,5.62012,6.01223,6.21761,6.81510,7.39392,7.82336,8.06609,8.12211,7.93539,7.80469,7.59930,7.44993,7.24454,7.03916,6.88979,6.81510,7.28189,7.11384,6.83377,6.44167,6.42300,6.12425,6.38566,6.87111,6.60971,6.31097,6.40433,6.03090,5.97488,5.75082
2021,Killarney 33_11kV,07MAY2020,MW,5.71348,5.48942,5.22802,5.02264,5.65747,5.56411,5.30271,4.94795,4.79858,4.49983,4.31312,4.21976,4.08906,3.93969,3.82766,3.75297,3.82766,3.75297,3.75297,3.79032,3.90235,3.80899,3.95836,4.10773,4.35046,4.59319,5.15334,5.45208,5.32138,5.62012,5.88152,6.14293,6.32964,6.29230,6.40433,6.47901,6.32964,6.14293,6.16160,6.04957,5.78817,5.84418,5.48942,5.30271,5.13466,4.77991,4.68655,4.77991,4.92928,4.77991,4.57452,4.49983,4.35046,4.36913,4.31312,4.20109,4.49983,4.25710,4.40648,4.64921,4.42515,4.48116,4.63053,4.92928,5.07865,5.26537,5.50809,5.80684,6.16160,6.75909,7.31923,7.67399,7.89805,7.89805,7.67399,7.56196,7.30056,7.07650,6.98314,6.79643,6.59104,6.46034,6.96447,6.70307,6.44167,6.19894,6.21761,5.84418,6.14293,6.60971,6.60971,6.04957,6.25496,5.76950,5.76950,5.62012
2021,Killarney 33_11kV,08MAY2020,MW,5.54544,5.35872,5.11599,4.92928,5.52677,5.37739,5.24669,4.98529,4.63053,4.46249,4.23843,4.08906,3.95836,3.90235,3.88367,3.79032,3.77164,3.73430,3.77164,3.77164,3.80899,3.90235,4.03305,4.10773,4.20109,4.42515,4.81725,5.15334,4.98529,5.30271,5.35872,5.39607,5.56411,5.56411,5.52677,5.32138,5.20935,5.15334,4.85459,4.57452,4.44382,4.33179,4.16375,4.05172,4.01437,3.92102,3.92102,3.77164,3.77164,3.84633,3.79032,3.84633,3.86500,3.90235,3.90235,3.90235,3.88367,3.93969,4.05172,4.20109,4.29445,4.33179,4.53718,4.68655,4.87326,5.04131,5.28404,5.62012,5.69481,6.16160,6.55370,6.70307,6.72174,6.88979,6.72174,6.57237,6.36698,6.21761,6.08691,5.93754,5.78817,5.71348,6.32964,5.95621,5.73215,5.56411,5.63880,5.43341,5.75082,6.18027,5.95621,5.69481,5.97488,5.60145,5.62012,5.35872
2021,Killarney 33_11kV,09MAY2020,MW,5.43341,5.28404,4.94795,4.74256,5.41474,5.39607,5.04131,4.68655,4.44382,4.25710,4.07039,3.90235,3.79032,3.64094,3.56626,3.52891,3.51024,3.56626,3.52891,3.51024,3.56626,3.62227,3.43556,3.49157,3.71563,3.77164,4.07039,4.18242,4.18242,4.42515,4.59319,4.64921,4.70522,4.66788,4.61186,4.59319,4.83592,4.64921,4.57452,4.77991,4.76123,5.41474,5.15334,5.54544,5.20935,4.16375,3.99570,4.21976,4.05172,4.08906,3.95836,3.92102,4.44382,4.68655,4.12640,4.10773,4.38780,4.23843,4.01437,4.64921,4.29445,4.29445,4.38780,4.70522,4.85459,5.02264,5.17201,5.50809,5.65747,6.16160,6.64706,6.87111,6.88979,6.83377,6.70307,6.53503,6.44167,6.36698,6.12425,5.93754,5.80684,5.75082,6.18027,5.91887,5.62012,5.52677,5.58278,5.28404,5.84418,6.23628,6.19894,5.84418,6.08691,5.63880,5.73215,5.52677
2021,Killarney 33_11kV,10MAY2020,MW,5.43341,5.17201,4.92928,4.70522,5.35872,5.34005,4.96662,4.70522,4.44382,4.25710,4.07039,4.01437,3.82766,3.77164,3.58493,3.64094,3.65962,3.64094,3.58493,3.58493,3.56626,3.64094,3.67829,3.79032,3.80899,3.82766,4.05172,4.27578,4.33179,4.66788,4.83592,4.98529,5.13466,5.24669,5.45208,5.47075,5.34005,5.47075,5.45208,5.39607,5.17201,5.02264,4.81725,4.81725,4.63053,4.53718,4.35046,4.33179,4.31312,4.29445,4.21976,4.18242,4.10773,4.03305,3.86500,3.97703,4.03305,4.01437,4.10773,4.23843,4.36913,4.63053,4.92928,5.00396,5.26537,5.50809,5.80684,6.31097,6.74041,7.48727,7.99141,8.34616,8.62624,8.64491,8.60757,8.38351,8.12211,8.12211,7.99141,7.91672,7.80469,7.65532,8.21546,7.95406,7.65532,7.35657,7.37525,6.94580,7.13252,7.50595,7.31923,6.81510,7.00182,6.53503,6.38566,6.03090
