year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Kingsford 132_11kV,01MAY2020,MW,22.63568,22.09751,21.48184,21.12693,21.02690,20.32252,19.97282,19.37571,18.92589,18.58914,18.41753,18.20218,18.11163,17.93990,17.94808,17.84719,17.96979,18.10020,18.12898,18.35104,18.71748,18.95880,19.20364,19.46665,20.42230,21.22452,22.12341,22.91550,24.14711,25.18018,25.88543,26.60301,27.17016,27.51247,27.65877,27.61058,27.51205,27.28570,27.25662,27.01387,26.67139,26.67245,26.85649,26.66785,26.54800,26.53366,26.36734,26.30877,26.31041,26.50742,26.49532,26.97076,27.86664,26.35561,25.98624,26.50555,26.15568,25.74812,26.44337,26.56466,26.85485,27.33418,27.67678,27.81219,28.12119,28.85377,29.54433,30.48465,31.86166,33.18573,34.63293,36.10678,36.48689,36.66528,36.68861,36.37368,35.60259,34.83603,34.30754,33.53133,32.82290,32.23312,31.83669,31.25813,30.54417,29.75923,29.50625,28.70529,28.61958,28.22598,27.71464,27.04810,26.33257,25.66986,25.16426,24.56443
2021,Kingsford 132_11kV,02MAY2020,MW,24.17947,23.69564,23.07863,22.55836,22.29267,21.62562,20.95631,20.50172,19.94246,19.64056,19.47930,19.20150,19.03872,18.71255,18.59359,18.47557,18.53141,18.51668,18.55301,18.57459,18.92604,18.74214,18.99709,19.08119,19.64340,20.19277,20.59769,20.78969,21.50104,22.31372,22.68348,23.35897,23.68540,24.28271,24.72733,24.91087,25.75729,26.13927,26.03346,25.73603,25.84938,25.87167,26.04554,26.12522,25.86625,25.57433,25.60480,25.66564,25.53133,25.70592,25.81738,25.65508,25.61445,25.50673,25.45643,25.25752,25.33294,25.50782,25.39819,25.57450,25.67251,25.94611,26.16506,26.57583,27.00007,27.87756,28.55881,29.59791,31.00509,32.72399,34.20916,35.28377,35.74678,36.12701,35.79433,35.65188,35.22704,34.38903,33.98458,33.45845,32.87511,32.32126,31.87737,31.43171,30.84574,30.23783,29.55962,29.01135,28.64856,28.29246,27.88473,26.92447,26.37273,26.03943,25.69595,24.89585
2021,Kingsford 132_11kV,03MAY2020,MW,24.70765,24.13411,23.46624,23.09106,22.60141,21.82530,21.41035,20.75241,20.19984,19.89800,19.55233,19.28377,19.03454,18.83651,18.64616,18.70450,18.64528,18.63578,18.69818,18.75312,18.93630,18.95548,19.07148,19.22506,19.73262,20.08315,20.52126,20.87454,21.70974,22.39145,22.87173,23.39156,23.87809,24.28148,24.81587,25.37025,25.55585,26.04030,26.15585,26.48543,26.40389,26.36805,26.19616,26.23771,26.29069,25.92862,25.84285,26.16421,26.02992,26.03936,25.86559,25.86600,25.74881,25.71767,25.70947,25.48814,25.28608,25.40435,25.67012,25.76801,25.98438,25.97280,26.33558,26.66271,27.23990,28.00044,28.88123,30.12940,31.34750,33.16882,35.09651,36.31760,36.69480,36.98956,36.84949,36.70480,36.14771,35.34088,34.84495,34.08108,33.12394,32.76525,32.26728,31.67076,30.76836,29.90322,29.29018,28.59205,27.93485,27.19541,26.74342,25.94138,25.25323,24.91762,24.58873,23.85833
2021,Kingsford 132_11kV,04MAY2020,MW,23.61015,23.18519,22.49799,22.29641,22.03793,21.34745,20.80384,20.32443,19.90410,19.57050,19.30406,19.08330,19.02228,18.81270,18.63471,18.52022,18.51054,18.65671,18.74311,18.96217,19.20539,19.52186,19.89876,20.56783,21.57045,22.61668,23.33278,24.34018,25.74851,26.95315,28.01473,28.67816,29.38744,30.00890,30.11441,30.13550,29.79626,29.37725,28.91548,28.56275,28.34730,27.90737,27.73971,27.75464,27.53466,27.35566,27.35689,27.62361,27.95999,27.65165,27.64108,27.82484,27.82503,27.49559,27.38956,27.22054,27.63292,28.09743,27.78354,27.81378,27.96456,28.01048,28.08839,28.43658,29.29252,29.92424,30.85059,31.98834,33.45236,35.62961,37.86546,39.17787,39.76046,39.97144,39.90531,39.45709,38.53343,37.83398,37.12558,36.20699,35.27679,34.38458,33.35237,32.86634,31.83874,30.89673,30.15958,29.11775,28.63082,27.88149,27.32066,26.04523,25.26741,24.87658,24.36207,23.75822
2021,Kingsford 132_11kV,05MAY2020,MW,23.56898,22.92556,22.28674,21.93636,21.87503,21.22535,20.74720,20.39965,19.94753,19.73771,19.57692,19.34826,19.12414,18.94949,18.73703,18.72042,18.64571,18.71865,18.98562,19.05002,19.29940,19.77032,19.93387,20.51904,21.47132,22.43060,23.50932,24.47163,26.07853,27.29671,28.10484,29.10481,29.75120,29.96059,30.13668,30.21528,29.69096,29.44259,29.23761,29.37132,29.01644,28.42967,28.26796,28.18230,28.54657,28.51676,28.37782,28.54690,28.87173,29.20226,29.63090,29.76933,29.51424,28.93940,28.60971,28.56634,28.32281,27.72938,27.62742,27.88632,27.86915,27.84278,28.03716,28.29246,28.60614,29.13058,29.89886,31.04877,32.36820,33.96331,36.08502,37.47923,38.15374,38.53032,38.61822,38.27440,37.46546,36.65649,35.97463,35.31610,34.47998,33.51910,33.15709,32.41204,31.51721,30.69483,29.81633,28.97310,28.39543,27.75642,27.42956,26.50830,25.65558,24.86998,24.57308,23.91407
2021,Kingsford 132_11kV,06MAY2020,MW,23.92360,23.29767,22.48439,22.24329,21.95407,21.42610,21.00361,20.38758,19.94730,19.56434,19.36757,19.17124,19.01112,18.85314,18.73870,18.65886,18.66234,18.75447,18.83067,19.10368,19.48512,19.85202,20.32556,20.71482,21.83877,22.82456,23.77821,24.47097,25.84551,26.99114,27.98043,28.71199,29.13867,29.40398,29.55729,29.38896,29.05620,28.69209,28.17184,28.39278,27.81699,27.61876,27.50415,27.43562,27.18367,26.95390,27.03502,27.12621,27.25828,27.00750,27.09418,27.01750,26.82322,26.63218,26.44003,26.69085,26.52793,26.31168,26.60894,26.56431,26.70855,26.95775,27.23651,27.42540,27.99197,28.53876,29.17831,29.95400,31.26690,33.45250,35.22748,36.30020,36.91460,37.20931,37.12020,36.62024,36.26982,35.42505,34.60892,34.03701,33.10589,32.37918,31.83647,31.19747,30.51761,29.72580,29.11298,28.14715,27.76356,27.11703,26.45414,25.72736,24.87625,24.47686,24.03847,23.50048
2021,Kingsford 132_11kV,07MAY2020,MW,23.37032,22.65871,22.01533,21.58096,21.60415,21.04669,20.55976,20.05637,19.66709,19.39829,19.12004,18.82051,18.60885,18.48065,18.50141,18.33907,18.45145,18.39003,18.59065,18.65277,19.23101,19.62709,19.91361,20.41894,21.45294,22.23407,23.10379,24.03194,25.26765,26.33686,27.41304,28.05235,28.63948,29.12503,29.53447,29.97559,29.57436,29.07437,28.99331,28.88478,28.78476,28.85428,28.63549,28.32857,28.27167,27.90134,27.63280,27.93719,27.60738,28.31821,28.13482,27.81804,27.33076,27.37663,27.40346,26.80125,26.85003,26.92975,26.67323,26.72639,26.54461,27.00013,27.04940,27.23491,27.89376,28.30228,29.09836,30.06195,31.21528,32.49544,33.91549,35.04724,35.64700,35.89263,35.72252,35.60265,34.96627,34.26169,33.52934,32.92914,31.88024,31.16902,30.48616,30.00859,29.44548,28.75254,27.92345,27.25380,26.99077,26.51816,25.91143,25.02296,24.29104,23.99908,23.58106,22.91254
2021,Kingsford 132_11kV,08MAY2020,MW,22.72491,22.28300,21.56179,21.31190,21.22138,20.58955,20.08119,19.59711,19.24681,18.85435,18.60157,18.46466,18.30095,18.11368,18.14541,18.00077,18.05316,18.05023,18.18724,18.22451,18.58865,18.86681,19.19966,19.50221,20.38462,21.33714,22.06761,22.69321,23.98114,24.72303,25.64812,26.03512,26.61471,27.19768,27.68006,27.52849,27.20325,27.05530,26.66970,26.52930,26.56469,26.32085,26.09960,26.24398,26.10667,25.97135,26.07984,26.03506,26.27527,26.49920,26.70163,26.61826,26.43166,26.53319,26.43424,26.38503,26.27115,26.14315,26.30531,26.38910,26.40645,26.86653,26.87624,27.09298,27.36577,27.98969,28.23771,28.85476,29.63357,31.16335,32.41200,33.13397,33.04182,33.06208,32.79847,32.67001,32.04815,31.13545,30.42470,29.79923,29.30723,28.51207,27.79135,27.16420,26.66565,26.39024,25.99320,25.53101,25.57950,25.21674,24.86929,24.26147,23.79271,23.47876,23.47228,22.64397
2021,Kingsford 132_11kV,09MAY2020,MW,22.35971,21.92324,21.32560,21.15097,20.88382,20.30060,19.78338,19.30646,18.90452,18.61451,18.40018,18.15644,17.91885,17.75059,17.64343,17.55541,17.60130,17.42965,17.41763,17.63752,17.72388,17.68510,17.91957,18.10436,18.69952,19.09741,19.33432,19.52727,20.47089,21.23292,21.93728,22.51317,22.77438,22.68242,23.53655,23.94847,24.24540,25.13864,24.30540,25.15690,26.38985,26.39888,25.60719,25.71103,26.00035,26.03235,25.41058,24.38992,24.53568,24.69349,25.05155,24.59118,24.82059,25.62410,25.30887,24.20040,24.65317,25.21609,25.47085,24.78097,24.77913,25.00694,25.32675,25.45810,25.70336,25.85867,26.69938,27.46173,28.22580,29.45296,30.73054,31.41289,31.54856,31.75109,31.48135,31.05224,30.44477,29.82223,29.43341,28.89069,28.35707,27.65832,27.21288,26.86881,26.32547,25.91940,25.53905,24.89494,24.62651,24.57287,24.52947,23.84754,23.23302,23.19082,23.18168,22.57602
2021,Kingsford 132_11kV,10MAY2020,MW,22.36007,21.82471,21.33563,20.96607,20.74203,20.35609,19.75511,19.32831,18.78015,18.48016,18.12297,17.93676,17.78303,17.68537,17.52263,17.39166,17.41678,17.50837,17.41202,17.61216,17.72128,17.85757,17.78847,17.98327,18.46106,18.88072,19.40165,19.65556,20.51237,21.33128,21.80078,22.39216,22.86003,23.28655,23.93497,24.50015,24.66206,25.01894,25.29583,25.18978,25.41116,25.42602,25.52854,25.22212,25.13316,24.92247,24.82783,24.91913,24.73180,24.47947,24.40537,24.29830,24.44568,24.08545,23.91581,23.95891,23.80093,23.75318,23.89070,24.13456,24.17058,24.80320,25.12859,25.52927,26.37227,26.91089,27.61156,28.71393,30.04008,31.97524,33.26882,34.23066,34.55383,34.98514,35.12793,34.82042,34.49599,33.97782,33.50377,32.86241,32.40451,31.96999,31.27377,30.56273,30.24776,29.57743,28.99965,28.42085,27.76604,27.32843,26.41969,25.61173,24.97608,24.55155,24.26129,23.71383
