year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Kirrawee 132_11kV,01MAY2020,MW,15.64992,14.78143,13.87888,13.81076,14.71331,15.20716,15.27528,14.64519,13.36800,13.12959,12.66980,12.09080,11.97159,11.12013,10.67737,10.16649,10.16649,10.14946,10.20055,10.42193,10.86469,11.34151,11.51180,12.07377,13.11256,13.79373,14.50896,15.25825,15.87130,16.92712,17.65938,18.22135,18.57896,18.56193,18.27243,18.39164,18.06808,17.40394,16.79089,16.84197,16.53545,16.24595,16.04160,15.93942,15.80319,15.66695,15.51369,15.90536,15.71804,15.54775,15.37745,15.22419,15.24122,15.80319,15.29231,14.93469,14.74737,14.91766,15.03687,15.13904,15.78616,16.16080,16.41624,16.41624,17.13147,17.62532,18.39164,19.49854,20.52030,21.93373,23.33013,24.33486,24.59030,24.57327,24.24972,23.78993,23.22796,22.47867,21.98482,21.47394,20.99712,20.36704,19.87319,19.44746,19.07281,18.40867,17.74453,17.31879,17.14850,16.87603,16.28001,15.83724,16.97821,18.25540,18.03402,17.60829
2021,Kirrawee 132_11kV,02MAY2020,MW,17.09741,16.22892,15.22419,15.17310,16.09268,16.29704,16.09268,14.91766,14.13432,13.91293,13.35097,12.63574,12.34624,11.42666,11.00092,10.60925,10.43896,10.23461,10.11540,10.03026,10.08134,10.18352,10.40490,10.52410,11.12013,11.49477,11.90348,12.31218,12.39733,13.14662,13.50423,14.06620,14.56005,14.62816,14.66222,14.88360,15.54775,15.97348,16.04160,15.59883,15.63289,15.08796,14.78143,14.64519,14.25352,14.03214,13.62344,13.53829,13.48720,13.38503,13.23176,13.28285,13.12959,12.94226,13.09553,12.99335,13.02741,13.16365,13.12959,12.92524,13.26582,13.87888,14.23649,14.71331,15.49666,16.09268,16.89306,17.84670,18.64708,19.83913,21.37177,22.70005,22.98955,23.09172,22.81926,22.39352,21.78047,21.33771,20.99712,20.38407,19.82210,19.26013,19.02172,18.64708,18.08511,17.62532,17.28474,16.79089,16.68871,16.17783,15.82022,15.56478,16.68871,18.03402,17.79561,17.60829
2021,Kirrawee 132_11kV,03MAY2020,MW,17.11444,16.12674,15.24122,15.08796,15.83724,16.29704,15.93942,15.03687,14.18540,13.94699,13.65750,12.94226,12.39733,11.47775,10.98390,10.57519,10.30272,10.04728,10.14946,10.06431,10.09837,10.04728,9.91105,9.99620,10.64331,11.00092,11.32448,11.57992,11.85239,12.49950,13.21473,13.57235,13.92996,14.35570,14.86658,15.12201,15.03687,15.17310,15.13904,14.90063,14.91766,14.74737,14.33867,14.03214,13.77670,13.23176,13.16365,13.14662,13.04444,12.78900,12.94226,12.90821,12.92524,12.73791,12.58465,12.36327,12.27812,12.49950,12.70385,12.90821,13.21473,13.48720,13.89591,14.28758,15.07093,15.82022,16.87603,17.76156,18.56193,20.17972,21.86562,23.07470,23.50043,23.43231,22.97252,22.97252,22.71708,21.93373,21.30365,20.55436,20.00942,19.36231,18.90252,18.47679,17.67641,17.04632,16.79089,16.07566,15.61586,15.24122,14.78143,14.49193,15.49666,16.92712,16.80791,16.60356
2021,Kirrawee 132_11kV,04MAY2020,MW,16.34812,15.68398,14.86658,14.52599,15.37745,15.95645,15.58181,14.81549,13.99808,13.57235,13.36800,12.78900,12.44842,11.69913,11.10310,10.64331,10.35381,10.35381,10.35381,10.31975,10.91578,11.57992,11.85239,12.56762,13.45314,14.47490,15.58181,16.38218,16.89306,17.25068,18.57896,18.80034,19.24310,19.51557,19.36231,19.03875,19.10687,18.64708,17.65938,17.43800,17.13147,16.92712,16.72277,16.39921,16.12674,15.78616,16.16080,16.33109,16.14377,15.83724,15.88833,15.64992,15.88833,15.76913,16.09268,16.22892,16.36515,15.88833,16.22892,16.07566,16.00754,16.17783,16.09268,16.39921,17.31879,17.98294,18.90252,20.06051,21.13336,22.70005,24.55624,25.93562,26.08888,25.66315,25.25445,24.35189,23.72181,23.05767,22.13808,21.81453,21.13336,20.36704,19.66884,19.17499,18.49381,17.88076,17.54017,16.70574,16.17783,15.47963,15.15607,14.98578,15.90536,17.21662,16.91009,16.80791
2021,Kirrawee 132_11kV,05MAY2020,MW,16.62059,15.76913,14.74737,14.64519,15.49666,15.78616,15.39448,14.61114,13.65750,13.48720,13.11256,12.58465,12.19298,11.13716,10.67737,10.38787,10.26867,10.09837,10.09837,10.23461,10.64331,11.17122,11.86942,12.24406,13.06147,13.87888,15.03687,15.66695,15.80319,16.70574,17.52315,17.43800,17.86373,17.93185,18.03402,17.76156,17.36988,16.94415,16.43327,16.22892,15.92239,15.61586,15.87130,15.83724,15.75210,15.34340,15.42854,15.24122,15.51369,15.12201,15.42854,15.24122,15.59883,15.49666,15.22419,14.93469,14.52599,14.56005,14.78143,14.90063,14.90063,14.96875,15.13904,15.47963,16.22892,16.77386,17.47206,18.71520,19.19202,20.74168,22.17214,23.26202,23.65369,23.50043,23.10875,22.88737,22.15511,21.35474,20.96306,20.45218,19.80507,19.22607,18.73223,18.23838,17.77858,16.92712,16.45030,15.95645,15.61586,14.98578,14.74737,14.47490,15.53072,17.02930,16.89306,16.67168
2021,Kirrawee 132_11kV,06MAY2020,MW,16.24595,15.42854,14.67925,14.42381,15.34340,15.83724,15.53072,14.59411,13.67452,13.24879,12.99335,12.48247,11.97159,11.25636,10.81360,10.54113,10.45599,10.45599,10.45599,10.50708,10.84766,11.22231,11.85239,12.39733,13.36800,14.27055,15.13904,15.92239,15.90536,16.97821,17.72750,18.01699,18.35758,18.32352,18.10214,17.86373,17.59126,16.97821,16.65465,16.19486,16.00754,15.87130,15.36042,15.08796,14.90063,14.93469,14.76440,14.71331,14.49193,14.40678,14.44084,14.18540,14.33867,14.32164,14.47490,14.42381,14.35570,14.45787,14.50896,14.42381,14.66222,14.71331,14.86658,15.05390,15.56478,16.09268,16.72277,17.62532,18.54490,19.92428,21.72938,22.64896,22.85331,22.85331,22.63193,22.12105,21.61018,20.87792,20.52030,19.94131,19.37934,18.59599,17.99997,17.84670,17.35285,16.39921,15.83724,15.39448,15.07093,14.78143,14.66222,14.32164,15.41151,16.89306,16.79089,16.62059
2021,Kirrawee 132_11kV,07MAY2020,MW,16.31407,15.34340,14.40678,14.28758,15.12201,15.70101,15.37745,14.54302,13.69155,13.38503,13.04444,12.49950,12.07377,11.40963,10.98390,10.43896,10.35381,10.33678,10.43896,10.52410,11.01795,11.37557,11.81833,12.41436,13.12959,14.04917,14.71331,15.54775,16.12674,16.91009,17.57423,18.32352,18.97064,19.19202,19.32825,19.39637,19.49854,18.97064,18.27243,18.08511,18.06808,17.74453,17.31879,16.75683,16.68871,16.75683,15.93942,15.58181,15.51369,15.70101,15.82022,15.36042,15.19013,15.15607,15.10499,14.74737,14.90063,14.52599,14.56005,14.71331,14.61114,14.61114,14.96875,15.20716,15.66695,16.16080,16.75683,17.54017,18.17026,19.48151,21.16741,21.64423,21.88264,21.89967,21.66126,21.01415,20.38407,19.95833,19.15796,18.54490,18.03402,17.60829,17.18256,16.91009,16.36515,15.64992,15.42854,14.86658,14.69628,14.44084,14.25352,14.21946,15.32637,16.77386,16.62059,16.31407
2021,Kirrawee 132_11kV,08MAY2020,MW,15.97348,14.96875,14.03214,14.10026,15.12201,15.37745,15.07093,14.04917,13.45314,13.02741,12.68683,12.14189,11.73318,10.89875,10.40490,10.13243,10.01323,9.96214,9.99620,10.20055,10.54113,11.10310,11.59695,11.73318,12.75494,13.50423,14.01511,14.78143,14.95172,15.75210,16.38218,16.80791,17.06335,17.14850,17.28474,16.94415,16.62059,16.36515,16.05863,15.66695,15.66695,15.47963,15.19013,15.05390,14.84955,14.38975,14.35570,14.30461,14.47490,14.42381,14.28758,14.44084,14.30461,14.08323,14.01511,14.03214,14.08323,14.03214,14.21946,14.25352,14.37273,14.40678,14.37273,14.79846,15.17310,15.58181,15.70101,16.29704,16.51842,17.57423,18.88549,19.39637,19.32825,19.29419,19.00469,18.51084,17.96591,17.57423,17.18256,16.72277,16.31407,15.99051,15.68398,15.25825,14.96875,14.32164,14.28758,14.20243,13.96402,13.72561,13.57235,13.41908,14.84955,16.33109,16.16080,15.92239
2021,Kirrawee 132_11kV,09MAY2020,MW,15.53072,14.69628,13.87888,13.75967,14.71331,15.05390,14.57708,13.60641,12.66980,12.55059,11.98862,11.63101,11.29042,10.43896,10.03026,9.68967,9.46829,9.29800,9.43423,9.38314,9.57046,9.60452,9.67264,9.77482,10.40490,10.69440,11.00092,11.08607,11.42666,11.98862,12.53356,13.12959,13.23176,13.38503,13.58938,13.69155,13.58938,14.83252,14.96875,15.20716,15.30934,15.17310,14.35570,14.50896,13.84482,12.94226,12.65277,12.66980,12.46544,12.55059,12.44842,12.32921,12.94226,12.49950,12.21000,12.14189,12.92524,13.24879,12.95929,12.55059,12.73791,12.72088,12.65277,13.31691,13.82779,14.27055,14.66222,15.41151,15.92239,16.85900,17.88076,18.45976,18.71520,18.76628,18.34055,18.01699,17.50612,16.73980,16.72277,16.26298,15.85427,15.29231,15.08796,14.71331,14.35570,14.11729,13.77670,13.58938,13.58938,13.67452,13.53829,13.57235,14.78143,16.34812,16.29704,16.16080
2021,Kirrawee 132_11kV,10MAY2020,MW,15.68398,14.81549,13.94699,13.84482,14.76440,15.24122,14.71331,13.70858,12.94226,12.60168,12.27812,11.75021,11.34151,10.59222,10.21758,9.94511,9.58749,9.62155,9.29800,9.19582,9.40017,9.40017,9.60452,9.67264,9.94511,10.50708,10.81360,10.86469,11.13716,12.07377,12.68683,13.38503,13.87888,14.28758,14.66222,15.00281,15.27528,15.13904,15.34340,15.05390,15.01984,14.64519,14.35570,14.23649,14.06620,13.55532,13.57235,13.21473,12.90821,12.75494,12.58465,12.41436,12.36327,12.05674,11.81833,11.54586,11.63101,11.69913,11.97159,12.09080,12.38030,12.87415,13.09553,13.67452,14.50896,15.27528,16.19486,17.09741,18.01699,19.36231,20.74168,21.49097,22.03591,22.10403,21.81453,21.71235,21.40582,21.01415,20.86089,20.38407,19.70289,19.29419,18.86846,18.23838,17.93185,17.19959,16.79089,16.00754,15.85427,15.42854,14.96875,14.79846,15.82022,17.26771,17.13147,16.94415
