year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Kogarah 132_11kV,01MAY2020,MW,31.63526,30.57804,29.81151,28.89674,28.01155,26.87086,25.84401,24.91979,24.05870,23.62252,23.20325,22.03806,21.33538,21.15056,21.12801,21.05539,21.31765,21.57710,22.01315,22.16156,23.15162,23.68281,24.44687,24.95735,25.76977,26.67602,27.81605,28.99301,30.46587,31.47675,32.64529,33.26342,33.97984,34.78805,34.93674,34.64470,34.75527,35.13086,35.92970,36.07281,36.17202,35.91306,35.70733,35.55879,35.05134,34.80429,35.00438,35.19869,35.64487,36.01444,36.66277,36.26028,36.08006,36.62887,35.73179,35.04780,35.23543,35.53122,36.00553,35.46988,35.15104,36.05489,36.16825,36.64815,37.56516,38.59442,39.75678,41.08446,41.80673,42.79938,43.80763,44.95698,45.40201,45.32533,45.05472,44.67595,43.84311,42.92555,42.09704,41.45690,41.92726,43.18666,42.78923,41.73326,41.47206,41.01915,40.24948,39.00068,39.57105,38.69374,37.78548,36.22450,35.07823,33.83714,34.93696,33.70967
2021,Kogarah 132_11kV,02MAY2020,MW,34.21563,32.84984,32.51922,31.16512,30.33384,29.00834,27.93348,26.79156,25.77212,25.18218,24.39547,23.71200,23.26121,22.78556,21.95777,21.79302,22.03494,22.16072,22.17513,22.57613,22.97456,23.01022,23.04722,23.31474,24.34661,24.66383,25.53256,25.90926,26.63820,27.74920,28.80054,29.64232,30.70422,31.06994,31.57412,32.49111,32.91794,32.95930,33.88932,34.12075,34.48365,34.15074,33.97865,34.35603,34.55361,34.49300,34.23936,33.56588,33.50937,33.52447,33.40731,33.35918,33.80070,33.90185,34.31984,33.73921,33.25983,33.23025,32.99569,33.35443,33.54463,33.87385,34.53410,35.19636,36.18028,37.36772,38.30255,39.76827,39.81209,41.48928,42.23411,43.41779,43.74687,43.88386,43.61456,43.07232,42.86267,42.08229,41.76655,41.08981,41.47347,42.70047,42.25854,41.29789,41.45495,40.97922,40.19091,38.98025,39.84732,39.20852,37.75249,36.39058,35.46006,34.58403,35.53038,34.47075
2021,Kogarah 132_11kV,03MAY2020,MW,34.74371,33.72587,33.29152,31.68462,30.57918,29.49894,28.23878,27.52304,26.39156,25.48284,24.85456,24.28241,23.89390,23.00766,22.05203,21.94200,22.07684,22.42075,22.25159,22.48590,22.70501,22.78161,22.88701,23.02552,23.77027,24.21802,24.80695,25.55130,26.23618,27.37710,28.18077,29.02436,29.61813,29.47319,30.40718,30.98526,31.64282,32.76832,33.16056,33.10211,33.30975,33.54585,33.81259,33.65491,33.58778,33.89178,33.94545,33.21811,33.11394,33.20042,32.99103,33.47020,33.82471,33.10127,33.29188,32.72364,32.01751,31.97644,32.19389,32.37412,32.66640,33.10960,33.73159,34.21938,35.31683,36.08100,37.29723,38.94877,38.95611,40.62304,42.22958,43.66957,43.91968,43.93795,43.71016,43.37139,42.67502,41.89803,41.29961,40.64522,41.15954,42.40469,42.05306,40.94819,40.66439,40.28516,39.50599,38.40716,39.14464,38.06656,36.99890,35.57816,34.09534,32.83178,33.84443,32.61206
2021,Kogarah 132_11kV,04MAY2020,MW,33.43362,32.17069,31.59656,30.59550,29.43706,28.27040,27.37557,26.34534,25.45944,25.05483,24.24468,23.84708,23.53285,23.08241,22.77597,22.25981,22.60506,22.75159,23.05165,23.21725,24.00188,24.45421,24.71517,25.71296,26.97896,28.07529,29.21145,30.61902,32.14693,33.48361,34.86871,35.80498,36.44811,37.10169,37.08241,36.86831,37.10858,37.13515,37.26118,36.84277,37.27081,36.96391,36.38990,36.65591,36.56921,36.64101,36.00942,36.14197,36.16794,36.25472,37.06832,37.08089,37.23107,37.01198,36.39389,36.05052,36.82478,36.85673,36.18781,36.64592,36.53577,37.07636,37.72336,38.28626,38.83109,40.12876,41.66042,43.62791,44.30172,45.52044,46.49971,47.14321,47.45967,47.34276,47.06045,46.74904,45.47220,44.55710,43.82818,43.52799,43.58626,44.56938,43.80782,42.25745,42.27074,41.40706,40.27829,38.84579,39.30085,38.30574,37.07365,35.39488,34.05121,32.70551,33.50511,32.35826
2021,Kogarah 132_11kV,05MAY2020,MW,32.72992,31.73838,31.13148,30.18014,29.26594,28.25810,27.20908,26.34608,25.42947,24.82357,24.10403,23.39579,23.22059,22.36424,21.95566,21.93939,22.06330,22.38100,22.63380,22.67882,23.64253,24.14030,24.71072,25.06502,26.66228,27.86708,28.59228,29.84446,31.28766,33.01540,34.11952,35.31104,36.04228,37.01446,36.99135,37.33662,37.55073,36.25290,36.54529,36.93500,37.03709,37.47995,37.65634,37.34898,36.63689,37.33795,36.59634,36.10475,36.67146,37.64768,38.50154,38.26696,38.22091,38.32857,36.72298,35.83491,35.48600,35.53372,35.36436,35.58559,35.61267,36.51184,36.94936,37.78215,38.20396,39.05981,40.31769,41.65157,42.19248,43.18045,44.30832,45.46709,45.77071,45.71366,45.25582,44.69760,43.77076,43.01806,42.35179,41.48557,41.97460,43.22747,42.56919,41.35433,41.38977,40.84441,39.59267,38.19874,39.05697,38.17450,36.85743,35.40596,34.10847,32.81572,33.79288,32.47977
2021,Kogarah 132_11kV,06MAY2020,MW,33.07831,31.93943,30.81017,29.90185,29.01959,28.06422,26.94702,26.19406,25.01496,24.43316,24.25194,23.65092,22.83138,22.28135,22.09523,21.83187,22.18595,22.28158,22.58067,23.16895,24.17937,24.53141,24.96531,25.83062,26.87773,27.89556,28.96347,30.22481,31.59454,32.70606,34.03270,34.76699,35.61568,36.41581,36.05420,35.92693,36.17370,35.66893,35.80843,36.17769,36.47800,36.09836,35.73389,35.64277,34.96093,34.58330,34.60220,34.92023,35.44316,35.48524,35.52284,35.31785,35.59544,35.56172,35.98397,35.55919,34.79040,34.94060,35.76937,36.12650,36.13532,36.80916,37.12733,37.82767,38.58771,39.91778,40.86406,42.47086,42.50724,44.23677,45.50259,46.33346,46.49720,46.48077,45.91810,45.46308,44.44399,43.79291,43.01151,42.46320,42.92886,43.65048,43.27755,41.45685,41.88393,41.49597,40.24505,39.05675,39.74417,38.72903,37.63422,36.00099,34.85172,33.55304,34.85794,33.40238
2021,Kogarah 132_11kV,07MAY2020,MW,34.16772,32.73450,32.13317,31.01091,30.21816,28.83412,27.53962,26.83040,25.84668,25.32184,24.58216,23.29238,23.11176,22.65548,22.52136,22.55668,22.73568,22.75562,23.38564,23.75400,24.64407,25.30532,25.71997,26.39584,27.75436,28.55412,29.59224,31.02664,32.60240,34.12612,35.36624,36.13303,37.42357,38.31002,38.43041,38.65975,39.47437,39.14348,39.06532,39.78801,39.80800,39.59503,39.55933,39.02020,37.87003,37.38183,37.17112,37.26762,37.85825,38.47912,38.52321,38.38087,37.94608,38.39189,39.01746,36.79774,36.57146,36.39997,36.62963,36.49726,36.56042,37.54019,37.73475,38.66191,39.28131,40.15661,41.72897,42.91779,42.85441,44.40255,45.31275,46.34668,46.12938,46.22932,45.52746,45.07546,44.21268,43.19408,42.52265,41.74761,41.94755,43.15538,42.81726,41.51385,41.46654,40.69977,39.45655,37.89420,38.93482,38.18007,37.25114,35.39487,34.24864,32.93560,34.09203,33.06061
2021,Kogarah 132_11kV,08MAY2020,MW,33.92435,32.41899,31.81009,30.81661,29.81368,28.71270,27.54654,26.66045,25.84748,25.13403,24.61107,23.69470,22.64874,22.50864,22.20218,22.18237,22.28221,22.54485,22.93914,23.21871,23.92570,24.32591,25.09453,25.70588,26.67541,27.72604,29.19708,30.23865,31.26834,32.60901,33.22551,34.07226,34.34249,35.08287,35.34977,36.19504,37.19475,37.06281,36.96902,36.67686,36.47481,36.81381,36.34590,35.97653,35.99051,36.49773,36.39597,36.16235,37.01620,37.54480,37.29667,37.22731,37.52001,37.66728,37.10070,37.00014,36.81321,36.90672,36.83941,36.91545,37.26664,37.90484,38.27773,38.52266,38.98448,40.23062,40.67398,41.70435,41.41958,42.61802,43.68465,43.83747,43.49342,43.29645,42.97421,42.57079,41.81755,40.70372,40.01684,39.05283,39.26342,40.35642,39.85195,38.45557,38.39926,38.18695,37.37359,36.54155,37.46373,36.89117,36.28120,34.76677,33.54868,32.57373,33.92312,32.88505
2021,Kogarah 132_11kV,09MAY2020,MW,33.70845,32.65901,31.69207,30.31604,29.42976,28.14964,27.09564,25.87339,25.26075,24.58933,24.17305,23.54299,23.12853,23.08034,22.76087,21.92806,21.62111,21.72309,21.90384,22.14112,22.77131,22.79338,22.92139,23.55227,24.10850,24.51509,25.28855,25.52522,26.09312,27.40848,29.11315,30.42608,30.91512,31.50083,32.42977,33.12725,34.11558,35.95112,35.11085,35.99736,37.35081,37.42498,37.16904,37.06276,36.88630,37.08215,35.34606,34.96541,34.91004,34.49618,35.18449,34.96332,36.46353,37.79385,37.38805,34.78460,34.95745,35.81975,35.65413,35.50593,35.55870,35.95830,35.71515,36.60894,36.91643,37.59400,38.46351,39.41885,39.31541,40.42596,41.32879,41.94148,41.72188,41.45375,41.15390,40.65735,39.78340,39.22419,38.60853,37.74948,37.77470,38.77087,38.37455,37.24141,37.60500,37.16048,36.45943,35.13785,36.05077,35.61105,35.05715,33.77659,32.75062,31.98102,33.52749,32.48958
2021,Kogarah 132_11kV,10MAY2020,MW,33.55535,32.58053,32.03136,30.92433,29.95231,28.50674,27.44571,26.29964,25.21805,24.33094,23.98868,23.55699,23.10323,22.65348,21.91129,21.66759,21.58317,21.58625,21.66565,21.74929,22.24030,22.46749,22.73739,22.84522,23.70860,24.05963,24.76110,25.54507,26.21887,27.30268,28.76910,29.68084,30.75351,31.40539,32.36192,32.34049,32.54117,33.12383,33.62569,34.75672,34.82866,34.81288,35.01472,35.21610,34.84745,35.16826,34.33706,33.81202,33.64266,33.45060,33.22759,33.63396,33.67445,33.14231,33.51202,32.72451,32.28604,32.02869,32.06945,32.18952,32.84178,33.25248,33.57239,34.84340,35.90413,36.52231,38.01589,39.38843,39.49478,40.91677,42.42633,43.39960,43.97324,43.65482,43.83160,43.47333,43.17938,42.37848,41.89661,41.59750,42.25933,43.62414,43.27847,42.18785,42.27591,42.12565,40.93802,39.76556,40.66295,39.94935,38.68385,37.06034,35.74394,34.30287,35.55275,34.37146
