year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Kurnell South 132_11kV,01MAY2020,MW,2.40643,2.42522,2.39579,2.33493,2.40811,2.38081,2.61788,2.54594,2.49389,2.42148,2.42148,2.42210,2.32037,2.25403,2.25403,2.25403,2.51390,2.57993,2.61577,2.72440,2.72440,2.72440,2.72440,2.91121,3.16136,3.28547,3.30990,3.55201,3.49595,3.62610,3.70687,3.71615,3.60814,3.52828,3.68864,3.81694,3.70615,3.38952,3.09477,3.49830,3.58613,3.58613,3.58613,3.45598,3.54814,3.53799,3.44041,3.38494,3.47303,3.42211,3.09373,3.09981,3.03261,3.11353,2.94381,2.95119,2.81099,2.67857,2.73803,2.71413,2.81828,2.87149,3.00791,3.05825,2.98088,2.91979,2.96076,3.03983,3.08734,3.28421,3.35250,3.45066,3.47853,3.42152,3.39411,3.29012,3.29607,3.28316,3.20390,3.23551,2.90083,2.60210,2.48895,2.49485,2.41960,2.41960,2.42729,2.40267,2.49424,2.48556,2.38795,2.38225,2.42188,2.37925,2.41960,2.41960
2021,Kurnell South 132_11kV,02MAY2020,MW,2.41960,2.41960,2.42934,2.43841,2.35173,2.22957,2.22957,2.22957,2.06174,2.03578,2.03578,2.03578,1.96125,1.90118,1.84574,1.94582,2.22662,2.27405,2.22144,2.16560,2.16560,2.20452,2.37341,2.40267,2.55067,2.58731,2.62877,2.62409,2.58260,2.59048,2.59192,2.54057,2.51744,2.61632,2.51744,2.64589,2.63023,2.64737,2.60300,2.67066,2.76203,2.74233,2.63124,2.58464,2.69242,2.52326,2.24903,2.19791,2.07610,2.11550,2.17205,2.23157,2.28225,2.24379,2.08469,2.14293,1.99796,2.23935,2.23590,2.29525,2.35187,2.35187,2.35187,2.41679,2.45840,2.56785,2.66259,2.71834,2.90745,3.05737,3.32967,3.39409,3.39152,3.39254,3.33589,3.28417,3.25411,3.14774,3.14212,2.92288,2.90691,2.85901,2.84179,2.83047,2.90443,2.80684,2.82386,2.71311,2.89273,2.75827,2.75981,2.77487,2.88057,2.88057,2.95064,2.92352
2021,Kurnell South 132_11kV,03MAY2020,MW,2.87291,2.95749,2.88065,2.82976,2.85254,2.86658,2.87680,2.71006,2.71336,2.58649,2.49873,2.47180,2.43841,2.43841,2.43841,2.42065,2.26301,2.34318,2.32056,2.30256,2.35925,2.43991,2.28037,2.34330,2.43710,2.36900,2.36401,2.40770,2.38270,2.44406,2.04694,1.97800,2.10238,2.06646,2.10687,2.47836,2.54683,2.43225,2.37256,2.30924,2.33772,2.55631,2.65772,2.58636,2.62656,2.66347,2.67942,2.67917,2.68901,2.67858,2.66299,2.59448,2.29255,2.58884,2.48278,2.45996,2.46973,2.60399,2.42610,2.36635,2.28328,2.33943,2.35563,2.55076,2.56071,2.64660,2.70559,2.74616,2.95791,3.17517,3.37104,3.48653,3.45769,3.44125,3.40935,3.07006,3.06498,3.34653,3.27365,3.24746,3.06575,3.08056,3.05456,3.06752,3.05953,3.04917,2.97276,2.98947,3.05691,3.00098,2.99882,2.97651,3.01039,3.01039,3.08941,3.03485
2021,Kurnell South 132_11kV,04MAY2020,MW,3.05525,3.00663,3.00663,3.00663,3.30415,3.50334,3.41798,3.29231,2.77274,2.70935,2.70935,2.70935,2.59131,2.51744,2.51744,2.51744,2.51744,2.51744,2.51744,2.70126,3.03061,3.06495,3.06495,3.06495,3.14226,3.28155,3.28509,3.33697,3.55181,3.62251,3.59115,3.55414,3.65193,3.66714,3.83091,3.95480,3.64130,3.25333,3.13669,3.17643,3.11419,3.10772,2.98740,2.99291,3.09518,3.20841,3.19650,3.01042,2.74014,2.74810,2.73301,2.67925,2.66540,2.61466,2.64740,2.73948,2.64292,2.65543,2.65605,2.54789,2.58098,2.56793,2.64350,2.63624,2.56085,2.57982,2.79214,2.90733,2.98969,3.09609,3.19058,3.32582,3.35776,3.30438,3.07518,3.10248,2.96612,2.89589,2.79298,2.73193,2.57505,2.47569,2.41021,2.47360,2.45114,2.35815,2.37546,2.30378,2.35457,2.34446,2.33070,2.34093,2.33305,2.33305,2.40939,2.41612
2021,Kurnell South 132_11kV,05MAY2020,MW,2.43643,2.37821,2.86685,2.92172,2.94394,2.88078,2.73338,2.72440,2.70779,2.56071,2.49110,2.49110,2.49110,2.49110,2.48564,2.34095,2.29235,2.44509,2.83548,2.88272,2.93662,2.97687,2.95394,3.02768,3.03663,3.23124,3.26733,3.46601,3.50359,3.61373,3.64410,3.22455,3.10634,3.03292,3.04338,3.40576,3.32797,3.34320,3.38275,3.73825,3.76753,3.68773,3.56136,3.54757,3.82878,4.22422,4.16897,4.24230,4.16008,4.08284,3.96248,3.97014,3.96932,3.95540,3.92978,3.90699,3.89169,3.96496,3.92111,3.81034,3.87786,3.82506,3.79044,3.88011,3.85668,3.44635,3.52154,3.52136,3.59688,3.77588,3.90513,3.84299,3.40567,3.34331,3.26857,3.19106,3.16560,3.11594,3.14389,3.07591,2.91123,2.94612,2.85422,2.84959,2.78556,2.76327,2.74955,2.70139,2.77158,2.70747,2.70747,2.70747,2.70747,2.70747,2.80144,2.71876
2021,Kurnell South 132_11kV,06MAY2020,MW,2.81449,2.75207,2.70559,2.70559,2.69857,2.52141,2.54827,2.50991,2.48845,2.38904,2.32451,2.23333,2.25698,2.22392,2.22392,2.22392,2.22392,2.22392,1.87231,1.86832,1.86832,1.86832,1.86832,2.04450,2.10587,2.28787,2.25130,2.29043,2.33688,2.25449,2.24157,2.84255,3.13269,3.18155,3.25040,3.14262,2.48664,3.27658,3.11483,2.55775,3.07124,3.04626,3.07705,3.06451,2.81818,2.70297,3.02460,2.92220,2.96573,2.97844,2.93748,2.91355,2.87213,2.85905,2.93418,2.99722,2.93556,2.71038,2.69994,2.77267,2.83972,2.82854,2.70559,2.66126,2.73320,2.72132,2.89185,2.87626,2.92162,3.08959,3.21570,3.37656,3.43030,3.39193,3.26841,3.18537,3.15147,3.13937,3.16068,3.07624,2.56893,2.48661,2.68931,2.88718,2.75155,2.86607,2.88354,2.86149,2.84023,2.74698,2.75261,2.67338,2.80888,2.80734,3.01415,2.97466
2021,Kurnell South 132_11kV,07MAY2020,MW,2.89142,2.87975,2.84105,2.86829,2.93830,2.72440,2.72440,2.63338,2.56679,2.47228,2.47228,2.44012,2.29637,2.27472,2.27472,2.27472,2.27472,2.27472,2.27472,2.27472,2.28515,2.38714,2.67012,3.03621,3.15526,3.15526,3.18025,3.36243,3.35063,3.45690,3.48264,3.57699,3.23964,3.21295,3.63595,3.70642,3.73790,4.05270,4.11208,4.10185,4.09706,4.09316,4.06761,3.98149,4.00274,3.97137,3.84408,3.78742,3.79820,3.51156,3.37360,3.04522,2.85050,3.14440,3.09511,2.99241,3.02587,2.92683,2.92020,3.32107,3.14418,2.71345,3.21806,3.56554,3.48294,3.47069,3.42657,3.31144,3.58409,3.47800,3.64930,3.74605,3.66132,3.62629,3.67497,3.48301,3.50993,3.40926,3.37983,3.37935,3.33514,3.38259,3.49187,3.44871,3.17996,2.89161,2.84788,2.76768,2.45702,2.29344,2.30107,2.27990,2.49214,2.69994,2.89078,2.80121
2021,Kurnell South 132_11kV,08MAY2020,MW,2.80081,2.74594,2.72440,2.72440,2.72440,2.59420,2.51556,2.41137,2.37708,2.35723,2.31424,2.31424,2.30410,2.29697,2.19420,2.14823,2.14583,2.16653,2.32029,2.22323,2.27797,2.41772,2.43830,2.53006,2.58689,2.56341,2.53905,2.34943,2.24094,1.71838,1.58610,1.58610,1.61112,1.77685,2.39487,2.51183,2.39496,2.45052,2.48132,2.41751,2.22562,2.35632,2.70238,2.65263,2.58176,2.70559,2.70559,2.76823,2.70935,2.65202,2.57318,2.53813,2.56918,2.54077,2.62187,2.64499,2.66282,2.62622,2.63973,2.68082,2.80818,2.83076,2.81663,2.73072,2.73590,2.75662,2.52187,2.30443,2.31974,2.43684,2.56320,2.69323,2.61231,2.52496,2.52496,2.52496,2.45374,2.38731,2.47988,2.36943,2.32163,2.32169,2.28413,2.28413,2.26298,2.22371,2.15289,2.10700,2.20297,2.10727,2.10727,2.12648,2.22664,2.15619,2.28279,2.22171
2021,Kurnell South 132_11kV,09MAY2020,MW,2.24848,2.18629,2.20232,2.19946,2.19946,2.08371,2.02597,1.95675,1.92124,1.76672,1.76672,1.80732,1.71216,1.70518,1.70192,1.65983,1.60876,1.64409,1.69664,1.67473,1.69566,1.77989,1.77989,1.74442,1.78177,1.78177,1.58494,1.51973,1.45843,1.55349,1.62779,1.61259,1.61360,1.41308,1.50526,1.37725,1.42831,1.59224,1.66881,1.63477,1.64624,1.64706,1.55291,1.57961,1.52381,1.41238,1.27093,1.39852,1.30446,1.29648,1.30811,1.25522,1.21992,1.46808,1.73262,1.46219,1.35339,1.48178,1.47103,1.31201,1.61657,1.67359,1.60550,1.39678,1.70494,1.50511,1.80260,1.80657,1.97905,2.18638,2.36709,2.39735,2.41528,2.32929,2.32929,2.33826,2.39322,2.39100,2.39150,2.35773,2.30668,2.27540,2.23709,2.23709,2.23709,2.30523,2.25591,2.26200,2.41674,2.31151,2.27233,2.28694,2.30708,2.30364,2.44150,2.44218
2021,Kurnell South 132_11kV,10MAY2020,MW,2.49454,2.43465,2.43465,2.43465,2.43465,2.30349,2.24838,2.14405,2.03766,2.03766,2.01398,1.96025,1.86644,1.92523,1.87378,1.81718,1.77237,1.85119,1.91348,1.91348,1.86089,1.87447,2.12367,1.90480,2.32098,2.43079,2.35140,2.42148,2.42148,2.51766,2.53247,2.55507,2.64131,2.65575,2.65145,2.59727,2.63814,2.57171,2.59338,2.54091,2.48169,2.40311,2.65813,2.55266,2.77747,2.86739,2.71550,2.70727,2.65703,2.65904,2.50751,2.09740,1.93377,2.04286,1.90752,1.68040,1.57830,2.19441,2.13384,2.06371,2.08447,2.16950,2.35905,2.40128,2.47097,2.57200,2.67371,2.76288,2.87921,3.04694,3.19854,3.19854,3.19854,3.08863,3.08377,3.08377,3.08377,3.06393,3.09592,2.98781,3.04165,2.89735,2.81631,2.55177,2.65851,2.79447,2.92683,2.95347,2.91820,2.82072,2.91730,2.76831,2.90989,2.92008,2.99052,2.98673
2021,Kurnell South 132_11kV,11MAY2020,MW,2.66984,2.61910,2.94299,2.91895,2.95192,2.94493,2.85046,2.80916,2.78273,2.70631,2.63785,2.47836,2.44782,2.44782,2.47797,2.36692,2.41953,2.44858,2.47035,2.52701,2.57953,2.57953,2.61453,2.76699,2.92048,2.60461,2.69496,2.89398,2.94673,3.11141,3.27125,3.09859,3.09129,3.07940,3.07473,3.23617,3.34322,3.53060,3.16093,2.93421,2.95221,2.99709,3.14665,3.14350,3.19688,3.19484,3.64996,3.79023,3.73690,3.68264,3.56772,3.16960,3.25061,3.15416,3.50185,3.51087,3.61595,3.61468,3.71845,3.77640,3.68621,3.70373,3.71124,3.72594,3.75570,3.77101,3.35094,3.44726,3.64319,3.77803,3.93123,4.09307,4.07572,4.12349,3.96305,3.85661,3.70128,3.67417,3.54079,3.55340,3.53603,3.43131,3.39130,3.38767,3.42390,3.44197,3.39402,3.29094,3.20543,3.15242,3.09506,3.08859,3.19607,3.21852,3.31344,3.30955
2021,Kurnell South 132_11kV,12MAY2020,MW,3.30955,3.30955,3.30955,3.26163,3.20155,3.05769,2.89785,2.84670,2.84670,2.73306,2.68572,2.71913,2.53504,2.46664,2.50764,2.47361,2.41584,2.46222,2.55192,2.54401,2.60388,2.76953,2.82181,2.94978,3.07221,3.14139,3.18829,3.30347,3.35408,3.53921,3.56382,3.62283,3.58926,3.59302,3.56714,3.57992,3.70451,4.00382,3.94681,3.95841,3.95299,3.87114,3.78646,3.42822,3.34510,3.19101,3.19101,3.25127,3.44504,3.60870,3.51490,3.56481,3.69191,3.71911,3.65746,3.71886,3.66340,3.68013,3.69645,3.73733,3.72606,3.81730,3.79100,3.72912,3.75133,3.88530,3.91072,3.94353,4.11727,4.24718,4.17754,4.19120,3.81943,3.81943,3.61825,3.61623,3.53183,3.56315,3.39444,3.33727,3.18574,3.29106,3.22488,3.20163,3.08032,3.05828,2.98028,2.98028,3.01885,3.04237,3.04237,2.94809,2.99848,2.97500,3.08016,3.03485
2021,Kurnell South 132_11kV,13MAY2020,MW,2.77769,2.50427,2.65794,2.97088,2.99167,2.87304,2.87304,2.75551,2.67172,2.67172,2.59040,2.51744,2.51744,2.59563,2.86480,2.85736,2.80216,2.47852,2.68720,2.87882,2.99532,3.04382,2.92985,2.85295,2.99870,3.17574,3.59394,3.79926,3.88352,3.92080,3.89114,3.86114,3.90103,3.94242,3.91285,3.89753,3.82696,3.85305,3.92966,3.67265,3.70090,3.91110,4.11224,4.33464,3.83782,4.03430,4.20924,3.96756,4.08159,3.88075,3.82292,3.82142,4.03441,4.05729,3.81082,3.82452,3.83005,3.96229,3.88173,3.87077,3.92568,3.93975,3.96023,4.06329,4.14666,4.31048,4.40730,4.67247,4.49585,4.49280,4.32380,4.36790,4.35630,4.32986,4.13566,3.59745,3.51923,3.41440,3.29563,3.22395,3.25307,3.29469,3.22008,3.22406,3.12704,3.09390,2.99830,2.94077,2.94747,2.94830,2.94830,2.94830,2.94830,2.94830,3.03321,3.03467
2021,Kurnell South 132_11kV,14MAY2020,MW,3.04331,2.98028,2.98028,2.97890,2.98761,2.88245,2.72083,2.67925,2.67032,2.55414,2.51700,2.46792,2.42148,2.42148,2.38602,1.93982,2.33705,2.42974,2.49920,2.37682,2.30483,2.43117,2.49738,2.76402,3.04432,2.61758,2.73752,3.02057,3.42640,3.55182,3.67832,3.77353,3.94334,4.01730,3.89562,3.83699,3.85385,3.88606,3.78248,3.85239,3.81637,3.88348,3.67890,3.53300,3.56735,3.58765,3.45581,3.40940,3.45881,3.43304,3.25122,3.25122,3.25122,3.39640,3.38116,3.48637,3.35743,3.45407,3.82337,3.83813,3.82708,3.76863,3.72316,3.59285,3.45573,3.46937,3.73395,3.83291,4.03710,3.95293,3.84816,3.80311,3.83485,3.82050,3.78022,3.79685,3.74602,3.64362,3.58779,3.46759,3.36369,3.29656,3.30246,3.28530,3.12139,3.11387,3.11417,3.10915,3.09180,3.05743,3.05743,2.97015,3.02168,3.02168,3.09065,3.16433
2021,Kurnell South 132_11kV,15MAY2020,MW,3.16682,3.12075,3.05435,2.97425,3.04226,2.85841,2.75451,2.75451,2.77445,2.69618,2.64270,2.65035,2.49298,2.49298,2.49298,2.44376,2.43773,2.41410,2.48805,2.51932,2.51540,2.61447,2.65168,2.86946,2.89002,3.06307,3.13627,3.24787,3.08165,3.05362,3.38039,3.11002,3.58330,3.56971,3.70917,3.88405,3.82360,3.49506,3.44521,3.34689,3.46928,3.55932,3.92949,3.95728,4.01446,3.85908,3.76060,3.96807,4.00623,3.95870,3.43062,3.43617,4.04304,4.47270,4.31630,4.22099,4.10131,4.00906,3.99166,4.01820,4.06513,3.94605,3.96822,4.05248,4.01194,3.97486,3.95042,4.10131,4.14616,4.16987,4.09613,4.27058,4.23654,4.16412,4.09629,4.02142,3.91727,3.91727,3.78673,3.35226,3.08604,3.02168,3.08933,3.02544,2.97232,2.95074,2.85216,2.82600,2.82600,2.82600,2.76849,2.81438,2.85611,2.85611,2.92362,2.98575
