year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Kurri 132_11kV,01MAY2020,MW,12.72414,12.80160,11.70152,10.62720,10.21782,10.01734,10.32649,8.63096,9.30706,9.07200,9.07200,9.07200,8.82797,8.42400,8.42400,8.42400,8.42400,8.42400,8.91188,9.07200,9.07200,9.21843,9.72000,9.72000,10.09939,10.36800,10.78663,11.01600,11.01600,11.01600,11.01600,11.01600,11.01600,10.76206,10.36800,10.30974,9.72000,9.72000,9.38576,9.15524,8.99669,8.42400,8.03644,8.15903,8.54222,8.63395,8.13029,7.91841,7.76184,8.22235,8.27325,7.54030,7.64817,7.53714,6.92989,6.94295,7.18724,6.22080,6.22080,6.80909,6.74250,7.40115,7.89320,8.61674,8.94240,9.58553,10.23840,10.68535,11.17192,12.09342,12.61239,13.09138,13.47840,13.47840,13.47840,13.47840,12.95628,12.83040,12.78592,12.18240,12.18240,11.61715,11.53440,11.53440,11.37930,11.26856,11.25325,10.88640,10.88640,10.68039,10.23840,10.23840,11.59337,11.79360,11.23588,10.88486
2021,Kurri 132_11kV,02MAY2020,MW,11.39646,11.15431,10.80568,10.23840,9.64511,9.25589,8.50845,8.03626,7.64640,7.64640,7.01081,6.99840,6.99840,6.62638,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.44776,6.99840,6.99840,6.99840,7.49494,7.64640,7.64640,7.64640,7.64640,7.64640,7.64640,7.64640,7.51744,6.99840,6.99840,6.50567,6.35040,6.35040,6.00893,5.54889,5.05440,5.05440,5.05440,4.79272,4.40640,4.40640,4.40640,4.40640,4.40640,4.40640,4.40640,4.40640,4.40640,5.14736,6.84408,6.61227,6.09875,6.49218,7.13376,7.29524,7.23474,7.71604,8.30550,8.94240,9.25525,10.18083,10.53500,11.22807,11.96001,12.18240,12.35955,12.45220,12.18240,12.18240,11.80928,11.53440,11.53440,11.53440,11.12856,10.88640,10.88640,10.42273,10.23840,10.04952,9.59040,9.59040,9.59040,9.59040,9.03689,8.94240,9.42581,9.38253,8.94240,8.94240
2021,Kurri 132_11kV,03MAY2020,MW,8.39335,8.29440,8.29440,8.08486,7.64640,7.64640,7.26661,6.99840,6.99840,6.75726,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.78418,6.99840,6.99840,6.99840,6.99840,6.99840,7.50696,7.64640,7.19186,6.99840,6.99840,6.93277,6.35040,6.35040,6.00359,5.55670,5.05440,5.05440,4.46079,4.40640,4.40640,4.40640,4.40640,4.40640,4.40640,4.85441,6.11304,5.84807,6.35040,5.89695,5.72694,5.85636,5.80261,6.18026,6.14774,6.35040,6.50057,7.05158,7.64640,8.22645,8.41131,9.16775,9.99738,10.71432,11.69469,12.60625,13.20021,13.47840,13.47840,12.83554,12.83040,12.44613,12.18240,12.18240,12.18240,11.72071,11.53440,11.53440,11.23026,10.88640,10.88640,10.88640,10.49178,10.23840,10.23840,10.15135,9.59040,10.21091,9.74121,9.59040,9.59040
2021,Kurri 132_11kV,04MAY2020,MW,9.52542,8.94240,8.94240,8.94240,8.41400,8.29440,8.29440,7.77059,7.64640,7.54317,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,6.99840,7.48936,7.64640,7.64640,8.03383,8.29440,8.49062,8.94240,9.14500,9.59831,10.23840,10.62076,10.88640,10.88640,10.88640,10.97289,10.88640,10.46191,10.05302,9.28028,8.36683,7.94526,7.63386,7.51680,7.27612,6.76100,6.22080,6.22080,6.02558,5.57280,5.57280,5.57280,4.94409,4.92480,5.26205,5.57280,5.57280,5.47947,5.61352,5.57280,5.57280,5.57280,6.18958,6.77362,7.22663,7.51680,7.93192,8.33251,8.81280,9.35807,9.88027,10.57721,11.15045,11.95652,12.62988,13.28449,13.34880,13.34880,13.27368,12.70080,12.70080,12.70080,12.51376,12.05280,11.97812,11.40480,11.40480,11.40480,10.85029,10.75680,11.28429,10.79018,10.75680,10.55753,11.01600,10.80817,12.13423,12.31200,11.89238,11.26218
2021,Kurri 132_11kV,05MAY2020,MW,11.57614,11.66400,11.06289,10.81503,10.13915,9.63865,9.07200,8.46507,8.42400,8.11402,7.77600,7.61661,7.12800,7.12800,7.12800,7.12800,7.12800,7.12800,7.13235,7.77600,7.77600,8.15416,8.42400,8.42400,8.68275,9.17395,10.12147,10.19821,10.18605,10.42186,9.98617,9.94390,9.89926,10.53862,10.43366,9.38487,8.07439,7.67097,7.71547,8.92023,8.54964,7.37820,7.82945,8.48079,8.54003,9.52389,9.16723,9.87217,10.48205,10.23840,10.46285,10.88640,10.88640,10.88640,10.21806,9.18666,9.15537,9.59040,9.77150,10.23840,9.79250,9.59040,10.04134,10.88640,10.88640,11.04020,11.58551,12.26085,12.99930,13.47840,13.87825,14.12640,14.12640,14.12640,14.12640,13.51125,13.47840,13.47840,13.44544,12.83040,12.83040,12.41378,12.18240,11.94605,11.53440,11.53440,11.53440,11.53440,11.43538,10.88640,10.88640,10.88640,12.46927,12.70080,12.21684,11.71278
2021,Kurri 132_11kV,06MAY2020,MW,12.07660,12.14103,11.53440,11.15162,10.76951,10.10044,9.59040,9.34364,8.94240,8.67254,8.29440,8.29440,7.88413,7.64640,7.64640,7.64640,7.64640,7.64640,8.27544,8.29440,8.29440,8.80566,8.97180,9.59040,9.59040,9.87432,10.23840,10.56905,10.88640,10.88640,10.88640,10.88640,11.03958,11.53440,11.53440,11.41943,11.01887,10.88640,10.88640,10.88640,10.57576,10.23840,9.64898,9.59040,9.46505,8.80199,7.87254,7.64640,6.98232,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.50720,6.86880,6.86880,7.52975,7.64640,7.64640,7.64640,7.97474,8.49273,9.03867,9.59040,9.90623,10.61486,11.40725,12.14499,12.92636,13.47840,13.47840,13.47840,13.47840,13.47840,13.47840,12.88713,12.83040,12.83040,12.72935,12.18240,12.18240,12.18240,12.08724,11.65609,11.53440,11.53440,11.53440,11.53440,11.11643,10.88640,12.61865,12.83040,12.76248,12.18240
2021,Kurri 132_11kV,07MAY2020,MW,12.18240,12.18240,12.00728,11.43443,10.88640,10.37919,9.89687,9.49253,8.94240,8.94240,8.30596,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.29440,8.66710,8.94240,9.43734,9.59040,9.59040,10.29173,10.88640,11.39900,11.53440,11.53440,11.53440,11.53440,11.71558,11.63183,11.53440,11.76551,11.70115,10.28200,10.23840,10.23840,10.23840,9.31721,8.94240,8.94240,8.68448,8.29440,8.36869,8.94240,8.73428,8.14333,7.51680,8.06853,8.06564,8.16480,7.97713,8.16480,8.04965,8.07148,8.30595,7.91301,8.48535,8.28794,8.29234,8.84702,9.46080,9.00761,9.59672,10.18115,10.75680,10.75680,11.33457,12.24329,12.70080,12.83802,13.01740,13.07942,12.82405,12.70080,12.70080,12.70080,12.57111,12.05280,12.05280,11.48468,11.40480,11.40480,11.40480,11.40480,11.40480,10.83972,10.10880,10.15737,10.75680,12.28835,12.85939,12.40370,11.79360
2021,Kurri 132_11kV,08MAY2020,MW,11.79360,11.79360,11.78402,11.03313,10.49760,10.01360,9.84960,9.43430,8.94824,8.55360,8.55360,8.19321,7.90560,7.90560,7.90560,7.90560,7.90560,7.90560,7.91930,8.55360,8.55360,8.55360,9.08644,9.20160,9.76419,10.34675,10.49760,11.07244,11.14560,11.14560,11.14560,10.79893,10.49760,9.94451,9.62240,9.20160,8.42301,7.90560,7.90560,7.60335,7.25760,6.75916,6.60960,5.98326,5.96160,5.96160,5.96160,5.96160,5.47634,5.31360,5.79499,5.96160,5.96160,5.96160,5.96160,5.80778,5.70658,5.95569,5.96160,5.96160,5.96160,6.34441,6.77543,7.25760,7.30048,7.90560,8.43959,8.64009,9.24879,9.91760,10.49760,10.49760,11.13193,11.13619,10.49760,10.49760,10.49760,10.49760,10.43089,9.84960,9.71137,9.20160,9.15148,8.55360,8.71738,9.20160,9.20160,9.20160,8.89725,8.55360,8.55360,8.55360,10.55498,10.75680,10.52480,10.03834
2021,Kurri 132_11kV,09MAY2020,MW,10.13034,10.05995,9.59040,9.26150,8.87107,8.29440,7.93016,7.36537,6.99840,6.45363,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.35040,6.55047,6.99840,6.99840,7.38643,7.64640,7.64640,7.64640,7.64640,7.47608,7.53514,6.63484,6.22080,5.88852,5.76538,5.98303,6.86880,7.36670,5.34352,4.42426,4.48312,4.32406,4.24777,4.42899,5.22710,4.45138,4.69234,4.91683,4.63137,5.27259,6.22080,6.49152,6.86880,6.86880,6.86880,6.86880,6.86880,7.20989,7.75678,8.09987,7.70714,8.16480,8.16480,8.16480,8.92819,9.54688,10.22299,11.04329,11.40480,11.40480,11.40480,11.29117,10.75680,10.75680,10.75680,10.23662,10.10880,10.10880,10.09276,9.46080,9.46080,9.46080,8.99221,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.81280,8.17853
2021,Kurri 132_11kV,10MAY2020,MW,8.16480,8.16480,8.16480,7.88693,7.43829,6.86880,6.86880,6.86211,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,6.22080,5.85154,5.57280,5.79725,6.22080,6.22080,6.22080,6.38050,6.86880,6.86880,7.15004,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.51680,7.48883,6.86880,6.86880,6.86880,6.37810,5.93504,5.50806,4.92480,4.92480,4.92480,4.53126,4.27680,4.27680,4.27680,4.27680,4.27680,4.27680,4.27680,4.27680,4.27680,4.27680,4.27680,4.27680,4.68625,4.92480,5.13447,5.57280,5.93776,6.55807,7.34614,7.82140,8.76434,9.65700,10.49111,11.47533,12.69217,13.34153,13.34880,13.34880,13.34880,13.34880,13.34880,13.34880,13.34880,12.84440,12.70080,12.70080,12.63251,12.05280,12.05280,12.05280,12.05280,11.42638,11.40480,10.80927,10.75680,10.75680,11.51242,11.47888,10.89789,10.36800
