year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Leichhardt 132_11kV,01MAY2020,MW,14.53144,13.69076,13.27986,13.09736,13.15144,12.89712,12.65284,12.51319,12.36659,12.40076,12.61905,12.43418,12.57415,12.27380,12.20004,11.91757,12.10134,12.33914,12.06667,12.20301,12.95828,13.29160,13.52980,13.84405,14.45385,14.90486,15.24184,15.99562,16.72854,17.72730,18.43918,18.98988,19.77920,20.04177,20.37566,20.35879,20.22464,20.00669,19.94814,19.86239,19.64067,19.38068,19.30787,19.08012,19.08340,19.01666,18.49029,18.62171,18.59710,18.82469,19.17001,19.46069,19.50736,19.18520,19.06035,19.02606,18.76095,18.95186,18.68589,19.40688,19.48398,19.50074,19.66031,20.26369,20.97431,21.17641,21.95618,22.47823,22.98653,23.71170,24.75020,25.43445,26.02078,25.96863,26.06910,26.35712,25.97822,25.46552,25.41018,25.64977,24.55519,24.13714,23.63278,22.97684,22.20710,21.82553,21.18712,20.71303,20.19732,19.55627,19.22183,18.23396,17.14211,16.84355,16.22019,15.83704
2021,Leichhardt 132_11kV,02MAY2020,MW,15.41119,15.36386,15.07529,14.48316,14.25553,14.30035,13.77698,13.59266,13.22302,12.72738,12.76747,13.02787,12.98831,12.68941,12.62919,12.86334,12.60469,12.74848,12.96745,12.73785,12.82729,13.34170,13.32064,13.67028,14.18238,14.49773,14.89336,15.28840,15.23657,15.70421,16.25583,16.69991,17.10633,17.42588,17.64298,17.68552,18.08035,18.31513,18.29614,18.31165,18.36204,18.51180,18.53509,18.30016,18.21825,17.96702,17.66662,17.71096,17.29679,17.36435,17.43614,17.59028,17.60439,17.34799,17.25043,17.18443,17.34685,17.19894,16.82883,17.30391,17.88012,17.98789,18.38389,18.68212,18.99440,19.46860,19.99201,21.14301,22.36397,23.30343,24.30504,25.17509,25.83663,25.50293,25.20032,25.00537,24.31166,24.09071,24.50110,23.84141,23.43180,22.95994,22.97688,22.08363,21.85784,20.81613,20.32385,20.16935,19.89775,19.63123,18.69410,18.01431,18.02915,17.67875,16.77669,16.05921
2021,Leichhardt 132_11kV,03MAY2020,MW,15.83852,15.37435,14.95441,14.61881,14.46959,14.22066,13.78496,13.74668,13.46022,13.21821,13.04295,12.63247,12.77782,12.63105,12.85475,12.94764,12.82696,13.05333,12.93065,12.86355,13.22736,13.33630,13.41701,13.18168,13.50926,13.60359,14.17680,14.38328,14.79140,15.24432,15.74551,15.81958,16.16260,16.48839,17.64810,17.97176,17.91178,18.31407,18.47213,18.34398,18.42463,18.48226,18.18919,17.93171,17.58513,17.39167,17.18074,17.88893,17.56364,17.40577,17.43059,17.49220,17.71138,17.39790,17.06783,17.00214,16.88947,16.75503,16.76702,16.76113,16.86495,17.36737,17.67798,18.41332,19.09171,19.13003,20.46056,21.54830,22.41369,23.48675,25.08725,25.99649,26.67703,26.47723,26.12012,25.53364,25.16947,24.81301,24.56591,24.25813,23.55642,23.27893,22.77037,21.98690,22.12113,22.24257,21.80215,21.04133,20.24583,19.63071,18.64341,17.80108,17.18448,16.89127,16.24236,15.76390
2021,Leichhardt 132_11kV,04MAY2020,MW,15.44737,15.07101,14.62377,14.19837,13.71952,13.23256,12.56837,12.45547,12.32769,12.23297,12.47476,12.50738,13.08347,12.89155,12.82034,13.13586,13.15767,13.53252,13.48540,13.74868,14.44536,14.77026,15.09482,15.25399,16.08140,16.47789,17.05945,18.43945,18.99187,20.38633,21.46131,22.03354,22.37357,22.81291,22.89589,22.84015,22.91745,22.18516,21.52391,21.57194,21.20762,20.69745,20.42154,19.81947,20.05347,20.50074,20.94855,20.34400,20.76394,21.35061,20.82623,20.71929,20.61628,20.80431,20.75881,20.19026,20.25065,20.72242,20.65036,20.93901,20.15968,20.48300,20.59130,20.97523,21.39274,21.95882,22.52886,23.39243,24.45992,25.49620,26.85128,27.90355,29.05068,28.72036,28.65546,28.65008,27.75920,27.33982,26.63533,26.13459,25.75703,25.11847,24.63468,23.75079,22.71360,21.95370,21.54946,21.09024,20.38634,19.49040,18.87492,17.90449,17.54328,16.87335,16.15056,15.94988
2021,Leichhardt 132_11kV,05MAY2020,MW,16.07509,15.56186,14.94811,14.37975,14.16152,14.46552,14.13291,14.11141,13.98690,13.83915,13.69428,13.64460,13.52928,13.45960,13.42291,13.41036,13.53396,13.59439,13.33665,13.73722,13.95476,14.35748,14.60195,15.01311,15.48519,16.04080,16.66516,17.60379,18.69182,19.57232,20.34577,21.41289,22.01462,22.52074,23.00251,23.23379,22.94874,21.92237,21.92213,22.27643,22.45797,22.27705,21.91394,21.65604,20.75942,20.81640,20.52517,20.48411,20.40462,20.42324,20.11040,20.70311,20.31442,20.30787,19.73077,19.72459,18.86027,18.42465,19.11069,19.15415,18.87268,19.03069,19.16800,19.47621,19.41638,19.72541,20.67566,21.98472,22.97666,24.28138,25.62815,26.34239,26.94571,27.39074,27.03504,26.81095,26.35058,26.05950,26.27923,25.82637,25.48768,24.57885,24.02379,23.58960,22.29235,22.23422,21.64739,20.50842,20.07124,19.42382,18.82057,17.82686,17.34881,16.92780,16.42376,16.11706
2021,Leichhardt 132_11kV,06MAY2020,MW,15.95589,15.46999,14.87788,14.34789,14.39564,14.38960,14.01923,13.68511,13.44156,12.95396,12.92448,13.38310,13.44705,13.64303,13.50834,13.24257,13.27528,13.66691,14.04104,14.26124,14.46463,14.97121,15.40158,15.59258,16.16013,16.48180,17.48418,18.43833,19.24892,20.18124,20.96494,21.57967,21.91870,22.35249,22.64487,22.68260,22.25553,22.04738,21.64301,21.59116,21.00365,20.67057,20.44601,20.29855,19.99148,19.88973,19.78729,19.19129,19.18017,19.28442,19.16847,19.20258,18.86447,18.72233,18.75641,18.49891,18.56848,18.64097,18.55327,18.78238,18.59964,19.53822,19.62873,19.75267,19.72561,19.74698,20.05269,20.69937,21.61276,22.99988,24.39622,24.97981,25.37420,26.01755,25.89640,25.96194,25.59333,25.22245,24.84314,24.24181,23.71074,22.71804,22.37709,22.20333,21.79000,21.30819,20.83967,19.98247,19.44896,18.84676,18.45959,17.55846,16.95667,16.32644,15.76187,15.29906
2021,Leichhardt 132_11kV,07MAY2020,MW,15.21845,15.25995,14.90742,14.24371,14.12280,14.10014,13.60624,13.49078,13.49149,13.31127,12.93184,13.06069,13.22707,13.13969,12.72124,12.85965,12.94172,13.06883,12.95897,12.81194,13.25643,13.87335,14.73825,14.58284,15.41961,16.16614,16.08123,17.16838,17.80468,18.68089,19.53074,20.12632,21.01745,21.34015,21.68295,21.81940,21.42979,21.42081,21.34445,21.60091,21.53471,21.31752,20.92577,20.96589,20.86062,20.20329,20.07765,19.75029,19.79496,20.09147,20.39494,19.69165,19.33011,19.31578,19.34104,19.04098,18.72770,18.18517,18.56331,18.30126,18.41592,18.77931,18.61395,18.90219,18.84638,19.09984,19.98399,20.83214,21.54723,22.31806,23.30481,24.44226,24.91368,25.24977,25.27560,25.16345,24.88558,24.92112,24.42664,24.04691,23.59633,22.78157,22.58779,22.20368,21.61996,20.89110,20.53486,20.03532,19.16711,18.74246,18.29776,17.60911,17.01547,16.20612,15.70906,15.55733
2021,Leichhardt 132_11kV,08MAY2020,MW,15.37352,15.04735,14.52544,14.25975,13.59986,13.71295,13.50650,13.39926,13.56107,13.19737,13.46080,13.15320,13.25879,13.06360,12.92526,13.09435,13.34573,13.17777,12.94926,13.16894,13.52239,13.87590,14.40194,14.59268,15.03397,16.18950,16.19282,16.47412,17.06815,17.70677,18.20503,18.29605,18.88685,19.49561,19.71930,19.26363,18.81168,18.67551,18.44612,18.13300,18.06142,18.14432,18.26463,18.33482,18.23911,18.54094,18.48196,17.83136,18.01057,18.31950,18.50284,18.37026,18.08573,17.80077,17.58223,17.97260,17.76633,17.72502,17.51784,17.59336,17.83841,17.58238,17.84716,17.76241,17.82594,18.56146,18.83565,19.19110,19.56774,20.25629,21.45604,21.88739,21.90481,22.11382,22.06162,22.07010,21.92559,21.47228,21.05339,20.86213,20.53987,19.66238,19.15773,19.05829,18.71698,18.54967,18.42604,17.90332,17.58124,17.12761,17.06549,16.46767,16.16387,15.76934,15.28790,15.18141
2021,Leichhardt 132_11kV,09MAY2020,MW,14.82614,14.44070,13.81407,13.64041,13.74494,13.60324,13.36493,13.24434,13.30170,13.13859,12.64922,12.65968,12.89256,12.63298,12.44240,12.46694,12.31666,12.22244,12.25668,12.04204,12.18772,12.22812,12.04211,12.21124,13.00656,13.31284,12.99258,13.03558,13.35731,14.06352,14.87210,15.24392,15.40486,16.37342,16.51314,17.25173,16.81288,17.11893,16.61854,18.14544,18.69480,18.17016,18.09049,18.11860,18.10406,17.82091,17.09754,16.60331,16.63910,16.29628,16.59413,16.64280,17.43552,17.73462,17.50735,15.99799,16.25668,16.46210,16.83115,17.23911,17.69889,17.96583,17.92325,17.74436,18.10755,18.65877,19.26495,19.63012,20.85058,21.89403,21.90927,22.42610,22.32316,22.18022,21.65730,21.44349,21.27858,20.82054,20.16136,19.52102,19.24705,19.12399,18.75587,18.86138,18.81714,18.59728,18.33228,17.70747,17.38641,16.97891,16.77609,16.08236,15.65547,15.55222,15.62984,15.08380
2021,Leichhardt 132_11kV,10MAY2020,MW,14.74618,14.75325,14.33240,13.88858,13.29878,12.98307,12.76312,12.58275,12.75868,12.72041,12.56283,12.19810,11.96006,12.03770,12.15622,11.98606,11.91092,11.78891,11.66070,12.06064,11.92798,12.06515,12.40554,12.51072,13.09404,13.51459,13.75337,13.95599,13.71447,14.04957,14.80101,15.23495,15.81744,16.52281,16.50261,17.34960,17.62540,17.78522,18.04214,18.64980,18.38625,17.94946,17.89764,18.16364,17.81502,17.36472,17.20786,17.00978,17.29120,17.10431,17.02802,16.75485,16.25154,16.00709,16.43180,16.25159,15.82957,16.18948,16.18386,16.34145,16.57042,16.91359,17.49878,17.88613,18.31268,18.39355,19.60716,20.21804,21.28187,22.03601,23.14107,24.00542,24.30481,24.55960,24.51378,24.54086,24.19066,24.21062,23.85230,23.54297,23.47989,23.14721,22.72317,22.42285,22.21200,21.75919,21.52380,20.88182,20.09285,19.22610,18.03336,18.03312,17.58752,16.80351,16.34140,15.37886
