year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Leightonfield 33_11kV,01MAY2020,MW,13.75276,13.36666,13.03571,12.70476,12.53928,12.37381,12.28188,12.09802,11.73030,11.50967,11.14194,10.93970,10.82938,10.99486,11.17872,11.27065,11.60160,11.69353,11.78546,11.93254,12.11640,12.18995,12.18995,12.22672,12.72314,12.85185,13.31150,13.71599,13.99178,14.70884,14.78238,14.78238,14.87431,14.94786,14.76400,14.94786,14.78238,14.83754,14.96624,14.78238,14.69045,14.59852,14.32273,14.65368,14.52498,14.26757,13.82631,14.12048,14.06533,13.99178,14.46982,14.56175,14.48820,14.59852,14.80077,14.30434,13.88147,14.23080,13.82631,14.08371,13.82631,14.13887,14.19403,14.56175,14.72722,14.89270,14.94786,15.37073,15.24203,15.13172,15.26042,15.09494,15.11333,15.07656,15.33396,15.33396,15.11333,14.92947,14.74561,14.74561,14.92947,14.96624,14.69045,14.50659,14.34112,14.48820,14.37789,14.32273,14.26757,13.97340,13.73438,13.32988,13.38504,13.03571,12.64960,12.59444
2021,Leightonfield 33_11kV,02MAY2020,MW,13.01732,12.74153,12.42897,12.22672,11.91416,11.76707,11.56482,11.45451,11.21549,11.05001,10.86615,10.70068,10.49843,10.36973,10.35134,10.44327,10.59036,10.60875,10.75584,10.82938,10.79261,10.73745,10.62713,10.51682,10.16748,9.78138,9.19302,9.28495,9.37688,9.26657,9.30334,9.21141,9.30334,9.19302,9.50559,9.76299,9.50559,9.68945,9.21141,9.19302,9.11948,8.99078,8.97239,9.02755,9.15625,9.22980,9.24818,9.08271,9.10109,8.95400,8.84369,8.91723,8.93562,8.89885,8.93562,9.13787,9.00916,9.13787,9.06432,9.32173,9.32173,9.43204,9.45043,9.63429,9.91008,10.22264,10.40650,10.82938,11.06840,11.03163,11.21549,11.45451,11.60160,11.54644,11.39935,11.58321,11.52805,11.50967,11.38096,11.30742,11.30742,11.45451,11.21549,11.21549,11.19710,11.05001,10.97647,10.86615,10.93970,10.70068,10.71907,10.71907,10.66391,10.68229,10.70068,10.59036
2021,Leightonfield 33_11kV,03MAY2020,MW,10.68229,10.68229,10.33296,10.18587,10.07555,9.81815,9.48720,9.26657,9.19302,8.97239,8.95400,8.58628,8.42081,8.27372,8.20018,8.08986,8.27372,8.40242,8.23695,8.32888,8.31049,8.21856,8.10825,8.01632,8.03470,7.90600,7.96116,8.08986,8.20018,8.16340,8.12663,8.14502,8.07147,7.99793,7.96116,7.94277,7.86923,7.79568,8.05309,7.92439,7.86923,7.90600,7.94277,7.88761,7.90600,7.72214,7.70375,7.70375,7.48312,7.59344,7.88761,7.83246,7.59344,7.75891,7.77730,7.79568,7.79568,7.97954,8.08986,7.94277,8.05309,8.10825,8.36565,8.49435,8.80692,8.91723,9.30334,9.59752,9.74460,9.65267,9.89169,10.24103,10.35134,10.46166,10.44327,10.38812,10.42489,10.46166,10.38812,10.42489,10.44327,10.42489,10.33296,10.16748,10.20426,10.24103,10.71907,10.97647,10.90293,10.81100,10.88454,10.59036,10.71907,10.40650,10.55359,10.60875
2021,Leightonfield 33_11kV,04MAY2020,MW,10.84777,10.53520,10.36973,10.29619,10.03878,9.74460,9.56074,9.37688,9.17464,8.99078,8.89885,8.69660,8.60467,8.47597,8.58628,8.73337,8.99078,9.28495,10.03878,10.03878,10.07555,10.16748,10.36973,10.48005,11.14194,11.52805,12.15318,12.64960,13.69760,14.37789,14.81915,14.69045,15.13172,15.07656,15.16849,14.78238,14.59852,14.67207,14.58013,14.43305,14.34112,14.23080,14.63529,14.76400,14.65368,14.70884,14.58013,14.10210,13.99178,13.84469,14.15726,13.80792,13.67922,14.06533,14.24919,14.13887,14.21241,14.04694,14.23080,14.35950,14.21241,14.50659,14.72722,14.59852,14.67207,15.15010,15.37073,15.88554,16.12456,15.79361,15.94070,15.97747,15.77523,15.66491,15.59137,15.51782,15.31558,15.38912,15.24203,15.11333,14.91108,14.96624,15.03979,14.87431,14.46982,14.37789,14.67207,14.54336,14.32273,14.24919,14.17564,13.93662,13.93662,14.34112,14.35950,14.17564
2021,Leightonfield 33_11kV,05MAY2020,MW,13.84469,13.49536,13.29311,13.21957,12.57606,12.44735,12.52090,12.41058,12.15318,11.73030,11.63837,11.54644,11.19710,11.38096,11.52805,11.52805,11.78546,12.09802,12.06125,12.42897,12.57606,12.53928,12.31865,12.41058,13.01732,13.40343,13.53213,13.99178,14.83754,15.24203,15.35235,15.26042,14.96624,14.94786,15.09494,14.41466,14.28596,14.43305,14.17564,14.41466,14.63529,14.85593,15.03979,15.18687,14.61691,14.87431,14.96624,14.76400,14.56175,14.70884,14.65368,15.02140,14.43305,14.83754,15.07656,15.11333,14.56175,14.91108,14.89270,14.61691,15.00301,14.91108,14.91108,15.03979,14.85593,15.29719,15.75684,15.92232,16.06940,15.79361,15.95909,15.97747,15.64653,15.38912,15.02140,15.09494,14.87431,14.58013,14.61691,14.70884,14.65368,14.50659,14.48820,14.61691,14.52498,14.48820,14.61691,14.26757,13.99178,13.75276,13.73438,13.75276,13.64245,13.73438,13.93662,13.67922
2021,Leightonfield 33_11kV,06MAY2020,MW,13.75276,13.47697,13.40343,13.16441,12.72314,12.42897,12.50251,12.28188,12.11640,11.87739,11.67514,11.43612,11.14194,11.17872,11.27065,11.56482,11.69353,11.80384,12.22672,12.61283,12.17156,12.26349,12.44735,12.64960,12.99893,13.14602,13.34827,13.73438,14.26757,14.61691,14.67207,14.72722,14.92947,14.85593,14.70884,14.65368,14.54336,14.46982,14.52498,14.39627,14.58013,14.52498,14.15726,14.28596,14.15726,13.91824,14.02855,13.86308,13.67922,13.80792,13.91824,14.01017,14.13887,13.93662,13.97340,13.91824,13.99178,14.17564,14.01017,13.99178,14.06533,14.08371,14.35950,14.52498,14.50659,14.56175,14.98463,15.26042,15.27880,15.18687,14.96624,15.05817,14.96624,14.45143,14.59852,14.63529,14.39627,14.39627,14.54336,14.58013,14.45143,14.43305,14.08371,14.04694,13.89985,13.93662,13.78953,13.71599,13.99178,13.95501,13.84469,13.80792,13.77115,13.77115,13.73438,13.44020
2021,Leightonfield 33_11kV,07MAY2020,MW,13.64245,13.67922,13.36666,13.32988,12.79669,12.81507,12.28188,11.87739,11.82223,11.74868,11.39935,11.10517,10.97647,11.19710,11.54644,11.61998,11.65675,11.85900,11.78546,11.87739,12.26349,12.17156,12.20833,12.26349,12.50251,13.03571,13.29311,13.56890,14.04694,13.82631,14.01017,13.95501,14.41466,15.00301,14.76400,14.70884,14.43305,14.34112,14.39627,14.54336,14.67207,14.48820,14.28596,14.02855,13.75276,13.58729,14.02855,13.84469,14.02855,13.86308,13.86308,13.84469,13.99178,14.01017,13.80792,13.80792,13.73438,13.67922,13.88147,14.01017,14.12048,14.50659,14.87431,14.76400,14.70884,15.24203,15.40751,15.59137,15.29719,15.13172,15.18687,15.15010,15.00301,14.58013,14.87431,14.87431,14.41466,14.28596,14.26757,14.23080,14.30434,14.04694,13.80792,13.73438,13.64245,13.66083,13.45859,13.23795,13.55052,13.80792,13.89985,13.71599,13.64245,13.73438,13.78953,13.64245
2021,Leightonfield 33_11kV,08MAY2020,MW,13.40343,13.29311,12.94378,12.96216,12.88862,12.81507,12.74153,12.17156,12.09802,11.98770,11.61998,11.65675,11.36258,11.52805,11.69353,11.67514,11.45451,11.49128,11.60160,12.02447,12.11640,12.04286,12.20833,12.04286,12.75992,13.03571,13.05409,13.53213,13.55052,13.32988,13.53213,13.80792,14.15726,14.32273,14.15726,14.13887,13.86308,13.99178,13.78953,13.88147,13.75276,13.82631,13.95501,13.62406,13.34827,13.31150,13.49536,13.51374,13.51374,13.62406,13.51374,13.56890,13.69760,13.67922,13.86308,13.84469,13.84469,14.02855,14.43305,14.59852,14.58013,14.39627,14.41466,14.54336,14.54336,14.59852,14.96624,15.15010,15.16849,14.91108,15.11333,14.91108,14.83754,14.63529,14.70884,14.34112,13.95501,13.71599,13.55052,13.62406,13.38504,13.44020,13.21957,12.75992,12.77830,13.03571,13.27473,13.23795,13.10925,12.81507,12.87023,12.75992,12.46574,12.79669,12.28188,12.28188
2021,Leightonfield 33_11kV,09MAY2020,MW,12.33704,12.26349,11.89577,11.73030,11.74868,11.06840,11.08679,10.82938,10.57198,10.42489,9.96524,10.07555,9.92847,9.91008,9.65267,9.79976,9.79976,9.83653,9.83653,10.11233,10.13071,9.63429,9.65267,9.15625,9.24818,9.37688,8.86207,8.38404,8.43920,8.77014,8.80692,8.73337,8.65983,8.54951,8.89885,8.43920,8.80692,9.21141,9.11948,9.37688,9.22980,8.56790,8.73337,8.78853,8.80692,8.25533,8.43920,8.56790,8.43920,8.38404,8.23695,8.14502,8.93562,8.91723,8.49435,8.43920,8.69660,8.86207,8.91723,8.62306,8.64144,8.56790,8.53113,8.91723,9.13787,9.45043,9.57913,9.85492,9.79976,9.50559,9.87331,9.98362,9.94685,9.79976,9.70783,9.63429,9.54236,9.39527,9.32173,9.22980,9.19302,9.19302,9.37688,9.28495,9.26657,9.26657,9.26657,9.37688,9.43204,9.46881,9.41366,9.26657,9.37688,9.41366,9.54236,9.54236
2021,Leightonfield 33_11kV,10MAY2020,MW,9.63429,9.57913,9.43204,9.30334,9.21141,8.93562,8.75176,8.54951,8.45758,8.34727,8.23695,8.01632,7.85084,7.83246,7.70375,7.66698,7.74053,7.79568,7.86923,7.90600,8.10825,7.92439,7.86923,7.83246,7.85084,7.77730,7.74053,7.66698,7.55667,7.50151,7.66698,7.64860,7.57505,7.57505,7.75891,7.72214,7.85084,7.94277,7.83246,7.70375,7.61182,7.66698,7.42796,7.44635,7.40958,7.39119,7.24410,7.35442,7.48312,7.61182,7.31765,7.28087,7.44635,7.44635,7.46473,7.51989,7.44635,7.61182,7.75891,7.77730,7.86923,7.99793,8.12663,8.56790,8.67821,8.91723,9.24818,9.48720,9.78138,9.59752,9.94685,10.25941,10.42489,10.35134,10.20426,10.40650,10.36973,10.29619,10.44327,10.44327,10.53520,10.55359,10.71907,10.59036,10.57198,10.53520,10.62713,10.90293,11.06840,10.68229,10.73745,10.73745,10.81100,10.82938,10.79261,10.68229
