year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Lidcombe 33_11kV,01MAY2020,MW,6.61387,6.55995,6.48806,6.07470,6.12861,5.91294,5.80511,5.67930,5.57147,5.51755,5.42769,5.33782,5.46363,5.51755,5.53552,5.53552,5.64336,5.89497,6.18253,6.29037,6.39820,6.45212,6.54198,6.55995,6.75765,6.68576,6.59590,6.81157,6.84751,6.81157,6.86549,7.02724,7.17102,7.15304,7.24291,7.26088,7.24291,7.45858,7.42263,7.51249,7.44060,7.49452,7.58438,7.67425,7.67425,7.65627,7.72816,7.63830,7.56641,7.63830,7.85397,7.65627,7.74614,7.67425,7.58438,7.47655,7.56641,7.63830,7.87194,7.92586,7.99775,8.12356,8.19545,8.51895,8.77057,8.73462,8.87840,9.14799,9.36366,9.57933,9.47149,9.65122,9.83094,9.77703,9.68716,9.61527,9.47149,9.34569,9.09407,8.93232,8.77057,8.77057,8.57287,8.57287,8.39315,8.28531,8.17748,7.97978,7.97978,7.74614,7.72816,7.60236,7.51249,7.31480,7.33277,7.11710
2021,Lidcombe 33_11kV,02MAY2020,MW,6.99129,6.93737,6.68576,6.59590,6.52401,6.30834,6.16456,6.00281,5.96686,5.76916,5.73322,5.66133,5.57147,5.69727,5.60741,5.76916,6.07470,6.27239,6.34428,6.36226,6.36226,6.34428,6.27239,6.20050,6.45212,6.38023,6.20050,6.16456,6.07470,5.96686,5.98483,6.18253,6.20050,6.23645,6.20050,6.48806,6.63184,6.52401,6.43415,6.52401,6.43415,6.45212,6.52401,6.48806,6.68576,6.68576,6.72171,6.72171,6.73968,7.02724,6.95535,6.95535,6.90143,6.81157,6.91940,7.02724,6.93737,6.97332,6.95535,6.88346,6.93737,7.09913,7.26088,7.47655,7.88992,8.15950,8.44706,8.71665,9.13002,9.09407,9.07610,9.52541,9.56136,9.47149,9.32771,9.13002,9.00421,8.98624,8.95029,8.69868,8.51895,8.42909,8.41112,8.41112,8.48301,8.35720,8.24937,8.12356,8.15950,7.94383,7.85397,7.81803,7.67425,7.51249,7.44060,7.45858
2021,Lidcombe 33_11kV,03MAY2020,MW,7.24291,7.11710,7.00926,6.82954,6.72171,6.47009,6.39820,6.23645,6.14659,5.96686,6.00281,5.85903,5.91294,5.85903,5.78714,6.03875,6.09267,6.23645,6.21848,6.27239,6.30834,6.30834,6.14659,6.03875,6.03875,6.14659,6.16456,6.09267,5.98483,5.98483,5.96686,6.00281,6.03875,6.14659,6.11064,6.18253,6.21848,6.41617,6.47009,6.34428,6.34428,6.34428,6.45212,6.57793,6.77562,6.63184,6.59590,6.77562,6.88346,6.95535,7.15304,6.75765,6.86549,6.73968,6.90143,6.81157,6.88346,6.86549,6.95535,7.06318,7.26088,7.27885,7.26088,7.18899,7.49452,7.71019,8.23139,8.39315,8.69868,8.69868,8.68070,9.00421,9.14799,8.96826,8.89637,8.89637,8.78854,8.78854,8.82448,8.62679,8.57287,8.41112,8.26734,8.24937,8.19545,8.08761,8.10559,7.85397,7.88992,7.71019,7.67425,7.58438,7.36871,7.35074,7.31480,7.20696
2021,Lidcombe 33_11kV,04MAY2020,MW,6.88346,6.82954,6.73968,6.48806,6.45212,6.30834,6.14659,6.02078,5.89497,5.89497,5.85903,5.69727,5.78714,5.73322,5.85903,5.93092,6.05672,6.27239,6.55995,6.52401,6.77562,6.82954,6.77562,6.84751,6.93737,7.09913,7.04521,7.18899,7.17102,7.18899,7.29682,7.36871,7.69222,7.65627,7.53047,7.67425,7.78208,7.97978,7.96181,7.71019,7.78208,7.85397,7.90789,8.28531,8.05167,8.06964,7.96181,7.97978,8.03370,8.05167,8.06964,8.01572,7.94383,7.99775,8.10559,8.08761,7.92586,8.05167,8.21342,8.28531,8.19545,8.30328,8.15950,8.28531,8.59084,8.98624,9.18393,9.54338,9.68716,9.54338,9.63325,9.63325,9.74108,9.75905,9.59730,9.56136,9.50744,9.36366,9.23785,9.09407,8.89637,9.04015,9.05813,8.69868,8.46504,8.35720,8.28531,8.19545,8.17748,7.94383,7.81803,7.76411,7.71019,7.47655,7.29682,7.11710
2021,Lidcombe 33_11kV,05MAY2020,MW,6.86549,6.88346,6.70373,6.68576,6.54198,6.54198,6.36226,6.18253,5.96686,5.96686,5.75119,5.73322,5.69727,5.69727,5.73322,5.84105,5.98483,6.23645,6.36226,6.32631,6.50604,6.66779,6.61387,6.63184,6.82954,6.88346,6.91940,7.09913,7.15304,7.27885,7.13507,7.27885,7.67425,7.85397,7.90789,7.63830,7.58438,7.67425,7.72816,7.90789,8.05167,8.33923,8.57287,8.50098,8.55490,8.48301,8.41112,8.24937,8.03370,7.97978,7.88992,8.01572,7.97978,7.96181,8.08761,8.12356,8.06964,8.08761,8.15950,8.03370,7.97978,8.08761,8.23139,8.35720,8.44706,8.60882,8.89637,9.20191,9.39960,9.18393,9.18393,9.38163,9.23785,9.27380,9.18393,9.29177,9.13002,9.05813,8.75259,8.73462,8.66273,8.50098,8.37517,8.30328,8.30328,8.12356,8.05167,8.05167,7.83600,7.74614,7.54844,7.45858,7.35074,7.13507,7.08115,6.99129
2021,Lidcombe 33_11kV,06MAY2020,MW,6.79360,6.73968,6.54198,6.38023,6.20050,6.18253,6.07470,5.96686,5.82308,5.80511,5.64336,5.64336,5.49958,5.57147,5.53552,5.71525,5.84105,6.00281,6.21848,6.25442,6.45212,6.57793,6.66779,6.64982,6.79360,6.84751,6.91940,7.11710,7.31480,7.26088,7.13507,7.33277,7.38669,7.47655,7.60236,7.63830,7.72816,7.81803,7.85397,7.63830,7.78208,8.10559,7.87194,7.87194,8.01572,7.87194,7.96181,8.08761,8.01572,7.90789,8.05167,7.87194,7.96181,7.87194,7.87194,7.83600,7.81803,8.06964,7.96181,8.06964,8.08761,8.15950,8.41112,8.50098,8.64476,8.84246,9.18393,9.36366,9.63325,9.47149,9.50744,9.54338,9.43555,9.25582,9.27380,9.32771,9.32771,9.25582,9.21988,9.02218,8.96826,8.69868,8.59084,8.46504,8.46504,8.35720,8.39315,8.03370,8.05167,7.81803,7.65627,7.67425,7.51249,7.26088,7.29682,7.17102
2021,Lidcombe 33_11kV,07MAY2020,MW,6.91940,6.70373,6.48806,6.47009,6.27239,6.07470,5.87700,5.80511,5.66133,5.66133,5.58944,5.51755,5.51755,5.53552,5.71525,5.71525,5.93092,6.09267,6.14659,6.21848,6.34428,6.52401,6.55995,6.55995,6.86549,6.91940,6.88346,6.95535,6.97332,7.09913,7.09913,7.36871,7.60236,7.90789,7.99775,7.92586,8.08761,8.15950,8.17748,8.14153,7.96181,8.26734,8.08761,8.14153,8.30328,8.23139,8.39315,8.30328,8.32126,8.42909,8.30328,8.23139,8.19545,8.05167,8.06964,8.10559,8.33923,8.46504,8.32126,8.35720,8.28531,8.39315,8.39315,8.57287,8.62679,8.95029,9.00421,9.34569,9.36366,9.09407,9.23785,9.38163,9.34569,9.18393,9.09407,9.00421,8.91435,8.91435,8.68070,8.62679,8.59084,8.41112,8.30328,8.08761,8.05167,7.94383,7.69222,7.53047,7.54844,7.53047,7.44060,7.31480,6.97332,6.73968,6.82954,6.72171
2021,Lidcombe 33_11kV,08MAY2020,MW,6.39820,6.34428,6.23645,6.02078,6.05672,5.91294,5.75119,5.64336,5.58944,5.48160,5.42769,5.48160,5.48160,5.48160,5.48160,5.48160,5.73322,5.96686,6.03875,5.98483,6.14659,6.18253,6.11064,6.14659,6.57793,6.57793,6.47009,6.57793,6.63184,6.73968,6.59590,6.86549,6.88346,6.93737,7.22493,7.31480,7.49452,7.49452,7.44060,7.54844,7.56641,7.45858,7.54844,7.65627,7.92586,7.88992,7.97978,7.90789,8.01572,7.92586,7.90789,7.94383,8.03370,8.14153,8.28531,8.15950,8.14153,8.19545,8.24937,8.41112,8.28531,8.32126,8.44706,8.44706,8.77057,9.00421,9.11204,9.25582,9.00421,8.91435,9.04015,9.11204,8.96826,8.75259,8.64476,8.68070,8.44706,8.42909,8.21342,8.15950,7.87194,7.83600,7.67425,7.67425,7.49452,7.31480,7.29682,7.26088,7.09913,6.97332,6.88346,6.84751,6.64982,6.63184,6.59590,6.38023
2021,Lidcombe 33_11kV,09MAY2020,MW,6.27239,6.00281,5.96686,5.80511,5.80511,5.80511,5.62538,5.58944,5.40971,5.40971,5.22999,5.19404,5.21202,5.19404,5.31985,5.35580,5.35580,5.62538,5.80511,5.69727,5.71525,5.82308,5.76916,5.75119,5.82308,5.85903,5.80511,5.80511,5.84105,5.71525,5.89497,5.93092,5.94889,5.94889,6.05672,6.00281,6.48806,6.48806,6.61387,6.97332,6.84751,6.79360,6.50604,6.91940,6.95535,6.99129,6.77562,6.84751,6.91940,6.99129,7.00926,6.99129,7.53047,7.56641,7.40466,7.26088,7.22493,7.42263,7.58438,7.38669,7.49452,7.40466,7.63830,7.65627,7.94383,8.01572,8.08761,8.30328,8.50098,8.28531,8.42909,8.44706,8.39315,8.35720,8.12356,8.14153,7.92586,7.87194,7.76411,7.62033,7.56641,7.45858,7.42263,7.26088,7.20696,7.17102,7.04521,6.81157,6.82954,6.90143,6.81157,6.81157,6.77562,6.68576,6.66779,6.55995
2021,Lidcombe 33_11kV,10MAY2020,MW,6.34428,6.18253,6.05672,6.05672,5.98483,5.84105,5.73322,5.55349,5.51755,5.46363,5.28391,5.31985,5.28391,5.28391,5.28391,5.33782,5.48160,5.69727,5.73322,5.78714,5.71525,5.84105,5.76916,5.60741,5.78714,5.91294,5.82308,5.64336,5.69727,5.75119,5.87700,5.84105,6.09267,6.23645,6.36226,6.25442,6.25442,6.50604,6.45212,6.45212,6.45212,6.52401,6.64982,6.61387,6.68576,6.84751,6.70373,6.88346,6.73968,6.91940,6.91940,6.86549,6.81157,6.72171,6.75765,6.82954,6.93737,6.93737,6.90143,6.95535,7.06318,7.36871,7.42263,7.51249,7.62033,7.69222,7.87194,8.06964,8.24937,8.21342,8.37517,8.64476,8.66273,8.66273,8.66273,8.69868,8.66273,8.64476,8.62679,8.33923,8.37517,8.33923,8.33923,8.33923,8.24937,8.15950,8.12356,7.99775,7.97978,7.92586,7.88992,7.72816,7.69222,7.38669,7.33277,7.20696
