year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Lindfield 33_11kV,01MAY2020,MW,10.93367,10.63368,10.29273,10.12847,9.99787,9.56958,9.19082,8.84666,8.64744,8.32095,8.11241,7.88299,7.75147,7.62646,7.51454,7.37274,7.37274,7.19103,7.25785,7.44678,7.64988,7.74589,7.82525,7.95409,8.44356,8.94749,9.52682,10.21582,10.54843,11.12555,11.80135,12.40300,12.57383,12.63751,12.90729,12.90097,12.87960,12.57910,12.42310,12.33749,12.07809,11.88841,11.74630,11.46781,11.23822,11.38483,11.33388,11.40318,11.22023,11.27686,11.66328,11.85896,11.44909,11.11554,10.81213,10.73922,10.84191,10.97376,11.15141,11.48678,11.59525,11.71010,11.74997,11.94537,12.36833,12.71186,13.19052,13.71126,14.37518,15.43497,16.59962,17.34183,17.75196,18.04916,17.94332,17.55687,17.35906,16.96295,16.79905,16.56619,16.11450,15.88046,15.67818,15.30639,15.04738,14.73797,14.53414,14.13848,14.27582,14.06774,13.84758,13.32289,12.96069,12.78886,12.89160,12.38099
2021,Lindfield 33_11kV,02MAY2020,MW,11.86956,11.57629,11.16440,10.83506,10.70109,10.27077,9.98232,9.53878,9.27211,8.92371,8.57319,8.40290,8.22283,8.01787,7.83732,7.72588,7.66563,7.66563,7.66563,7.77578,7.87772,7.93012,7.90164,7.98055,8.26294,8.53360,8.97898,9.37185,9.68855,9.99893,10.56166,10.94489,11.33512,11.37219,11.25442,11.45092,11.82085,11.78973,11.75093,11.67155,11.74532,11.56800,11.31960,11.27584,10.94172,10.82800,10.75004,10.76621,10.81401,10.51646,10.53577,10.54318,10.52404,10.36514,10.27266,10.19982,10.31400,10.31043,10.44267,10.45377,10.76865,11.11463,11.25214,11.64103,12.13754,12.45618,13.05333,13.68205,14.40171,15.58572,16.60816,17.29138,17.44713,17.51005,17.42024,17.26979,16.93656,16.50168,16.30498,16.01692,15.68000,15.43889,15.23247,15.02876,14.76747,14.32037,13.94171,13.77365,14.06391,14.08572,13.81535,13.37362,12.97546,12.68957,12.95939,12.49863
2021,Lindfield 33_11kV,03MAY2020,MW,12.20632,11.89512,11.32782,10.98049,10.93814,10.56518,10.25034,9.83396,9.49155,9.10932,8.70016,8.48095,8.40443,8.22777,8.08476,8.03924,7.91307,7.82656,7.76134,7.97051,8.06961,8.06961,8.02192,8.05446,8.26722,8.66065,9.17212,9.59129,9.73282,10.12317,10.48342,10.70552,11.23371,11.46243,11.70513,11.88177,12.11436,12.06827,11.99977,11.91579,11.48642,11.39281,11.27264,11.09471,10.74846,10.64623,10.66103,10.53222,10.47284,10.40762,10.31536,10.39160,10.11263,9.98091,9.98546,10.12972,10.07277,9.94967,10.08164,10.21571,10.22683,10.39829,10.66884,11.03447,11.42651,11.84693,12.43572,13.16054,13.99435,15.08233,16.49215,17.45056,17.66498,17.80820,17.88153,17.70380,17.48285,17.00297,16.54950,16.32293,16.13767,15.84940,15.69989,15.37460,15.10731,14.78854,14.34048,13.93118,13.87103,13.66236,13.44710,12.99849,12.58077,12.32360,12.38368,11.88081
2021,Lindfield 33_11kV,04MAY2020,MW,11.54388,11.45496,11.02498,10.72686,10.72918,10.29650,9.93039,9.65051,9.37329,9.01246,8.87872,8.56455,8.22996,8.18576,8.09374,7.96308,7.80197,7.80197,7.94681,7.99891,8.07816,8.25181,8.38013,8.87012,9.49481,10.08252,10.77375,11.45062,11.90456,12.59556,13.45139,14.07933,14.62770,14.98720,15.00941,14.94035,14.71332,14.31511,13.99841,13.55824,13.17836,12.66163,12.65945,12.41327,12.11734,11.82475,11.78484,11.61130,11.65675,11.64995,12.33122,12.18110,11.84697,11.55674,11.30195,11.17005,10.90224,11.07410,11.02350,11.46863,11.68254,11.65304,11.83445,12.20585,12.57566,13.08005,13.50850,14.47297,15.28232,16.28529,17.73900,18.57275,18.94499,18.98871,18.83348,18.82821,18.43261,17.81403,17.65271,17.47558,17.01679,16.62961,16.33198,15.87236,15.45051,15.05850,14.51287,13.99458,13.99800,13.94591,13.59719,12.87429,12.46617,12.13879,12.26853,11.77948
2021,Lindfield 33_11kV,05MAY2020,MW,11.57001,11.45290,11.01283,10.76915,10.65688,10.22235,9.95449,9.62261,9.32206,8.93370,8.67630,8.48560,8.35036,8.09022,8.00901,7.90668,7.97528,7.99386,7.99386,7.99386,8.10847,8.08638,8.25012,8.51998,9.03589,9.74120,10.23498,10.82363,11.48483,12.40530,13.21437,13.98232,14.69279,14.91708,15.09048,15.19327,14.76530,13.81094,13.32064,13.02509,12.67924,12.39396,12.48688,12.44847,12.84310,12.50233,11.72870,11.51915,11.72459,11.86589,11.66330,11.83755,11.52763,11.57102,11.26593,11.04853,10.73400,10.83914,11.06096,11.00760,11.22413,11.35385,11.34724,11.40833,11.66086,11.96676,12.51006,13.26948,14.14389,15.20089,16.41615,17.33778,17.57726,17.81597,17.47314,17.23337,16.94841,16.46641,16.14697,16.01724,15.83420,15.62351,15.42340,15.09577,14.70339,14.38758,13.87408,13.51334,13.60346,13.51707,13.14186,12.82989,12.43271,12.13018,12.19357,11.65379
2021,Lindfield 33_11kV,06MAY2020,MW,11.40749,11.16593,10.72828,10.46809,10.44184,10.01218,9.79255,9.47502,9.15720,8.71653,8.57364,8.36652,8.24141,8.07585,7.92317,7.86249,7.79320,7.76581,7.80241,7.89792,7.97919,8.13995,8.27192,8.56968,9.10639,9.82527,10.46372,11.10842,11.63315,12.28223,13.02290,13.60377,14.10883,14.19504,14.17104,14.18508,13.75956,13.49162,13.13609,12.73303,12.40506,12.00270,11.70835,11.46897,11.16464,10.99154,10.96316,10.81280,10.80504,10.97802,10.92207,10.94393,10.67282,10.55394,10.35864,10.39642,10.25785,10.32747,10.42564,10.38748,10.58413,10.83215,10.87376,10.96442,11.32638,11.56078,12.08775,12.51787,13.39163,14.48543,15.69398,16.49283,17.03629,17.13899,17.02383,16.88569,16.39090,16.17969,15.82561,15.58890,15.31548,15.13363,14.93737,14.63453,14.44193,13.98874,13.59123,13.18452,13.20967,13.06761,12.75315,12.46075,12.01651,11.79468,11.80990,11.49535
2021,Lindfield 33_11kV,07MAY2020,MW,11.19675,11.07755,10.61492,10.43204,10.35941,9.92021,9.70203,9.36279,8.98353,8.72110,8.44734,8.26305,8.08213,7.88256,7.76157,7.76157,7.76157,7.76157,7.83561,7.98041,8.05052,8.18071,8.32211,8.44497,8.93513,9.59173,10.19115,10.88054,11.35257,11.95242,12.85316,13.51131,13.96105,14.18356,14.49535,14.42142,14.34322,13.90213,13.58229,13.36900,13.07967,12.78110,12.59041,12.54825,12.16445,11.81491,11.62020,11.75672,11.92752,11.82197,11.50194,11.36488,11.10796,11.00146,10.73215,10.60316,10.71298,10.54597,10.53392,10.71399,10.35136,10.62586,10.66012,11.30266,11.45397,11.75698,12.20163,12.74303,13.45231,14.42006,15.47692,16.20820,16.56759,16.54944,16.40110,16.27023,15.95513,15.58916,15.20425,14.91923,14.68976,14.49904,14.27756,14.01327,13.65311,13.38880,12.98597,12.58966,12.66210,12.64832,12.55242,12.21420,11.78577,11.60056,11.68496,11.11950
2021,Lindfield 33_11kV,08MAY2020,MW,11.07870,10.93018,10.52209,10.35188,10.24431,9.72225,9.40510,8.97724,8.81856,8.54529,8.31895,8.01057,7.85476,7.67142,7.53846,7.41385,7.37779,7.52055,7.47798,7.48804,7.61689,7.75777,7.92183,8.11089,8.64016,9.12146,9.62529,9.97110,10.41493,10.80376,11.33250,11.74483,12.07109,12.15566,12.23366,12.06964,11.83518,11.62785,11.40580,11.22523,10.97646,10.71556,10.50053,10.51183,10.37454,10.15111,10.17801,10.18257,10.33291,10.43575,10.52003,10.43866,10.26045,10.18582,10.07944,10.07944,10.07944,10.05159,10.13799,10.22024,10.20952,10.33529,10.30547,10.61475,10.81681,11.06535,11.26110,11.65791,12.19984,12.97874,13.73247,14.19521,14.43786,14.41956,14.33690,14.26821,13.98722,13.66147,13.29214,13.10987,12.91084,12.62532,12.45522,12.38469,12.08176,11.92801,11.62102,11.34095,11.56309,11.88936,11.78640,11.49814,11.26785,11.15492,11.37630,10.89171
2021,Lindfield 33_11kV,09MAY2020,MW,10.69537,10.53041,10.19996,10.02080,10.02070,9.56395,9.12210,8.75138,8.48950,8.20093,7.98931,7.86976,7.59189,7.42828,7.25733,7.24144,7.06270,7.11167,7.23134,7.23134,7.23134,7.23134,7.26213,7.29982,7.66891,7.82722,7.94534,8.21872,8.43555,8.89925,9.16728,9.55293,9.67637,9.81233,10.02262,10.18675,10.07993,10.18430,10.15819,11.12612,11.06710,11.25954,11.13308,11.20955,10.95433,9.60840,9.42032,9.61042,9.64600,9.55393,9.61796,9.67367,10.24973,10.10673,9.36068,9.32523,9.84088,9.84778,9.62852,9.93534,9.86277,9.89797,10.06452,10.28303,10.35808,10.59044,10.89137,11.39440,12.02861,12.87595,13.68673,14.05290,14.18225,14.46452,14.39637,14.04242,13.59915,13.20221,13.01988,12.71523,12.42560,12.04004,12.12953,11.92464,11.71913,11.41845,11.23251,11.10367,11.31711,11.64252,11.58201,11.27447,10.99854,10.98257,11.17428,10.77606
2021,Lindfield 33_11kV,10MAY2020,MW,10.62300,10.54619,10.12173,9.87612,9.76695,9.47540,9.08688,8.73216,8.44721,8.28477,7.98730,7.79040,7.63776,7.49030,7.21952,7.17012,7.01420,7.14351,7.18589,7.18589,7.18589,7.18589,7.24101,7.35759,7.54060,7.87498,8.07415,8.40353,8.63191,9.05730,9.46554,9.82284,10.26972,10.49024,10.70121,11.00363,11.10058,11.15641,11.27177,11.26365,11.06741,11.01870,10.84975,10.75147,10.47682,10.28626,10.14738,10.16457,10.06004,10.03160,10.08450,9.94005,9.77233,9.78739,9.53362,9.46092,9.52662,9.50677,9.56291,9.61991,9.81728,10.06443,10.41053,10.70448,11.08163,11.41202,11.85531,12.91505,13.86460,14.83454,15.84974,16.56088,16.77001,17.11318,17.25018,17.21702,16.90785,16.50073,16.29890,16.11378,15.97763,15.78849,15.65532,15.17508,14.92646,14.66615,14.38658,13.96749,13.95812,13.80783,13.42556,13.13393,12.62994,12.39259,12.44386,11.94370
