year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Lisarow 33_11kV,01MAY2020,MW,11.00581,11.17600,11.28946,10.70324,10.13593,9.36061,9.90901,9.54971,9.00131,8.43400,8.03689,7.71541,7.52631,7.01573,6.90227,6.73207,6.76990,6.84554,6.88336,7.05355,7.35612,7.65868,8.32054,8.58529,9.17151,9.90901,10.38177,10.85452,10.72215,10.81670,11.27055,11.53530,11.32728,11.28946,11.00581,10.53305,10.06029,9.89010,9.77664,9.49298,9.26606,9.00131,9.00131,8.41509,8.15035,8.28272,8.32054,7.92342,8.07471,8.24490,8.85003,9.07695,8.90676,9.15260,8.86894,9.19042,8.26381,8.28272,8.41509,8.56638,8.81221,9.03913,9.30388,9.81446,10.06029,10.72215,11.30837,11.97023,12.38626,13.04812,13.97473,14.39075,14.52313,14.52313,14.22056,14.22056,13.67216,13.42633,13.04812,12.70774,12.80229,12.80229,12.91575,12.51863,12.36735,12.19716,11.81895,11.40292,11.10036,11.23273,11.93241,11.40292,11.42183,11.40292,11.51639,11.21382
2021,Lisarow 33_11kV,02MAY2020,MW,10.98690,11.04363,11.27055,10.64651,10.09811,9.30388,9.85228,9.26606,8.81221,8.18817,7.77214,7.48849,7.29938,7.07246,6.78881,6.50515,6.50515,6.50515,6.50515,6.46733,6.63752,6.56188,6.65643,6.42951,6.76990,6.95900,7.22374,7.58304,7.52631,7.69650,7.98016,8.01798,8.03689,7.98016,7.92342,7.92342,7.80996,7.50740,7.37503,7.18592,7.05355,6.67534,6.56188,6.29714,6.18368,6.08912,5.95675,5.91893,5.88111,5.97566,6.01348,5.86220,6.08912,5.88111,5.93784,5.91893,5.99457,6.20259,6.48624,6.80772,6.99682,7.14810,7.39394,7.71541,8.41509,8.77439,9.43625,9.89010,10.32504,10.85452,11.64876,12.38626,12.31062,12.19716,12.02696,11.80004,11.40292,11.06254,10.85452,10.70324,10.62760,10.58978,10.34395,10.26830,10.15484,10.11702,9.83337,9.62535,9.51189,9.60644,10.55196,10.13593,10.17375,10.38177,10.83561,10.89235
2021,Lisarow 33_11kV,03MAY2020,MW,10.60869,10.83561,11.02472,10.45741,9.89010,9.09586,9.56862,9.19042,8.71766,8.32054,7.69650,7.35612,7.01573,6.95900,6.78881,6.44842,6.33496,6.16476,6.20259,6.42951,6.31605,6.44842,6.46733,6.52406,6.56188,6.92118,7.11028,7.52631,7.58304,7.75323,8.03689,8.03689,8.13144,8.16926,8.18817,7.79105,7.62086,7.45067,7.43176,7.20483,6.90227,6.75098,6.56188,6.41060,6.10803,5.88111,5.76765,5.61637,5.76765,5.82438,5.84329,5.59746,5.61637,5.67310,5.55963,5.82438,6.08912,6.48624,6.52406,6.71316,7.05355,7.31829,7.58304,7.98016,8.47182,8.81221,9.51189,10.06029,10.60869,11.45966,12.36735,12.65101,12.74556,12.59427,12.38626,12.23498,12.10261,11.59203,11.27055,11.00581,11.21382,11.38401,11.04363,10.91126,10.87344,10.85452,10.55196,10.02247,9.85228,9.92792,10.74106,10.55196,10.47632,10.66542,10.87344,10.94908
2021,Lisarow 33_11kV,04MAY2020,MW,10.77888,11.02472,11.40292,10.83561,10.15484,9.54971,10.09811,9.79555,9.28497,8.79330,8.37727,7.99907,7.69650,7.41285,7.33720,7.24265,7.14810,7.33720,7.56413,7.56413,7.94234,8.33945,9.09586,10.11702,10.64651,10.81670,11.42183,12.21607,12.04587,12.32953,12.93466,13.19940,13.18049,12.87793,12.51863,12.42408,11.78113,11.34619,11.13818,10.51414,10.24939,9.92792,9.77664,9.47407,8.96349,8.86894,8.54747,8.45291,8.47182,8.73657,8.71766,8.66093,8.86894,8.83112,8.81221,8.96349,8.96349,9.15260,9.22824,9.39843,9.56862,9.87119,10.04138,10.15484,10.43850,11.21382,11.66767,12.46190,13.10485,14.08819,15.18499,15.44973,15.58211,15.46864,15.12826,14.50422,13.99364,13.72889,13.67216,13.44524,13.65325,13.59652,13.44524,13.31287,13.02921,12.80229,12.59427,12.12152,11.74331,11.83786,12.46190,12.27280,12.31062,12.31062,12.49972,12.61318
2021,Lisarow 33_11kV,05MAY2020,MW,12.17825,12.34844,12.59427,11.66767,11.32728,10.57087,10.49523,10.23048,9.79555,9.26606,8.64202,8.33945,8.03689,7.80996,7.62086,7.41285,7.54522,7.67759,7.67759,7.88560,7.99907,8.41509,8.96349,9.47407,10.24939,10.62760,11.17600,11.91350,11.28946,11.51639,12.12152,12.31062,12.15934,11.91350,12.00805,12.21607,12.34844,12.14043,12.02696,12.25389,11.95132,11.59203,11.25164,11.11927,10.36286,10.04138,11.00581,11.23273,10.94908,10.58978,10.19266,9.71991,10.43850,10.64651,10.32504,9.71991,9.37952,9.45516,9.73882,9.73882,10.00356,10.11702,10.23048,10.36286,10.58978,11.25164,11.66767,12.44299,12.66992,13.48306,14.39075,14.69332,14.82569,14.69332,14.37184,13.91800,13.55870,13.36960,13.23723,13.06703,13.16158,13.10485,12.78338,12.53754,12.27280,12.32953,11.91350,11.44074,11.25164,11.44074,12.48081,12.25389,12.08370,12.00805,12.34844,12.38626
2021,Lisarow 33_11kV,06MAY2020,MW,12.04587,12.08370,12.42408,11.70549,11.17600,10.28722,10.74106,10.43850,9.81446,9.39843,8.92567,8.58529,8.22599,7.84778,7.77214,7.75323,7.77214,7.77214,7.99907,8.24490,8.69875,8.81221,9.02022,10.04138,10.66542,10.91126,11.34619,11.72440,11.72440,11.76222,12.15934,12.17825,12.10261,11.83786,11.74331,11.42183,11.02472,10.49523,10.02247,9.68208,9.53080,8.96349,8.66093,8.39618,8.28272,7.94234,7.90451,8.13144,8.43400,8.39618,8.47182,8.54747,8.60420,8.69875,8.69875,8.39618,8.37727,8.47182,8.94458,9.28497,9.41734,9.62535,9.66317,9.96574,10.30613,10.83561,11.17600,11.66767,12.08370,12.87793,13.65325,14.10710,14.14492,13.99364,13.84236,13.52088,13.14267,12.74556,12.61318,12.32953,12.44299,12.51863,12.38626,12.14043,11.98914,11.97023,11.80004,11.40292,11.25164,11.30837,12.10261,11.74331,11.38401,11.57312,12.00805,11.87568
2021,Lisarow 33_11kV,07MAY2020,MW,11.49748,11.62985,11.81895,11.10036,10.53305,9.83337,10.28722,10.00356,9.43625,8.90676,8.62311,8.28272,7.84778,7.63977,7.48849,7.48849,7.41285,7.39394,7.52631,7.69650,8.22599,9.05804,9.37952,9.92792,10.06029,10.62760,10.87344,11.74331,11.78113,12.00805,12.34844,12.44299,12.31062,12.12152,12.15934,11.91350,11.72440,11.68658,11.68658,11.30837,11.04363,10.68433,10.64651,10.43850,10.24939,10.06029,9.71991,9.51189,9.53080,9.66317,10.13593,9.79555,9.13369,9.45516,9.19042,9.00131,9.15260,9.07695,8.83112,9.30388,9.36061,9.68208,9.66317,10.04138,10.32504,10.70324,11.34619,11.93241,12.29171,12.99139,13.80453,14.14492,13.86127,13.97473,13.59652,13.25614,12.89684,12.74556,12.46190,12.14043,12.38626,12.31062,12.32953,12.32953,12.12152,11.98914,11.72440,11.34619,11.08145,11.42183,12.32953,11.76222,11.72440,11.62985,12.00805,12.06479
2021,Lisarow 33_11kV,08MAY2020,MW,11.80004,11.89459,12.08370,11.57312,11.00581,10.24939,10.81670,10.43850,9.83337,9.41734,8.94458,8.37727,8.18817,7.99907,7.98016,7.62086,7.48849,7.29938,7.62086,8.09362,8.43400,8.49073,9.15260,9.81446,9.90901,10.41959,10.83561,11.40292,11.19491,11.38401,11.53530,11.25164,11.28946,11.00581,10.93017,10.41959,10.09811,9.64426,9.66317,9.36061,9.11478,8.90676,8.75548,8.56638,8.26381,7.90451,7.99907,8.01798,7.98016,7.98016,7.98016,7.98016,7.99907,8.11253,8.24490,8.24490,8.28272,8.50964,8.54747,8.69875,8.88785,9.13369,9.22824,9.49298,9.66317,9.85228,10.45741,10.68433,10.81670,11.45966,12.15934,12.53754,12.66992,12.51863,12.31062,11.97023,11.59203,11.28946,11.04363,10.79779,10.87344,10.81670,10.66542,10.75997,10.58978,10.70324,10.55196,10.15484,10.09811,10.53305,11.38401,11.02472,10.91126,11.06254,11.53530,11.25164
2021,Lisarow 33_11kV,09MAY2020,MW,10.64651,10.89235,10.98690,10.38177,9.83337,9.11478,9.56862,9.22824,8.67984,8.15035,7.54522,7.28047,6.95900,6.88336,6.61861,6.50515,6.31605,6.31605,6.31605,6.31605,6.46733,6.56188,6.67534,6.82663,7.05355,7.07246,7.35612,7.50740,7.48849,7.45067,7.75323,7.71541,8.07471,8.22599,7.67759,7.54522,7.20483,7.07246,7.54522,7.67759,7.39394,6.56188,6.35387,5.99457,6.75098,7.22374,7.71541,6.56188,6.58079,5.40835,6.65643,5.76765,5.46508,5.91893,6.99682,6.82663,7.09137,6.92118,7.07246,7.22374,7.58304,7.69650,7.65868,7.86669,7.86669,7.86669,8.16926,8.64202,8.94458,9.53080,10.04138,10.40068,10.40068,10.40068,10.23048,9.96574,9.54971,9.37952,9.19042,9.00131,9.09586,9.09586,8.88785,8.96349,8.81221,8.69875,8.66093,8.54747,8.37727,8.62311,9.75773,9.45516,9.60644,9.68208,10.06029,10.28722
2021,Lisarow 33_11kV,10MAY2020,MW,9.81446,10.07920,10.26830,9.75773,9.32279,8.75548,9.17151,8.86894,8.20708,7.75323,7.35612,7.07246,6.78881,6.44842,6.16476,6.16476,6.14585,5.91893,5.91893,5.91893,6.14585,6.01348,6.08912,6.08912,6.25932,6.54297,6.80772,7.22374,7.12919,7.28047,7.67759,7.84778,8.16926,8.20708,8.18817,7.80996,7.67759,7.58304,7.33720,7.16701,6.97791,6.75098,6.56188,6.20259,5.99457,5.76765,5.88111,5.74874,5.80547,5.74874,5.72983,5.63528,5.50290,5.44617,5.59746,5.71092,5.71092,5.90002,6.18368,6.48624,6.94009,7.16701,7.52631,8.03689,8.54747,9.20933,9.85228,10.51414,10.83561,11.45966,12.25389,12.66992,12.85902,12.87793,12.70774,12.59427,12.42408,12.21607,11.93241,11.83786,12.00805,12.08370,11.95132,11.74331,11.53530,11.51639,11.08145,10.70324,10.32504,10.57087,11.23273,10.93017,10.87344,10.94908,11.27055,11.38401
