year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Long Jetty 66_11kV,01MAY2020,MW,18.62704,19.02748,19.15802,17.70761,16.28100,14.78404,15.92154,15.67304,14.47299,13.32553,12.57197,11.88325,11.42010,11.10298,10.62605,10.54834,10.54559,10.46335,10.64216,10.84202,11.01590,11.40406,11.69964,12.14976,12.85002,13.62513,14.67871,15.82286,14.89615,15.08212,15.43257,15.43257,15.54224,15.64418,15.04387,14.47817,14.12858,13.69454,13.42658,12.78926,12.57301,12.00887,12.00172,11.85934,11.26534,11.61912,12.57593,11.57094,11.28039,11.04223,11.49893,12.47719,11.36766,11.17879,11.43812,10.79035,11.08460,11.21957,11.46541,11.83241,12.52724,13.00943,13.24749,14.17827,15.02782,16.29041,17.58378,19.12379,20.31491,22.40238,24.06939,25.37651,25.42373,25.65238,25.75534,25.12193,24.50931,23.93607,23.26901,22.97121,22.96371,22.71206,22.28210,21.84601,21.27160,20.98715,20.21387,19.14752,18.38398,18.39512,20.61713,19.60632,19.51181,19.98363,20.86148,20.82675
2021,Long Jetty 66_11kV,02MAY2020,MW,20.18095,20.45423,20.70093,18.91478,17.53305,16.17291,17.22089,16.72882,15.43457,14.36921,13.61637,12.62848,12.27804,11.57443,11.00202,10.95713,10.80134,10.95713,10.61234,10.81490,10.95713,10.95713,11.10424,11.60015,11.86835,12.34285,12.90924,13.74093,13.23655,13.55456,14.01792,14.20709,14.70077,14.97606,14.82394,14.58127,14.51739,13.98274,13.67626,12.99167,12.64119,12.17331,11.92170,11.74140,11.44659,11.42768,11.09809,11.10069,11.04247,10.64528,10.74942,10.87214,10.84631,10.80280,10.75610,10.90970,10.91226,11.01365,11.41132,11.89056,12.65096,12.94236,13.78589,14.42278,15.38055,16.32623,17.42730,18.75049,19.62375,21.23405,23.33112,24.37575,24.37053,24.15356,23.65088,23.11921,22.49794,21.99249,21.25602,20.85810,21.21266,20.98508,20.80016,20.45687,19.96095,19.43123,18.94701,18.31589,17.64557,17.67541,19.65727,19.03146,18.99314,19.43170,20.54930,20.47774
2021,Long Jetty 66_11kV,03MAY2020,MW,19.87432,20.12622,20.60532,19.02648,17.54045,16.37181,17.34441,16.83837,15.55950,14.35706,13.46563,12.69034,11.96626,11.74649,11.00507,10.67420,10.67420,10.67420,10.61585,10.69992,10.74234,10.83531,11.03429,11.27024,11.53848,12.13357,12.37025,13.40718,13.23843,13.37570,13.53298,14.12652,14.44576,14.59154,14.55631,14.67945,14.51972,14.40373,14.05980,13.76071,13.32108,12.69239,12.06536,11.69791,11.36559,11.25850,11.04911,10.81898,10.71828,10.81815,11.07782,10.70416,10.45105,10.49812,10.50135,10.80241,10.92696,10.97457,11.39212,11.57768,12.23662,12.86106,13.24717,14.13733,15.05329,16.21956,17.33465,18.76444,19.71062,21.38706,23.31829,24.36957,24.53779,24.46374,23.74974,23.06248,22.58574,22.14525,21.47945,21.11785,21.52414,21.39004,21.12153,20.48663,19.99009,19.65731,18.54218,17.77973,16.98834,16.88186,18.69913,18.22479,18.43463,18.80047,19.55022,19.84389
2021,Long Jetty 66_11kV,04MAY2020,MW,19.45407,19.96696,20.23947,18.70802,17.49651,16.27197,17.13279,16.72336,15.50836,14.14235,13.30203,12.49997,11.96935,11.54014,11.28829,10.87996,10.87996,10.87996,10.87996,11.04671,11.49946,11.85252,12.16816,12.68013,13.71666,14.53710,15.50457,16.50052,15.82105,16.09689,16.20420,16.11611,16.23665,16.06876,15.66495,15.02104,14.60183,13.85371,13.46122,12.70194,12.31582,11.91351,11.63327,11.14708,10.53264,10.23299,10.12796,10.45467,10.28964,10.08814,10.22775,10.25045,10.22331,10.54265,10.70190,10.68852,10.95936,10.60822,11.00193,11.40125,11.78706,12.30507,13.16805,13.86230,15.15750,16.25295,17.64297,19.35346,20.61593,22.59823,24.60589,25.43047,25.58149,25.28765,24.58854,23.89992,23.04675,22.38873,21.63913,21.12778,21.19242,21.19654,20.75312,20.19094,19.49581,19.27053,18.23305,17.27738,16.71612,16.79163,18.72091,17.79619,17.74147,18.28165,19.08065,19.41948
2021,Long Jetty 66_11kV,05MAY2020,MW,18.92012,19.18838,19.43442,18.09560,16.82671,15.66006,16.71260,16.38069,15.09157,13.79121,12.92975,12.28188,11.84667,11.29453,10.79112,10.66488,10.63464,10.46843,10.46843,10.85006,11.13885,11.40843,12.00535,12.03741,12.82327,13.94905,14.41505,15.45363,14.81663,15.45236,15.47219,14.75034,15.45597,15.83039,16.68306,16.00492,15.05140,13.24727,12.62488,14.96602,15.05252,14.10828,13.92007,12.31969,11.38073,11.17937,12.87026,14.23969,13.01427,15.03807,14.81913,14.23345,15.06387,13.40883,14.18264,14.41234,14.05081,12.93904,13.58151,13.78643,13.98648,14.11909,14.11456,14.40985,15.25569,16.22576,17.23655,18.64917,19.66206,21.37454,23.62685,24.49696,24.49283,24.46063,23.78765,23.06565,22.24098,21.45588,20.76714,20.36090,20.74716,20.78477,20.25201,19.68506,19.14165,18.76649,17.92673,17.23926,16.75261,16.86136,19.24050,18.28003,18.03077,18.51449,19.48703,19.51466
2021,Long Jetty 66_11kV,06MAY2020,MW,19.10145,19.17531,19.77854,18.26770,16.91739,15.55552,16.61287,16.21385,15.09511,13.91625,13.02524,12.46856,11.78750,11.36352,10.82344,10.80280,10.55484,11.08429,10.99151,11.08573,11.23452,11.51534,12.08198,12.64297,13.49352,14.17815,14.94511,16.05695,15.43266,15.43217,15.39289,15.30086,15.25491,14.95005,14.91098,14.33133,13.78043,13.26946,12.20068,11.93452,11.58766,11.15991,10.77126,10.26304,10.24823,10.08875,9.79956,9.72585,9.60770,9.64533,9.78608,10.15883,10.03421,9.85930,9.67108,9.80246,9.98297,10.07426,10.55148,10.62656,11.36439,11.83349,12.27305,13.14946,14.10891,15.17859,16.21987,17.55517,18.40955,20.32047,21.94090,22.87439,23.26328,23.07219,22.34119,21.85655,21.14006,20.67734,20.38169,19.72518,19.94324,19.87939,19.59247,19.08534,18.58847,18.29700,17.45777,16.64591,16.09331,16.35080,18.41620,17.84489,17.73581,18.13559,19.16115,19.30930
2021,Long Jetty 66_11kV,07MAY2020,MW,18.55046,19.20444,19.36304,17.84055,16.43585,15.13707,16.42698,15.82130,14.62564,13.58707,12.72354,12.06797,11.43792,11.10467,10.85372,10.69992,10.65588,10.58174,10.69992,10.83857,11.30790,11.54071,12.09346,12.81808,13.43556,14.26373,15.03955,15.98035,15.03832,15.09381,15.47806,15.90752,16.13715,15.84536,16.00049,16.10132,16.10132,15.64223,15.34371,14.79439,14.06512,13.78044,13.52289,13.39318,13.37490,12.89422,12.47536,11.84333,11.61500,11.76168,12.29017,11.95174,11.14406,11.22130,11.00464,10.61939,11.48009,10.58101,10.99452,11.67115,12.15365,12.52760,12.96336,13.79386,14.72424,15.10357,16.27384,17.74352,18.49127,20.21313,21.84407,22.84311,22.73714,22.62665,22.15993,21.66537,20.82141,20.52969,20.00834,19.16303,19.41893,19.69201,19.29438,18.83117,18.49102,17.99984,17.45743,16.49069,16.20506,16.41454,18.65026,17.79808,17.71980,18.15394,19.03138,19.26356
2021,Long Jetty 66_11kV,08MAY2020,MW,18.54840,18.84831,19.39282,17.75464,16.41422,15.06242,16.20281,16.06778,14.70826,13.64951,12.72192,12.05005,11.60015,11.13735,10.95713,10.87437,10.64848,10.61702,10.40961,10.87861,10.98131,11.29499,11.73521,12.19987,12.94477,13.64217,14.59004,15.31411,14.74922,14.84151,14.91815,14.91815,14.91815,14.77721,14.33781,13.77161,13.37490,12.92278,12.29219,11.85632,11.37558,10.98304,10.31128,10.10182,10.02496,10.06206,9.81700,9.72804,9.79173,9.76455,9.85792,9.86678,9.95049,10.07511,10.15456,10.33786,10.44271,10.48269,10.94977,11.19088,11.66158,12.19264,12.84154,13.66432,14.14790,14.77430,15.49151,16.63312,16.98086,18.01914,19.48225,20.08009,20.32204,20.13314,19.83233,19.27113,18.52770,18.09245,17.59854,17.13858,17.53829,17.71148,17.44404,17.19587,16.66681,16.50053,15.68696,15.31239,15.17536,15.51850,17.64457,17.18817,17.17681,17.71068,18.58110,18.81974
2021,Long Jetty 66_11kV,09MAY2020,MW,18.08959,18.16517,18.64094,17.21268,15.86495,14.77549,16.00631,15.41681,14.48257,13.28198,12.50542,11.63825,11.03429,10.77521,10.47144,10.29373,10.01083,9.92274,9.79968,9.79968,9.82466,10.16572,10.48627,10.79221,11.33068,11.75292,12.21740,12.65870,12.61610,12.50038,12.70799,13.05798,13.94651,14.61942,14.22741,13.75359,14.41215,13.08104,13.04271,15.04702,14.69942,13.35575,13.73638,11.55434,10.36132,12.17689,12.25647,14.91404,11.48941,12.54521,13.68929,13.48787,10.92054,10.71517,12.65444,13.19376,12.74412,12.94017,13.93802,14.39032,14.87208,15.13653,15.53546,15.46680,15.00872,15.53725,16.02934,16.93594,17.32752,18.76205,20.12805,20.97109,20.89101,20.62390,20.20665,19.61570,18.91715,18.52663,18.12188,17.56658,17.91847,17.91958,17.54986,17.44548,17.13484,17.22559,16.53608,15.76069,15.27483,15.68067,17.79698,17.51291,17.50721,17.91939,18.72788,19.14316
2021,Long Jetty 66_11kV,10MAY2020,MW,18.48783,18.73524,19.08777,17.61881,16.44419,15.02984,16.09970,15.50664,14.47867,13.54635,12.60576,11.85621,11.52386,10.91043,10.56835,10.49415,10.42128,10.14512,9.87685,9.87685,9.87685,10.00170,10.49415,10.74753,11.22900,11.45619,12.04724,12.78423,12.94187,13.41057,13.94076,14.44536,15.04218,15.22523,15.31354,15.28905,15.09326,14.79622,14.44511,14.27513,13.64422,13.17230,12.66402,11.93400,11.79100,11.13528,11.09339,11.01617,10.77952,10.39569,10.27759,10.42046,10.29786,10.17906,10.20994,10.05275,10.10071,10.18103,10.64136,11.14694,11.49779,12.30430,12.89488,13.78634,14.69437,15.60418,16.88748,18.28230,19.36147,21.18713,22.82385,23.53082,23.86905,23.86905,23.69522,23.35463,23.35398,22.73607,22.11415,21.52710,21.95174,22.05481,21.62871,21.07055,20.56527,20.02266,19.11060,18.12511,17.58748,17.59822,19.59540,18.81187,18.72370,19.30405,20.10758,20.35731
