year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Lucas Heights 33_11kV,01MAY2020,MW,4.37328,4.37328,4.44710,4.50245,4.50245,4.50245,4.50245,4.50245,4.50245,4.50245,4.68698,5.05603,5.05603,5.05603,5.05603,5.05603,5.05603,5.05603,5.05603,5.05603,5.05603,5.00068,4.79770,4.79770,4.79770,5.35128,5.35128,5.35128,5.38818,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.59116,5.16675,4.90841,4.90841,4.90841,4.92686,4.92686,4.92686,4.92686,4.92686,4.92686,4.88996,4.79770,4.87151,4.87151,4.68698,4.65007,5.27747,5.27747,5.27747,5.27747,5.27747,5.27747,5.27747,5.27747,5.27747,5.27747,5.27747,5.09294,5.16675,5.00068,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532
2021,Lucas Heights 33_11kV,02MAY2020,MW,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.22566,4.22566,4.22566,4.22566,4.22566,4.22566,4.22566,4.87151,5.01913,5.01913,5.01913,4.37328,4.29947,4.79770,4.85305,4.85305,4.85305,5.11139,4.77924,4.29947,4.70543,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.98222,5.12984,4.96377,5.00068,5.22211,5.09294,4.90841,4.87151,4.92686,4.94532,4.87151,4.88996,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.85305,4.52091,4.59472,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222
2021,Lucas Heights 33_11kV,03MAY2020,MW,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.87151,4.33638,4.66853,5.01913,5.16675,5.09294,4.90841,4.92686,5.16675,5.16675,5.16675,5.16675,5.16675,5.16675,5.12984,4.90841,5.00068,5.01913,5.12984,4.96377,5.16675,5.16675,5.00068,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.90841,4.87151,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.41019,5.01913,5.01913,5.01913,5.01913,5.01913,5.01913,5.01913,5.01913,5.01913,5.01913,5.01913
2021,Lucas Heights 33_11kV,04MAY2020,MW,5.01913,5.01913,4.81615,4.76079,4.76079,4.76079,4.76079,4.76079,4.76079,4.76079,4.76079,4.76079,4.33638,3.85661,3.83816,3.57982,3.57982,3.57982,4.15185,4.46555,4.46555,3.85661,3.81970,4.63162,4.63162,4.63162,4.63162,4.65007,4.88996,4.88996,4.88996,4.88996,4.41019,4.35483,4.20721,4.29947,4.37328,4.37328,4.37328,4.22566,4.18876,4.11495,4.17030,4.22566,4.02268,4.02268,4.26257,4.28102,4.04114,4.00423,4.00423,4.00423,4.07804,4.15185,4.09649,4.17030,4.09649,4.11495,4.07804,4.07804,4.22566,4.09649,4.57626,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.63162,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626,4.57626
2021,Lucas Heights 33_11kV,05MAY2020,MW,4.48400,4.24412,4.24412,4.24412,4.24412,3.61672,3.30303,3.43220,3.46910,3.30303,3.28458,3.41375,3.46910,3.28458,3.28458,3.28458,3.28458,3.28458,3.28458,3.28458,3.28458,3.28458,3.45065,3.56137,3.78280,4.52091,4.52091,4.52091,4.52091,4.52091,4.52091,4.13340,3.98578,4.11495,4.11495,4.11495,4.05959,3.89351,4.07804,3.89351,4.05959,4.05959,3.83816,3.80125,3.85661,3.85661,4.07804,3.89351,3.83816,3.83816,3.83816,3.83816,3.94887,3.87506,3.87506,3.87506,3.87506,3.87506,3.87506,3.87506,3.87506,3.87506,3.87506,3.87506,3.87506,3.72744,4.22566,4.22566,4.22566,4.22566,5.09294,5.16675,5.84950,6.12629,6.56915,7.21500,6.90130,5.38818,5.38818,4.57626,4.31793,4.31793,4.31793,4.31793,4.31793,4.31793,4.18876,3.48756,3.48756,3.48756,3.48756,3.48756,3.48756,3.48756,3.48756,3.48756
2021,Lucas Heights 33_11kV,06MAY2020,MW,3.48756,3.48756,3.48756,3.48756,3.48756,3.48756,3.48756,3.63518,4.29947,4.29947,3.85661,3.39529,3.39529,3.39529,3.39529,3.50601,4.35483,4.35483,4.35483,4.05959,3.52446,3.52446,3.52446,3.52446,3.80125,3.83816,3.83816,3.83816,3.83816,3.83816,4.70543,4.77924,4.68698,4.13340,4.13340,4.13340,4.13340,4.13340,4.09649,3.93042,3.93042,3.85661,3.85661,3.85661,3.94887,3.93042,3.93042,3.93042,3.93042,3.93042,3.94887,3.93042,3.93042,3.93042,3.74589,3.72744,3.69054,3.85661,3.70899,3.56137,3.72744,3.72744,3.80125,3.76435,3.67208,3.41375,3.41375,3.41375,4.02268,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.17030,4.09649,4.18876,4.18876,4.18876,4.18876,4.18876,4.05959,3.19231,3.19231
2021,Lucas Heights 33_11kV,07MAY2020,MW,3.19231,3.19231,3.19231,3.19231,3.19231,3.19231,3.19231,3.19231,3.19231,3.19231,3.50601,4.13340,4.13340,4.13340,4.13340,4.13340,4.13340,4.13340,4.13340,4.13340,4.13340,4.13340,4.13340,4.31793,4.41019,3.83816,3.94887,4.42864,4.42864,4.48400,4.68698,4.68698,4.68698,4.68698,4.68698,4.48400,4.46555,4.68698,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.55781,4.50245,4.44710,4.44710,4.44710,4.65007,4.50245,4.50245,4.50245,4.50245,4.50245,4.50245,4.50245,4.50245,4.50245,4.50245,4.50245,4.50245,4.39174,4.22566,4.22566,4.39174,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.46555,4.31793,3.52446,3.52446,3.52446,3.59827,3.69054,3.78280,3.78280,3.78280
2021,Lucas Heights 33_11kV,08MAY2020,MW,3.78280,3.78280,3.78280,3.78280,3.63518,3.80125,3.80125,3.80125,3.80125,3.80125,3.70899,3.57982,3.57982,3.81970,3.81970,4.04114,4.52091,4.52091,4.52091,4.52091,4.52091,4.52091,4.52091,4.70543,4.85305,4.83460,4.57626,4.65007,4.83460,4.83460,4.83460,4.83460,4.81615,4.59472,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.22566,4.44710,4.29947,4.29947,4.42864,4.29947,4.29947,4.33638,4.42864,4.41019,4.48400,4.57626,4.57626,4.57626,4.57626,4.57626,4.50245,4.29947,4.63162,4.87151,4.63162,4.33638,4.29947,4.53936,4.53936,4.53936,4.53936,4.53936,4.53936,4.35483,4.22566,4.22566,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532
2021,Lucas Heights 33_11kV,09MAY2020,MW,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.94532,4.81615,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.96377,4.79770,4.44710,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.24412,4.76079,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.87151,4.28102,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.18876,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389
2021,Lucas Heights 33_11kV,10MAY2020,MW,4.72389,4.72389,4.72389,4.72389,4.72389,4.72389,4.92686,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,5.00068,4.88996,4.35483,4.24412,4.24412,4.29947,4.15185,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.11495,4.33638,4.74234,4.74234,4.74234,4.74234,4.74234,4.74234,4.74234,4.74234,4.74234,4.74234,4.74234,4.74234,4.96377,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222,4.98222
