year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Maitland 33_11kV,01MAY2020,MW,6.61467,6.53431,6.23923,5.93638,5.66307,5.32139,5.18908,5.03753,4.78520,4.68098,4.65954,4.52427,4.63112,4.67594,4.66426,4.60411,4.70177,4.73062,4.79399,5.01666,5.20302,5.15026,5.26173,5.57162,5.89116,6.23751,6.54453,6.89592,6.82606,6.95736,6.66677,6.61024,6.60692,6.46298,6.34638,6.14487,6.29386,6.41731,5.43530,5.33820,5.14974,5.29822,6.10652,5.95392,5.56191,5.70278,5.63200,5.75184,5.88405,5.30288,5.81983,6.09475,5.28394,5.95274,4.98714,4.61500,4.72803,5.33508,5.20789,5.21252,5.76957,5.86920,6.22800,6.50582,6.99689,7.43118,7.79517,8.30581,8.72483,9.26695,9.87854,10.13980,10.15227,10.32546,10.10229,10.01721,9.76481,9.58350,9.38348,9.06702,8.92607,8.71103,8.48987,8.25037,7.94592,7.87837,7.84608,7.50824,7.27161,6.93704,6.78802,6.46310,7.26265,7.18571,7.01068,6.79749
2021,Maitland 33_11kV,02MAY2020,MW,7.20037,7.13204,6.77965,6.39037,6.11964,5.78776,5.49515,5.33027,5.14198,5.02128,4.83135,4.79139,4.66960,4.63440,4.66471,4.67399,4.66891,4.60533,4.60582,4.80182,4.84850,4.91555,4.96490,5.04926,5.25453,5.40477,5.67907,5.72693,5.97888,6.16462,6.14965,5.97075,6.14993,5.88332,5.88199,5.94299,5.91452,5.95356,6.18204,5.45661,5.32781,4.71665,4.62693,4.30277,4.08159,4.01864,4.01483,3.95674,3.87071,3.78765,3.81847,3.70940,3.81021,3.82721,3.97332,4.13023,5.00219,4.46149,4.45022,4.53720,5.09503,5.49089,6.02124,6.22204,6.88555,6.99389,7.28041,7.82593,8.18828,8.83097,9.24978,9.74513,9.80520,9.59305,9.55397,9.32563,9.13443,8.88853,8.58476,8.52636,8.21307,8.02428,7.93637,7.64215,7.39504,7.11836,6.99281,6.68931,6.47791,6.44222,6.22404,6.05665,6.16730,5.96520,5.80462,5.74034
2021,Maitland 33_11kV,03MAY2020,MW,5.61585,5.48674,5.52462,5.33653,5.20218,5.11302,4.97318,4.80156,4.73013,4.62773,4.61468,4.63823,4.58218,4.50844,4.51598,4.57873,4.54471,4.46911,4.60535,4.63257,4.69092,4.80469,4.78039,4.89691,5.11055,5.27893,5.43187,5.54618,5.62968,5.75783,5.80277,5.87410,5.72452,5.70763,5.59781,5.44295,5.23555,5.04917,4.71614,4.57219,4.24543,4.13655,4.00065,3.83001,3.56465,3.53319,3.33239,3.32960,3.36122,3.37120,3.52415,4.11367,3.97732,4.06107,4.26277,3.56190,3.48000,3.59519,3.74895,3.94930,4.32670,4.54724,4.97991,5.28549,5.74955,6.06312,6.47721,7.27494,7.79317,8.48115,9.00412,9.39587,9.44721,9.37825,9.30765,9.09551,9.11810,8.74738,8.59967,8.40131,7.94240,7.82283,7.56406,7.37781,7.23649,7.00718,6.96202,6.64692,6.45210,6.11628,5.82747,5.76816,5.86498,5.69727,5.61588,5.44407
2021,Maitland 33_11kV,04MAY2020,MW,5.38286,5.26219,5.21931,5.11415,5.08288,4.89329,4.80060,4.78063,4.60699,4.63362,4.57768,4.53294,4.65725,4.68664,4.69588,4.64547,4.67030,4.75368,4.86575,5.09267,5.55446,5.64050,5.79527,6.03115,6.58436,6.81058,7.07979,7.51277,7.57820,7.77145,7.83901,7.66428,7.72436,7.61518,7.49888,7.30469,6.89564,6.48142,6.04822,5.79169,5.42372,5.19456,5.02713,4.75606,4.75203,4.38168,4.38592,4.22508,4.26175,4.14990,4.13167,4.24031,4.16555,4.25076,4.26580,4.28216,4.39463,4.46596,4.48518,4.62221,5.32168,6.06893,6.42029,6.50303,6.91316,7.11047,7.52073,8.05947,8.31747,8.94834,9.59209,9.80347,9.96350,9.94382,9.70270,9.47390,9.17173,8.87735,8.80546,8.68736,8.33752,8.09679,7.83553,7.58278,7.37675,7.08252,7.27639,6.83358,6.62138,6.35087,6.13211,5.82534,6.57928,6.54986,6.47578,6.29660
2021,Maitland 33_11kV,05MAY2020,MW,6.62733,6.53869,6.22850,6.00315,5.74329,5.38679,5.16359,5.03217,4.80916,4.69793,4.63282,4.54776,4.54643,4.51739,4.62572,4.49579,4.57811,4.71845,4.75607,4.85898,5.06573,5.31365,5.47499,5.70355,6.11400,6.40786,6.78341,7.12626,7.13090,7.11831,7.14047,7.30390,7.41128,7.73879,7.78450,7.70011,7.41484,6.50937,5.75203,6.03349,6.10200,5.92852,6.66783,6.66715,6.21523,5.53416,6.28690,7.78591,7.66226,7.45128,7.09291,6.74966,6.43081,6.52059,6.48555,5.56375,5.85124,5.67739,6.19786,5.80429,6.53462,6.78899,6.96141,7.17747,7.35597,7.16487,7.71529,8.16184,8.68385,9.16534,9.64750,9.84129,9.83919,9.64603,9.49916,9.16136,8.92327,8.74729,8.61239,8.45593,8.22128,8.02382,7.76239,7.52592,7.33986,7.04264,6.94391,6.68952,6.38444,6.16485,5.86359,5.67173,6.51561,6.58207,6.38198,6.08365
2021,Maitland 33_11kV,06MAY2020,MW,6.39773,6.32726,6.06190,5.85184,5.53914,5.34199,5.13004,4.83922,4.88326,4.76236,4.57902,4.46867,4.52669,4.56295,4.50045,4.51380,4.54906,4.61872,4.69422,4.92126,5.04632,5.13224,5.34119,5.50870,5.78825,6.07815,6.31336,6.56600,6.69760,6.96100,7.12485,7.39211,7.52544,7.76311,7.87659,8.01497,7.97819,7.76084,7.66101,7.64732,7.31902,7.07889,6.44319,6.24371,5.82530,5.12250,5.04077,4.54817,4.68926,4.16706,4.09203,4.15869,4.05317,4.11775,4.25435,4.17923,4.36673,4.52699,4.67465,5.06026,5.28515,5.55435,5.82874,6.00411,6.33858,6.68820,6.90652,7.41202,7.83884,8.42833,9.04048,9.30531,9.29261,9.23580,8.89908,8.91511,8.59918,8.35770,8.16588,8.10983,7.98636,7.69888,7.49461,7.39870,7.13611,7.08677,6.96890,6.62779,6.42391,6.22203,6.04655,5.74586,6.52018,6.61883,6.33988,6.16318
2021,Maitland 33_11kV,07MAY2020,MW,6.52238,6.44335,6.23685,5.93484,5.80577,5.43279,5.15362,4.97371,4.87849,4.76680,4.71997,4.61081,4.61395,4.65402,4.64585,4.69628,4.65419,4.67710,4.79620,4.96736,5.17598,5.32570,5.64707,5.91754,6.37194,6.70176,7.12643,7.33271,7.33360,7.37298,7.42821,7.58179,7.39988,7.29075,7.84904,7.71228,7.41088,7.10089,6.83140,6.72256,6.15385,5.84915,5.68120,5.55547,5.78979,5.87390,5.59491,5.44266,5.46604,5.49712,5.28723,5.75841,5.61557,5.31081,5.39252,5.38127,5.81045,5.22337,5.18963,5.86455,5.49448,5.73003,6.11281,6.46726,6.46592,6.95060,7.16787,7.55531,7.97508,8.44250,8.96011,9.39218,9.27016,9.35559,9.06774,8.83182,8.67549,8.38361,8.25492,7.99201,7.81679,7.67710,7.37507,7.29565,6.97948,6.77263,6.86965,6.54137,6.35070,6.27137,5.94587,5.77472,6.67487,6.61450,6.51046,6.18697
2021,Maitland 33_11kV,08MAY2020,MW,6.57418,6.49124,6.21643,5.83882,5.65387,5.46620,5.24939,4.98565,4.89179,4.78234,4.60772,4.51473,4.68707,4.52486,4.59311,4.60868,4.72654,4.63197,4.72067,5.03020,5.15370,5.19813,5.44561,5.85939,6.24294,6.56852,6.73340,7.05912,7.15960,7.30657,7.37997,7.10197,7.14638,7.02431,6.73618,6.65052,6.12943,5.85030,5.51075,5.04751,4.87514,4.52805,4.44703,4.17590,4.23243,4.12162,3.92490,4.04974,4.03010,4.01266,4.08314,4.12410,4.11849,4.26306,4.33487,4.37632,4.59892,4.73104,4.95327,5.28141,5.39227,5.95506,6.59402,6.23980,6.23242,6.79285,6.92192,7.23512,7.45164,7.69524,8.12942,8.37167,8.30622,8.28495,8.26820,8.01928,7.87880,7.52575,7.34702,7.24125,7.03167,6.94923,6.77817,6.70576,6.54151,6.40166,6.41988,6.31168,6.11497,6.02189,5.70597,5.64539,6.54839,6.39464,6.26820,6.11707
2021,Maitland 33_11kV,09MAY2020,MW,6.46657,6.34662,6.08913,5.88092,5.54224,5.29935,5.15941,4.94656,4.69900,4.57373,4.59614,4.45912,4.46283,4.39973,4.44042,4.39675,4.39044,4.38184,4.44006,4.38816,4.63572,4.73564,4.90885,4.98730,5.19515,5.39058,5.53553,5.63824,5.86675,6.06943,6.20204,6.40252,6.03944,5.80269,5.59060,5.41349,5.19955,5.01477,5.37823,5.46652,5.89511,6.21908,5.31105,4.08289,4.41243,5.50142,4.94166,3.46433,3.46910,4.26215,3.73291,5.33738,5.70722,5.91748,6.20554,6.28100,6.32788,6.40556,6.52719,6.22014,6.43663,6.67692,6.70075,6.69196,6.51182,6.16039,6.60012,6.93729,7.34412,7.88200,8.52126,8.72994,8.79800,8.63178,8.68773,8.50771,8.27408,7.96224,7.61963,7.56267,7.36910,7.08788,7.00473,6.81020,6.59565,6.40319,6.39877,6.29226,6.24993,6.04876,5.89873,5.69924,5.88549,5.70168,5.48911,5.50258
2021,Maitland 33_11kV,10MAY2020,MW,5.54815,5.33531,5.22114,5.13866,4.93611,4.77352,4.68622,4.59219,4.51426,4.49325,4.45523,4.38104,4.41513,4.42860,4.34119,4.42870,4.44144,4.36586,4.40772,4.49475,4.63312,4.71575,4.72975,4.89950,5.03633,5.22866,5.32803,5.34801,5.48588,5.54098,5.76963,5.64180,5.65313,5.61309,5.52309,5.43738,5.36138,5.00658,4.72817,4.40984,4.53744,4.28670,4.01580,3.78640,3.65255,3.49846,3.33085,3.36306,3.34815,3.37291,3.20007,3.11533,3.29938,3.24844,3.40655,3.39352,3.53920,3.77330,3.86255,4.13493,4.42259,4.69575,5.10739,5.45615,5.82777,6.36165,6.90417,7.40789,7.96918,8.75267,9.51668,9.76121,9.87288,10.07962,9.90058,9.91649,9.72040,9.63092,9.40276,9.27799,9.03047,8.78185,8.54602,8.26363,7.92000,7.74401,7.41360,7.20195,6.96644,6.70939,6.49784,6.13173,6.24244,6.02578,5.89153,5.85931
