year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Manly 33_11kV,01MAY2020,MW,6.10469,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,4.79063,4.37278,4.37278,4.37278,4.37278,4.37278,4.37278,4.37278,4.37278,4.66785,5.23098,5.23098,6.05242,6.13006,6.55239,6.98827,7.18391,7.92821,7.92821,8.11906,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,8.78642,9.36084,9.97619,10.74804,10.74804,10.74804,10.74804,10.74804,10.74804,10.74804,10.74804,10.74804,10.49229,9.64463,9.64463,9.64463,9.64463,9.20988,8.66382,8.66382,7.82927,7.80561,7.80561,7.18617,6.94740,6.94740,6.94740,6.57399
2021,Manly 33_11kV,02MAY2020,MW,6.08919,6.08919,6.08919,5.66256,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.23098,5.94637,6.13006,6.16729,7.02914,7.02914,7.02914,7.87737,7.88734,7.88734,7.88734,7.88734,8.50546,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.86815,8.78364,7.84648,7.84648,7.84648,7.84648,8.29790,8.70469,8.72593,9.56289,9.56289,9.97540,10.54370,10.54370,10.54370,10.54370,10.54370,10.54370,10.54370,10.54370,10.54370,10.22247,9.68550,9.68550,9.68550,9.68550,9.28800,8.62295,8.62295,8.62295,7.78778,7.76474,7.76474,6.97683,6.90653,6.90653,6.21182
2021,Manly 33_11kV,03MAY2020,MW,6.04833,6.04833,6.04833,6.04833,6.04833,6.04833,5.52510,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.19012,5.79061,6.13006,6.43444,6.98827,6.98827,6.98827,7.61645,7.84648,7.84648,7.84648,8.35579,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,8.70469,9.06837,9.68550,10.05649,10.58457,11.38340,11.44278,11.44278,11.44278,11.44278,11.44278,11.44278,11.44278,11.30262,10.33937,10.33937,10.33937,10.33937,9.72363,9.48116,9.34895,8.62295,8.25362,7.76474,7.49886,6.90653,6.90653,6.90653,6.75741,5.96659
2021,Manly 33_11kV,04MAY2020,MW,5.96659,5.96659,5.93413,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.10838,5.91233,5.96659,6.73892,6.88928,7.68301,7.70594,8.58208,8.58208,9.22200,9.44029,9.44029,9.44029,9.44029,9.44029,9.44029,9.44029,9.44029,9.44029,9.44029,9.44029,8.92994,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.83275,9.27682,9.27682,10.11669,10.56079,11.36432,11.97405,12.46133,12.91399,12.91399,12.91399,12.35935,12.05579,12.05579,11.78613,11.19758,11.19758,11.10000,10.82380,10.29850,9.57549,9.44029,8.76661,8.54122,7.90351,7.68301,7.01193,6.82480,6.82480,6.82480,6.42121
2021,Manly 33_11kV,05MAY2020,MW,5.80312,5.80312,5.80312,5.80312,5.80312,5.80312,5.80312,5.12615,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,5.20164,5.80312,5.96010,6.66133,7.10755,7.56041,8.01113,8.58756,9.27682,9.62349,10.13503,10.13503,10.13503,10.13503,10.01787,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,8.63673,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.86722,9.23596,9.56260,10.25441,11.03411,11.03411,11.95051,11.97405,11.97405,11.97405,11.80054,11.11584,11.11584,10.64558,10.25763,10.25763,10.25763,9.83367,9.27682,9.23237,8.41862,8.41862,7.64392,7.56041,7.01168,6.70220,6.70220,6.70220,6.68299
2021,Manly 33_11kV,06MAY2020,MW,5.63966,5.63966,5.63966,5.63966,5.63966,5.63966,5.63966,5.63966,5.63966,4.89963,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,5.35334,5.63966,5.86929,6.49786,6.49786,6.90948,7.43781,7.51329,8.33688,8.33688,8.88804,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,9.23596,8.55545,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,9.23938,9.63319,10.29850,10.59099,11.19758,11.19758,11.19758,11.19758,11.19758,11.19758,11.19758,10.71782,10.25763,10.25763,10.25763,10.25763,9.58492,9.23596,9.10541,8.37775,7.89358,7.51954,7.51954,6.73452,6.66133,6.66133,6.66133,6.21793
2021,Manly 33_11kV,07MAY2020,MW,5.80312,5.80312,5.80312,5.34303,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,4.94492,5.77898,5.84399,6.12997,6.70220,7.42937,7.56041,7.56041,8.44684,8.45948,9.21748,9.35856,9.35856,9.35856,9.35856,9.35856,9.35856,9.35856,9.35856,9.35856,9.35225,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.45948,8.81846,9.31769,9.74477,10.27270,11.07498,11.07498,11.07498,11.07498,11.07498,11.07498,10.47139,10.21677,10.21677,10.21677,10.21677,9.64824,9.31769,8.80383,8.41862,8.09314,7.56041,7.56041,7.50202,6.70220,6.70220,6.70220,6.70220,5.77408
2021,Manly 33_11kV,08MAY2020,MW,5.63966,5.63966,5.63966,5.63966,5.63966,5.63966,5.63966,5.21577,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,4.78145,5.06188,5.68052,5.68052,5.75599,6.57960,6.77687,7.43781,7.43781,7.91156,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.33688,8.82445,9.27682,9.95403,10.13503,10.13503,10.13503,10.13503,10.13503,10.13503,10.05170,9.03162,9.03162,9.03162,9.03162,9.03162,8.55210,7.92821,7.92821,7.84195,7.07000,7.07000,7.07000,7.07000,6.32551,6.21179,6.21179,6.21179
2021,Manly 33_11kV,09MAY2020,MW,6.21179,5.74025,5.27185,5.27185,5.27185,5.27185,5.27185,5.27185,5.27185,5.27185,5.27185,5.27185,5.03429,4.41364,4.41364,4.41364,4.41364,4.41364,4.41364,4.41364,4.41364,4.41364,4.41364,4.59987,5.27185,5.27185,5.27185,5.27185,5.83550,6.13006,6.13006,6.91128,7.02914,7.02914,7.48084,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,8.89591,9.03162,9.03162,9.03162,9.03162,9.03162,9.03162,9.03162,9.03162,9.03162,9.03162,9.03162,9.03012,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.92821,7.31471,6.86567,6.86567,6.86567,6.86567,6.55472,5.76226
2021,Manly 33_11kV,10MAY2020,MW,5.76226,5.76226,5.76226,5.04330,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,4.90405,5.08974,5.76226,5.83983,6.66133,6.66133,6.66133,7.17143,7.51954,7.51954,7.51954,7.83741,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.37775,8.12894,7.31521,7.31521,7.31521,7.31521,7.31521,7.31521,7.31521,7.31521,7.31521,8.00467,8.37775,8.37775,8.45637,9.23596,9.35122,10.09417,10.26923,10.99324,10.99324,10.99324,10.99324,10.99324,10.67430,10.13503,10.13503,10.13503,9.99653,9.27682,9.27682,9.27682,9.27682,8.78236,8.25515,8.03140,7.39694,7.39694,6.80496,6.53873,6.53873,6.53873,6.42033
