year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Marrickville 132_11kV,01MAY2020,MW,18.85034,18.25846,17.58547,16.95088,16.73786,16.24352,15.72498,15.49153,15.11485,14.93137,14.78878,14.63523,14.61459,14.36456,14.35666,14.31906,14.28923,14.48521,14.65639,14.96774,15.70440,16.06985,16.39369,17.18981,18.31617,19.04781,20.22512,21.08708,22.43777,23.74822,24.93574,26.00452,26.68031,27.46348,27.91328,27.78346,27.48956,27.25741,27.25065,26.85853,26.98194,26.89484,26.97426,27.02602,26.57615,26.74485,26.47799,26.36704,26.63344,26.87447,26.64991,28.39790,27.37513,26.79063,26.95238,27.02060,26.54739,26.51691,26.42945,26.67330,26.96116,27.52311,27.57185,27.39521,27.74381,28.68669,29.39490,30.07456,30.56681,31.39624,33.04036,34.33453,34.44782,34.17049,34.15153,33.96669,33.58849,32.77540,32.04119,31.40753,31.01941,30.12087,29.44754,28.80023,27.91755,27.46883,26.89026,26.30111,25.85523,25.15330,24.48775,23.58234,23.10732,22.33697,21.50694,20.87416
2021,Marrickville 132_11kV,02MAY2020,MW,20.41097,19.94526,19.16468,18.37197,18.22207,17.54540,17.20452,16.82736,16.48788,16.05972,15.88546,15.44135,15.33103,15.14183,15.20900,15.02199,14.98222,14.96792,14.95888,15.22867,15.56115,15.74167,15.74343,16.01096,16.67908,16.59909,17.05440,17.47955,17.92177,18.37609,19.04822,19.73964,20.45829,20.65010,21.08285,21.73215,22.80240,22.43512,22.31464,22.55876,22.68707,22.80311,22.82138,22.70864,22.61159,22.36772,22.25302,22.25432,22.33779,22.35549,22.29785,22.20659,22.20473,21.97283,22.12119,22.15185,22.01732,22.11559,22.40043,22.87947,23.37291,23.47325,23.73516,24.28191,24.73086,25.36934,25.96053,26.98288,28.06730,29.32506,30.94981,32.27850,32.45591,32.45811,32.25864,32.09389,31.65271,30.81993,30.23518,29.99275,29.62787,29.16485,28.46921,28.02114,27.50255,26.81636,26.55709,25.71215,25.52819,25.01910,24.26239,23.60820,23.23322,22.70713,21.71898,21.08303
2021,Marrickville 132_11kV,03MAY2020,MW,20.62613,20.06690,19.51076,18.97373,18.70966,17.98259,17.36140,16.92962,16.67242,16.17964,16.02205,15.86566,15.57744,15.15825,15.32273,15.26732,15.22904,15.15397,15.15212,15.17576,15.17943,15.32293,15.31374,15.52660,15.87383,16.23121,16.62737,16.83426,17.21228,17.84377,18.59150,19.08046,19.50224,19.84731,20.30724,20.81767,20.96299,21.22006,21.26534,21.64129,21.83998,21.84195,21.57926,21.71976,21.59981,21.62708,21.31251,21.24855,21.26735,21.40543,21.26246,21.21840,21.03623,21.04565,21.02566,21.01021,20.95022,20.88751,21.25542,21.48798,21.81435,22.18433,23.01584,23.53816,24.28438,24.80264,26.14170,27.26232,28.15766,29.55754,31.66935,32.85111,33.47813,33.74615,33.90727,33.78679,33.05922,32.39223,31.70896,31.03263,30.64478,30.01114,29.32235,28.64556,27.79837,27.12912,26.49666,25.70115,25.26667,24.20831,23.32991,22.50241,21.76951,21.18320,20.43137,19.73662
2021,Marrickville 132_11kV,04MAY2020,MW,19.32610,18.92894,18.35052,17.99659,17.45281,17.03807,16.56238,16.17747,15.92821,15.54906,15.32043,15.32799,15.19078,15.12921,15.34378,15.24763,15.24383,15.39100,15.48353,15.66460,16.07166,16.71017,17.08568,17.90418,18.79348,19.95047,20.95863,22.18281,24.05553,25.29478,26.34045,27.71629,29.11196,30.08607,30.60842,30.62379,30.40128,30.18412,29.93575,29.44151,29.43850,29.19560,28.99410,29.25421,28.52575,28.50837,28.46556,29.01065,29.28316,29.28092,29.01941,29.17781,29.01878,28.69313,28.97237,28.77534,28.80311,29.57533,29.09007,29.25490,28.74936,28.77560,29.41507,29.88251,29.92832,30.43007,31.51753,32.41091,33.11324,34.45636,36.31231,37.39578,38.18212,38.26163,37.96921,37.35771,37.05871,36.25397,35.36442,34.47785,33.49911,32.39523,31.60950,30.74616,29.33316,28.58739,27.71853,27.10415,26.46153,25.49513,24.51821,23.39120,22.72719,21.98149,21.33379,20.46511
2021,Marrickville 132_11kV,05MAY2020,MW,20.10368,19.63520,18.90628,18.37624,18.11577,17.82117,16.99341,16.52500,16.20549,15.82664,15.72962,15.64666,15.58223,15.39858,15.39043,15.26181,15.41639,15.61846,15.82867,16.09628,16.70623,16.93924,17.37405,18.18490,19.23995,20.26645,21.13954,22.42077,24.35205,25.71265,27.39770,28.70631,29.81202,30.25593,30.96084,30.96689,30.87727,30.93551,31.47311,31.73596,31.79300,31.46339,30.02990,29.68338,29.75351,29.62568,29.11204,28.89499,28.64068,29.11300,29.07568,29.06338,28.38074,28.15630,28.53422,28.15489,28.10335,28.04493,27.96004,27.94368,27.65030,28.11282,28.48963,28.76535,28.91414,29.45600,29.97422,30.77324,31.38604,32.43730,34.19708,35.31088,35.86724,36.05485,36.10485,35.82710,35.33237,34.07495,33.67947,32.86120,32.17794,31.09027,30.73583,30.14946,29.04455,28.39615,27.16311,26.34859,25.78291,25.08493,24.07392,23.37274,22.80861,21.86213,21.07688,20.38511
2021,Marrickville 132_11kV,06MAY2020,MW,19.81169,18.99867,18.34836,17.93022,17.76796,17.17020,16.80433,16.42959,16.08166,15.72884,15.61584,15.51096,15.33323,15.45544,15.36082,15.17804,15.27430,15.55776,15.64449,16.03960,16.51220,17.04748,17.62197,18.36878,19.50691,20.48220,21.24199,22.76721,24.72494,25.83607,27.39935,28.52915,29.69656,30.13435,30.40138,30.78870,30.80599,30.01712,29.83476,29.95360,28.93443,28.78447,28.75218,28.64281,28.29644,28.13572,28.08907,28.14171,28.07817,28.20422,28.15222,27.97246,27.79016,27.86058,28.00442,27.61700,27.77453,27.97370,27.76669,27.59566,27.86431,27.91050,28.05816,28.37821,28.53615,28.72418,29.23287,29.75891,30.65563,31.75739,33.42967,34.21818,34.76183,34.64261,34.73640,34.49893,34.11872,33.36377,32.57415,31.92236,31.36330,30.25502,29.71225,29.28349,28.55448,27.38742,26.61122,25.85110,25.20551,24.60375,23.81074,22.81590,22.06307,21.47188,20.86528,20.12682
2021,Marrickville 132_11kV,07MAY2020,MW,19.68286,18.86739,18.22910,17.96053,17.64221,17.10919,16.72998,16.33582,15.81798,15.68107,15.43713,15.33178,15.40299,15.25966,15.23451,15.23217,15.23382,15.28581,15.64250,15.84994,16.37888,16.99432,17.41257,18.03919,19.16293,20.07974,21.09987,22.52248,24.18212,25.38597,27.03017,27.86556,29.03645,30.17068,30.66396,31.03510,31.12295,30.66390,30.86743,30.70542,30.65642,30.67591,30.69508,30.20239,29.96621,29.41049,29.29495,29.50025,29.28314,29.35829,29.47822,28.50015,28.52306,28.72965,28.87936,27.69368,27.84848,27.63622,27.66495,27.54815,27.38006,28.16481,27.75619,28.45849,28.40848,28.71880,29.29540,29.65771,30.16949,31.54262,32.79006,33.82355,33.70284,33.85061,33.98256,33.58744,33.11246,32.52406,31.60261,30.76066,30.26521,29.38891,28.85396,28.38807,27.35593,26.26415,25.87449,25.22290,24.62519,24.25486,23.28226,22.51044,21.64922,21.05562,20.65271,19.91008
2021,Marrickville 132_11kV,08MAY2020,MW,19.31692,18.81614,18.35218,17.84637,17.57975,17.11548,16.57644,16.04403,15.84237,15.45702,15.41596,15.33669,15.31973,15.19255,14.99837,15.06259,15.05469,15.10863,15.22123,15.46334,15.90128,16.20008,17.02111,17.63757,18.42331,19.31578,20.23377,21.37024,22.78949,23.91043,24.92179,25.89464,27.02104,27.75087,28.00457,28.06625,28.17489,27.92136,27.63436,27.15080,27.05557,27.32453,27.27207,27.27556,26.87689,26.39038,26.33038,26.50296,26.62042,26.85168,26.72442,26.91516,26.84781,26.89135,26.73982,26.83441,26.77714,26.83298,26.37138,26.74099,27.03669,27.00682,26.70738,26.91046,27.11398,27.58967,27.68934,28.05438,28.55370,29.48738,30.32482,30.93042,31.12371,31.15435,30.63907,30.28046,29.57476,29.13398,28.42984,27.52292,27.06538,26.56456,25.83433,25.31063,24.74463,24.32132,23.62882,22.74132,22.76258,22.73819,22.13784,21.57854,21.19310,20.63555,20.15544,19.72114
2021,Marrickville 132_11kV,09MAY2020,MW,19.37305,18.71990,18.23029,17.84778,17.44874,16.58526,15.97625,15.73301,15.31657,15.12835,14.82365,14.68073,14.73390,14.66195,14.35030,14.45549,14.20454,14.21750,14.26001,14.36928,14.48077,14.53642,14.71984,15.14921,15.64777,15.82121,16.09909,16.44553,16.89417,17.65050,18.51506,19.07806,19.32712,20.25591,20.68619,21.81731,21.75845,22.02938,21.03623,23.66968,24.80577,24.37595,23.89883,23.60083,24.02051,23.30486,22.36486,21.32669,21.38217,21.30372,21.47116,21.50861,22.57351,23.28190,23.24169,21.32454,21.52794,21.71351,22.00381,21.75109,22.03624,22.26505,22.09799,22.77165,23.08696,23.41425,23.73872,24.06917,24.94485,26.06561,27.26755,27.52347,28.13157,28.06256,27.84042,27.40499,27.00314,26.59519,25.91586,25.06927,24.63488,24.28372,23.73837,23.33043,22.97098,22.51091,22.05284,21.56972,21.59348,21.55546,21.43840,20.66081,20.34957,19.92321,19.79414,19.25963
2021,Marrickville 132_11kV,10MAY2020,MW,18.86807,18.36541,17.81693,17.34028,16.99189,16.20109,15.77267,15.42443,15.00531,14.81696,14.55739,14.33621,14.31822,14.20951,14.22446,14.08904,13.97430,13.98460,13.97659,14.08089,14.16720,14.36568,14.53101,14.59908,14.95218,15.18672,15.33144,15.74675,16.36011,17.05531,17.49344,17.73087,18.53215,19.00031,19.66152,20.25608,20.71315,20.87169,20.99557,21.34225,21.48014,21.44857,21.08090,20.86236,20.86601,20.59974,19.97266,20.27939,20.24861,20.02555,20.03280,19.92338,19.78815,19.54852,19.59105,19.54776,19.27053,19.78808,20.16979,20.06885,20.69613,21.14453,21.77219,22.42471,23.22190,23.83951,24.82994,25.82637,26.93694,28.34508,29.80497,30.67421,30.99513,31.49387,31.66805,31.41771,31.18705,30.82843,30.32276,29.77956,29.18286,28.79935,28.34817,27.72749,26.93827,26.60322,26.06456,25.39468,24.54912,23.87620,23.06094,22.41130,21.78065,21.12055,20.68996,20.03221
