year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Maryland 132_11kV,01MAY2020,MW,5.74717,5.33225,5.15154,5.24219,5.05278,4.72042,4.40858,4.46917,4.11111,3.77019,3.59781,3.37620,3.31178,3.30656,3.22105,3.17030,3.12880,3.13120,3.18764,3.28166,3.41945,3.50466,3.71473,3.96883,4.34716,4.68598,5.07804,4.88904,4.74327,4.53507,4.01943,3.43821,3.02382,2.72294,2.99215,3.26184,3.53092,3.77143,3.73537,4.28916,4.23834,4.36703,4.32015,4.09552,3.89429,3.17310,4.35573,5.07701,4.80673,4.49981,4.69078,3.90195,4.85238,4.88163,4.53242,4.71013,4.69956,4.25155,4.06302,3.60930,3.51190,3.29826,2.98313,3.30580,4.28070,4.90827,5.73260,6.61267,7.31392,8.08957,8.73097,8.97423,9.03160,8.89682,9.01234,8.94791,8.85063,8.66069,8.26869,8.06712,7.97526,7.70257,7.53154,7.31363,7.06104,6.79944,6.76247,6.93912,8.43418,8.03739,7.75711,7.44757,7.58801,6.82116,6.86587,6.36793
2021,Maryland 132_11kV,02MAY2020,MW,6.19797,5.72725,5.58637,5.58777,5.37349,4.98037,4.57126,4.15938,4.26268,4.06590,3.82874,3.71238,3.59778,3.38574,3.37654,3.30764,3.21412,3.19902,3.15665,3.17345,3.27426,3.32329,3.37557,3.46329,3.65968,3.78476,3.88686,3.93909,3.93294,3.88048,3.45752,3.20420,3.12780,3.39874,3.62482,3.99274,4.24240,4.50500,4.66749,4.85437,5.06229,4.81871,5.21915,5.42485,5.76210,5.77209,5.82287,5.86530,5.71371,5.71200,5.60718,5.69822,5.63787,5.43735,5.38676,5.33077,5.06196,4.86300,4.65111,4.49065,4.19425,3.72300,3.43942,4.21580,4.00042,4.29669,5.20928,5.98458,6.48532,7.22062,7.85928,8.02995,7.97823,7.97534,7.83497,7.68426,7.43097,7.32177,6.97099,6.70277,6.54228,6.35022,6.21089,6.06854,6.01606,5.80229,6.49362,6.09502,5.75243,5.52614,5.57556,5.35252,5.87100,5.55414,5.09387,5.04644
2021,Maryland 132_11kV,03MAY2020,MW,5.00237,4.56429,4.50000,4.77082,4.33610,4.07382,3.77984,3.56904,3.62663,3.50174,3.34507,3.19130,3.17318,3.20163,3.15964,3.14867,3.11371,3.14785,3.21309,3.13686,3.18252,3.16954,3.28503,3.33722,3.52036,3.74804,3.87223,3.87822,3.69453,3.50613,3.20816,3.20472,3.23536,3.47278,3.78222,3.89867,4.09943,4.26126,4.66057,4.85109,4.96848,5.14448,5.38299,5.39357,5.57966,5.64799,5.78166,5.68846,5.64441,5.45142,5.47579,5.39171,4.36856,4.85825,4.92388,4.26120,4.03480,4.07267,3.95443,3.42251,3.29593,3.23833,3.21379,4.35288,4.93019,5.14652,5.54561,6.17108,6.75069,7.51803,8.08546,8.39972,8.34151,8.31366,8.21096,7.94931,7.78221,7.62203,7.27392,7.01800,6.91064,6.65010,6.46241,6.24425,6.16988,5.95423,6.70807,6.27468,5.96794,5.62689,5.66135,5.43618,5.88515,5.56687,5.03590,5.04873
2021,Maryland 132_11kV,04MAY2020,MW,4.96319,4.47153,4.40768,4.74983,4.39696,4.05399,3.82678,3.80491,3.49674,3.33395,3.30138,3.22899,3.23140,3.18781,3.21303,3.14512,3.18076,3.22424,3.32926,3.38967,3.57907,3.70763,3.92730,4.26331,4.77195,5.17892,5.67985,5.61619,5.38296,5.40183,5.06306,4.53557,4.86140,4.34758,3.60572,2.93020,2.97764,2.60614,2.23330,1.99905,2.16298,3.78148,4.49447,4.55544,4.70532,4.69875,4.67141,4.38260,3.66977,4.91903,4.18371,4.06331,3.31109,4.06084,4.28831,4.16817,3.99438,4.04949,3.71429,3.56923,3.31606,2.89040,2.77356,2.86279,3.69476,4.54195,5.43161,6.22054,7.05260,7.84130,8.52335,8.63349,8.51079,8.33109,8.17086,7.93120,7.72138,7.59084,7.39934,7.23605,7.03132,6.75617,6.54910,6.33777,6.16538,5.93555,5.92225,5.64902,6.41475,6.09568,5.82217,5.52192,5.84002,5.59066,5.61990,5.82989
2021,Maryland 132_11kV,05MAY2020,MW,5.73754,5.24789,5.08703,5.21033,5.08855,4.66786,4.42069,4.40413,4.09188,3.85413,3.58492,3.34746,3.26240,3.24887,3.16138,3.11648,3.16501,3.15405,3.18797,3.17013,3.43346,3.53658,3.59240,3.86214,4.28130,4.61810,4.99592,4.88229,4.69965,5.00507,4.60858,5.54692,5.59475,4.82415,4.66173,2.77436,2.69230,3.31554,3.57610,3.69046,4.21856,4.44149,2.48406,2.77727,2.39106,4.35707,2.99082,2.87633,3.11162,3.33217,4.32366,2.95004,2.47675,2.87201,3.53237,3.15145,2.37085,2.62705,2.67451,2.89370,3.57596,3.13459,3.94993,4.78340,4.98631,5.45821,6.02378,6.71544,7.30955,8.00236,8.47233,8.50304,8.52693,8.27907,8.05878,7.91091,7.59395,7.36747,7.01816,6.88530,6.67668,6.38259,6.25261,5.95482,5.72614,5.54171,5.56503,5.44348,6.29779,5.97416,5.69361,5.49837,5.72451,5.47929,5.52319,5.70974
2021,Maryland 132_11kV,06MAY2020,MW,5.75285,5.36658,5.16953,5.33666,5.07180,4.63753,4.37979,4.41446,4.02290,3.76030,3.61341,3.44091,3.28828,3.22673,3.08578,3.00487,2.98272,3.01522,3.09020,3.18283,3.32018,3.52911,3.63882,3.86948,4.22314,4.50243,5.00385,4.81171,4.57885,4.44434,3.85979,3.21254,2.63098,2.41002,2.82890,3.07460,3.33800,3.65187,3.83715,4.01460,4.19352,4.31919,4.51337,4.65973,4.73919,4.79987,4.93794,4.93632,4.92225,4.90253,4.84206,4.62884,4.54775,4.46793,4.41614,4.26678,4.08855,3.83229,3.82098,3.57662,3.29300,3.01447,2.86146,2.81511,3.22554,3.96596,4.81567,5.60241,6.32366,7.01851,7.60185,7.75981,7.74970,7.56832,7.39916,7.29893,7.07312,6.94982,6.73058,6.55842,6.36405,6.14465,6.04842,5.84436,5.63898,5.40822,5.45850,5.33079,6.25686,5.89484,5.56918,5.37693,5.64841,5.34379,5.39098,5.53270
2021,Maryland 132_11kV,07MAY2020,MW,5.60973,5.18245,5.13183,5.22569,4.97538,4.65893,4.39457,4.44101,4.06484,3.87350,3.63663,3.40933,3.32107,3.26341,3.23473,3.17065,3.12614,3.17483,3.22372,3.27986,3.51321,3.75540,3.92359,4.07105,4.44128,4.79502,5.26567,5.03280,4.57669,4.44688,4.27525,4.04330,3.87268,3.11714,3.49677,3.03118,2.64357,2.72647,2.57881,2.60256,2.83726,3.30030,3.29300,3.34089,3.59411,3.53225,3.03879,2.93832,2.80895,2.82856,3.08089,3.12729,3.37173,2.89374,3.09055,2.61419,2.96645,2.75218,2.86977,2.82915,2.91618,2.72028,3.39676,3.76856,3.68074,3.92049,4.77813,5.53942,6.10484,7.00916,7.57569,7.83870,7.81472,7.69974,7.46611,7.24542,7.06657,7.07430,6.79609,6.69523,6.44028,6.23100,6.04205,5.88961,5.70980,5.50892,5.49042,5.42848,6.22082,6.02417,5.67857,5.41396,5.71802,5.45763,5.41000,5.57633
2021,Maryland 132_11kV,08MAY2020,MW,5.59296,5.24476,5.02858,5.02070,4.90035,4.50387,4.27781,4.27409,3.97119,3.70169,3.56874,3.30277,3.27545,3.29764,3.21580,3.11961,3.10848,3.12641,3.26065,3.35152,3.48898,3.57333,3.77576,3.95804,4.30826,4.60315,5.06852,5.79772,5.93504,5.34668,4.36912,3.65923,3.10929,2.53382,2.78912,3.10735,3.30383,3.59788,3.81980,4.09844,4.24114,4.25600,4.53811,4.63322,4.71588,4.73702,4.75108,4.64768,4.65633,4.63648,4.50437,4.50188,4.43617,4.31164,4.25154,4.10031,3.96318,3.87922,3.63004,3.41295,3.22474,3.02314,2.73106,2.69530,3.24816,4.06801,4.79642,5.31160,5.67521,6.25219,6.67974,6.80935,6.77566,6.66123,6.55375,6.35813,6.18932,6.03144,5.75396,5.64518,5.49369,5.29737,5.23417,5.11514,5.05102,4.91597,4.99290,4.88533,5.77120,5.51702,5.28264,5.06102,5.35727,5.11403,5.24310,5.35032
2021,Maryland 132_11kV,09MAY2020,MW,5.35619,4.97102,4.81457,4.90272,4.82892,4.42716,4.04225,3.84582,3.91682,3.78209,3.53116,3.41251,3.34345,3.21123,3.14961,3.08122,3.05218,3.04736,3.10123,3.02936,3.13445,3.18636,3.19235,3.31820,3.46004,3.57323,3.83625,3.92208,4.00196,4.20723,3.86813,3.31283,3.09375,3.36875,3.23700,4.12671,4.00134,3.88412,4.32874,4.03011,3.34939,3.07352,4.00381,5.16848,5.10880,5.26020,5.36195,3.54222,3.40383,3.74713,3.42631,3.37023,4.50005,3.07130,3.34685,3.62863,3.81271,4.13984,4.36614,4.48300,4.22682,4.63882,4.89222,4.86067,4.77865,4.52210,4.73785,5.27758,5.75673,6.35623,6.78331,6.89655,6.85647,6.81848,6.72015,6.50052,6.26995,6.16610,5.90404,5.61918,5.52119,5.41110,5.41302,5.25080,5.29804,5.10219,5.86287,5.45963,5.23665,5.09949,5.28143,5.06783,5.59889,5.28941,4.85779,4.85260
2021,Maryland 132_11kV,10MAY2020,MW,4.77328,4.26591,4.23522,4.56531,4.17935,3.72807,3.47272,3.29826,3.34333,3.20878,3.16621,3.09960,3.07492,3.00016,3.00669,2.91515,2.95435,3.00677,2.98125,3.03555,3.05445,3.06100,3.03190,3.22025,3.36722,3.49205,3.64796,3.75069,3.64705,3.56699,3.41859,3.21790,3.28375,3.47087,3.61210,3.78918,4.11766,4.20328,4.52209,4.81557,5.20254,5.26875,5.32280,5.49551,5.65655,5.70313,5.73877,5.61581,5.62687,5.58133,5.56812,5.62036,5.53782,5.54231,5.37705,5.20764,4.97400,4.68744,4.48703,4.25033,3.97970,3.56914,3.40188,3.22591,3.59140,4.47570,5.13849,5.91715,6.57895,7.38584,8.02365,8.22721,8.32132,8.39343,8.39768,8.32883,8.19335,8.06104,7.89902,7.60619,7.44493,7.22805,7.02820,6.83272,6.64255,6.33673,7.04493,6.60977,6.29578,5.93275,6.00176,5.62232,5.95116,5.60469,5.21317,5.12434
