year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Medowie 33_11kV,01MAY2020,MW,6.29582,6.01546,5.81594,5.79907,5.46787,5.10622,4.78319,4.76905,4.42331,4.10092,3.70562,3.44366,3.22342,3.09236,3.05665,3.00802,2.86061,2.90700,2.96853,3.01292,2.98413,3.04392,3.18585,3.37158,3.78651,4.00809,4.21937,4.01858,3.82127,3.79330,3.57253,3.42070,3.21159,2.99486,2.79806,2.61491,2.43369,2.17203,2.04870,1.93373,1.88118,1.81672,2.00882,2.16838,2.01181,1.65225,1.82657,1.64568,3.03143,1.91908,1.75048,2.45885,2.45093,1.94282,1.75136,1.81925,1.62675,1.67487,2.18103,2.11319,2.31620,2.46580,2.96408,3.33435,3.73361,3.97330,4.33115,4.86386,5.26267,5.76250,6.18033,6.39707,6.48563,6.42432,6.33504,6.23885,6.05800,5.88629,5.68345,5.57726,5.44807,5.31123,5.27426,5.03106,4.89962,4.85054,5.08991,4.89324,5.55834,5.46159,5.12265,4.92500,5.94442,5.79504,5.93440,6.27958
2021,Medowie 33_11kV,02MAY2020,MW,6.53896,6.30932,6.12672,6.02372,5.68036,5.23759,4.79339,4.45506,4.59870,4.31152,3.91016,3.68987,3.46734,3.32634,3.21884,3.13645,3.06954,2.98866,2.86460,2.82640,2.90057,2.90474,3.04392,3.04726,3.11570,3.35409,3.57468,3.70919,3.65611,3.79908,3.78413,3.82869,3.76676,3.72417,3.55212,3.49008,3.29729,3.13887,2.87602,2.74536,2.54934,2.55148,2.08742,1.94779,1.75755,1.67730,1.62007,1.66174,1.64037,1.47657,1.47215,1.52262,1.51891,1.46402,1.57994,1.61973,1.70252,1.81774,2.07552,2.30411,2.44334,2.79099,2.93992,3.27941,3.66607,4.10408,4.60020,4.87019,5.30083,5.69789,6.08794,6.26162,6.23928,6.21457,5.98437,5.75782,5.57835,5.45373,5.32528,5.09532,4.98986,4.79484,4.71830,4.66269,4.62423,4.48560,5.02978,4.84208,4.72370,4.43808,4.37809,4.30009,5.52118,5.38495,5.08947,5.21664
2021,Medowie 33_11kV,03MAY2020,MW,5.40623,5.00205,4.88380,5.06529,4.65218,4.20239,3.84201,3.61455,3.65926,3.48454,3.32096,3.12831,3.04605,2.96822,2.95033,2.91475,2.84757,2.84206,2.84820,2.82551,2.79732,2.81879,2.78004,2.84264,2.99939,3.19437,3.41623,3.46734,3.48056,3.62480,3.55674,3.61993,3.57146,3.52028,3.45867,3.31770,3.27275,3.08260,2.90605,2.67253,2.46405,2.22178,2.08044,1.95261,1.77720,1.61824,1.57007,1.50143,1.54276,1.73121,1.68224,1.76965,2.03551,1.75646,1.91997,1.82593,1.73691,1.80422,2.01254,2.41397,3.05078,3.78323,3.34597,3.70695,4.14981,4.40403,4.72844,5.06048,5.38739,5.86757,6.37104,6.44741,6.46995,6.49950,6.16174,5.88731,5.76111,5.50451,5.45072,5.35125,5.18107,5.11050,5.02576,4.91605,4.84622,4.64868,5.20094,5.01009,4.88773,4.67327,4.53457,4.35543,5.52839,5.36468,5.06219,5.20760
2021,Medowie 33_11kV,04MAY2020,MW,5.29583,5.01529,4.96526,5.12945,4.76625,4.32439,4.14373,4.06694,3.86804,3.60834,3.35690,3.18897,3.04315,2.98160,2.91347,2.97833,2.90595,2.90472,3.03315,3.06109,3.15933,3.28465,3.41532,3.60215,3.92646,4.25341,4.49455,4.38507,4.07700,4.11178,4.14974,3.95971,3.79399,3.50794,3.16990,2.83576,2.59543,2.41803,2.21627,1.96632,1.80969,1.65740,1.48522,1.33297,1.26371,1.19062,1.18250,1.17042,1.17057,1.20704,1.11962,1.23008,1.38862,1.51983,1.33859,1.39753,1.41567,1.52777,1.63806,1.91113,2.07511,2.32365,2.59810,2.99785,3.32903,3.67038,4.14972,4.72288,5.12864,5.72928,6.31136,6.48225,6.49847,6.43634,6.15082,5.82866,5.67302,5.58184,5.43336,5.31824,5.19784,5.02014,4.86391,4.75100,4.61672,4.42138,4.63707,4.45108,5.13612,5.01983,4.74721,4.57997,5.61042,5.49025,5.63234,5.98433
2021,Medowie 33_11kV,05MAY2020,MW,6.27866,6.04402,5.83674,5.83371,5.44247,5.04262,4.81355,4.81802,4.52357,4.19085,3.89722,3.67351,3.42461,3.24781,3.13973,3.01547,2.90752,2.96357,3.08173,3.08231,3.11080,3.15658,3.29357,3.40022,3.71088,4.04047,4.23874,4.18550,3.75752,3.88998,4.21979,4.10122,3.40704,3.07616,2.82084,3.61687,4.13054,4.16324,4.07250,3.96630,3.94001,4.53418,4.70011,4.80025,5.06429,4.80169,3.49462,2.93009,3.12112,3.74290,4.02675,2.91487,3.48935,4.08015,3.23765,2.19230,2.55397,1.92208,2.30105,2.33532,2.16001,2.82493,3.57048,3.47985,3.63115,3.89429,4.30122,4.71328,5.03698,5.52259,6.06790,6.18604,6.23206,6.07938,5.91825,5.70894,5.44896,5.30505,5.17042,5.09492,4.95276,4.88703,4.72346,4.55946,4.46600,4.28136,4.49162,4.32322,4.98784,4.90098,4.64646,4.54515,5.61579,5.38815,5.49039,5.98327
2021,Medowie 33_11kV,06MAY2020,MW,6.24969,5.95878,5.72739,5.71978,5.44451,5.03491,4.72842,4.73168,4.33863,3.96122,3.71740,3.50311,3.36807,3.20036,3.04851,2.95793,2.96674,2.91526,2.92327,3.00299,2.97719,3.01475,3.15910,3.38356,3.68965,4.04695,4.15681,4.06163,3.86543,3.86728,3.91297,3.86805,3.87082,3.77610,3.67881,3.60369,3.58402,3.52726,3.48633,3.33634,3.25018,3.06292,2.77064,2.32028,1.76417,1.45817,1.27084,1.16075,1.14008,1.17444,1.23071,1.25929,1.19197,1.23730,1.26024,1.29696,1.37561,1.45905,1.58580,1.78182,1.97364,2.22966,2.54767,2.88365,3.14070,3.45097,3.81796,4.31936,4.63525,5.12724,5.65466,5.87889,5.90222,5.86442,5.70951,5.54632,5.33899,5.28813,5.12923,5.03256,4.84116,4.78397,4.62201,4.47291,4.34293,4.24956,4.44794,4.28969,4.97580,4.90147,4.59123,4.40994,5.53719,5.47588,5.47150,5.94460
2021,Medowie 33_11kV,07MAY2020,MW,6.21078,5.94930,5.79482,5.74519,5.47665,4.95976,4.74673,4.79221,4.41630,4.05332,3.72767,3.50604,3.23773,3.09040,3.04427,2.97345,2.93379,2.93492,2.94819,3.04567,3.12387,3.22521,3.39028,3.55924,4.03131,4.26702,4.49418,4.37236,4.06712,4.01806,3.81252,3.70901,3.52869,3.25108,3.27516,3.15856,2.86118,2.56703,2.42835,2.45465,2.49970,2.39451,2.05074,1.84481,1.79976,1.73923,1.82469,2.00737,1.98020,1.96886,1.97538,1.81372,2.03718,2.16615,1.92801,2.07431,2.07983,2.16355,2.42842,2.12948,2.73442,2.83622,2.74954,2.95370,3.24023,3.53313,3.83653,4.22906,4.63681,5.23603,5.77502,5.89796,5.82314,5.88078,5.77344,5.54007,5.29109,5.15694,5.09394,4.95838,4.80658,4.69494,4.62140,4.54067,4.41224,4.27903,4.54015,4.37972,5.15319,5.09025,4.75798,4.59652,5.63847,5.46471,5.53781,5.89733
2021,Medowie 33_11kV,08MAY2020,MW,6.29115,6.06500,5.85069,5.76201,5.41723,5.03350,4.73290,4.71270,4.38602,4.06385,3.72391,3.48906,3.33011,3.18003,3.06651,3.03533,2.93396,2.94584,2.99653,3.08520,3.10873,3.24155,3.34641,3.51750,3.88668,4.18589,4.33105,4.32570,4.13491,4.08858,3.97264,3.76958,3.47757,3.33929,3.07159,2.76228,2.52512,2.29592,2.06593,1.79144,1.63706,1.50567,1.38159,1.35925,1.33203,1.21183,1.10888,1.10496,1.09657,1.11932,1.12485,1.16479,1.17437,1.18813,1.23832,1.33251,1.49955,1.55503,1.69726,2.03958,2.18689,2.55300,2.92826,3.06085,3.12950,3.39415,3.69043,3.94563,4.22013,4.58302,4.94255,5.14696,5.14347,5.13046,5.07122,4.96707,4.77519,4.74029,4.63764,4.50564,4.39724,4.28798,4.20049,4.09115,4.02656,3.96978,4.13934,4.04974,4.75572,4.69009,4.42914,4.34599,5.48861,5.34268,5.49011,5.80335
2021,Medowie 33_11kV,09MAY2020,MW,5.92622,5.75614,5.58608,5.55608,5.24877,4.82255,4.42861,4.02949,4.16243,4.00592,3.69160,3.41533,3.21896,3.06069,2.99161,2.85277,2.79050,2.78617,2.77195,2.80268,2.81752,2.80098,2.90092,2.90564,3.04431,3.22611,3.31737,3.62190,3.65710,3.82322,4.04389,4.12066,4.10559,3.87841,3.65263,3.33553,3.13233,2.84181,2.78630,2.24861,3.21367,3.81940,4.22458,3.98755,3.80791,2.89537,1.82874,2.75526,2.72604,1.48974,2.13083,2.80194,3.24495,3.52114,3.81109,3.93935,3.93216,4.07918,4.09790,4.18340,4.20327,4.34285,4.36829,4.58581,4.70531,4.70722,4.56598,4.60228,4.74808,5.18370,5.50882,5.62196,5.56783,5.50577,5.44839,5.29091,5.21888,5.14989,5.00667,4.78323,4.66580,4.66986,4.56181,4.53181,4.43046,4.35688,5.02356,4.87573,4.75463,4.48250,4.49189,4.33312,5.57846,5.38589,5.07171,5.11029
2021,Medowie 33_11kV,10MAY2020,MW,5.33969,4.92049,4.85264,4.98860,4.61787,4.09739,3.75746,3.53168,3.59257,3.33405,3.18875,3.03951,2.92979,2.87904,2.86728,2.77983,2.79872,2.81525,2.77142,2.80452,2.80487,2.86201,2.88834,2.96326,3.05846,3.18220,3.34971,3.64362,3.64885,3.75331,3.79665,3.85066,4.00798,4.11106,3.93156,3.75491,3.67314,3.52000,3.17823,2.98639,2.71211,2.46142,2.18823,2.04433,1.92173,1.70798,1.72299,1.68644,1.54498,1.56131,1.50663,1.42378,1.40020,1.47360,1.59202,1.61465,1.72004,1.85579,2.03128,2.26976,2.49747,2.82343,3.07896,3.41591,3.87442,4.37947,4.61873,4.93951,5.42843,5.94130,6.44459,6.67739,6.61594,6.60886,6.50777,6.38234,6.22735,6.11508,6.02317,5.81534,5.75720,5.69674,5.46429,5.41549,5.20133,5.04730,5.57445,5.34521,5.23564,4.95092,4.82188,4.56738,5.73069,5.56134,5.23257,5.31736
