year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Menai 132_11kV,01MAY2020,MW,21.76048,20.35902,18.86287,19.41209,22.46121,24.43083,23.12406,21.49534,19.58254,19.63936,18.95757,16.87432,15.90845,14.33654,13.04871,12.15860,11.77983,11.21167,11.09804,11.09804,11.64726,11.76089,12.27223,12.61313,13.56006,14.22291,15.28347,15.79481,14.94258,15.58649,15.92739,16.02208,15.96526,16.15465,15.79481,15.15090,14.33654,13.46536,13.59793,12.95402,12.46162,12.13966,11.68513,11.79876,11.15485,10.96546,10.66245,10.98440,10.64351,10.52988,10.77608,10.22686,11.24954,11.79876,11.21167,10.79502,10.54882,11.76089,12.44268,12.44268,13.71157,14.63956,14.58274,14.65850,15.37816,16.30616,17.30990,19.20377,20.45372,21.93093,23.91949,25.13156,25.62396,25.68078,25.83229,25.49139,24.79066,24.07099,23.63541,23.33239,22.68847,21.98775,21.60897,21.07869,20.51053,19.94237,19.65829,18.86287,19.37422,19.67723,20.11282,20.45372,22.51803,25.18837,24.67703,23.57859
2021,Menai 132_11kV,02MAY2020,MW,22.93468,21.68473,20.11282,20.35902,23.67328,25.32094,24.03312,22.36652,20.66204,20.54841,20.28327,18.29471,17.13946,15.35923,14.20397,13.21916,12.51843,11.85558,11.43893,11.06016,11.13591,11.30636,11.30636,11.30636,11.49575,11.89346,12.49949,12.84039,12.29117,12.72676,12.85933,13.20022,13.80626,13.38961,13.21916,14.03352,15.35923,15.66224,15.28347,13.78732,13.48430,12.89720,12.29117,11.79876,11.24954,10.81396,10.56775,10.43518,10.43518,10.20792,10.09429,10.41624,10.30261,10.39731,10.39731,10.39731,10.54882,10.81396,11.30636,11.59044,12.23435,12.80251,13.35173,14.16609,15.01833,16.02208,17.29097,18.65455,19.80980,20.85143,22.72635,24.12781,24.31720,24.26038,23.88161,23.67328,23.54071,22.87786,22.51803,22.10138,21.49534,20.88931,20.68098,20.13176,19.82874,19.41209,19.22271,18.88181,19.14695,19.33634,19.71511,20.15070,22.42333,24.96111,24.60128,23.86267
2021,Menai 132_11kV,03MAY2020,MW,23.40814,22.12032,20.56735,20.75673,23.86267,25.66184,24.41189,22.89680,20.88931,21.26808,20.81355,18.65455,17.80231,15.92739,14.82894,13.78732,13.01084,12.19648,11.85558,11.30636,11.49575,11.17379,11.17379,11.09804,11.13591,11.74195,12.10178,12.40480,12.21541,12.80251,13.23810,13.48430,13.71157,14.16609,14.24185,14.20397,14.26079,14.16609,13.78732,13.76838,13.14341,12.38586,11.89346,11.74195,11.17379,11.13591,10.73820,10.92759,10.41624,10.07535,10.07535,10.18898,10.05641,9.73445,9.71552,9.81021,10.05641,10.92759,11.13591,11.13591,11.93133,12.46162,13.04871,13.38961,14.26079,15.26453,16.15465,17.42354,18.54092,19.82874,21.77942,23.14300,23.57859,23.99524,23.63541,22.83998,22.34758,21.85518,21.15445,20.77567,20.26433,19.77193,19.54466,18.93863,18.50304,17.97276,17.66974,17.36672,17.48035,17.82125,18.01063,18.61667,20.90824,23.57859,23.06725,22.59378
2021,Menai 132_11kV,04MAY2020,MW,22.10138,21.28702,19.82874,20.20751,22.93468,24.92323,23.86267,22.29076,20.66204,21.04081,20.96506,19.12801,17.76443,16.26828,14.73425,13.82520,13.14341,12.40480,12.02603,11.96921,11.96921,12.12072,12.53737,12.85933,13.69263,14.81001,15.64331,15.98420,15.49180,16.19253,16.59024,16.85538,16.96901,16.79856,16.34403,15.51074,14.96152,14.03352,13.44642,12.82145,12.23435,11.41999,10.75714,10.43518,10.26474,10.75714,11.02228,11.57150,10.70032,10.30261,10.49200,10.73820,9.98066,9.73445,9.71552,10.35943,11.45787,9.98066,11.17379,10.90865,11.51469,12.42374,12.84039,13.61687,14.45017,15.49180,16.93113,18.48410,20.11282,21.72260,23.73010,24.90429,25.43458,25.51033,25.05580,24.41189,23.88161,23.14300,22.38546,21.68473,20.87037,20.18858,19.62042,19.31740,18.57879,18.23790,17.91594,17.34778,17.66974,17.84019,18.04851,18.61667,20.83249,23.52177,23.38920,22.72635
2021,Menai 132_11kV,05MAY2020,MW,21.98775,20.98400,19.62042,19.77193,22.68847,24.54446,23.55965,21.85518,20.28327,20.45372,20.01813,17.93488,17.06370,15.24559,13.82520,13.02978,12.23435,12.02603,11.70407,11.49575,11.30636,11.53362,11.77983,12.21541,12.91614,13.95777,14.92364,15.34029,14.45017,15.07515,15.51074,15.37816,14.98045,14.98045,14.27972,13.86307,13.23810,12.51843,11.77983,11.64726,10.96546,10.75714,10.07535,10.09429,10.20792,9.62082,9.73445,10.92759,10.64351,10.17004,10.24580,10.18898,10.75714,10.58669,10.28367,9.60188,10.39731,10.34049,10.09429,10.34049,10.60563,11.30636,11.76089,12.46162,13.33279,14.14715,15.09409,16.36297,17.66974,18.69242,20.56735,21.94987,22.53697,22.55590,22.00668,21.64685,20.92718,20.35902,20.09388,19.65829,18.90075,18.69242,18.40835,17.72655,17.42354,16.76068,16.62811,16.36297,16.41979,16.87432,17.63186,18.01063,20.18858,22.89680,22.55590,21.87411
2021,Menai 132_11kV,06MAY2020,MW,21.36277,20.22645,18.90075,19.29846,22.25289,24.14675,23.02937,21.26808,19.50679,19.94237,19.43103,17.36672,16.32510,14.77213,13.80626,12.72676,12.13966,11.64726,11.40105,11.15485,11.40105,11.83664,11.91240,12.38586,13.27598,14.60168,15.58649,15.87057,14.99939,15.52967,16.15465,16.32510,16.17359,15.60543,15.43498,14.96152,14.22291,13.42749,12.84039,11.76089,11.34424,10.88971,10.41624,9.99959,9.52613,9.16630,9.09054,9.10948,8.93903,9.12842,9.07160,9.01479,8.97691,8.90115,8.76858,8.99585,9.01479,9.16630,9.52613,9.99959,10.52988,11.23061,11.57150,12.31011,12.99190,13.97671,14.77213,15.56755,16.55236,18.18108,19.98025,21.13551,21.70367,21.45746,21.17338,21.19232,20.52947,19.77193,19.24164,18.80606,17.95382,17.57505,17.29097,17.06370,16.53342,16.23040,15.92739,15.87057,16.05996,16.49554,17.10158,17.63186,20.15070,22.72635,22.21501,21.55216
2021,Menai 132_11kV,07MAY2020,MW,21.11657,20.09388,18.86287,19.33634,22.36652,24.03312,22.82105,21.15445,19.58254,19.58254,19.12801,17.00689,16.17359,14.65850,13.59793,12.55631,12.00709,11.55256,11.21167,11.17379,11.53362,11.85558,11.85558,12.12072,13.10553,14.10928,15.09409,15.58649,14.65850,15.43498,15.73800,16.19253,16.59024,16.79856,17.02583,17.27203,16.95007,15.92739,15.32135,15.22666,14.73425,13.99565,13.57900,12.61313,12.13966,11.41999,10.56775,9.99959,10.58669,10.34049,11.32530,9.94278,9.77233,10.41624,10.73820,9.92384,10.01853,9.81021,10.20792,10.37837,10.70032,11.24954,12.19648,12.66994,13.56006,14.60168,15.28347,16.30616,17.17733,18.23790,19.90450,21.05975,21.23020,21.26808,21.13551,20.66204,20.03707,19.24164,18.57879,18.02957,17.63186,17.25309,16.83644,16.57130,16.04102,15.62437,15.58649,15.35923,15.81375,16.30616,16.72281,17.21521,19.69617,22.61272,22.13925,21.53322
2021,Menai 132_11kV,08MAY2020,MW,20.94612,20.05601,18.74924,19.16589,22.32864,24.18463,22.97255,21.19232,19.33634,19.65829,19.46891,17.23415,16.17359,14.52593,13.40855,12.55631,11.76089,11.64726,11.38211,11.15485,11.30636,11.45787,11.40105,11.85558,12.63206,13.56006,14.43123,14.58274,13.63581,13.95777,14.31760,14.71531,14.62062,14.56380,14.18503,14.07140,13.33279,12.70782,12.02603,11.55256,11.00334,10.51094,10.18898,9.71552,9.39356,9.14736,9.01479,8.76858,8.80646,8.95797,8.86328,8.86328,8.86328,8.86328,9.05266,9.20417,9.22311,9.77233,10.03747,10.24580,10.79502,11.47681,11.83664,12.57525,13.08659,13.65475,14.33654,14.98045,15.64331,16.60918,17.65080,18.40835,18.78712,18.90075,18.63561,18.31365,17.93488,17.12052,16.79856,16.32510,16.05996,15.75694,15.16984,14.75319,14.60168,14.26079,14.39336,14.10928,14.71531,15.11302,15.87057,16.57130,18.95757,21.72260,21.41959,20.58629
2021,Menai 132_11kV,09MAY2020,MW,20.18858,19.39315,18.12427,18.50304,21.81730,23.38920,22.12032,20.32115,18.50304,18.44622,17.72655,15.71906,15.01833,13.42749,12.53737,11.96921,11.34424,10.83289,10.45412,10.24580,10.24580,10.24580,10.24580,10.24580,10.58669,11.17379,11.62832,11.53362,11.43893,11.64726,12.13966,13.16235,12.59419,12.70782,12.84039,12.82145,13.02978,14.90470,15.07515,15.30241,14.81001,14.31760,13.57900,13.54112,11.81770,9.86702,9.86702,9.62082,9.62082,9.62082,9.35568,9.35568,11.49575,11.06016,9.84809,9.65870,12.48055,13.04871,13.02978,13.12447,13.31385,13.02978,12.57525,13.69263,13.99565,14.45017,14.86682,15.64331,16.19253,16.81750,18.21896,18.65455,18.90075,18.59773,18.27577,17.91594,17.53717,17.13946,16.66599,16.26828,15.88951,15.52967,15.34029,15.11302,14.84788,14.65850,14.82894,14.67744,15.15090,15.66224,16.24934,17.15840,19.52572,22.46121,22.44227,21.85518
2021,Menai 132_11kV,10MAY2020,MW,21.38171,20.22645,18.93863,19.46891,22.48015,24.44977,23.16194,21.36277,19.60148,19.88556,19.50679,17.57505,16.60918,14.86682,13.86307,12.82145,11.96921,11.60938,11.04122,10.70032,10.62457,10.64351,10.49200,10.75714,10.81396,11.21167,11.55256,11.85558,11.77983,12.44268,12.91614,13.52218,13.95777,14.18503,14.54487,14.96152,15.22666,15.22666,14.90470,14.67744,13.93883,13.48430,12.87827,12.49949,11.98815,11.53362,11.38211,11.11697,10.85183,10.85183,10.43518,10.39731,9.98066,9.96172,9.58295,9.75339,9.90490,10.24580,10.49200,10.88971,11.00334,11.83664,12.76463,13.31385,13.91989,15.01833,15.96526,17.12052,18.14320,19.39315,20.79461,21.74154,22.17713,22.42333,22.42333,22.25289,22.29076,22.08244,21.55216,21.21126,20.96506,20.43478,20.30221,19.65829,19.24164,18.73030,18.57879,18.08639,18.14320,18.38941,18.63561,18.63561,21.07869,24.03312,23.52177,23.08619
2021,Menai 132_11kV,11MAY2020,MW,22.49909,21.59003,20.18858,20.34009,23.59753,25.20731,24.31720,22.61272,21.04081,21.13551,21.26808,19.33634,18.33259,16.64705,15.49180,14.43123,13.59793,12.87827,12.59419,12.23435,12.42374,13.01084,13.01084,13.65475,14.62062,15.98420,17.27203,17.82125,17.25309,18.31365,19.05226,19.43103,19.12801,18.93863,18.38941,17.68868,16.62811,15.73800,15.11302,14.43123,13.76838,13.14341,12.61313,11.85558,11.32530,10.66245,10.58669,10.43518,10.17004,10.17004,10.09429,9.84809,9.92384,9.92384,10.13217,10.01853,10.13217,10.30261,10.81396,10.92759,11.53362,12.06391,12.80251,13.40855,14.56380,15.79481,16.95007,18.59773,20.11282,22.25289,24.22250,25.56715,26.30575,26.58983,25.94592,25.52927,24.98005,24.33614,23.78692,23.06725,22.53697,21.81730,21.41959,20.73780,20.11282,19.65829,19.35528,18.61667,18.74924,19.10907,19.12801,19.48785,21.55216,24.33614,23.86267,23.23769
2021,Menai 132_11kV,12MAY2020,MW,22.63166,21.55216,20.16964,20.37796,23.46496,25.24519,23.91949,22.25289,20.73780,21.05975,20.90824,19.03332,18.01063,16.24934,15.05621,14.29866,13.50324,12.87827,12.55631,12.19648,12.23435,12.70782,13.18128,13.86307,14.92364,16.30616,17.80231,18.42728,17.68868,18.80606,19.33634,19.63936,20.32115,20.60523,19.90450,18.84393,17.65080,16.85538,15.68118,14.73425,13.74944,12.91614,12.17754,11.59044,11.21167,10.49200,10.13217,9.94278,10.01853,9.88596,9.75339,9.79127,9.94278,9.81021,9.94278,10.13217,10.01853,10.35943,10.52988,10.75714,11.64726,13.35173,13.59793,14.03352,14.58274,15.47286,16.51448,17.87806,19.22271,21.07869,23.21876,24.58234,24.86642,24.90429,24.31720,23.95736,23.23769,22.68847,22.25289,21.62791,20.92718,20.22645,19.75299,19.39315,18.71136,18.20002,17.97276,17.44248,17.65080,18.06745,18.23790,18.59773,20.81355,23.55965,23.25663,22.59378
