year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Merriwa 33_11kV,01MAY2020,MW,1.61540,1.54354,1.45572,1.37580,1.34795,1.27218,1.23208,1.26804,1.16868,1.10199,1.09430,1.07354,1.03819,1.00600,1.00202,0.99803,1.06532,1.02196,1.02168,1.09325,1.08950,1.09774,1.16532,1.18829,1.19156,1.26359,1.40734,1.36351,1.35560,1.35144,1.33553,1.33539,1.32730,1.41156,1.39557,1.35994,1.23582,1.17588,1.28367,1.15218,1.07646,1.04433,1.05649,1.20826,1.17188,1.18349,1.17544,1.00750,0.84360,0.89563,0.98344,0.96752,0.97557,0.82369,0.93946,0.96746,1.01145,1.11936,1.13535,1.00743,1.15137,1.18735,1.25129,1.26329,1.33526,1.38323,1.51566,1.59150,1.76376,1.81224,1.91693,2.04590,2.09049,2.13372,2.10557,2.11118,2.07183,2.00720,1.94338,1.91891,1.89923,1.81655,1.73192,1.72835,1.69624,1.62790,1.69542,1.78374,1.85978,1.81183,2.19580,2.20767,2.21934,2.09926,1.98327,1.84710
2021,Merriwa 33_11kV,02MAY2020,MW,1.76706,1.68721,1.61121,1.55124,1.44720,1.39123,1.36727,1.28729,1.24739,1.19135,1.15578,1.15578,1.09996,1.11594,1.13969,1.11982,1.10772,1.03315,1.04562,1.04562,1.05813,1.09748,1.10199,1.12875,1.16050,1.19326,1.22566,1.26263,1.26293,1.31537,1.31967,1.37379,1.36933,1.37332,1.39706,1.42799,1.51539,1.47143,1.24745,1.20364,1.29136,1.21547,1.25139,1.32730,1.20737,1.05958,1.11140,1.11548,1.19165,1.15951,0.99994,1.06830,1.17201,1.12407,1.08827,0.84089,0.92802,0.99195,1.09680,1.04403,1.00457,1.19229,1.31199,1.38379,1.45552,1.55130,1.57951,1.68342,1.77906,1.89499,1.96347,2.04360,2.05959,2.06747,2.04760,1.95547,1.92384,1.91185,1.88354,1.85591,1.78720,1.75100,1.69105,1.63507,1.57510,1.50714,1.53517,1.49534,1.45152,1.47151,1.39977,1.34771,1.43545,1.38419,1.35994,1.34010
2021,Merriwa 33_11kV,03MAY2020,MW,1.30829,1.27617,1.28816,1.24474,1.19283,1.15758,1.13390,1.07009,1.06640,1.01161,0.98773,1.01524,0.95987,0.99967,0.99171,1.00365,1.01427,1.01092,0.99171,0.99864,1.01559,0.99569,1.01277,1.09559,1.12566,1.19456,1.21081,1.25958,1.24364,1.22706,1.17526,1.21820,1.22247,1.19916,1.19855,1.17805,1.12620,1.04248,1.02567,0.98607,0.91345,0.82942,0.80948,0.78058,0.78359,0.73968,0.66167,0.64088,0.72030,0.77757,0.68624,0.63448,0.64941,0.66633,0.65040,0.65339,0.63089,0.64367,0.69576,0.70727,0.77421,0.83862,0.89041,0.98951,1.08926,1.16050,1.26834,1.36872,1.57942,1.73513,1.84295,1.92701,2.05539,2.09136,2.01533,2.02732,1.98745,1.98417,1.93609,1.90044,1.80772,1.76736,1.76728,1.71514,1.67516,1.63919,1.61916,1.56324,1.49934,1.46730,1.46321,1.42724,1.50319,1.44718,1.36737,1.35923
2021,Merriwa 33_11kV,04MAY2020,MW,1.33125,1.30725,1.29927,1.25534,1.21954,1.18387,1.18000,1.19165,1.13570,1.12807,1.08862,1.04034,1.05232,1.05649,1.06466,1.03671,1.07265,1.08827,1.07101,1.10997,1.10228,1.15385,1.21321,1.27269,1.34752,1.46352,1.54730,1.55512,1.53931,1.49128,1.51514,1.49534,1.41165,1.38778,1.25636,1.18015,1.11657,1.02436,0.97197,0.94512,0.85335,0.80179,0.76108,0.74938,0.66006,0.61577,0.58017,0.55604,0.55182,0.55974,0.55570,0.54382,0.56391,0.55192,0.58001,0.57635,0.59675,0.58034,0.62396,0.71614,0.75595,0.79580,0.87173,0.97574,1.03179,1.12362,1.18775,1.35128,1.43121,1.57918,1.68761,1.79259,1.91293,1.95034,1.97502,1.94488,1.94870,1.89229,1.86066,1.79642,1.75155,1.70741,1.65523,1.61532,1.57523,1.50716,1.58314,1.63509,1.70307,1.65510,2.06692,2.06686,2.09087,1.95089,1.81508,1.72706
2021,Merriwa 33_11kV,05MAY2020,MW,1.65913,1.56329,1.53126,1.46336,1.40766,1.35582,1.30365,1.22783,1.16433,1.10970,1.10571,1.09302,1.10080,1.07307,1.07753,1.09349,1.09281,1.06532,1.09748,1.11344,1.12965,1.13763,1.19304,1.26452,1.39130,1.47117,1.52713,1.57923,1.59909,1.61939,1.57942,1.56736,1.56397,1.54918,1.52216,1.55783,1.49423,1.22519,1.20284,1.19374,1.08364,1.16762,1.16992,1.11740,1.14047,1.15470,1.16267,1.08604,1.02623,1.09594,1.14484,1.12179,1.02196,0.96613,0.99434,0.99434,1.06670,1.06373,1.11152,1.00524,1.13816,1.13715,1.22025,1.20861,1.24914,1.38343,1.51558,1.51019,1.58532,1.65784,1.73325,1.84486,1.89629,1.95269,1.95705,1.99736,1.94107,1.84885,1.82109,1.76862,1.68734,1.63119,1.60317,1.57129,1.53521,1.47116,1.53115,1.55130,1.62312,1.60708,1.99488,2.00287,2.04284,1.92691,1.78300,1.71510
2021,Merriwa 33_11kV,06MAY2020,MW,1.61116,1.51947,1.50333,1.43938,1.36360,1.33562,1.25980,1.21197,1.16816,1.11795,1.07330,1.05334,1.05334,1.02567,0.97781,1.00078,1.00877,0.97382,1.01344,1.04091,1.07307,1.09261,1.10795,1.20748,1.25134,1.31125,1.32334,1.33184,1.32773,1.36724,1.37522,1.38322,1.34726,1.29927,1.34058,1.37689,1.35037,1.19001,1.00857,0.88782,0.84047,0.81346,0.79734,0.74071,0.62703,0.57524,0.56332,0.57328,0.52069,0.50828,0.55239,0.52988,0.50131,0.50241,0.54148,0.57656,0.57307,0.55591,0.56769,0.61970,0.67961,0.73959,0.77965,0.86765,0.92755,1.01555,1.13142,1.21936,1.27928,1.38336,1.53587,1.71749,1.73704,1.78443,1.74390,1.78460,1.75647,1.67642,1.66079,1.62378,1.51119,1.43923,1.43918,1.44722,1.47518,1.40320,1.47518,1.57111,1.64307,1.64706,2.01895,2.02299,2.03085,1.97091,1.80699,1.71914
2021,Merriwa 33_11kV,07MAY2020,MW,1.59911,1.50733,1.48324,1.42328,1.33562,1.27967,1.23195,1.20826,1.18447,1.12475,1.06931,1.06886,1.09281,1.04890,1.04935,1.03714,1.05710,1.04137,1.06931,1.08128,1.16089,1.17308,1.18814,1.22772,1.35923,1.43118,1.49917,1.51932,1.51922,1.58342,1.65215,1.59622,1.52124,1.43244,1.34440,1.32644,1.27585,1.24986,1.22334,1.16378,1.12734,1.03745,0.99450,0.98600,0.96746,0.90575,0.80791,0.75819,0.81719,0.81508,0.84260,0.82203,0.79724,0.86085,0.77659,0.70433,0.70416,0.72013,0.69617,0.79699,0.83249,0.83648,0.91695,0.99608,1.07586,1.14835,1.23223,1.34795,1.42965,1.50994,1.63946,1.70725,1.73489,1.78330,1.78302,1.73634,1.67585,1.66353,1.66353,1.57152,1.53555,1.45531,1.47125,1.41921,1.42721,1.35937,1.39934,1.48324,1.55114,1.59109,1.99886,1.97889,2.01089,1.88293,1.72709,1.63919
2021,Merriwa 33_11kV,08MAY2020,MW,1.57528,1.45184,1.44373,1.37958,1.31186,1.26819,1.20444,1.14435,1.09680,1.01856,1.00402,0.97144,0.93600,0.95949,0.99833,0.99067,1.01028,1.04163,1.02993,1.03420,1.07101,1.09325,1.16133,1.18528,1.26452,1.32842,1.38818,1.41702,1.29285,1.29665,1.31228,1.31612,1.25192,1.18829,1.23582,1.11554,0.99963,0.91969,0.81569,0.68390,0.62810,0.58401,0.58772,0.55568,0.54369,0.52784,0.49187,0.46789,0.47173,0.49573,0.58772,0.49997,0.50777,0.50810,0.63984,0.69179,0.69579,0.54382,0.62776,0.57967,0.68762,0.70378,0.73975,0.84376,0.91170,0.97165,1.05958,1.14352,1.19533,1.26334,1.45384,1.49797,1.50850,1.51947,1.50357,1.49192,1.41987,1.42813,1.40777,1.41947,1.35128,1.29127,1.25531,1.25528,1.25131,1.21931,1.27143,1.34761,1.41939,1.42324,1.83096,1.87895,1.89496,1.81101,1.64718,1.53921
2021,Merriwa 33_11kV,09MAY2020,MW,1.44745,1.38342,1.30365,1.26779,1.18400,1.16003,1.11640,1.09243,1.04114,1.00499,0.97809,0.98153,0.92627,0.95759,0.89871,0.87195,0.89838,0.88277,0.87952,0.89942,0.98425,1.02074,1.05232,1.04789,1.04768,1.04003,1.12807,1.16417,1.24873,1.28467,1.32373,1.42333,1.40722,1.30726,1.34323,1.22733,1.03141,1.00750,1.18335,1.19143,1.06740,1.10748,0.96428,0.99224,0.83648,0.82815,0.92761,1.01992,1.10409,1.08398,1.07158,1.12742,1.15937,1.17533,1.27128,1.36325,1.29126,1.14338,1.03541,0.99944,0.95559,0.95159,0.96827,0.99241,1.07729,1.18829,1.30030,1.38349,1.45552,1.57910,1.67516,1.81160,1.81113,1.74712,1.75904,1.69904,1.65910,1.61126,1.60713,1.57111,1.53512,1.48720,1.47518,1.45926,1.44726,1.37942,1.38349,1.36337,1.30741,1.26344,1.21954,1.22347,1.31131,1.30326,1.26338,1.19628
2021,Merriwa 33_11kV,10MAY2020,MW,1.17231,1.15290,1.19245,1.10899,1.06886,1.03293,1.04091,1.01743,0.97809,0.94684,0.92330,0.89905,0.91534,0.92728,0.89544,0.89980,0.91896,0.93456,0.97872,0.93242,0.95589,0.99967,1.04022,1.02790,1.06610,1.08296,1.12892,1.15319,1.18541,1.20968,1.17389,1.23568,1.19885,1.21820,1.17007,1.14114,1.10101,1.01320,0.98481,0.95288,0.79121,0.71166,0.73075,0.69754,0.62581,0.58674,0.61499,0.63487,0.62549,0.62121,0.62254,0.63089,0.56877,0.54287,0.56199,0.57902,0.59876,0.58428,0.63160,0.69271,0.75718,0.80792,0.89544,1.00573,1.08483,1.25221,1.40740,1.51140,1.68306,1.84706,2.03931,2.13174,2.15131,2.18737,2.13915,2.11489,2.08706,2.09127,2.03132,1.99519,1.92311,1.87104,1.81097,1.74301,1.74301,1.71102,1.69503,1.63511,1.61516,1.58310,1.50716,1.44345,1.50767,1.46383,1.44043,1.42000
