year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Metford 33_11kV,01MAY2020,MW,13.39214,12.97549,12.56449,11.92398,11.26206,10.63024,10.02784,9.44978,9.03054,8.60110,8.31020,8.20967,8.10933,8.04939,7.78937,7.79163,7.86855,7.88286,7.94414,8.00395,8.20325,8.53209,8.88791,9.05733,9.55767,10.18730,10.61671,11.05455,10.72777,10.93705,11.06943,10.73509,10.77924,10.45850,10.16813,9.91969,9.78705,10.16377,9.59890,8.72505,9.12535,8.51589,9.38743,9.09145,8.81842,8.69046,9.06534,8.78851,9.01917,7.82994,10.13274,9.55566,7.61111,8.20858,7.61806,7.48763,7.71819,7.90872,8.09860,8.42719,9.19362,9.96667,10.32473,10.95139,11.67668,12.31483,13.37601,14.30887,15.11870,15.88590,16.93804,17.40071,17.61471,17.53448,17.40666,17.15610,16.69425,16.36423,15.92836,15.52934,15.33135,15.01788,14.70881,14.56587,14.38490,14.31520,14.29144,13.73708,13.27346,12.95353,12.42694,12.04734,14.34887,14.26988,13.74322,13.12527
2021,Metford 33_11kV,02MAY2020,MW,14.13496,13.78984,13.25215,12.53279,11.76745,11.15920,10.55429,9.84219,9.39749,8.98441,8.65884,8.58452,8.46064,8.32670,8.03472,7.97829,7.83705,7.86338,7.92480,7.90545,8.03759,8.06978,8.38114,8.62452,9.00455,9.06379,9.24746,9.63273,9.94189,10.17676,10.15338,10.02247,10.26160,10.13389,10.20504,9.93024,9.81378,9.47254,9.63954,9.84431,9.05880,8.40066,8.06188,7.60188,7.35858,7.27364,7.11232,7.25432,6.96167,6.70277,6.60731,6.71369,7.05288,6.29872,6.31315,7.85165,7.94115,7.51443,7.47049,9.07432,9.06028,9.34018,10.03797,10.24226,11.02922,12.18488,12.50011,13.61536,14.43366,15.20612,16.12660,16.73045,16.63706,16.66214,16.30481,16.11913,15.89929,15.38649,14.82557,14.49482,14.05518,13.88435,13.93930,13.67376,13.27283,12.72135,12.43459,12.11956,11.95509,11.61477,11.16081,10.94380,11.44039,11.22367,10.90563,10.64455
2021,Metford 33_11kV,03MAY2020,MW,10.38258,10.16190,9.94849,9.77770,9.47206,9.17258,9.03828,8.79018,8.52125,8.28819,8.19399,8.15844,8.09624,7.92855,7.68472,7.76237,7.76134,7.69609,7.74815,7.74796,7.87603,7.96452,7.98856,8.19131,8.40218,8.61463,8.84629,9.25405,9.37794,9.55026,9.54296,9.78000,9.83501,9.59445,9.45840,9.37841,9.17885,8.70910,8.25738,8.16168,7.92065,7.65194,7.22950,6.93138,6.90047,6.92593,6.63888,6.44432,6.36147,6.48204,6.71420,6.80534,8.14305,8.84025,8.19526,8.19785,9.28661,8.74827,8.26936,8.20073,8.53506,8.60784,9.37447,10.29909,10.49633,11.22385,11.95729,12.94516,13.77617,15.04942,16.14033,16.66690,16.59848,16.46799,16.14627,15.96008,15.72551,15.38388,15.02365,14.69180,14.30601,13.97999,13.60651,13.23985,13.08554,12.65853,12.35833,11.96040,11.61776,11.39451,11.03802,10.72694,11.20760,10.82716,10.55370,10.30358
2021,Metford 33_11kV,04MAY2020,MW,10.18327,9.75988,9.79968,9.66724,9.42283,9.11571,8.91069,8.64037,8.48802,8.23541,8.10306,8.03497,8.10348,7.97228,7.90347,7.76423,7.86127,8.11578,8.11411,8.19325,8.55622,8.80060,9.28800,9.49773,10.06398,10.75711,11.32358,11.90128,11.81829,12.27004,12.37694,12.21534,12.36725,11.86931,11.15417,10.79312,10.52334,10.02307,9.44991,9.04848,8.81971,8.38005,7.74096,7.42615,7.09036,6.82678,6.74088,6.78228,6.85633,6.86898,6.79306,6.72292,6.84878,6.75217,6.73893,6.73611,6.65994,7.52632,9.12667,9.42124,8.97280,9.07565,9.65410,10.16860,10.82071,11.42647,12.39080,13.43410,14.30317,15.09143,15.92799,16.22941,16.33357,16.21960,16.04464,15.57755,15.18089,14.79084,14.45165,14.20427,13.82376,13.47851,13.15071,12.77576,12.53917,12.61086,12.65199,12.20882,11.84993,11.56313,11.07865,10.66676,13.04541,13.14116,12.59053,12.16868
2021,Metford 33_11kV,05MAY2020,MW,13.25980,12.96546,12.44976,11.80857,11.19324,10.56020,10.08225,9.59809,9.11161,8.73135,8.47114,8.35535,8.19299,8.15918,8.01664,8.03219,7.86656,7.91384,8.07985,8.07659,8.34689,8.63756,8.82610,9.05698,9.38334,10.08073,10.44755,11.10753,11.29979,11.41289,11.56097,11.77988,11.98688,12.39035,12.40313,12.30310,10.98514,9.23744,9.31446,11.29376,10.84144,11.36772,11.07508,9.88171,10.20687,10.83440,12.40405,12.23727,11.99551,11.22946,10.33280,10.64944,10.98470,9.97451,8.70927,9.46645,8.61656,9.31664,10.15100,9.86255,10.74493,11.31487,11.63272,11.80877,11.06243,11.90365,13.03817,14.18681,14.84349,15.36384,15.96456,16.19300,16.24787,16.04051,15.72223,15.31049,14.82274,14.32093,13.99528,13.68348,13.42762,13.22603,12.81558,12.64283,12.45064,12.53768,12.51060,12.09306,11.79322,11.34883,10.85467,10.70315,13.10681,13.18914,12.78778,12.14827
2021,Metford 33_11kV,06MAY2020,MW,13.15169,12.90820,12.32515,11.63049,11.01425,10.61267,9.94499,9.42714,9.02258,8.64441,8.26954,8.09315,8.07331,7.92521,7.68721,7.65237,7.74096,7.75312,7.76982,7.80921,8.11874,8.50007,8.73806,8.84349,9.14311,9.72718,10.01164,10.71902,10.69498,11.25157,11.68055,11.95461,12.28808,12.27276,12.28977,12.34220,12.34552,12.12221,12.21925,12.21397,11.92338,11.58854,11.18422,10.27858,9.44229,7.82914,7.38478,7.04492,7.05417,6.74041,6.63734,6.64841,6.61018,6.50928,6.69253,6.80688,6.95455,7.25666,7.62738,7.81548,8.36072,8.85198,9.40378,9.92682,10.44540,11.13354,11.89879,12.61055,13.28659,14.15021,15.10593,15.47776,15.58510,15.28792,14.91403,14.72946,14.34359,14.01287,13.67126,13.37016,13.22750,12.83516,12.74129,12.42031,12.25377,12.27743,12.40913,12.06291,11.75052,11.45008,11.02773,10.85336,13.16826,13.21275,12.71368,12.20638
2021,Metford 33_11kV,07MAY2020,MW,13.29860,12.94396,12.35303,11.64575,11.11195,10.54862,10.01842,9.52434,9.11200,8.76667,8.50169,8.36960,8.20789,8.07742,7.86821,7.82947,7.93775,8.05541,8.07419,8.23882,8.50767,8.80890,9.19317,9.47276,9.89744,10.59067,11.23922,11.63236,11.18346,11.77791,11.96337,12.03990,11.98784,11.30508,11.99045,12.06650,11.69727,11.14764,11.15134,11.01727,10.21552,9.41772,9.56263,9.35772,9.43578,9.54248,9.41859,9.35879,9.36063,9.11394,8.94474,9.15638,9.21235,8.56547,8.85314,9.24962,9.32488,9.29676,8.81308,9.97103,9.97106,9.96275,10.56193,11.13499,11.16278,11.85412,12.31980,13.08185,13.64636,14.50423,15.26170,15.70403,15.88837,15.82338,15.49408,15.07692,14.86212,14.36304,14.02062,13.84347,13.45534,13.20286,13.00596,12.63357,12.49190,12.37953,12.37221,11.85485,11.75028,11.44944,11.09073,10.84967,13.31414,13.35562,12.79539,12.22810
2021,Metford 33_11kV,08MAY2020,MW,13.06352,12.87818,12.36070,11.59854,10.99851,10.43342,9.99447,9.42002,9.07072,8.75688,8.66993,8.30520,8.26516,8.11472,7.94016,7.76566,7.91339,7.95727,8.03611,8.05865,8.27845,8.61375,8.97275,9.31026,9.67659,10.18097,10.74540,11.26265,11.11456,11.23534,11.26187,11.07140,10.91552,10.58515,10.29811,9.97676,9.43092,9.00593,8.46462,8.03750,7.89943,7.37174,7.25239,7.12009,7.05249,6.96964,7.22073,7.14434,7.11730,6.76337,7.17157,7.09733,6.99258,7.28308,7.37655,7.50243,7.68039,7.78549,8.36959,8.78486,9.19684,9.43443,10.69981,11.25382,10.76470,11.24318,11.89218,12.36718,12.66297,12.94616,13.42659,13.73229,13.70883,13.55674,13.39192,13.13243,12.84785,12.69437,12.42444,12.07743,11.77599,11.58938,11.54082,11.37696,11.25173,11.26447,11.43403,10.98767,10.88581,10.80636,10.53135,10.39166,12.86614,12.81146,12.40836,11.87612
2021,Metford 33_11kV,09MAY2020,MW,12.98853,12.54727,11.89078,11.35586,10.79639,10.11537,9.59238,9.19223,8.71122,8.35746,8.18826,7.98894,7.83976,7.68012,7.63527,7.61948,7.44853,7.46354,7.55289,7.62630,7.73738,7.81867,7.91003,7.74779,8.44056,8.56681,8.87041,9.37959,9.84950,10.34190,10.73841,10.96021,10.26111,10.35590,9.59282,9.57271,9.75432,9.17977,9.53448,10.31550,9.90773,11.05910,9.75220,7.37971,7.58905,8.68203,9.52403,7.17112,6.15054,8.17032,8.79977,7.85804,9.45911,11.20890,11.37246,11.66394,12.02774,11.91595,12.14561,11.86644,11.91192,12.31908,12.21717,12.13068,12.01514,11.54285,11.83148,12.40312,13.09874,13.82735,14.44289,14.88922,14.89225,14.61940,14.43508,14.13962,13.92619,13.66202,13.23509,12.96302,12.59075,12.42477,12.13486,11.99892,11.76139,11.53258,11.39158,11.10294,11.09135,10.86743,10.64617,10.45522,11.03355,10.79213,10.49098,10.13861
2021,Metford 33_11kV,10MAY2020,MW,9.85960,9.58644,9.43093,9.27566,9.12494,8.78727,8.52702,8.36604,8.10110,7.90811,7.88483,7.79716,7.69840,7.60296,7.43100,7.49524,7.52536,7.44583,7.46276,7.43230,7.61998,7.76514,7.98618,7.95916,8.15111,8.38474,8.72246,9.13321,9.34035,9.60111,9.65225,9.67417,9.83327,9.86608,9.57655,9.43852,9.38012,8.91322,8.53184,8.42695,8.17697,7.76307,7.38843,7.15104,6.91159,6.68397,6.59679,6.43840,6.41369,6.38621,6.43206,6.44060,6.35202,6.27813,6.34919,6.52590,6.81721,7.09548,7.40733,7.68086,8.12869,8.66354,9.12422,9.86730,10.64721,11.23454,11.94979,12.84159,13.79346,15.06816,16.14586,16.70352,16.95084,16.73383,16.61602,16.63080,16.32161,16.09519,15.71487,15.47468,15.20589,15.13250,14.93300,14.52984,14.20264,13.76520,13.44505,12.89488,12.49962,12.09762,11.70208,11.53805,11.94278,11.47929,11.19237,11.02634
