year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Miranda 33_11kV,01MAY2020,MW,12.97269,12.32788,11.67810,11.50387,11.88499,12.09382,11.66998,11.11684,10.48533,10.23497,10.02706,9.55881,9.45001,8.74649,8.41959,8.16634,8.15661,8.03281,7.94356,7.86939,7.88168,8.19604,8.40831,8.77010,9.37145,9.77050,10.38922,10.92198,11.19587,11.77767,12.15517,12.83428,13.20067,13.26597,13.34736,13.19978,13.05347,12.56965,12.60587,12.67388,12.76948,12.48121,12.28234,12.37450,12.07567,12.16010,12.06094,12.19687,12.15298,11.99703,11.98238,11.85662,12.06391,12.51691,11.98881,11.90028,11.89588,11.93467,11.97877,12.22004,12.50809,12.88269,12.89061,13.29079,13.54674,13.87668,14.23453,15.16153,15.61587,16.66732,17.53029,18.01050,17.88513,17.95550,17.86853,17.57736,17.25740,16.79848,16.49599,16.07272,15.85585,15.38402,15.00708,14.55129,14.30676,13.82021,13.72344,13.25308,13.28619,13.14567,12.92524,12.73534,13.38672,14.27063,14.14152,14.00275
2021,Miranda 33_11kV,02MAY2020,MW,13.68353,13.01658,12.36178,12.22025,12.64559,12.52112,12.11661,11.38153,10.71256,10.59485,10.30208,9.89399,9.89441,9.15387,8.60526,8.34452,8.34452,8.18569,8.06241,8.06241,8.06241,8.22451,8.24915,8.17819,8.63230,8.97214,9.38477,9.58173,9.67758,10.07247,10.49746,10.89812,11.58558,12.17355,12.37690,12.52300,13.16742,13.51056,13.73988,13.16688,12.93139,12.54647,12.62322,12.58847,12.18678,12.00860,12.06277,12.18187,11.98318,11.89934,11.87832,11.87832,11.87832,11.76041,11.74826,11.81253,11.86347,11.82932,11.84008,12.11776,12.20497,12.44361,12.69495,13.01467,13.30407,13.63688,14.24931,14.98385,15.33788,15.95013,17.08383,17.57109,17.54472,17.32481,17.13256,16.87947,16.27863,15.95136,15.86016,15.40887,15.23394,14.98142,14.54265,14.29017,14.23914,13.95876,13.76714,13.28055,13.12010,13.13630,12.87313,12.79734,13.30934,14.22415,14.08582,14.11878
2021,Miranda 33_11kV,03MAY2020,MW,13.81935,13.21393,12.58295,12.36815,12.79205,12.66104,12.34092,11.74678,11.10750,10.85669,10.59295,10.18161,9.81622,9.49495,9.00220,8.62053,8.37616,8.34452,8.23987,8.09974,8.11244,8.12412,8.04043,8.22147,8.41739,8.83627,9.22106,9.57935,9.82258,10.11351,10.73494,11.07840,11.48716,11.89179,12.43034,12.60731,12.97968,12.95865,12.90392,12.60058,12.49013,12.14741,12.12360,12.17986,12.08619,12.05408,11.93205,11.84862,11.84862,11.96423,11.82322,11.70438,11.53682,11.60426,11.59459,11.50640,11.56307,11.56315,11.62883,11.71499,11.80742,12.10733,12.57077,12.88927,13.12042,13.21588,13.66933,14.38818,15.09423,15.42369,16.68318,17.36130,17.38403,17.17149,16.96498,16.70952,16.11414,15.86188,15.66453,15.33460,14.96476,14.46056,14.25918,13.92473,13.54138,13.07405,12.78404,12.44680,12.32940,12.14452,12.07232,11.87651,12.46278,13.51833,13.66035,13.36704
2021,Miranda 33_11kV,04MAY2020,MW,13.28275,12.75515,12.15929,11.92961,12.32674,12.36564,12.10110,11.44964,10.73960,10.66424,10.56554,10.12881,9.83701,9.41459,8.95701,8.57107,8.44845,8.31156,8.16634,8.16634,8.16634,8.22992,8.66867,8.97324,9.44064,10.20799,10.94352,11.87475,12.01869,12.74211,13.18442,13.50011,13.48189,13.67334,13.75860,13.75854,13.51159,13.38470,12.97354,12.79167,12.62237,12.44337,12.38169,12.16452,11.81413,11.45519,11.65243,11.77515,11.79550,11.74504,11.80147,11.96355,11.82907,11.84037,11.70741,12.15221,12.28590,11.92775,12.20026,12.31720,12.27759,12.28343,12.68083,13.12212,13.50263,13.84739,14.44319,15.46061,16.12166,16.91314,17.85657,18.39499,18.36090,18.36199,18.10874,17.79835,17.28849,16.70474,16.24335,15.89039,15.32849,15.19878,14.65660,14.23914,13.65837,13.25704,12.90282,12.55622,12.32522,12.14204,11.86347,11.71250,12.31499,13.28045,13.37868,13.09640
2021,Miranda 33_11kV,05MAY2020,MW,12.93816,12.47994,11.98646,11.68945,12.06388,12.23484,11.86089,11.12695,10.48727,10.39458,10.24246,9.96121,9.59984,8.98835,8.55158,8.24511,8.18119,8.13874,7.86939,7.86939,8.02141,8.10695,8.54744,8.83939,9.21132,9.67171,10.31720,10.90512,11.23152,11.90596,12.42604,12.90508,13.08215,12.97805,12.86986,12.89027,12.80378,12.57378,12.47224,12.47224,12.24901,12.32430,12.33867,12.50641,12.38290,12.36347,12.16901,11.89856,12.46639,12.26309,12.25834,12.30891,12.47995,12.19201,12.28368,11.81453,11.64035,11.85910,11.92813,12.08619,12.08619,12.24848,12.55893,12.76919,13.00560,13.36440,13.91436,14.24405,14.85248,15.55114,16.37485,17.00053,16.91650,16.91176,16.67759,16.24363,15.58678,15.27932,14.98497,14.78851,14.52739,14.05231,13.73431,13.41392,13.00828,12.52776,12.54793,12.16459,11.94222,11.86014,11.59242,11.54119,12.13540,13.12999,13.23704,13.23141
2021,Miranda 33_11kV,06MAY2020,MW,13.10139,12.43801,11.79383,11.58709,11.99245,12.09770,11.78386,11.13607,10.53070,10.30080,10.02265,9.80021,9.42549,8.90874,8.55334,8.19219,8.12180,8.01215,8.10377,8.12180,8.29750,8.43361,8.59993,9.13711,9.49750,9.97494,10.66594,11.39396,11.70189,12.38392,12.86797,12.99191,13.39868,13.41002,13.47709,13.14427,13.11556,12.83076,12.68011,12.60705,12.43774,12.28264,12.23287,11.92286,11.96274,12.16196,12.12685,11.80555,11.82112,12.00194,11.89155,11.71761,11.54408,11.75530,11.63786,11.66709,11.74649,11.62570,11.65188,11.92268,12.28591,12.19013,12.44699,12.73950,12.72200,13.21657,13.55787,13.97742,14.31167,15.26289,16.17648,16.37723,16.20772,16.36759,16.13787,15.93572,15.42791,15.07630,14.71357,14.46943,14.11749,13.74969,13.55897,13.29224,12.82654,12.50135,12.27519,11.73107,11.84862,11.61192,11.59825,11.52700,12.23935,13.27034,13.12144,13.06800
2021,Miranda 33_11kV,07MAY2020,MW,12.90379,12.48650,11.92073,11.58593,12.06581,12.27764,11.79685,11.05955,10.49865,10.53153,10.23384,9.65171,9.56930,9.02046,8.62025,8.30718,8.27028,8.27028,8.27028,8.19312,8.17354,8.41112,8.74453,9.08527,9.75412,10.05889,10.74722,11.28661,11.55656,12.32842,13.03652,13.52916,14.17179,14.11309,14.20329,14.30691,14.27164,14.15290,13.92824,14.18516,14.19914,13.74095,13.69431,13.49783,13.20362,13.38268,12.80727,12.67564,12.77323,12.77496,12.77211,12.41608,12.25561,12.52472,12.48280,12.10431,12.12897,12.18665,12.40509,12.48503,12.64623,12.69251,12.92858,13.27099,13.45234,13.59155,14.12040,14.60004,15.06600,15.65287,16.54471,16.95386,17.02565,16.98599,16.66457,16.20898,15.81810,15.27300,14.74093,14.64003,14.17253,13.62675,13.31544,13.08715,12.65771,12.07487,12.01507,11.58935,11.37349,11.37349,11.32393,11.27251,11.91026,13.09372,13.10285,13.06494
2021,Miranda 33_11kV,08MAY2020,MW,12.81849,12.43972,11.66974,11.33173,11.85587,11.95618,11.66890,10.98779,10.48796,10.33983,9.99464,9.66858,9.35980,8.74700,8.40755,8.22544,7.84279,7.83969,7.79241,7.90508,7.84075,8.11999,8.34169,8.59416,9.01151,9.51885,10.01730,10.51423,10.81408,11.27101,11.68957,12.10517,12.60470,12.76271,13.00993,13.09553,12.90588,12.83956,12.87313,12.62790,12.44671,12.53405,12.36830,12.35290,12.25887,12.30891,12.02435,12.07561,12.32748,12.54647,12.59515,12.57268,12.38435,12.50586,12.54725,12.42769,12.58350,12.49203,12.55864,12.57617,12.72203,12.81934,13.09628,13.23052,13.27465,13.43893,13.75341,14.41282,14.59067,14.59101,14.95180,15.15918,14.87908,14.68826,14.36429,14.17962,13.87003,13.44072,13.18398,12.90282,12.56432,12.36659,12.10104,11.96543,11.61939,11.35205,11.29925,10.98554,10.88033,11.09777,11.00960,11.12420,11.79626,12.92133,12.94531,12.90942
2021,Miranda 33_11kV,09MAY2020,MW,12.71040,12.18073,11.48786,11.31218,11.52451,11.70599,11.35925,10.55954,9.98975,9.76018,9.53702,9.10159,9.00506,8.49786,8.15150,7.90119,7.67814,7.58728,7.58728,7.58465,7.71543,7.51516,7.85492,7.72316,8.17332,8.51515,8.76026,8.78368,9.29731,9.75048,10.16308,11.01964,11.18197,11.59692,12.07594,12.51092,12.60974,13.25151,13.82403,14.08094,13.85934,13.77775,13.77974,13.57952,13.06175,12.66638,12.65166,12.63261,12.76146,12.65309,12.60430,12.63032,12.79102,13.17834,12.76801,12.62399,13.02927,13.08511,13.50051,13.56741,13.56465,13.46149,13.25107,13.67854,13.81379,13.74915,13.89292,14.36294,14.50333,14.86503,15.13289,15.25554,14.79286,14.34569,14.05649,13.79387,13.28961,13.04535,12.78469,12.53794,12.21982,12.04121,11.80869,11.54385,11.31410,11.16678,11.28969,10.99073,11.05816,11.06169,11.20332,11.18684,11.95549,13.24433,13.09401,13.17522
2021,Miranda 33_11kV,10MAY2020,MW,12.81980,12.24122,11.68079,11.34085,11.90631,11.92422,11.58933,10.78529,10.26627,10.08533,9.78547,9.50289,9.32404,8.71157,8.26288,8.02761,7.80602,7.60212,7.65182,7.74657,7.77069,7.72944,7.89694,7.74561,8.16420,8.49892,8.85511,9.22705,9.40488,9.97774,10.50712,11.05810,11.65099,12.08039,12.46875,12.84954,13.05875,13.08157,13.24785,13.39594,13.40300,12.95801,12.92475,12.75545,12.78321,12.66526,12.45970,12.43929,12.31145,12.17171,11.99881,11.96741,11.92376,11.59755,11.50712,11.33476,11.58116,11.64300,11.63075,11.70015,11.92365,12.20554,12.39797,12.71781,12.94404,13.19010,13.71473,14.60919,15.13868,15.73658,16.35090,16.63212,16.46478,16.54110,16.31784,16.43798,16.13615,15.68767,15.56459,15.33921,14.92252,14.75881,14.45028,14.18278,13.84057,13.38481,13.22729,12.70229,12.53163,12.33229,12.02456,11.78978,12.56068,13.64944,13.71185,13.77447
