year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Mitchell Line 66_11kV,01MAY2020,MW,4.18396,3.98415,3.81951,3.65661,3.47268,3.30052,3.16534,3.04796,2.93372,2.83327,2.80538,2.76249,2.68687,2.70967,2.66661,2.62749,2.64866,2.69020,2.69750,2.76157,2.73751,2.77994,2.87388,2.99017,3.03595,3.21209,3.37700,3.59344,3.54241,3.34211,3.39539,3.32220,3.33384,3.28278,3.21899,3.08262,3.55784,3.33257,3.31606,3.25223,2.86717,2.69802,2.84270,2.71397,2.73195,2.91267,2.83517,3.07219,2.86919,3.01258,2.89425,2.78943,2.79785,3.26732,3.30704,3.12071,2.68593,2.76544,3.04600,3.08074,3.28437,3.33543,3.35701,3.57965,3.53338,3.47466,3.73705,3.81910,3.94659,4.13791,4.36333,4.49436,4.56934,4.50107,4.58005,4.72105,4.63219,4.53184,4.37482,4.23852,4.22909,4.21934,4.23054,4.17292,4.10357,3.99993,4.20091,4.37479,4.46849,4.64277,4.64451,4.78840,5.28738,5.15929,4.92322,4.75590
2021,Mitchell Line 66_11kV,02MAY2020,MW,4.57288,4.34500,4.14158,3.91908,3.73177,3.56951,3.31817,3.21719,3.05944,2.98988,2.93943,2.82060,2.71358,2.67149,2.70136,2.73207,2.61837,2.57862,2.63787,2.63695,2.66375,2.73550,2.83589,2.87119,2.85523,2.89353,2.97590,3.03768,3.10656,3.28876,3.41387,3.49850,3.60248,3.73165,3.75408,3.73625,3.52972,3.40749,3.64512,3.49889,3.66561,3.14789,2.89967,3.33892,3.57679,3.52555,3.27196,3.45674,3.49718,3.58744,3.59019,3.31069,3.24149,3.27460,3.68105,3.64177,3.05823,3.04841,3.30545,3.48620,3.51104,3.33242,3.48168,3.59104,3.68590,3.71995,3.87014,4.02400,4.16498,4.30260,4.44369,4.59086,4.54140,4.49859,4.54090,4.48946,4.45793,4.41896,4.38272,4.32509,4.22977,4.20673,4.14232,4.04028,3.94591,3.88034,3.90061,3.80155,3.72428,3.61929,3.57494,3.58972,3.78162,3.65730,3.63169,3.54110
2021,Mitchell Line 66_11kV,03MAY2020,MW,3.43662,3.33872,3.25865,3.18796,3.13472,3.07749,2.99037,2.92497,2.83230,2.79363,2.81426,2.75878,2.74780,2.74601,2.73001,2.68679,2.66979,2.66294,2.74923,2.74138,2.67797,2.73491,2.81694,2.74771,2.61548,2.64764,2.68733,2.72345,2.80020,2.88708,3.07042,2.98294,2.90650,2.92343,2.93563,2.83262,2.79051,2.78165,2.71155,2.66090,2.60118,2.52032,2.42997,2.34594,2.24438,2.15467,2.17638,2.09698,2.00852,2.00925,2.20231,2.21660,2.15247,2.17939,2.27812,2.27540,2.31485,2.28845,2.27845,2.25216,2.31731,2.44837,2.54422,2.66728,2.72832,2.85681,3.05724,3.39089,3.56876,3.88670,4.24661,4.46270,4.45627,4.41305,4.41893,4.37188,4.29455,4.26931,4.35261,4.21258,4.10124,4.06367,4.00853,3.87856,3.78310,3.77204,3.85716,3.71332,3.69218,3.63134,3.56121,3.50363,3.66157,3.62056,3.47799,3.43741
2021,Mitchell Line 66_11kV,04MAY2020,MW,3.27808,3.17251,3.07128,3.01347,2.89080,2.74293,2.71188,2.62383,2.56091,2.49297,2.50383,2.48255,2.43873,2.44991,2.48701,2.47002,2.51428,2.59548,2.66034,2.79309,2.92538,2.98320,2.96902,3.13010,3.14983,3.37443,3.53452,3.75565,3.85279,3.82845,3.89792,3.88608,3.83990,3.73469,3.65696,3.51173,3.53706,3.38313,3.22122,3.17075,3.02084,2.86036,2.73576,2.61796,2.53155,2.42977,2.45896,2.39550,2.33341,2.36104,2.34921,2.33811,2.26830,2.26292,2.26828,2.30156,2.23611,2.34915,2.37279,2.40134,2.47737,2.47563,2.62283,2.73476,2.87269,2.98474,3.10323,3.37687,3.57048,3.85550,4.14663,4.23669,4.27601,4.32320,4.35003,4.28691,4.22951,4.15945,4.12509,4.03564,3.94376,3.88334,3.83967,3.74787,3.67115,3.52811,3.76595,3.78987,4.02844,4.29828,4.12214,4.16841,4.68624,4.62780,4.46153,4.28299
2021,Mitchell Line 66_11kV,05MAY2020,MW,4.07098,3.88268,3.65496,3.44373,3.24910,3.16554,2.97784,2.86814,2.82128,2.73618,2.64402,2.53727,2.42073,2.45744,2.48071,2.37223,2.34873,2.43940,2.54010,2.48426,2.67225,2.87111,2.88174,2.97742,3.08932,3.28658,3.36194,3.34649,3.39444,3.63214,3.77150,3.89428,3.77283,3.74157,3.57054,3.49467,3.25046,3.42851,3.42681,3.09833,3.23465,3.63729,3.63877,3.20558,3.41313,3.34956,3.27522,3.24143,3.30763,3.23943,3.57345,3.32551,3.29871,3.36399,2.96962,3.02219,2.97595,2.84250,2.75794,2.90002,3.14876,3.12356,3.22265,3.12192,3.12911,3.19187,3.47832,3.71863,3.74146,3.94813,4.15642,4.24715,4.27382,4.22999,4.22358,4.16092,4.02700,3.91714,3.95552,3.95630,3.81147,3.69017,3.62641,3.62868,3.54836,3.55849,3.71259,3.72923,3.97814,4.25879,4.10029,4.16727,4.61285,4.61497,4.38372,4.29580
2021,Mitchell Line 66_11kV,06MAY2020,MW,4.04733,3.73485,3.52031,3.30891,3.22220,3.05513,2.89223,2.78609,2.69236,2.64275,2.54914,2.43736,2.40181,2.36716,2.34940,2.30042,2.32237,2.30639,2.39202,2.45705,2.58705,2.66242,2.69261,2.80588,2.95930,3.05561,3.18343,3.22127,3.33476,3.46647,3.64920,3.69495,3.78150,3.86786,3.87876,3.81776,3.86432,3.75990,3.66799,3.59292,3.34830,3.00258,2.74375,2.65354,2.69391,2.62466,2.59523,2.50924,2.48218,2.45362,2.47426,2.46709,2.49766,2.56025,2.62458,2.39959,2.40506,2.40673,2.39323,2.57444,2.59490,2.63499,2.85193,2.93003,2.94873,3.06896,3.14808,3.31625,3.36223,3.60944,3.83045,3.90628,3.87320,3.97593,3.98680,3.89749,3.89392,3.82058,3.88614,3.89051,3.73571,3.69310,3.53870,3.50467,3.44171,3.41457,3.64383,3.58123,3.90291,4.20120,4.15234,4.14924,4.56420,4.58296,4.33159,4.18995
2021,Mitchell Line 66_11kV,07MAY2020,MW,3.93583,3.75325,3.56114,3.38967,3.25330,3.08638,2.94785,2.80711,2.70264,2.68747,2.57854,2.50875,2.46947,2.46560,2.48012,2.51983,2.55733,2.59491,2.68549,2.70540,2.80903,2.92496,3.00655,3.08773,3.35470,3.44450,3.57992,3.66511,3.64215,3.79130,3.98665,3.95815,3.83775,3.84461,3.92927,3.69697,3.64720,3.40272,3.47915,3.40933,3.32989,3.19746,3.09897,3.09822,2.88683,2.80605,2.73080,2.84652,2.86240,2.63311,2.62825,2.72650,2.63519,2.82387,2.81992,2.84509,2.80950,2.63990,2.64000,2.81805,2.75199,2.81079,2.86200,2.79484,2.82517,2.93552,3.10603,3.38915,3.44145,3.59697,3.85999,3.95491,3.91873,3.97974,4.03851,3.96882,4.01770,3.93419,3.92209,3.87747,3.72407,3.61862,3.65412,3.53704,3.44320,3.39645,3.66999,3.65194,3.90829,4.19917,4.16498,4.26664,4.72763,4.85154,4.64358,4.33303
2021,Mitchell Line 66_11kV,08MAY2020,MW,4.00938,3.73444,3.59091,3.41387,3.35518,3.09638,2.98460,2.88201,2.81623,2.62111,2.57086,2.49943,2.45895,2.41061,2.40407,2.40020,2.45182,2.51657,2.67276,2.65305,2.80523,2.87808,2.88740,3.00720,3.14051,3.19414,3.32208,3.41385,3.39014,3.43031,3.42017,3.58910,3.06848,2.92790,2.78552,2.67652,2.72193,2.56632,2.35923,2.26100,2.19338,2.14480,2.06531,2.11559,1.99838,2.04812,1.96379,1.94751,1.91674,1.90526,1.91997,1.93660,1.89532,1.91368,2.00565,2.07659,1.97824,1.94631,2.03601,2.23498,2.16910,2.57007,2.66591,2.63716,2.86517,2.96949,3.01494,3.06241,3.24094,3.34262,3.50312,3.61695,3.65880,3.55878,3.53493,3.52703,3.51940,3.53332,3.48418,3.40611,3.37445,3.34646,3.34874,3.14908,3.08227,3.11898,3.33009,3.33614,3.58176,3.90252,3.77141,3.69491,4.11460,4.17307,4.03424,3.86913
2021,Mitchell Line 66_11kV,09MAY2020,MW,3.62589,3.41902,3.26959,3.10912,3.02245,2.94703,2.83991,2.63302,2.54429,2.44445,2.39185,2.35773,2.37409,2.29881,2.29977,2.26928,2.25697,2.31019,2.33166,2.30549,2.34267,2.38292,2.40119,2.40822,2.42115,2.46628,2.60538,2.73577,2.77721,2.89070,2.99822,3.06331,3.04483,3.03599,3.16362,3.25375,3.17967,3.04652,2.92249,2.82247,2.85856,2.66335,2.60729,2.58820,2.21480,2.27572,2.45055,2.39104,2.65758,2.72223,2.69131,2.85526,2.79850,2.73637,2.82488,2.90834,2.90765,3.06573,3.03942,2.84060,2.83053,2.80618,2.64533,2.67006,2.93554,2.93429,3.15115,3.37275,3.52587,3.72401,4.01611,4.07313,4.05731,3.98362,3.97288,3.91641,3.91112,3.88685,3.82945,3.69838,3.47694,3.37013,3.40966,3.37192,3.37010,3.29784,3.29760,3.19568,3.03878,3.08780,3.02293,3.02381,3.19693,3.09064,3.01030,2.90524
2021,Mitchell Line 66_11kV,10MAY2020,MW,2.87182,2.76441,2.73234,2.68374,2.62329,2.50661,2.47110,2.43661,2.40665,2.30904,2.32013,2.28188,2.19517,2.19008,2.20681,2.18290,2.16887,2.18273,2.23541,2.24236,2.26924,2.30374,2.35275,2.33658,2.38084,2.39744,2.46601,2.51295,2.52428,2.59021,2.60934,2.55336,2.56124,2.56738,2.62043,2.53958,2.51190,2.48266,2.42019,2.38970,2.35470,2.21042,2.23143,2.22702,2.12706,2.09931,2.17162,2.13658,2.04823,1.98246,1.99057,2.03031,1.95360,1.94908,2.03826,2.04629,2.07654,2.19241,2.33034,2.33275,2.44760,2.55553,2.58258,2.76081,2.97364,3.02069,3.18716,3.41498,3.59703,3.81947,4.13341,4.34208,4.44718,4.37291,4.43895,4.52110,4.49820,4.43460,4.35824,4.27959,4.20230,4.18558,4.20725,4.10783,3.92319,3.90255,3.89229,3.74924,3.65646,3.58116,3.54995,3.50594,3.65593,3.51470,3.41283,3.41476
