year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Mitchells Flat 66_11kV,01MAY2020,MW,0.59333,0.58046,0.56653,0.56491,0.54106,0.47893,0.45607,0.42840,0.41121,0.39928,0.39803,0.37746,0.38764,0.35614,0.37051,0.37098,0.36587,0.37146,0.39133,0.41355,0.41692,0.40059,0.38665,0.41006,0.43416,0.47900,0.49334,0.51179,0.49212,0.47533,0.45414,0.42963,0.43835,0.41155,0.40671,0.37126,0.36846,0.31335,0.27251,0.24242,0.24640,0.33948,0.31512,0.28979,0.34717,0.30001,0.29782,0.27772,0.25866,0.27060,0.22624,0.20736,0.20806,0.24133,0.25699,0.22265,0.21552,0.24760,0.22968,0.27080,0.28428,0.30528,0.34276,0.38438,0.40331,0.47572,0.51623,0.54550,0.60189,0.65078,0.70314,0.76960,0.83797,0.85056,0.84634,0.83726,0.80715,0.76839,0.77807,0.78667,0.75398,0.72559,0.68705,0.64234,0.66595,0.64113,0.65913,0.64265,0.63091,0.60868,0.58647,0.54873,0.68583,0.65538,0.68133,0.65134
2021,Mitchells Flat 66_11kV,02MAY2020,MW,0.63849,0.59860,0.60615,0.54968,0.53233,0.50077,0.45145,0.40664,0.42050,0.39865,0.39009,0.38719,0.37973,0.36520,0.36517,0.37123,0.36611,0.35838,0.35486,0.37270,0.39692,0.37997,0.36392,0.37761,0.39886,0.42596,0.45336,0.47759,0.47697,0.48004,0.45484,0.45964,0.46173,0.44940,0.43842,0.42426,0.36235,0.37181,0.32940,0.33174,0.33517,0.31225,0.28291,0.23115,0.21967,0.22279,0.22854,0.22536,0.23854,0.31499,0.44029,0.41993,0.37540,0.32354,0.30166,0.36545,0.34270,0.35756,0.40490,0.39545,0.42895,0.44539,0.45726,0.47950,0.49964,0.53713,0.56055,0.56670,0.61331,0.71047,0.75506,0.81472,0.86372,0.83340,0.79973,0.80245,0.80393,0.75554,0.72486,0.70928,0.67734,0.63766,0.60666,0.60944,0.60013,0.57873,0.59195,0.53545,0.52610,0.50599,0.49925,0.50187,0.60265,0.58316,0.56191,0.53334
2021,Mitchells Flat 66_11kV,03MAY2020,MW,0.52331,0.50297,0.50657,0.51542,0.49586,0.46529,0.43260,0.41302,0.40804,0.37871,0.35498,0.36803,0.35841,0.33674,0.36008,0.35332,0.34734,0.35456,0.36728,0.35656,0.35047,0.35694,0.34916,0.37939,0.37962,0.38447,0.41320,0.41627,0.40441,0.41701,0.42639,0.41350,0.40769,0.39237,0.37149,0.39618,0.42498,0.38145,0.35549,0.30404,0.24618,0.22290,0.22035,0.23066,0.20928,0.18166,0.16844,0.17393,0.17603,0.20241,0.20985,0.22661,0.23620,0.23528,0.20428,0.21698,0.28068,0.32629,0.31429,0.34201,0.31639,0.31367,0.33384,0.36413,0.41668,0.42868,0.47675,0.53226,0.58860,0.63433,0.74783,0.78550,0.82270,0.80422,0.80512,0.77884,0.74525,0.70869,0.68627,0.68490,0.67658,0.66764,0.62440,0.58895,0.57028,0.56897,0.57574,0.55846,0.52128,0.48620,0.48518,0.49345,0.61355,0.59869,0.56367,0.55087
2021,Mitchells Flat 66_11kV,04MAY2020,MW,0.54307,0.51918,0.54397,0.50947,0.49415,0.46678,0.45141,0.42175,0.39252,0.38942,0.36470,0.38218,0.36495,0.36658,0.37009,0.36882,0.38042,0.41030,0.43017,0.42872,0.42686,0.44599,0.45356,0.45939,0.46597,0.52253,0.57786,0.57459,0.54415,0.50452,0.49769,0.45894,0.44881,0.45344,0.38568,0.34100,0.30493,0.27701,0.24636,0.21735,0.19407,0.18387,0.17502,0.16593,0.16253,0.16387,0.16238,0.16516,0.16490,0.16218,0.16170,0.15951,0.15795,0.16564,0.16705,0.17172,0.17049,0.17241,0.18613,0.20431,0.22697,0.25261,0.28768,0.31751,0.34781,0.40310,0.42240,0.46647,0.52631,0.57564,0.65928,0.69860,0.78636,0.74581,0.77535,0.75966,0.70418,0.67466,0.67645,0.66126,0.60698,0.59634,0.58176,0.57161,0.54265,0.56465,0.56026,0.54397,0.49602,0.49231,0.49427,0.51616,0.61007,0.61069,0.60460,0.58423
2021,Mitchells Flat 66_11kV,05MAY2020,MW,0.57870,0.58074,0.57956,0.55087,0.49805,0.47567,0.45223,0.44601,0.41316,0.38857,0.38554,0.36103,0.35653,0.33831,0.35528,0.35023,0.35041,0.37387,0.37404,0.39001,0.40446,0.39407,0.41170,0.41194,0.41811,0.45446,0.51859,0.53576,0.46582,0.49561,0.47739,0.48638,0.47431,0.43827,0.41501,0.37344,0.28147,0.26497,0.29961,0.33299,0.31148,0.28949,0.24231,0.24754,0.26645,0.25685,0.29390,0.34078,0.40138,0.38389,0.31579,0.31012,0.35794,0.36522,0.39399,0.40758,0.38114,0.36482,0.35566,0.38554,0.37204,0.36665,0.37515,0.39286,0.43312,0.47872,0.48096,0.52912,0.56865,0.62784,0.68317,0.73055,0.75176,0.72948,0.69812,0.70512,0.68841,0.67327,0.64731,0.64272,0.62789,0.65941,0.62889,0.58572,0.58934,0.55025,0.54246,0.52704,0.51206,0.48658,0.46879,0.48588,0.60727,0.59751,0.58482,0.57249
2021,Mitchells Flat 66_11kV,06MAY2020,MW,0.55869,0.54197,0.55640,0.53647,0.51550,0.48464,0.45126,0.44679,0.41728,0.40465,0.37937,0.37456,0.34717,0.33163,0.34277,0.33305,0.34465,0.34233,0.36009,0.35295,0.36834,0.38015,0.39313,0.39764,0.42000,0.44367,0.45221,0.46265,0.43197,0.25949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19481,0.24874,0.26314,0.29076,0.31116,0.35049,0.39180,0.43945,0.46301,0.51395,0.56905,0.64455,0.69156,0.68028,0.71178,0.72822,0.72102,0.67965,0.62624,0.59271,0.60949,0.61038,0.59644,0.60468,0.57311,0.58093,0.55745,0.56533,0.51857,0.54210,0.50200,0.48912,0.52733,0.62473,0.62336,0.61937,0.58029
2021,Mitchells Flat 66_11kV,07MAY2020,MW,0.56724,0.56450,0.58790,0.53255,0.50588,0.47363,0.46633,0.43242,0.39600,0.40155,0.39462,0.38516,0.35478,0.36073,0.36427,0.35962,0.36930,0.39325,0.39575,0.41255,0.42293,0.43100,0.44282,0.44878,0.47815,0.49896,0.54189,0.51949,0.49660,0.47497,0.50694,0.48059,0.47192,0.48884,0.46235,0.41809,0.39030,0.37793,0.31095,0.25243,0.23217,0.21947,0.21683,0.22153,0.23562,0.22348,0.20739,0.20853,0.21079,0.22170,0.22975,0.25473,0.25100,0.26314,0.24170,0.22883,0.21058,0.21819,0.22934,0.22225,0.28502,0.32353,0.34619,0.34313,0.37170,0.38988,0.41843,0.45712,0.49813,0.58162,0.63708,0.66280,0.70150,0.72046,0.72116,0.68333,0.64959,0.65198,0.63808,0.62934,0.60951,0.58410,0.55712,0.51884,0.50482,0.50937,0.52489,0.49695,0.51439,0.48443,0.46191,0.48707,0.61231,0.61694,0.59785,0.58020
2021,Mitchells Flat 66_11kV,08MAY2020,MW,0.56412,0.54822,0.54664,0.52892,0.50111,0.48225,0.45953,0.41941,0.39667,0.40966,0.38706,0.36306,0.37288,0.36723,0.36563,0.36190,0.35865,0.38497,0.39572,0.41640,0.42577,0.40375,0.42059,0.45190,0.47197,0.46844,0.53569,0.56330,0.50518,0.49630,0.45140,0.43221,0.42794,0.40644,0.36085,0.31190,0.26429,0.24840,0.22718,0.20947,0.18732,0.17820,0.16227,0.15752,0.15182,0.15268,0.14864,0.15677,0.15424,0.15229,0.15360,0.15814,0.16385,0.16833,0.17722,0.19155,0.20854,0.21019,0.23614,0.23082,0.26858,0.28874,0.29071,0.30190,0.35904,0.38313,0.38624,0.41041,0.45178,0.49178,0.55908,0.59259,0.61648,0.65195,0.64502,0.63738,0.61337,0.58710,0.58546,0.56887,0.54513,0.53823,0.51454,0.50798,0.49797,0.47327,0.47547,0.47099,0.47826,0.45439,0.45536,0.48080,0.59708,0.57895,0.57819,0.57469
2021,Mitchells Flat 66_11kV,09MAY2020,MW,0.57122,0.53858,0.51572,0.49710,0.47500,0.44040,0.42718,0.41548,0.38255,0.37343,0.35976,0.34786,0.34571,0.33746,0.33335,0.33444,0.32686,0.31416,0.33316,0.33117,0.34038,0.35719,0.37278,0.37248,0.38770,0.38855,0.43032,0.43591,0.45667,0.51606,0.50291,0.51936,0.48967,0.45340,0.40235,0.43290,0.44412,0.44649,0.48327,0.40520,0.29031,0.24441,0.26321,0.25631,0.31800,0.22841,0.16232,0.15607,0.16397,0.22561,0.29443,0.36655,0.41044,0.41821,0.42429,0.43809,0.41080,0.39961,0.40094,0.45325,0.49822,0.45906,0.44606,0.42085,0.39707,0.43581,0.46326,0.50471,0.53120,0.57114,0.64621,0.68745,0.68586,0.70028,0.69710,0.70488,0.66377,0.66662,0.62862,0.60075,0.59076,0.56481,0.53619,0.54314,0.52489,0.49735,0.49990,0.53147,0.49575,0.45985,0.46626,0.46826,0.59013,0.56437,0.52902,0.48942
2021,Mitchells Flat 66_11kV,10MAY2020,MW,0.50141,0.48791,0.50328,0.48693,0.46175,0.45238,0.42318,0.39287,0.36289,0.35071,0.34578,0.34763,0.34416,0.33787,0.33552,0.32093,0.33765,0.33065,0.35521,0.35274,0.34709,0.33741,0.35683,0.35049,0.34774,0.37065,0.41201,0.44605,0.44821,0.43653,0.41714,0.40840,0.45924,0.44383,0.45278,0.44223,0.42771,0.39451,0.35743,0.32399,0.28020,0.25519,0.23347,0.23086,0.21362,0.20740,0.20345,0.17937,0.18851,0.19336,0.18733,0.18229,0.17816,0.17921,0.20151,0.20057,0.19569,0.20190,0.21300,0.23993,0.25425,0.29364,0.31120,0.36420,0.39072,0.40417,0.44098,0.51021,0.56146,0.61571,0.65011,0.70499,0.72251,0.78060,0.78924,0.80050,0.80949,0.76401,0.76016,0.71575,0.70100,0.67302,0.64896,0.63291,0.63268,0.60168,0.60118,0.56479,0.52938,0.49382,0.53398,0.52745,0.62230,0.57052,0.55746,0.57451
