year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Mona Vale 33_11kV,01MAY2020,MW,10.66368,10.34644,10.01640,9.76664,9.72439,9.56264,9.27542,9.09268,9.05553,8.88976,8.81372,8.74553,8.83388,8.77462,8.73098,8.66852,8.80112,8.74443,8.69330,8.89025,9.14015,9.63572,10.08551,10.64689,11.36996,11.90417,12.76783,13.69319,14.56500,15.08728,15.88827,16.44936,16.87505,17.25728,17.03681,16.78974,16.72409,16.66010,16.21509,15.84896,15.32876,15.02537,15.13182,14.73515,14.57703,14.34431,14.75378,14.79176,14.77520,14.82351,15.10385,14.86762,15.22488,14.35149,14.13258,14.41802,14.25867,14.05200,14.11034,14.24430,14.25495,14.46481,14.79069,15.10285,15.45253,16.33801,16.84215,17.48240,18.25967,19.32320,20.48389,21.45653,21.55414,21.86254,21.56588,20.92470,20.09751,19.86715,19.26773,18.75781,18.37372,18.00271,17.54826,17.00069,16.48679,15.92833,15.29298,14.79445,14.96515,14.49382,13.95804,13.25491,13.03440,12.46582,12.30753,12.01064
2021,Mona Vale 33_11kV,02MAY2020,MW,11.70517,11.33660,10.92435,10.66893,10.44358,10.20079,10.02204,9.66612,9.40283,9.45859,9.26807,9.15174,9.26797,9.30568,9.24071,9.22089,9.11640,9.20637,9.16353,9.11991,9.30406,9.51859,9.70118,10.00157,10.39017,10.67842,11.26396,11.62929,12.35525,12.88282,13.16106,13.71809,14.27612,14.51043,14.72322,14.92300,14.94340,14.93042,14.93213,14.40594,14.01807,13.93289,13.57331,13.42938,13.40978,12.93679,12.80714,12.79764,12.86819,12.70991,12.53300,12.50388,12.41818,12.43477,12.44353,12.34896,12.45690,12.48409,12.48476,12.62208,12.81769,13.31612,13.74137,14.01632,14.39055,14.72234,15.50125,16.41601,17.12347,18.43962,19.74734,20.29667,20.65948,20.49595,20.16207,19.58953,18.92673,18.55404,18.13531,17.67279,17.18122,16.91540,16.36360,15.92587,15.75747,15.27040,14.83221,14.49989,14.29595,13.80034,13.30847,13.00387,12.61414,12.07376,11.99114,11.76133
2021,Mona Vale 33_11kV,03MAY2020,MW,11.65041,11.34993,10.96812,10.70298,10.60473,10.35212,9.95651,9.85908,9.67816,9.72320,9.42087,9.34399,9.35621,9.36977,9.22411,9.19715,9.17402,9.31896,9.22637,9.18005,9.32318,9.60025,9.75144,10.00527,10.22930,10.56863,11.00880,11.64876,12.04789,12.42694,12.94538,13.38400,13.92898,14.22519,14.46640,14.53607,14.66773,14.72308,14.42747,14.46134,13.72937,13.60862,13.22168,13.05434,12.72674,12.39814,12.33400,12.35235,12.28118,12.48103,12.18782,12.05791,11.95677,11.95739,11.95215,11.95301,12.10902,12.03851,12.18082,12.22375,12.33881,12.73227,13.28982,13.85242,14.25046,14.63683,15.34792,16.43164,17.26772,18.34028,19.73345,20.65589,21.14050,21.11078,20.91987,20.62070,20.01048,19.41924,18.77777,18.11100,17.68197,17.27465,16.81351,16.33120,15.73373,15.15692,14.63596,14.11750,13.69943,13.11296,12.70034,12.20947,11.62403,11.26809,11.24696,10.99627
2021,Mona Vale 33_11kV,04MAY2020,MW,10.96654,10.72581,10.41068,10.16267,10.19850,9.97646,9.70117,9.43365,9.34439,9.28670,9.34711,9.13377,9.16932,9.07344,9.02309,9.10567,9.13347,9.14985,9.20409,9.38358,9.78082,10.05852,10.64103,11.06169,11.87630,12.71512,13.64901,14.51278,15.22770,16.18541,16.94666,17.78079,18.15983,18.26422,18.26580,18.22446,18.09795,17.51295,16.79094,16.33372,16.05810,15.76259,15.43604,15.15486,15.06618,14.74197,14.54829,14.68340,15.04098,15.34825,15.21250,15.40345,15.18749,15.89219,15.52076,15.11797,14.63610,14.63357,15.23716,14.90593,14.98167,15.28135,15.21212,15.68533,16.00747,16.54918,17.32849,18.09284,18.90596,20.44593,21.70082,22.63749,22.80722,22.81290,22.28067,21.83284,21.18569,20.32593,19.79358,19.29066,18.60533,17.71291,17.38956,16.83341,16.02767,15.20509,14.76853,14.16382,14.16355,13.62292,13.03043,12.57701,12.22354,11.64661,11.74489,11.39199
2021,Mona Vale 33_11kV,05MAY2020,MW,11.32942,10.87849,10.66132,10.29372,10.26834,10.02488,9.80552,9.77876,9.54171,9.46498,9.23528,9.20477,9.20983,9.10079,9.12168,9.05372,9.19148,9.22532,9.24711,9.29618,9.75110,10.10284,10.51868,11.16757,12.02766,12.60386,13.40125,14.44493,15.27296,15.89725,16.70364,16.48368,17.62184,18.43816,17.96241,18.60284,18.25304,18.30339,17.91292,16.87632,16.01406,15.66757,15.40171,15.39079,15.23181,15.25587,15.75004,15.09300,14.81500,14.97782,15.10514,14.62995,14.90661,14.67610,14.64347,14.50216,14.35979,14.57772,14.60195,14.49044,14.55936,14.87843,15.20281,15.43032,15.50668,15.59494,16.08119,16.53707,17.30478,18.68551,20.16293,20.86193,21.26988,21.07327,20.74203,20.11572,19.34922,18.79244,17.97300,17.61263,16.88170,16.47774,15.86167,15.55139,14.88370,14.27068,13.85272,13.39961,13.35078,12.88849,12.40964,11.79096,11.43639,11.07855,11.09060,10.93849
2021,Mona Vale 33_11kV,06MAY2020,MW,10.72460,10.51321,10.25187,9.98042,9.79112,9.59048,9.36410,9.20865,8.98823,8.98127,8.81947,8.86779,8.97652,8.93303,8.94733,8.96814,8.92209,8.83805,8.83131,8.84060,9.39169,9.82931,10.30777,10.78746,11.50914,12.25944,13.07126,13.98765,14.69207,15.26201,15.67850,16.21932,16.61990,16.88965,17.02256,16.82220,16.52949,16.20025,15.70508,15.51246,15.08419,14.55828,14.32451,14.14743,14.00919,13.72096,13.80149,13.69938,13.64965,13.72631,13.84154,13.70700,13.70441,13.61744,13.68623,13.65227,13.68903,13.67030,13.67658,13.79159,13.91261,14.17311,14.40326,14.75322,15.02622,15.18493,15.64162,16.19417,16.75109,18.26914,19.37958,20.26222,20.28754,20.21912,20.01816,19.42478,18.82313,18.54106,17.71777,17.18271,16.73286,16.19616,15.93122,15.33323,14.74074,14.04102,13.79804,13.21648,13.33454,13.09543,12.30615,11.91725,11.40214,11.00267,11.10846,11.08162
2021,Mona Vale 33_11kV,07MAY2020,MW,10.86765,10.40407,10.13220,9.79522,9.70363,9.51974,9.18801,9.11876,9.03936,8.95571,8.91274,8.61477,8.92207,8.80016,8.73955,8.82805,8.92102,8.84558,8.77186,8.98752,9.28726,9.75489,10.03215,10.69373,11.50268,12.13920,12.81328,13.79728,14.47664,14.88163,15.62975,16.43995,16.81345,16.81086,17.23976,17.58685,17.21907,17.16154,17.14968,16.91461,16.32492,15.97294,15.79817,15.91385,15.54145,15.24379,14.77286,14.98051,15.19034,15.09457,14.41145,14.46495,14.20173,14.00674,14.00777,13.87942,14.41123,14.13201,14.28121,14.28611,13.93001,14.10305,14.29620,14.81904,15.01901,15.36714,15.83223,16.44737,17.02468,18.01196,19.05427,19.74352,19.83231,19.64920,19.29155,18.77816,18.38480,17.79745,17.15727,16.67802,16.30584,15.74808,15.46186,14.96067,14.57771,14.00145,13.55518,13.14334,13.26762,12.92243,12.47123,11.80640,11.26602,10.89623,11.05275,10.68237
2021,Mona Vale 33_11kV,08MAY2020,MW,10.60664,10.34128,10.01344,9.79962,9.76714,9.54429,9.31326,8.99652,8.87501,8.70278,8.70541,8.74083,8.69778,8.68745,8.64032,8.64578,8.53809,8.66896,8.69140,8.75202,9.08158,9.30396,9.72655,10.24288,10.79243,11.51967,12.10862,13.03276,13.59644,14.25406,14.85002,15.42630,15.87347,15.66583,15.77958,15.74412,15.62241,15.31436,15.23218,14.79604,14.55010,14.45558,14.29115,14.04340,13.70910,13.67733,13.59574,13.65336,13.58062,13.51300,13.42842,13.47298,13.61731,13.62143,13.63912,13.73241,13.74167,13.55796,13.71931,13.90731,14.00555,14.03287,14.07349,14.27574,14.35692,14.77514,15.11015,15.39177,15.57407,16.28542,17.42297,17.83901,17.83752,17.69962,17.55067,16.98557,16.52881,15.95896,15.60229,15.02241,14.59871,14.42233,13.95666,13.77355,13.26793,12.99624,12.64360,12.38229,12.53751,12.40931,11.97299,11.59703,11.16452,10.87819,10.85190,10.52995
2021,Mona Vale 33_11kV,09MAY2020,MW,10.40446,10.08187,9.66394,9.45887,9.43183,9.28063,9.01693,8.79248,8.65840,8.47929,8.31956,8.23519,8.36483,8.42533,8.37530,8.36580,8.38673,8.28541,8.27200,8.37552,8.61073,8.62893,8.87474,9.26199,9.48152,9.89063,10.23862,10.39465,10.74065,11.30099,12.04691,12.65662,12.94118,13.19343,13.36183,13.55477,13.68020,13.52223,13.39700,13.52090,12.94296,13.56558,13.62017,14.03007,14.23434,14.07418,13.08012,12.60879,12.00114,12.14917,12.18877,12.34879,12.74550,12.68129,12.07235,12.23162,13.31984,13.25404,12.89246,12.38670,12.75399,13.33461,13.07735,13.24759,13.28054,13.56014,13.70643,14.36680,14.94675,15.95010,16.99668,17.65026,17.66312,17.63862,17.31476,16.90659,16.42318,15.96102,15.41095,14.97374,14.44302,13.95056,13.53997,13.44148,13.07912,12.75169,12.64814,12.22951,12.21148,12.14568,11.80890,11.26620,10.86639,10.58924,10.62793,10.52620
2021,Mona Vale 33_11kV,10MAY2020,MW,10.36431,10.09588,9.83643,9.51842,9.50879,9.24659,8.97472,8.75533,8.80304,8.74807,8.59008,8.52275,8.75438,8.76600,8.52927,8.42356,8.30929,8.44782,8.43801,8.47915,8.75467,8.79963,8.99400,9.18465,9.47789,9.89679,10.34807,10.85809,11.27908,11.76505,12.14562,12.57421,13.16893,13.53335,13.86983,13.78087,13.91147,13.87965,13.90026,13.52594,13.26770,13.02823,12.69826,12.58942,12.49266,12.26105,11.99967,12.02851,11.87316,11.83502,11.57793,11.40423,11.34733,11.41816,11.47689,11.45244,11.53177,11.58055,11.47846,11.66239,11.98988,12.23804,12.78500,13.18296,13.59046,14.09515,14.79375,15.91859,16.71812,18.08980,19.24697,19.73518,20.02922,20.12740,20.13133,19.75361,19.26943,18.69922,18.17391,17.71238,17.41870,17.14478,16.70178,16.16039,15.68164,15.20528,14.70747,14.23771,13.72607,13.27294,12.74425,12.28219,11.80868,11.30323,11.30943,11.16594
