year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Mortdale 33_11kV,01MAY2020,MW,16.67335,16.40688,16.04525,15.64554,15.37907,14.96034,14.63677,14.33223,14.16093,13.91349,13.64702,13.45669,13.36152,13.36152,13.36152,13.17119,13.11409,13.11409,13.19022,13.34249,13.53282,13.66606,13.83736,14.31320,14.82710,15.01744,15.39811,15.68361,15.79781,16.19751,16.50205,16.73045,16.93982,17.01595,17.14919,16.99692,16.92079,16.65432,16.54012,16.19751,16.23558,16.06428,15.91201,16.04525,15.58844,15.74071,15.66458,15.39811,15.36004,15.49327,15.37907,15.32197,15.55037,15.15067,15.22681,15.36004,15.18874,15.09357,15.24584,15.30294,15.79781,15.98815,16.31171,16.61625,16.86369,17.01595,17.32049,17.81536,18.21507,19.01447,19.50934,19.81388,20.08035,20.21358,19.92808,19.79485,19.52838,19.33804,19.12867,18.95737,19.01447,19.03351,18.82414,18.48153,18.44347,18.27217,17.91053,17.68213,18.13893,18.13893,17.66309,17.39662,17.09209,16.67335,17.24436,16.99692
2021,Mortdale 33_11kV,02MAY2020,MW,17.11112,17.05402,16.71142,16.36882,16.00718,15.58844,15.05550,14.77000,14.44643,14.19900,13.95156,13.66606,13.66606,13.51379,13.43766,13.43766,13.28539,13.24732,13.36152,13.19022,13.39959,13.43766,13.43766,13.43766,13.57089,13.87543,14.04673,14.38933,14.42740,14.67483,14.86517,14.92227,15.26487,15.43617,15.20777,15.60748,15.74071,15.75974,16.00718,15.56941,15.32197,15.18874,15.18874,15.05550,15.16970,15.01744,14.96034,14.96034,14.96034,14.96034,14.80807,14.86517,14.94130,15.03647,14.67483,14.65580,14.65580,14.65580,14.75097,14.92227,15.07454,15.43617,15.70264,15.87394,16.06428,16.46398,16.88272,17.41566,17.60599,18.31023,18.97641,19.54741,19.68065,19.71871,19.47128,19.54741,19.37611,19.20481,19.07157,18.82414,18.74800,18.78607,18.74800,18.40540,18.29120,18.17700,17.94860,17.85343,18.19603,18.19603,17.87246,17.35856,17.16822,16.71142,17.33952,17.11112
2021,Mortdale 33_11kV,03MAY2020,MW,17.30146,17.22532,16.74949,16.42592,16.21655,15.70264,15.22681,14.90324,14.63677,14.31320,13.95156,13.83736,13.66606,13.51379,13.43766,13.43766,13.20925,13.39959,13.39959,13.39959,13.39959,13.39959,13.39959,13.39959,13.53282,13.76123,13.87543,14.17996,14.37030,14.46546,14.63677,14.86517,14.86517,15.20777,15.34101,15.37907,15.37907,15.37907,15.37907,15.36004,15.22681,15.11260,14.88420,14.82710,14.88420,14.82710,14.73193,14.73193,14.73193,14.84613,14.80807,14.84613,14.82710,14.75097,14.71290,14.73193,14.86517,14.77000,14.61773,14.92227,15.03647,15.20777,15.45521,15.62651,16.04525,16.38785,16.82562,17.41566,17.58696,18.17700,18.88124,19.41418,19.85195,19.71871,19.60451,19.50934,19.20481,19.07157,18.86220,18.53864,18.61477,18.76704,18.67187,18.42443,18.32927,18.08183,17.81536,17.39662,17.89150,17.85343,17.51083,16.97789,16.52108,16.21655,16.92079,16.74949
2021,Mortdale 33_11kV,04MAY2020,MW,16.90175,16.67335,16.50205,16.15945,15.83588,15.53134,15.07454,14.75097,14.38933,14.27513,13.91349,13.72316,13.55186,13.47572,13.47572,13.47572,13.47572,13.47572,13.47572,13.47572,13.64702,13.76123,13.97059,14.67483,15.20777,15.39811,15.75974,16.23558,16.33075,16.73045,16.92079,17.30146,17.45373,17.81536,17.81536,17.83440,17.52986,17.30146,17.01595,16.67335,16.40688,16.29268,16.08331,16.02621,15.89298,15.96911,16.10235,15.79781,15.98815,15.85491,15.64554,15.70264,15.74071,15.74071,15.51231,15.47424,15.93104,16.02621,15.83588,15.91201,15.95008,16.25461,16.34978,16.57818,16.76852,17.20629,17.79633,18.36733,18.88124,19.47128,19.94711,20.57522,20.76556,20.63232,20.53715,20.27068,20.06132,19.79485,19.68065,19.43321,19.35708,19.29998,19.10964,18.65284,18.53864,18.36733,18.04376,17.52986,17.92956,17.87246,17.52986,17.09209,16.73045,16.31171,16.76852,16.57818
2021,Mortdale 33_11kV,05MAY2020,MW,16.88272,16.74949,16.25461,15.95008,15.66458,15.20777,14.90324,14.61773,14.40836,14.19900,13.83736,13.57089,13.57089,13.57089,13.47572,13.30442,13.30442,13.34249,13.55186,13.55186,13.64702,13.78026,13.87543,14.54160,15.01744,15.32197,15.47424,15.68361,16.10235,16.42592,16.80659,17.14919,17.39662,17.62503,17.22532,16.88272,16.73045,16.61625,16.59722,16.67335,16.42592,16.21655,16.27365,15.98815,15.66458,15.70264,15.75974,15.91201,15.70264,15.89298,16.00718,15.95008,16.25461,16.14041,16.08331,15.75974,15.41714,15.58844,15.55037,15.64554,15.66458,15.91201,15.91201,16.14041,16.59722,16.71142,17.13016,17.51083,17.87246,18.53864,19.10964,19.41418,19.83291,19.89001,19.66161,19.37611,19.05254,18.76704,18.57670,18.42443,18.51960,18.63380,18.46250,18.21507,18.13893,17.85343,17.62503,17.32049,17.72019,17.73923,17.26339,16.80659,16.52108,16.25461,16.86369,16.55915
2021,Mortdale 33_11kV,06MAY2020,MW,16.76852,16.55915,16.10235,15.70264,15.56941,15.16970,14.82710,14.48450,14.29416,14.08479,13.79929,13.57089,13.57089,13.34249,13.32345,13.32345,13.32345,13.32345,13.32345,13.51379,13.60896,13.79929,13.95156,14.65580,15.34101,15.49327,15.60748,16.19751,16.48302,16.74949,17.09209,17.24436,17.56793,17.45373,17.47276,17.33952,17.03499,16.84465,16.82562,16.59722,16.15945,16.10235,16.10235,15.89298,15.62651,15.72168,15.68361,15.47424,15.68361,15.66458,15.68361,15.45521,15.60748,15.64554,15.43617,15.41714,15.41714,15.32197,15.34101,15.30294,15.58844,15.83588,15.83588,16.10235,16.10235,16.42592,16.82562,17.24436,17.56793,18.32927,18.86220,19.14771,19.24287,19.24287,19.12867,18.97641,18.72897,18.59574,18.48153,18.31023,18.40540,18.34830,18.19603,17.91053,17.75826,17.54889,17.26339,17.07306,17.64406,17.62503,17.24436,16.92079,16.50205,16.10235,16.57818,16.29268
2021,Mortdale 33_11kV,07MAY2020,MW,16.67335,16.54012,16.23558,15.95008,15.56941,15.16970,14.86517,14.59870,14.23706,13.97059,13.85639,13.68509,13.32345,13.51379,13.26635,13.26635,13.26635,13.26635,13.26635,13.32345,13.62799,13.74219,13.91349,14.25610,14.78903,14.94130,15.39811,15.96911,16.25461,16.67335,16.88272,17.41566,17.77729,18.13893,18.29120,17.77729,17.73923,17.47276,17.24436,17.18726,17.14919,17.11112,16.99692,16.52108,16.42592,15.95008,15.96911,15.95008,16.21655,16.06428,16.23558,15.70264,15.56941,15.89298,16.04525,15.62651,15.68361,15.56941,15.62651,15.66458,15.89298,16.08331,16.08331,16.21655,16.48302,16.76852,16.99692,17.43469,17.73923,18.31023,18.70994,19.10964,19.07157,19.01447,19.01447,18.90027,18.70994,18.50057,18.10086,17.94860,17.87246,17.92956,17.73923,17.52986,17.52986,17.32049,17.09209,16.93982,17.43469,17.35856,17.05402,16.61625,16.36882,15.95008,16.54012,16.27365
2021,Mortdale 33_11kV,08MAY2020,MW,16.61625,16.40688,16.14041,15.75974,15.53134,15.07454,14.80807,14.42740,14.14190,13.74219,13.70412,13.64702,13.28539,13.38055,13.13312,13.13312,13.13312,13.13312,13.38055,13.38055,13.47572,13.62799,13.62799,14.00866,14.48450,14.84613,14.99840,15.45521,15.55037,15.87394,16.02621,16.59722,16.76852,16.93982,16.74949,16.57818,16.44495,16.15945,15.95008,15.91201,15.72168,15.66458,15.53134,15.41714,15.32197,15.32197,15.32197,15.28391,15.34101,15.28391,15.32197,15.22681,15.11260,15.11260,15.11260,15.11260,15.11260,15.11260,15.09357,14.90324,15.20777,15.51231,15.70264,15.87394,15.95008,16.17848,16.50205,16.78755,16.97789,17.43469,18.00570,18.34830,18.25313,18.25313,18.08183,17.98666,17.81536,17.64406,17.28242,17.13016,17.22532,17.26339,17.18726,16.97789,16.74949,16.71142,16.61625,16.38785,16.88272,16.90175,16.74949,16.36882,16.02621,15.89298,16.48302,16.29268
2021,Mortdale 33_11kV,09MAY2020,MW,16.65432,16.44495,16.04525,15.64554,15.30294,14.94130,14.73193,14.33223,14.06576,13.81833,13.60896,13.57089,13.22829,13.19022,13.05699,12.96182,13.05699,13.19022,13.19022,13.19022,13.19022,13.19022,13.19022,13.26635,13.45669,13.58992,13.72316,13.95156,14.04673,14.21803,14.52257,14.90324,14.90324,15.03647,15.16970,15.22681,15.39811,15.98815,16.08331,16.12138,16.25461,15.96911,15.75974,15.72168,15.53134,14.92227,14.65580,14.88420,14.77000,14.77000,14.71290,14.61773,15.15067,15.41714,14.65580,14.56063,14.92227,15.24584,15.22681,15.16970,15.13164,15.68361,15.28391,15.45521,15.56941,15.93104,16.14041,16.44495,16.67335,17.13016,17.52986,17.98666,18.13893,17.92956,17.68213,17.68213,17.51083,17.45373,17.18726,16.95885,16.99692,17.03499,16.84465,16.59722,16.61625,16.38785,16.36882,16.15945,16.73045,16.82562,16.61625,16.36882,16.12138,16.02621,16.57818,16.42592
2021,Mortdale 33_11kV,10MAY2020,MW,16.74949,16.54012,16.15945,15.74071,15.58844,15.11260,14.75097,14.33223,14.04673,13.78026,13.58992,13.58992,13.30442,13.28539,13.28539,13.09505,12.99988,12.99988,12.99988,12.99988,12.99988,13.22829,13.28539,13.28539,13.49476,13.53282,13.70412,14.02769,13.95156,14.37030,14.57967,14.80807,15.07454,15.26487,15.37907,15.37907,15.51231,15.53134,15.37907,15.60748,15.53134,15.39811,15.26487,15.13164,14.94130,14.78903,14.88420,14.78903,14.57967,14.57967,14.67483,14.69387,14.37030,14.10383,14.16093,14.35126,14.35126,14.35126,14.35126,14.27513,14.69387,15.15067,15.15067,15.47424,15.79781,16.25461,16.67335,17.09209,17.39662,17.96763,18.44347,18.90027,19.09061,19.09061,19.20481,19.10964,19.10964,19.03351,18.84317,18.65284,18.76704,18.65284,18.57670,18.34830,18.34830,18.11990,17.91053,17.70116,17.92956,17.92956,17.58696,17.16822,16.82562,16.46398,17.01595,16.76852
