year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Mt Hutton 33_11kV,01MAY2020,MW,6.79925,6.51986,6.29074,6.50314,6.19288,5.66939,5.31644,5.40078,4.91864,4.56662,4.18619,4.03012,3.72930,3.61080,3.61080,3.60221,3.44209,3.41820,3.45372,3.46648,3.48007,3.50529,3.67020,3.85006,4.19527,4.41683,4.90321,4.76968,5.05350,5.27292,5.54760,5.49549,5.46966,5.18722,4.98406,4.94661,4.65343,4.28675,4.28934,4.20712,4.27031,4.12038,4.18285,3.95662,3.69359,3.54332,3.85867,3.85789,4.73583,5.34560,4.79141,3.81809,4.02020,3.84505,3.54169,3.41723,3.43937,4.11279,4.01187,3.93503,4.19779,4.47234,4.78074,4.96673,5.16499,5.61118,6.10646,6.66871,7.09653,8.00429,8.66141,8.74476,8.91098,8.91164,8.94734,8.68496,8.35792,8.39029,8.09826,7.93983,7.76337,7.56279,7.56774,7.35167,7.13092,6.95741,7.04476,6.84280,7.92151,7.65502,7.21778,6.81334,7.13138,6.78498,6.90361,7.17300
2021,Mt Hutton 33_11kV,02MAY2020,MW,7.31265,7.03125,6.84058,6.95921,6.70213,6.10105,5.54632,5.07546,5.25875,4.92991,4.59894,4.41637,4.15007,4.01220,3.80707,3.65157,3.53261,3.40380,3.40380,3.40380,3.45525,3.48947,3.57930,3.57930,3.75666,3.95314,4.16807,4.56336,4.80799,5.12469,5.42913,5.66014,5.66292,5.84087,5.97344,5.97853,5.91886,5.67880,5.36380,5.15825,4.90573,4.68757,4.56851,4.30252,4.05276,3.97493,3.78679,3.81740,3.75789,3.53215,3.60849,3.48768,3.38760,3.38760,3.35240,3.59577,3.61530,3.78380,3.85618,4.01144,4.06338,4.32391,4.62087,5.11203,5.31202,5.50370,5.98022,6.23024,6.66114,7.12554,7.66475,8.06068,8.11170,8.01303,7.76703,7.57396,7.33781,7.25182,6.97587,6.81026,6.62119,6.47403,6.32748,6.08338,6.07706,5.95682,6.99525,6.72238,6.24309,5.99475,6.05703,5.94432,6.62326,6.19419,5.60579,5.74705
2021,Mt Hutton 33_11kV,03MAY2020,MW,5.88954,5.47355,5.49926,5.92250,5.32125,4.70860,4.33501,4.16156,4.13820,4.02863,3.74798,3.79371,3.65310,3.65310,3.52912,3.49920,3.33753,3.25980,3.25980,3.25980,3.44684,3.48300,3.50586,3.62936,3.85788,3.94876,4.09140,4.25801,4.54263,4.84520,5.02920,5.38474,5.49202,5.43302,5.52253,5.74273,5.40690,5.18086,4.96742,4.90320,4.71180,4.38922,4.21675,4.07279,3.82228,3.55404,3.59440,3.42846,3.43514,3.52576,3.62992,3.58975,3.41569,3.57021,3.35708,3.43620,3.55272,3.63216,3.53547,3.85149,4.01243,4.62904,4.66902,5.01090,5.20707,5.43005,5.81760,6.26173,6.65400,7.23145,7.70350,7.86799,7.94522,7.81740,7.67110,7.42032,7.24676,7.27047,6.88852,6.90473,6.74550,6.59370,6.48554,6.43311,6.33410,6.08320,7.06954,6.77698,6.21939,5.87356,6.07739,5.77357,6.35570,6.03283,5.66846,5.74994
2021,Mt Hutton 33_11kV,04MAY2020,MW,5.80764,5.52256,5.49646,5.91635,5.25828,4.67221,4.37786,4.37490,4.28087,4.03032,3.72949,3.58650,3.54394,3.41370,3.41370,3.41370,3.41370,3.41370,3.41370,3.41370,3.51244,3.75764,3.89775,4.09546,4.35928,4.67198,5.25324,5.37153,5.52334,5.96958,6.19025,6.05616,6.02246,5.89617,5.70124,5.41228,4.95217,4.57854,4.29196,4.11724,3.83177,3.53585,3.40937,3.26109,3.13461,2.97272,2.92391,2.74551,2.69573,2.90803,2.85947,2.70518,2.65140,2.73480,2.90392,2.90209,3.00330,3.10319,3.07800,3.33016,3.45777,3.67231,3.98160,4.17164,4.54710,5.11828,5.66614,6.00003,6.72195,7.47060,8.09981,8.11411,8.36417,8.22874,8.07300,7.79787,7.43683,7.42366,7.15130,7.01966,6.91306,6.66202,6.37845,6.27970,6.05282,5.97780,6.02989,5.76952,6.87910,6.64259,6.34624,6.05755,6.39780,6.19131,6.21009,6.53233
2021,Mt Hutton 33_11kV,05MAY2020,MW,6.69745,6.46249,6.30533,6.51498,6.23181,5.77050,5.43732,5.48520,5.01517,4.64828,4.21758,3.90690,3.86010,3.71502,3.62308,3.46410,3.46410,3.30886,3.23370,3.38178,3.48355,3.57750,3.59095,3.86705,3.98345,4.45264,4.76173,4.67902,4.80649,5.34970,5.61630,6.03185,5.67214,5.54605,4.92020,5.22722,5.38982,5.17920,4.69037,4.21595,3.91048,3.46461,4.08422,4.29603,5.01066,4.74450,4.45857,4.26830,4.84490,5.43581,5.08712,4.76450,4.49852,4.60123,4.38719,3.69590,3.84142,4.11910,3.88606,4.30071,4.13720,4.58305,4.89230,5.02310,5.28324,5.64225,6.09751,6.73724,7.31671,7.94604,8.41464,8.54908,8.52837,8.35885,8.10836,7.69792,7.46395,7.40430,7.30813,6.99491,6.79164,6.57014,6.40252,6.29638,5.99300,5.94270,6.03946,5.98607,6.96192,6.63877,6.31108,6.08672,6.43772,6.23319,6.37707,6.66110
2021,Mt Hutton 33_11kV,06MAY2020,MW,6.96033,6.67770,6.44023,6.57270,6.22871,5.65513,5.39733,5.52571,4.96189,4.52171,4.24170,4.07303,3.83670,3.78027,3.49334,3.48930,3.48930,3.48930,3.33829,3.38885,3.46410,3.46410,3.67294,3.72231,4.05346,4.46756,4.73795,4.98780,4.89740,5.21469,5.12394,5.26499,5.11862,4.93722,4.65743,4.38448,4.15687,3.89468,3.65154,3.48221,3.27042,3.10987,2.88448,2.79850,2.61520,2.51699,2.41488,2.39580,2.44086,2.41290,2.41290,2.51970,2.48753,2.48412,2.45050,2.62170,2.62170,2.71240,2.89077,3.02490,3.18122,3.39300,3.66236,4.04317,4.22071,4.43652,5.01074,5.46181,5.89368,6.55892,7.23278,7.50059,7.53032,7.50022,7.37002,7.09171,6.80755,6.92403,6.59476,6.39445,6.19448,5.92253,5.84053,5.69317,5.52457,5.42574,5.65640,5.58516,6.55027,6.28131,6.09534,5.91795,6.30152,6.04072,6.09313,6.44345
2021,Mt Hutton 33_11kV,07MAY2020,MW,6.58453,6.16915,6.05712,6.32113,6.00563,5.53683,5.25115,5.34533,4.92025,4.55222,4.26399,4.01915,3.70606,3.57300,3.46640,3.40560,3.40560,3.40560,3.40560,3.40560,3.40560,3.40560,3.55976,3.69852,4.06238,4.44149,4.75290,4.63461,4.70922,4.87609,5.01176,5.14960,5.11459,4.94441,4.82473,4.62783,4.69524,4.44557,4.27466,4.18170,4.24913,3.97326,3.69685,3.62542,3.50441,3.30639,3.21515,3.67208,3.68190,3.68190,3.54128,3.04384,3.15301,3.25428,3.51587,3.54110,3.11699,3.56113,3.74231,3.43212,3.85445,4.12813,4.08170,4.39928,4.63480,4.68572,5.07196,5.51428,5.91747,6.45866,7.11561,7.20170,7.30181,7.25141,7.07817,6.84613,6.68430,6.71130,6.53228,6.34444,6.19560,5.96717,5.72455,5.66550,5.59571,5.31995,5.57741,5.32261,6.55395,6.35787,6.09531,5.77560,6.13079,6.06120,6.08491,6.35854
2021,Mt Hutton 33_11kV,08MAY2020,MW,6.60315,6.25341,6.26116,6.34614,6.01065,5.44451,5.23642,5.30344,4.80018,4.37900,4.10837,3.93416,3.77730,3.77730,3.54260,3.40514,3.25530,3.25530,3.25530,3.27452,3.28140,3.37140,3.65894,3.74130,3.91173,4.31671,4.62319,4.74480,4.57317,4.81451,5.04559,4.99638,4.80222,4.60157,4.42947,4.22540,3.99807,3.93340,3.60816,3.23921,3.08380,2.99891,2.79396,2.64028,2.61270,2.48399,2.46126,2.51338,2.59306,2.59971,2.52714,2.54853,2.54558,2.70045,2.65920,2.67210,2.71902,2.89440,3.08339,3.23503,3.36171,3.59460,3.86963,4.02221,4.23953,4.55218,4.81807,5.08364,5.39023,5.84517,6.29263,6.34946,6.43778,6.51497,6.36113,6.22574,5.82326,5.77815,5.52660,5.38750,5.15989,5.06529,5.15150,5.08702,4.94024,4.76491,4.99336,4.99380,6.34376,5.99955,5.67360,5.38950,5.78092,5.66544,5.99584,6.23585
2021,Mt Hutton 33_11kV,09MAY2020,MW,6.43273,6.15705,6.11145,6.30072,5.98551,5.38371,4.78029,4.57125,4.75324,4.52649,4.18523,3.90973,3.73364,3.48930,3.41591,3.29490,3.29490,3.26300,3.08741,3.06090,3.06090,3.09464,3.07998,3.24360,3.39159,3.51728,3.69585,3.96342,4.22550,4.46051,4.79840,4.92281,4.65087,5.10127,5.48218,4.72895,4.94872,5.22264,4.40025,4.99628,4.41266,4.37637,4.99835,3.73486,3.42900,3.42900,3.94221,4.44262,4.58766,4.47689,3.05065,3.76818,4.01516,4.66024,4.94656,4.61011,4.71439,4.92070,4.82422,4.97790,4.91217,5.18066,5.34535,5.43583,5.35302,5.42516,5.47423,5.60821,5.78644,6.06678,6.56713,6.70680,6.79846,6.67398,6.40641,6.31733,6.21155,6.09226,5.66886,5.63213,5.46120,5.33663,5.41281,5.29825,5.15882,5.01930,5.94619,5.72287,5.57898,5.24583,5.52789,5.45149,6.02339,5.64994,5.29572,5.39721
2021,Mt Hutton 33_11kV,10MAY2020,MW,5.49641,4.96471,5.03514,5.51865,4.85737,4.40922,4.13780,3.83323,3.93678,3.75302,3.59010,3.45870,3.30120,3.30120,3.30120,3.18827,3.16704,3.10950,3.10950,3.16569,3.18240,3.12210,3.14995,3.38858,3.54881,3.66480,3.66645,3.88634,4.25178,4.57386,4.96558,5.36417,5.37733,5.28129,5.45210,5.38522,5.42444,5.20608,5.07410,4.80810,4.55503,4.45957,4.27161,4.04828,3.74850,3.78146,3.67694,3.46427,3.27176,3.23730,3.23730,3.23730,3.19574,3.19050,3.09940,3.08647,3.17313,3.28169,3.37140,3.61880,3.82012,4.02294,4.23467,4.60043,4.88238,5.19934,5.75946,6.17530,6.58615,7.01978,7.48599,7.75384,7.95129,7.81404,7.64317,7.57400,7.27381,7.33787,7.06955,6.91298,6.81601,6.72025,6.92326,6.59061,6.42870,6.27079,7.10067,6.70057,6.34913,6.05239,6.15030,5.82308,6.57151,6.12811,5.59236,5.61915
2021,Mt Hutton 33_11kV,11MAY2020,MW,5.69358,5.34253,5.40502,5.80667,5.10642,4.58365,4.37311,4.33148,4.18523,3.84473,3.70603,3.54150,3.51687,3.50305,3.55860,3.55860,3.38843,3.33900,3.33900,3.40487,3.51875,3.74295,4.02607,4.14093,4.46783,4.94513,5.40322,5.60095,5.71494,6.30984,6.52632,6.46290,6.28097,6.03922,5.82226,5.57551,5.09796,4.81658,4.52651,4.21177,4.04317,3.74787,3.56113,3.39366,3.21142,3.13701,3.01230,3.01019,2.84310,2.78542,2.82150,2.82150,2.82018,2.78557,2.92823,2.93404,2.99400,2.99705,3.08812,3.38443,3.43533,3.78160,4.07255,4.46614,4.94558,5.18611,5.82133,6.42384,7.08108,7.96898,8.66139,8.85464,9.02901,9.00977,8.80790,8.47619,8.21030,8.28671,7.93037,7.74672,7.50580,7.40452,7.17239,6.90111,6.67713,6.47514,6.67962,6.46457,7.37760,7.09491,6.80275,6.43239,6.72103,6.60118,6.70905,6.96356
2021,Mt Hutton 33_11kV,12MAY2020,MW,7.13408,6.82777,6.59795,6.74279,6.45582,6.08499,5.64558,5.85036,5.37355,4.90462,4.54692,4.39254,4.05420,3.97746,3.92760,3.91754,3.62494,3.57022,3.60021,3.73320,3.74083,3.96812,4.43257,4.65905,4.85425,5.46854,6.10183,6.40126,6.52857,7.14625,7.18428,6.98177,6.90293,6.62108,6.27167,5.82316,5.27917,4.95958,4.59674,4.36818,4.10207,3.91040,3.60217,3.27683,3.15266,3.19084,2.90711,2.63405,2.68381,3.13929,2.84706,2.83271,3.22305,3.38017,3.25073,3.03965,2.79799,3.16133,3.77728,3.93930,3.82940,3.79710,4.01853,4.44557,4.79906,5.42364,5.76601,6.41404,7.00415,7.80940,8.42147,8.70333,8.68824,8.51168,8.29284,8.05577,7.86723,7.86326,7.63908,7.45920,7.39004,7.08113,6.85902,6.55916,6.28069,6.05048,6.14520,6.16366,6.93395,6.60108,6.31608,6.12909,6.49463,6.21294,6.30193,6.76831
2021,Mt Hutton 33_11kV,13MAY2020,MW,6.83223,6.54474,6.44852,6.60246,6.22562,5.72181,5.49832,5.67101,5.11980,4.77976,4.45246,4.14428,3.97337,3.71099,3.65850,3.65850,3.65850,3.61344,3.46860,3.46860,3.46860,3.57289,3.86417,4.14622,4.61281,5.06859,5.54821,5.63161,5.78662,6.12412,6.36839,6.24129,6.23067,6.38284,5.88284,5.03482,4.69744,4.67513,4.19032,4.32611,4.34035,3.67149,3.37232,3.95150,4.47180,3.39372,2.78844,3.02041,2.75536,2.86027,2.76963,2.43088,2.81258,3.17150,3.20781,3.57556,4.19321,3.64822,3.59697,4.00151,4.20526,4.39977,4.43790,4.50442,4.99825,5.31929,5.70499,6.47211,7.00551,7.65215,8.42345,8.65350,8.81594,8.64141,8.43886,8.22247,7.95006,8.02127,7.69489,7.54533,7.38885,7.13880,6.89661,6.66360,6.52002,6.28155,6.41718,6.26478,7.09757,6.75604,6.44298,6.06376,6.50604,6.40761,6.70127,6.90984
2021,Mt Hutton 33_11kV,14MAY2020,MW,7.16345,6.68617,6.59012,6.81586,6.45089,5.93166,5.53136,5.47402,5.10722,4.78698,4.50000,4.32973,4.07308,3.86743,3.85020,3.85020,3.78251,3.68550,3.57845,3.56609,3.65261,3.92192,4.09188,4.36078,4.58257,4.98261,5.52169,5.68198,5.91470,6.29033,6.47626,6.38289,6.42850,6.43960,6.43894,6.08233,5.50388,5.43403,4.47200,4.66951,5.03779,4.14954,4.21780,4.85137,5.22545,5.24337,4.26108,4.11579,5.36367,4.85700,3.55580,3.54948,4.25151,5.43426,5.47738,5.32186,4.45940,5.04518,5.03362,4.95900,5.19794,5.46695,5.67990,6.00594,6.26424,6.62094,7.09364,7.46502,7.86307,8.62280,9.38490,9.63412,9.50803,9.53183,9.21575,8.96883,8.56328,8.54713,8.35236,8.09391,7.78401,7.51471,7.29949,7.11349,6.92834,6.59516,6.64219,6.38788,7.48231,7.12336,6.71322,6.29689,6.67918,6.36838,6.64266,6.98460
2021,Mt Hutton 33_11kV,15MAY2020,MW,7.11824,6.79007,6.61707,6.82463,6.50645,6.08162,5.60811,5.68017,5.19358,4.72102,4.38811,4.18717,3.88800,3.79575,3.69720,3.57403,3.53618,3.59670,3.65715,3.69540,3.53382,3.66230,3.90420,4.04773,4.23142,4.77138,5.12034,5.34785,5.58720,6.02900,6.30313,6.47206,6.67330,6.57187,6.91100,7.05341,6.30572,5.39124,5.21504,5.16099,4.48982,3.98488,4.43489,5.13024,5.53591,5.07893,4.27192,4.17597,4.02067,4.22482,3.86710,4.07641,4.70769,5.29570,5.73636,5.06348,5.33069,5.56620,5.38961,5.49021,5.51120,5.57450,5.80935,6.17174,6.53614,6.93977,7.35226,7.87387,8.32421,8.82790,9.28420,9.47588,9.34188,9.41400,9.09523,8.78759,8.44905,8.27394,7.94298,7.89268,7.63283,7.40340,7.28388,6.89512,6.75978,6.48386,6.66843,6.56475,7.62385,7.30437,6.98743,6.68284,6.98097,6.63917,6.73791,6.94692
2021,Mt Hutton 33_11kV,16MAY2020,MW,7.08701,6.81352,6.75592,6.97361,6.55686,6.03523,5.56052,5.13816,5.29252,4.96307,4.54441,4.30274,4.14308,3.92546,3.78364,3.62006,3.54780,3.43438,3.37950,3.37950,3.37950,3.37950,3.56864,3.57840,3.82221,4.04498,4.13191,4.40465,4.79006,5.04270,5.32076,5.49247,5.64088,5.81308,6.10386,6.16158,5.97194,6.45804,6.59896,6.55748,6.18855,5.42537,5.16640,4.48591,4.24851,4.00284,3.82199,3.69685,3.78543,3.87294,4.96957,4.87797,4.05915,3.89522,3.84049,3.87300,3.91014,3.83945,4.09045,4.11604,4.13466,4.38883,4.56778,4.74551,5.22897,5.53488,5.95949,6.22962,6.63528,7.31177,7.76249,7.94369,7.85042,7.88648,7.63314,7.39933,7.30436,7.28373,7.23962,7.02247,6.85547,6.62642,6.58189,6.49012,6.39788,6.09938,7.03837,6.68955,6.42025,6.24412,6.35513,6.11284,6.88754,6.51495,5.91376,6.00453
2021,Mt Hutton 33_11kV,17MAY2020,MW,6.05748,5.47799,5.53203,5.96578,5.29117,4.77755,4.52136,4.21530,4.12961,4.02390,3.93346,3.77820,3.70412,3.60900,3.42697,3.41370,3.41370,3.41155,3.23460,3.23460,3.32172,3.39280,3.48930,3.49340,3.81651,3.77640,3.93297,4.18442,4.45675,4.58928,4.99694,5.25714,5.56641,5.78065,5.42131,5.58619,5.44315,5.44012,5.05401,4.92030,4.76154,4.53544,4.24314,4.05632,3.77769,3.77289,3.68136,3.99050,4.22182,4.35774,4.60557,4.26821,4.00308,3.49639,3.68709,3.58227,3.77401,3.90588,4.00027,4.15988,4.38300,4.43231,4.57678,5.22653,5.49895,5.82737,6.11895,6.29196,6.65306,7.39702,7.77846,7.84090,7.81596,7.68690,7.58176,7.46586,7.40407,7.31103,6.86919,6.59715,6.49697,6.37254,6.37882,6.11883,5.97881,5.75086,6.60505,6.36666,5.99364,5.66619,5.68356,5.51784,6.33679,5.89118,5.41283,5.58998
