year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Muswellbrook 33_11kV,01MAY2020,MW,6.07421,5.78385,5.72225,5.72225,5.50619,5.09363,4.99978,4.60774,4.31444,4.31444,4.31444,4.31444,4.31444,4.07003,4.01382,4.13847,4.13847,4.13847,4.13847,4.13847,4.13847,4.27387,4.66640,4.66640,4.88734,5.09178,5.03049,5.06911,5.20646,5.13851,5.16332,5.44700,5.46132,5.30880,5.24314,4.97713,5.65707,5.82952,5.63169,5.61293,5.36738,4.65148,4.70650,4.32735,3.94357,4.09354,4.40127,4.88181,4.79306,4.34049,4.51799,4.12945,4.51879,4.84805,4.96626,4.96920,4.33754,4.21541,4.52221,4.99459,5.37390,5.67714,5.25840,5.55345,5.88897,6.05793,6.21921,6.40754,6.67613,7.03740,7.50889,8.00225,8.08277,7.89440,7.80599,7.80599,7.80599,7.67488,7.41417,7.17724,7.06262,6.87441,7.24208,7.41178,7.69169,7.64992,7.43197,7.35655,7.69562,7.53056,7.53056,7.22885,7.50074,7.17557,7.10048,6.79574
2021,Muswellbrook 33_11kV,02MAY2020,MW,6.49759,6.38907,6.12728,5.85034,5.74792,5.30620,5.09008,4.93247,4.87442,4.69958,4.43030,4.37318,4.37318,4.37318,4.22690,4.17595,4.17595,4.17595,4.17595,4.17595,4.17595,4.17595,4.28289,4.46983,4.53743,4.74327,4.74327,4.81311,5.05680,5.35275,5.46225,5.74896,6.12946,6.12017,6.00676,6.10878,6.03349,5.88187,6.28025,6.27909,6.27909,5.37143,4.82026,5.53672,5.93648,5.59436,5.34266,5.53564,5.82159,5.95311,6.04475,5.54737,4.70686,4.97509,5.81110,6.09485,4.68830,4.32014,4.59375,5.39012,5.31870,5.40380,5.21809,5.67258,5.79381,6.09185,6.33368,6.71815,6.79364,7.02242,7.29291,7.71458,7.84066,7.84066,7.84066,7.68845,7.49165,7.49165,7.49165,7.28936,7.16824,6.83287,6.79364,6.63115,6.25896,6.00879,5.92100,5.92100,5.92100,5.92100,5.83978,5.63148,6.09732,5.81631,5.53945,5.52270
2021,Muswellbrook 33_11kV,03MAY2020,MW,5.52270,5.51935,5.35010,5.35010,5.35010,5.13738,4.83953,4.73119,4.63268,4.53624,4.37925,4.37925,4.37925,4.37925,4.37925,4.37925,4.37925,4.37925,4.21098,4.15406,4.15406,4.15406,4.38736,4.48086,4.57877,4.67137,4.67137,4.79999,5.09616,5.09616,5.09616,5.09616,5.09616,5.09616,5.09616,5.04007,5.05352,4.88915,4.87897,4.87897,4.87897,4.50536,4.23977,4.18110,4.18110,3.99865,3.72541,3.69654,3.69654,3.69654,3.69654,3.69654,3.73178,3.91931,3.77730,3.69654,3.55343,3.69654,3.69654,3.90902,4.14124,4.40180,4.40180,4.48158,4.68631,5.08304,5.52442,5.85438,6.25229,6.55969,7.19443,7.60943,7.84668,7.84668,7.84668,7.84668,7.64554,7.57548,7.57548,7.43491,7.19760,7.03810,6.87022,6.82026,6.51759,6.22873,6.07836,5.81278,5.81278,5.81278,5.65011,5.40362,5.74390,5.75262,5.61204,5.40362
2021,Muswellbrook 33_11kV,04MAY2020,MW,5.40362,5.40362,5.23045,5.22900,5.21899,4.83637,4.73409,4.73409,4.73409,4.50684,4.37076,4.37076,4.37076,4.37076,4.37076,4.37076,4.37076,4.37076,4.37076,4.52979,4.67051,4.95682,5.12802,5.17096,5.43984,5.57550,5.79118,5.91182,5.95506,6.30490,6.46085,6.46085,6.46085,6.37452,6.11162,5.92773,5.58211,5.16383,5.06391,4.93997,4.83510,4.66248,4.36260,4.22031,4.09155,4.09155,4.09155,3.86817,3.68268,3.67493,3.71098,3.70757,3.85031,3.85031,3.68565,3.85031,3.85031,3.85031,3.88729,4.29192,4.39976,4.37492,4.42038,4.54341,4.93778,5.29523,5.77262,5.82214,5.90451,6.49640,7.23214,7.74427,8.11241,8.04567,7.83134,7.51017,7.51017,7.51017,7.25268,7.23512,6.95078,6.61273,6.88827,7.12061,7.54038,7.39069,7.20303,7.09408,7.20178,7.24219,7.23538,7.03690,7.21296,7.02261,6.71098,6.56549
2021,Muswellbrook 33_11kV,05MAY2020,MW,6.39800,6.23147,5.87264,5.73071,5.48519,5.22559,5.10309,4.89207,4.82244,4.80754,4.51911,4.31109,4.19988,4.13473,4.13473,4.13473,4.15558,4.15609,4.38035,4.42254,4.55457,4.73306,4.90867,5.18256,5.18256,5.25943,5.52260,5.52260,5.52260,5.55433,5.83131,6.00384,6.11237,6.29194,6.31171,6.16663,6.30033,5.95363,5.85365,5.69566,5.27762,5.21489,5.18966,4.62624,4.86775,5.20034,5.32942,4.77574,5.36687,5.34875,5.09682,4.92356,4.93973,5.19021,5.06482,4.64538,4.28966,4.09575,4.12055,4.27555,4.44834,4.70172,4.76757,5.08492,5.18023,5.28645,5.57226,6.05400,6.34588,6.80551,7.14974,7.52934,7.65998,7.77780,7.76326,7.65998,7.27931,7.25409,6.99928,6.95913,6.95913,6.82488,6.90368,6.91095,7.40978,7.49876,7.26475,6.99663,7.45523,7.36439,7.15877,6.99663,7.29319,7.12140,6.83084,6.50389
2021,Muswellbrook 33_11kV,06MAY2020,MW,6.29197,6.15278,6.11615,5.72471,5.57783,5.21887,4.99028,4.86994,4.79817,4.54286,4.47298,4.20390,4.17803,4.17803,4.17803,4.17803,4.19293,4.19330,4.20160,4.49526,4.54578,4.69096,4.88358,4.88358,5.04267,5.23500,5.23500,5.43656,5.53126,5.93785,5.93785,5.95910,6.16979,6.08553,6.22160,6.03630,5.93530,5.93530,5.69599,5.38489,4.90231,4.58986,4.26460,3.90599,3.85895,3.83836,3.83836,3.83836,3.68956,3.45847,3.45847,3.57592,3.62156,3.78985,3.78985,3.78985,3.78985,3.78985,3.81716,3.98262,4.08117,4.21951,4.50685,4.56751,4.81408,4.85631,5.14219,5.41058,5.56350,6.07725,6.57193,6.77935,6.95910,6.95910,6.95910,6.93532,6.61595,6.60964,6.37472,6.22504,6.22504,6.22875,6.59059,6.57845,6.90916,6.96362,6.76837,6.56647,6.91795,6.96920,6.96920,6.75561,7.00687,6.81523,6.59870,6.32784
2021,Muswellbrook 33_11kV,07MAY2020,MW,6.13213,5.83545,5.64099,5.53798,5.32997,5.15576,4.94772,4.57538,4.53171,4.53171,4.37206,4.19950,4.19950,4.19950,4.19950,4.19950,4.05742,4.05480,4.17567,4.57918,4.58257,4.87209,5.10652,5.38293,5.68118,5.68954,5.68954,5.74447,5.88617,5.98047,6.13747,6.21935,6.21935,6.21935,6.21935,6.03380,5.87980,5.75701,5.54509,5.41353,5.29740,5.13707,4.84580,4.62695,4.41694,4.04280,3.92178,4.18140,4.18861,4.18861,4.18861,4.20446,4.41342,4.70756,4.52822,4.56304,4.49860,4.27314,4.43132,4.53323,4.34528,4.59632,4.77329,4.76018,4.73266,5.15316,5.26294,5.58982,5.75763,6.27922,6.81514,7.01629,7.35259,7.20700,7.03754,7.03754,7.01907,6.70723,6.61827,6.40118,6.26621,6.03465,6.31417,6.46483,7.09834,7.14902,6.90491,6.81765,7.00485,7.03434,7.03434,7.00769,6.98356,6.78449,6.39853,6.31410
2021,Muswellbrook 33_11kV,08MAY2020,MW,6.17568,5.90194,5.82556,5.64326,5.43562,5.16507,4.94276,4.77314,4.62196,4.45863,4.42315,4.39214,4.12143,4.12143,4.02011,3.93437,3.93437,4.07582,4.22664,4.34008,4.44301,4.63185,4.72145,4.84033,5.09379,5.24559,5.34727,5.51801,5.64321,5.64321,5.64321,5.73437,5.60166,5.47662,5.40514,5.16387,5.03353,4.69839,4.46954,4.20511,4.20511,4.20511,4.17705,3.89901,3.79542,3.87713,3.73271,3.55430,3.72394,3.72394,3.72394,3.80145,3.89901,3.89901,3.89901,3.89901,3.86460,3.81250,4.34058,4.30135,4.37829,4.60810,4.61993,4.88409,4.97225,5.05388,5.14822,5.28226,5.42315,5.67479,5.84246,6.18545,6.24489,6.22298,6.27849,6.03046,6.02607,5.85712,5.70427,5.70427,5.70427,5.71664,5.86796,5.86796,6.34044,6.41488,6.41488,6.28479,6.75352,6.74908,6.48002,6.47562,6.78045,6.50739,6.29547,6.05225
2021,Muswellbrook 33_11kV,09MAY2020,MW,5.94694,5.68718,5.41863,5.29408,4.98425,4.81261,4.42368,4.34842,4.18530,4.09442,3.99715,3.99715,3.99715,3.99715,3.87355,3.72077,3.72077,3.72077,3.72077,3.72077,3.72077,3.79821,3.95506,4.10732,4.34409,4.47679,4.47679,4.54874,4.79652,4.79652,5.03504,5.33234,5.36878,5.43409,5.59774,5.85113,5.68682,5.39975,5.09245,4.85657,4.97099,4.75571,4.37078,4.20128,3.93826,4.14092,4.80960,4.32058,4.93349,4.97022,4.81553,5.07451,5.21353,5.20740,5.02792,5.17952,5.16005,5.37509,5.82123,5.40984,5.19221,5.19221,4.86060,4.54383,4.89295,5.14508,5.22738,5.36059,5.60718,6.14313,6.63254,6.73268,6.73268,6.73268,6.87370,6.92425,6.92425,6.72967,6.77215,6.47284,6.25781,6.03375,5.94445,5.94445,5.73797,5.63520,5.41630,5.38155,5.16090,5.24009,5.24009,5.24009,5.55431,5.47955,5.28342,5.02082
2021,Muswellbrook 33_11kV,10MAY2020,MW,5.02082,5.02082,4.99851,4.67166,4.57882,4.33410,4.14750,4.01640,3.97334,3.93398,3.77923,3.77923,3.77923,3.77923,3.76037,3.64232,3.77923,3.77923,3.77923,3.77923,3.77923,3.77923,4.03130,4.24016,4.47037,4.47037,4.56752,4.76798,4.86298,4.91110,5.03797,5.03797,5.03797,5.03797,5.03797,5.02373,4.84802,4.68670,4.67363,4.52543,4.46271,4.12848,3.92231,3.76068,3.76068,3.76068,3.73706,3.53082,3.53082,3.53082,3.44169,3.45082,3.45082,3.45082,3.45082,3.45082,3.45082,3.45082,3.54768,3.72648,3.78899,3.95036,4.13725,4.40507,4.68606,5.09041,5.59200,6.06465,6.54450,7.02051,7.48772,8.03182,8.31186,8.25489,8.01845,8.05178,7.90328,7.94543,7.90181,7.85560,7.64590,7.64590,7.34919,7.07180,6.94698,6.60740,6.40105,6.18015,5.89860,5.89860,5.89860,5.74299,5.95037,5.95974,5.76217,5.60171
