year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Nelson Bay 33_11kV,01MAY2020,MW,10.71511,11.57643,11.31184,10.21677,10.47054,10.23485,9.59063,8.72846,9.06617,8.71418,7.96785,7.38994,7.20212,6.96437,6.83020,6.77223,6.67179,6.64632,6.68678,6.80846,6.93283,7.18883,7.26929,7.53583,8.08934,8.68262,9.09229,9.34477,9.03867,8.86640,9.02721,9.33965,9.55753,9.41000,9.12245,8.64239,8.27814,7.91910,7.93093,8.01867,7.85513,7.29488,7.04976,7.07035,6.48631,6.91916,6.83829,6.91450,6.81095,7.13602,7.35169,6.25404,6.03628,6.30705,6.20441,6.57818,6.48087,6.43495,6.65309,6.71156,7.04265,7.52830,7.92475,8.36461,8.87901,9.58319,10.30330,10.85691,11.60527,12.66884,13.73018,14.45188,14.38638,14.10917,13.82816,13.58414,13.18315,12.72592,12.66769,12.35311,11.98570,11.59588,11.24304,11.00932,10.79632,10.44206,10.68644,10.16075,10.00757,10.69179,11.73765,10.86006,11.89124,11.40206,10.81576,10.65173
2021,Nelson Bay 33_11kV,02MAY2020,MW,11.20597,11.92882,11.72767,10.81346,10.96102,10.63956,9.89245,9.22021,8.62649,8.66435,8.93387,8.25426,7.98173,7.30959,7.25145,7.14320,6.99615,6.81365,6.69647,6.74542,6.73795,6.79935,6.82228,7.09851,7.57561,7.70114,7.97057,8.25585,8.42502,8.76324,8.87391,9.18927,9.38478,9.40793,9.37192,9.38391,9.31273,8.98059,8.62696,8.22463,7.77858,7.31668,7.23991,6.90094,6.51253,6.18957,6.08494,5.90655,6.09446,6.13636,5.88175,5.94318,6.03146,6.17644,6.38210,6.05763,6.32893,6.40993,6.78167,7.17595,7.51093,7.98861,8.12656,8.50937,9.10477,9.76828,10.66046,11.46482,11.67095,12.37483,13.40414,13.98396,13.48587,13.23129,13.02693,12.75508,12.32488,11.98714,11.85710,11.37257,11.05061,10.70866,10.44787,10.19777,10.01685,9.69971,9.69094,10.11423,10.64261,9.82310,9.35918,9.26036,10.43297,10.02590,9.94456,9.32158
2021,Nelson Bay 33_11kV,03MAY2020,MW,9.21554,10.02459,9.51295,8.72735,9.61649,9.03752,8.20436,7.60805,7.31232,7.37719,7.35249,6.91188,6.79278,6.64058,6.55694,6.48917,6.48402,6.54916,6.60775,6.67706,6.68519,6.78936,6.83033,6.84734,7.28627,7.68540,7.70941,8.04820,8.32447,8.75516,8.97912,9.08522,9.19417,9.32980,9.32017,9.11936,9.04630,8.68181,8.73735,8.53515,8.13958,8.04643,7.63629,7.03602,6.77424,6.37689,6.12137,5.77952,5.80105,5.97629,5.84417,6.00331,5.91089,6.09289,5.92981,6.07779,6.27392,6.70206,6.72215,6.98499,7.30673,7.76649,8.36920,9.18281,9.48641,10.00487,10.57804,11.48275,11.60127,12.54231,13.38034,13.85262,13.72896,13.39504,13.08656,12.75459,12.49815,11.81039,11.63505,11.14923,10.85914,10.45792,10.21710,9.94118,9.76488,9.48512,9.57889,9.92895,10.54671,9.67964,9.13326,9.01008,10.16579,9.86089,9.76411,9.14999
2021,Nelson Bay 33_11kV,04MAY2020,MW,8.91395,9.62898,9.21195,8.52009,9.35389,9.02953,8.02230,7.40903,7.65168,7.49650,7.08662,6.76483,6.78112,6.60681,6.61684,6.65561,6.64811,6.71304,6.71652,6.85870,7.18494,7.37089,7.49387,7.98186,8.42172,9.08760,9.61517,10.11864,9.90599,9.86445,10.06865,10.24763,10.51613,10.25151,9.97780,9.51488,8.91748,8.23917,7.90161,7.50555,7.12051,6.84642,6.49166,6.23873,6.06016,5.76558,5.66371,5.54617,5.49094,5.53232,5.60745,5.45912,5.58438,5.52800,5.69705,5.81505,5.75139,6.01386,6.28911,6.56988,6.95203,7.39608,7.74552,8.33654,8.86183,9.41063,10.17683,11.05164,11.64923,12.89266,13.99421,14.17738,14.03005,13.69103,13.31712,12.94557,12.35732,11.95793,11.99968,11.49891,11.13055,10.61865,10.29072,10.02138,9.80909,9.50050,9.75004,9.27154,9.10388,9.90695,11.01170,10.07730,11.16628,10.66968,10.34945,10.31744
2021,Nelson Bay 33_11kV,05MAY2020,MW,10.82050,11.57532,11.16936,10.26440,10.66176,10.48734,9.67469,9.06199,9.49462,8.99504,8.29512,7.83143,7.56732,7.27409,7.07586,6.85383,6.77581,6.79414,6.86043,6.84377,6.89818,7.17062,7.44716,7.55106,8.06830,8.78989,9.12838,9.33083,8.98775,9.14366,10.03409,10.66936,10.56184,10.95897,11.17508,10.55461,9.36227,8.89323,8.52635,8.05423,8.56659,10.10403,10.87735,11.04842,10.46243,10.42512,11.23301,11.21632,11.20182,10.71729,10.28176,10.39229,10.07828,9.56646,10.34749,10.37003,9.56385,8.39971,8.49368,9.72739,9.75633,9.81655,9.99462,10.43974,10.85923,11.38752,11.78126,12.43274,12.90599,13.78113,14.53409,14.67785,14.37948,13.95656,13.77206,13.31178,12.66250,12.33548,12.32941,11.90702,11.54753,10.98682,10.58986,10.38545,10.08411,9.76378,10.03992,9.57040,9.54331,10.28952,11.16683,10.46467,11.52563,11.06731,10.54815,10.36552
2021,Nelson Bay 33_11kV,06MAY2020,MW,10.78517,11.75193,11.41426,10.58753,10.82608,10.49626,9.75119,9.07580,9.47044,9.08284,8.35211,7.84594,7.45578,7.14757,6.99068,6.88964,6.96625,6.86657,6.87641,6.84157,7.05517,7.18363,7.40770,7.84970,8.47998,8.94796,9.31904,9.59422,9.60359,9.75678,9.90891,10.37146,10.51450,10.49327,10.07684,9.85005,9.50603,9.15131,8.77177,8.49762,7.84831,7.25777,6.57727,6.14577,5.91820,5.73370,5.64362,5.52854,5.50255,5.52962,5.65174,5.83873,5.74457,5.86691,5.75364,5.87941,5.91162,5.97696,6.26978,6.79364,7.10023,7.44856,7.79768,8.27804,8.72526,9.30680,9.88656,10.45186,11.09930,12.07838,13.08528,13.58419,13.29196,13.17721,13.12196,12.56461,12.01514,11.68619,11.68999,11.26716,10.86173,10.59597,10.34805,10.07572,9.66136,9.48707,9.59900,9.13415,9.19742,9.98521,10.82224,9.94879,11.07558,10.80096,10.13460,10.05653
2021,Nelson Bay 33_11kV,07MAY2020,MW,10.69701,11.58911,11.23830,10.37653,10.58350,10.41588,9.59123,8.85089,9.38609,9.01139,8.34067,7.73226,7.39175,7.16531,6.99885,6.87327,6.77559,6.65129,6.66639,6.70045,6.99304,7.14393,7.45444,7.72522,8.32790,8.79384,9.22875,9.67083,9.28146,9.22352,9.54177,9.44663,9.18853,9.02578,8.80540,8.85979,8.51589,8.18449,7.76061,7.77780,7.80540,7.79967,7.57523,7.39872,6.89924,6.75417,6.69370,7.07914,7.28418,7.31753,7.28778,7.05769,6.91575,7.09803,7.37692,7.02594,7.23746,7.00298,7.25914,7.67990,7.45765,8.48570,8.55105,8.66983,9.13160,9.56179,9.93926,10.58114,11.17019,12.18556,13.12733,13.48230,13.15557,13.09468,12.92243,12.40153,11.90558,11.67739,11.74676,11.44240,10.97609,10.57950,10.15172,9.94328,9.64554,9.35439,9.52643,9.28683,9.17065,9.97447,11.03035,10.21784,11.29942,10.95953,10.37035,10.29535
2021,Nelson Bay 33_11kV,08MAY2020,MW,10.86260,11.72281,11.33035,10.34736,10.62248,10.40985,9.66360,8.97527,9.41049,8.94379,8.32486,7.82965,7.50887,7.24905,6.99699,6.77020,6.75214,6.76500,6.78102,6.80227,6.98298,7.18763,7.36640,7.78820,8.20685,8.72388,9.22865,9.46808,9.22420,9.23999,9.05573,9.15841,9.38638,9.15979,8.83470,8.47401,8.15016,7.80497,7.56451,7.01725,6.61970,6.18460,5.89400,5.70255,5.65996,5.57785,5.48679,5.58971,5.65702,5.67726,5.68357,5.74178,5.77739,5.85774,5.88803,5.88363,6.04259,6.42266,6.69971,7.05995,7.82065,8.02791,8.07767,8.43459,8.75456,9.47296,9.74008,9.97918,10.22743,11.00221,11.78290,12.05175,11.83972,11.53475,11.44256,11.19611,10.77793,10.52209,10.60867,10.24724,9.97770,9.75988,9.37888,9.17750,9.04111,8.78585,9.12706,8.80746,8.83307,9.66196,10.62022,9.97133,11.09110,10.64078,10.07157,9.92003
2021,Nelson Bay 33_11kV,09MAY2020,MW,10.49690,11.20360,10.92993,10.05251,10.37597,10.14167,9.30245,8.69725,8.08689,8.18043,8.41842,7.71996,7.38151,7.08582,6.86417,6.61806,6.55252,6.53468,6.33650,6.44056,6.52698,6.58229,6.56751,6.70774,7.06728,7.32350,7.54752,7.95158,8.17957,8.48051,8.78357,9.26890,9.86402,8.98355,8.92551,9.51490,9.49230,9.85857,9.85777,9.17127,9.34982,8.93148,9.24529,10.36792,10.61867,10.19058,9.93438,9.69492,9.86703,10.02979,9.70236,8.22836,8.94051,9.57535,9.81104,10.12631,10.19306,10.35092,10.24433,10.26190,10.36044,10.16367,10.32497,10.62838,10.90108,11.11833,11.31204,11.34591,11.40444,12.04325,12.76063,12.91972,12.75029,12.48812,12.15763,11.83850,11.65365,11.15753,11.02857,10.61533,10.30628,9.99267,9.70957,9.47993,9.30159,9.07221,9.22066,9.74629,10.45584,9.77042,9.31837,9.21710,10.37659,10.05299,10.04126,9.43297
2021,Nelson Bay 33_11kV,10MAY2020,MW,9.25510,9.97714,9.37071,8.46664,9.50639,8.98673,8.05603,7.54442,7.01669,7.06594,7.03546,6.69760,6.59810,6.48825,6.42723,6.39344,6.33645,6.44724,6.42292,6.50607,6.57088,6.61136,6.90457,6.89550,7.17852,7.24295,7.64986,8.07821,8.25349,8.71345,9.15312,9.22544,9.49646,9.66691,9.67869,9.57556,9.40802,9.07254,8.77456,8.42898,8.12196,7.66405,7.43572,7.09451,6.66550,6.35424,6.13527,6.14191,6.00640,6.00506,5.97614,5.69712,5.70302,5.78098,5.84337,5.80222,5.86980,6.04541,6.19990,6.60384,7.02868,7.58741,7.87465,8.47849,9.17376,9.85638,10.69579,11.47957,11.84210,12.79796,13.58421,13.84666,13.64851,13.58675,13.42629,13.15301,12.83706,12.41026,12.29887,11.89631,11.61060,11.21365,10.64869,10.42821,10.20331,9.86944,9.78895,10.21844,10.77098,10.01672,9.42952,9.23703,10.33742,9.95036,9.87118,9.25876
