year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,New Lambton 33_11kV,01MAY2020,MW,7.59754,7.26112,7.00301,7.10927,6.95264,6.71443,6.59311,6.74361,6.54956,6.40247,6.20113,6.08724,6.08724,5.85697,5.64038,5.64038,5.56171,5.44108,5.63030,5.66828,5.66828,5.76232,6.00090,6.04059,6.43128,6.68190,6.79993,7.11918,7.56179,7.78976,7.83598,7.94757,7.98536,7.98536,7.98536,7.96117,7.79014,7.70792,7.60667,7.49424,7.35153,7.22567,7.49926,7.42826,7.42640,7.78292,7.80710,7.68260,8.15967,7.87339,7.32614,7.29167,7.18482,7.05224,7.04359,6.85795,6.70442,6.85469,6.87220,7.14776,7.01326,7.06821,7.45453,7.67410,8.08986,8.36462,8.58437,8.95900,9.08091,9.58490,10.04963,9.94832,10.06906,10.09098,9.97972,9.89321,9.70206,9.66486,9.43125,9.33636,9.18207,9.18207,8.96860,8.81843,8.70798,8.42209,8.32757,8.27017,8.98505,8.71153,8.52811,8.39843,8.24512,8.11091,8.02841,8.02818
2021,New Lambton 33_11kV,02MAY2020,MW,7.79117,7.79117,7.51537,7.50994,7.34749,7.10948,6.86836,6.72369,6.81555,6.62076,6.35140,6.31598,6.10014,6.03206,5.87394,5.77607,5.62495,5.59137,5.59137,5.59137,5.66369,5.81658,5.88448,5.82720,6.01686,6.03782,6.34709,6.46953,6.80160,7.02861,7.19786,7.29285,7.37146,7.38651,7.20659,7.16711,7.29008,7.16781,7.08615,6.76612,6.75178,6.38791,6.56808,6.54168,6.61825,6.51794,6.31863,6.38063,6.23078,6.20226,6.25965,6.16855,6.16855,6.06728,6.08922,6.11020,6.08922,6.20249,6.27318,6.38823,6.38823,6.64515,6.78330,6.90664,7.13548,7.40227,7.69922,7.95386,8.00268,8.36421,8.63088,8.88149,8.99278,9.04917,8.88455,8.68802,8.60939,8.56191,8.35294,8.16198,8.13466,7.95929,7.95929,7.95929,7.87681,7.60678,8.08567,7.90099,7.61168,7.51314,7.73458,7.66004,7.72592,7.46443,7.16888,7.30945
2021,New Lambton 33_11kV,03MAY2020,MW,7.25442,6.89808,6.81813,7.02868,6.73044,6.55224,6.25515,6.17280,6.17280,6.07312,5.79260,5.78400,5.63697,5.57209,5.57209,5.57209,5.57209,5.57209,5.57209,5.57209,5.57209,5.57209,5.57209,5.76124,5.97834,6.05070,6.06601,6.27365,6.55612,6.75834,6.96364,7.09918,7.17843,7.29660,7.30735,7.20101,7.19529,7.01659,6.82902,6.65723,6.77274,6.49585,6.40556,6.40869,6.26510,6.19471,6.13760,6.10353,6.06869,5.95605,5.82244,5.92081,5.83220,5.80991,5.80991,5.89331,5.99810,6.05427,6.25425,6.25425,6.31255,6.58765,6.98837,7.05829,7.27940,7.43651,7.69665,7.93885,8.21977,8.66814,9.05024,9.20013,9.20317,9.12548,8.94894,8.88537,8.74737,8.80908,8.49536,8.39586,8.24655,8.15833,7.98847,7.85633,7.85633,7.81674,8.44040,8.10020,7.82134,7.52824,7.57339,7.38246,7.56596,7.36491,7.17334,7.15531
2021,New Lambton 33_11kV,04MAY2020,MW,6.99608,6.73287,6.60024,6.77485,6.60254,6.45466,6.35885,6.32609,6.15033,6.02861,6.02861,5.89836,5.84222,5.84222,5.84222,5.64653,5.68525,5.61333,5.61333,5.63843,5.84149,5.84407,6.07379,6.23639,6.72606,7.08959,7.25268,7.63394,7.93507,8.20064,8.37514,8.51820,8.47018,8.45268,8.27679,8.22851,8.14590,7.80635,7.54132,7.50322,7.20892,7.13042,6.88072,6.82725,6.84359,6.84359,6.71161,6.78533,6.70219,6.81375,6.96179,6.94803,7.12755,7.22096,7.02618,6.69783,7.06010,6.77520,6.58129,6.67631,7.03244,7.09627,7.24473,7.40983,7.55763,8.00328,8.12105,8.33157,8.71102,9.14512,9.45587,9.61516,9.64184,9.63708,9.38363,9.29842,9.02059,8.92277,8.80333,8.68457,8.47259,8.36651,8.23296,8.05712,7.92218,7.92218,7.83343,7.71269,8.39007,8.28059,8.03627,7.99059,7.99516,7.78649,7.78649,7.82597
2021,New Lambton 33_11kV,05MAY2020,MW,7.74326,7.41816,7.20522,7.21924,7.05375,6.78552,6.74566,6.77462,6.65326,6.57009,6.37465,6.14815,6.03434,5.91926,5.73696,5.66341,5.61088,5.67110,5.67110,5.67110,5.80725,5.86672,5.99332,6.14344,6.52333,6.76828,7.18589,7.28218,7.77612,7.97029,8.04656,8.41412,8.50979,8.40418,8.40646,7.78140,8.12494,8.32431,7.94623,7.58095,7.10093,7.25404,7.29756,7.89915,8.49692,8.02144,7.79322,7.75433,7.84883,7.47744,7.54701,7.72523,7.45609,7.37889,7.46526,7.36167,7.13379,6.87729,7.02897,7.04394,7.08551,7.41139,7.47616,7.51024,7.96175,8.17689,8.38461,8.62869,8.88010,9.21741,9.55704,9.61301,9.52001,9.45777,9.42422,9.29473,9.15820,9.14211,8.75085,8.56704,8.36548,8.19384,8.13970,7.09661,7.05822,7.26666,7.35194,7.27974,7.91597,7.76689,7.59584,7.52348,7.48403,7.39924,7.21398,7.33874
2021,New Lambton 33_11kV,06MAY2020,MW,7.26890,7.20568,6.91663,6.84697,6.75338,6.60296,6.42234,6.48284,6.41199,6.23440,6.14320,5.84679,5.71371,5.61955,5.61955,5.61955,5.42806,5.41700,5.59237,5.40115,5.40115,5.49779,5.74208,5.87755,6.07177,6.42363,6.67310,6.86938,7.03288,7.28054,7.45503,7.58015,7.48408,7.55463,7.43787,7.23960,7.00650,6.92425,6.76870,6.72901,6.55952,6.54982,6.43841,6.28763,6.35934,6.35934,6.45795,6.37265,6.37265,6.37445,6.42434,6.42434,6.42434,6.42434,6.42434,6.21936,6.18923,6.18923,6.25784,6.32881,6.53065,6.66357,6.73293,7.02637,7.07306,7.13740,7.32051,7.48772,7.74933,7.91078,8.23932,8.28308,8.38751,8.43455,8.25249,8.30053,8.13696,8.05260,7.97441,7.71880,7.57659,7.40607,7.32899,7.12586,7.11243,7.02222,7.13425,7.08682,7.64960,7.61934,7.50720,7.34514,7.40486,7.16429,7.12363,7.26786
2021,New Lambton 33_11kV,07MAY2020,MW,7.01915,6.77128,6.75420,6.81768,6.59410,6.44206,6.25583,6.44006,6.24472,6.04162,6.03880,5.90441,5.62493,5.60353,5.24024,5.19790,5.19790,5.19790,5.35859,5.44561,5.41631,5.44115,5.66063,5.75209,6.19296,6.28508,6.65709,6.89869,7.18853,7.33141,7.35739,7.52376,7.56305,7.49628,7.49628,7.49628,7.38479,7.17632,7.24827,7.07660,7.07660,7.05307,6.86329,6.85251,6.84218,6.70196,6.82166,7.11942,7.15008,6.98496,6.95740,6.75670,6.71196,6.78545,6.92570,6.77376,6.60617,6.70238,6.72291,6.55007,6.82080,6.91404,6.95223,7.02887,7.19458,7.14787,7.43462,7.62721,7.82264,8.16898,8.40529,8.38634,8.44133,8.38273,8.32322,8.27548,7.99769,8.15359,7.98846,7.68747,7.55534,7.55534,7.41030,7.14837,7.10861,7.10861,7.10861,7.08462,7.62306,7.57150,7.41721,7.18121,7.25791,7.14254,7.06598,7.17901
2021,New Lambton 33_11kV,08MAY2020,MW,7.07461,6.91170,6.73483,6.78056,6.56940,6.47479,6.32633,6.32659,6.35935,6.13779,5.97353,5.81326,5.65538,5.59072,5.31564,5.20865,5.27066,5.39745,5.39745,5.39745,5.39745,5.46525,5.59179,5.60720,6.05339,6.37562,6.46268,6.68128,6.99499,7.21425,7.29530,7.35055,7.27731,7.36391,7.24430,7.10848,7.00578,6.83545,6.71436,6.60705,6.52138,6.52138,6.46653,6.28922,6.29766,6.49771,6.47735,6.41325,6.54571,6.55125,6.55125,6.78042,6.62148,6.92866,6.93155,6.73532,6.71322,6.89751,6.89572,6.89572,7.09817,7.11711,7.12183,7.28652,7.47548,7.63323,7.66277,7.70944,7.70944,7.74229,8.05284,8.03346,8.01578,7.93968,7.80737,7.65265,7.46416,7.37639,7.06927,7.01578,6.98793,6.90643,6.77603,6.76500,6.73595,6.73595,6.73595,6.73595,7.39034,7.33182,7.23106,7.10010,7.15276,6.93893,6.87476,7.01869
2021,New Lambton 33_11kV,09MAY2020,MW,6.94806,6.86346,6.70544,6.77136,6.56884,6.35664,6.16687,6.11727,6.13142,6.13738,5.92573,5.70723,5.70723,5.50659,5.49221,5.35137,5.25781,5.14896,5.05653,5.05653,5.05653,5.05653,5.05653,5.19373,5.51206,5.51206,5.65999,5.79456,6.12266,6.24682,6.42169,6.62137,6.46627,6.77257,7.10490,6.77223,6.45027,6.25083,6.25083,6.64772,6.72032,6.51560,6.61644,6.11238,6.01899,6.03271,5.80511,6.44245,6.65098,6.43649,6.35937,6.60558,6.12273,6.53493,6.96955,6.94658,6.85686,6.82490,6.68536,6.82554,6.82744,6.88846,6.96579,7.09104,7.09104,7.09104,7.09104,7.09104,7.13006,7.51891,7.84262,7.82856,7.82856,7.78987,7.79459,7.62601,7.41739,7.43998,7.03936,7.06295,6.92354,6.71640,6.85136,6.83253,6.86025,6.69373,7.16130,7.08232,7.01994,6.85975,6.81315,6.81315,7.11750,6.90609,6.63327,6.61759
2021,New Lambton 33_11kV,10MAY2020,MW,6.55222,6.25632,6.29565,6.45621,6.19473,6.02365,5.84828,5.81784,5.81784,5.69904,5.33411,5.15526,5.15526,5.15526,5.15526,5.15526,5.15526,5.13133,4.92509,4.92509,4.92509,4.98312,5.14746,5.14746,5.18329,5.39257,5.46369,5.67033,6.01923,6.26765,6.44097,6.57095,6.64286,6.72931,6.91107,6.74148,6.65424,6.59855,6.49871,6.33023,6.11964,6.05510,6.05510,5.90909,5.86397,5.87349,5.78372,5.77949,5.75977,5.65325,5.55128,5.38017,5.35666,5.56261,5.51062,5.37352,5.56828,5.57989,5.57989,5.76724,5.92840,5.99248,5.99248,6.23710,6.54297,6.77114,7.03085,7.16571,7.49108,7.83431,8.30961,8.25999,8.25999,8.25999,8.25999,8.25999,8.17503,8.32347,8.01651,8.01651,7.89311,7.70154,7.79795,7.54925,7.54925,7.29480,7.54231,7.52795,7.36102,7.16581,7.20412,7.08798,7.26543,6.95594,6.69991,6.80939
