year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Newdell 66_11kV,01MAY2020,MW,1.18959,1.23034,1.21855,1.14210,1.20082,1.00155,1.09973,1.16331,1.12651,1.13062,1.15348,1.17360,1.08542,1.09353,1.13084,1.04565,0.95798,0.92382,0.97201,1.08678,1.14931,1.23844,1.23914,1.35422,1.29062,1.27299,1.38607,1.30111,1.27363,1.36504,1.36944,1.24096,1.12990,1.15228,1.09942,1.13778,1.17598,1.05649,1.13187,1.04961,1.10194,1.03402,1.10030,1.12629,1.11451,1.09791,1.04083,0.99933,1.09878,1.04675,1.14314,1.13168,1.30910,1.12138,1.13056,1.16812,1.27389,1.18999,1.27002,1.26358,1.20992,1.39806,1.16957,1.29347,1.25944,1.30528,1.53414,1.40012,1.42250,1.33457,1.56473,1.83121,1.84578,1.94391,1.84943,1.89242,1.78861,1.74212,1.57959,1.87460,1.73506,1.67371,1.64810,1.60018,1.76739,1.63367,1.72306,1.72569,1.71718,1.66054,1.64577,1.42492,1.67740,1.69465,1.66461,1.51563
2021,Newdell 66_11kV,02MAY2020,MW,1.34778,1.46383,1.22007,1.09582,1.16660,1.14640,1.11950,1.39830,1.12010,1.36515,1.04446,0.96857,1.20171,1.19466,1.11976,1.02028,1.03881,1.14913,1.09693,1.16409,0.98191,1.04852,1.13906,1.11178,1.24633,1.12730,1.20786,1.15534,1.15298,1.14360,1.19787,1.24815,1.28542,1.27957,1.27430,1.38513,1.26762,1.15793,1.32751,1.24564,1.13362,1.24860,1.31672,1.08248,1.18606,1.41622,1.20620,1.24453,1.02788,1.17383,1.37322,1.23101,1.02983,0.98197,1.39360,1.35186,1.02359,0.95944,1.08403,1.16993,1.06743,0.90313,0.95236,1.10819,0.96806,0.93463,1.00587,1.24191,1.11176,1.12638,1.35250,1.34663,1.68235,1.26383,1.16276,1.32814,1.44320,1.41310,1.47304,1.21321,1.34241,1.35094,1.41819,1.15148,1.44637,1.51803,1.47909,1.52674,1.46324,1.43417,1.41763,1.33580,1.32333,1.10504,0.80783,0.92953
2021,Newdell 66_11kV,03MAY2020,MW,0.84309,0.79174,0.86386,0.85899,1.00610,0.81274,0.80243,0.85340,1.20903,0.96608,0.86857,1.10006,1.07132,0.98802,1.09832,1.34409,0.98569,0.90066,1.14781,0.98780,1.07736,1.10337,1.14954,1.30992,1.19011,1.35911,1.35808,1.18676,1.14571,1.11920,1.03365,1.12137,1.38248,1.29757,1.13877,1.26449,1.24131,1.40629,1.49842,1.37420,1.31857,1.27069,1.30772,1.32498,1.26198,1.11353,1.19422,1.03955,1.13771,1.12583,1.13791,1.53468,1.46423,1.65503,1.11032,0.95933,1.17123,1.63194,1.76228,1.65217,1.43764,1.44232,1.44549,1.54872,1.39563,1.47676,1.56257,1.64269,1.42820,1.60602,1.73430,1.68707,1.61232,1.68764,1.80006,1.69882,1.69559,1.58754,1.67650,1.84156,1.49433,1.44396,1.66740,1.65964,1.64101,1.19461,1.30070,1.34724,1.22022,1.19978,1.23119,1.39356,1.56188,1.46298,1.35744,1.22178
2021,Newdell 66_11kV,04MAY2020,MW,1.12753,1.11565,1.14786,1.20452,1.14278,1.16120,1.09244,1.04380,1.07230,1.13018,1.17163,1.21827,1.10450,1.02798,1.07702,1.54871,1.56019,1.13892,1.06809,1.01130,1.03350,1.11314,1.09359,1.30318,1.22677,1.20232,1.20300,1.15999,1.43331,1.26156,1.24811,1.37271,1.52972,1.38159,1.34734,1.45464,1.43042,1.33060,1.52339,1.47462,1.38716,1.19052,1.16281,1.27833,1.27126,1.09597,1.32093,1.37298,1.07110,1.20688,1.15389,1.11505,1.20181,1.22780,1.09550,1.22253,1.30897,1.20475,1.43190,1.14637,1.14684,1.55462,1.54405,1.27386,1.18675,1.07127,1.16151,1.23651,1.25775,1.23104,1.39105,1.23300,1.29045,1.30901,1.13141,1.22948,1.25013,1.29411,1.14442,1.29156,1.14308,1.21778,1.13426,1.37216,1.28514,1.29555,1.46123,1.51582,1.48237,1.50152,1.20128,1.14227,1.22461,1.42652,1.26566,1.25004
2021,Newdell 66_11kV,05MAY2020,MW,1.21910,1.16612,1.33232,1.47404,1.27347,1.20637,1.05368,1.08171,1.22269,1.06063,1.04208,0.94711,0.89818,0.96919,1.03613,0.94652,0.95724,1.21228,1.18047,1.16008,1.27166,1.18214,1.18321,1.30883,1.28612,1.41895,1.38374,1.45697,1.26595,1.29575,1.43229,1.39271,1.26242,1.33140,1.26390,1.36215,1.55267,1.49553,1.23032,1.44914,1.53345,1.89683,1.67196,1.82344,1.68747,1.28062,1.11940,1.26348,1.23676,1.23133,1.56463,1.38890,1.50984,1.12013,1.08988,1.42129,2.20232,2.12604,2.22829,2.27209,2.39481,2.04755,2.21778,2.20123,2.13176,2.15771,1.86243,1.45295,1.26990,1.65633,1.77186,1.58153,1.33729,1.27418,1.31801,1.37636,1.28159,1.64251,2.13144,2.12618,2.32318,2.42187,2.31820,1.85001,1.71497,1.60641,1.57576,1.34904,1.27135,1.23077,1.13409,1.21726,1.24415,1.55913,1.56792,1.38670
2021,Newdell 66_11kV,06MAY2020,MW,1.25300,1.23044,1.14357,1.16557,1.19646,1.19126,1.22168,1.20677,1.25683,1.38347,1.39855,1.29357,1.32370,1.08043,0.95682,1.08546,1.06423,1.07105,1.00260,1.01216,1.09493,1.24050,1.31351,1.58939,1.39518,1.35980,1.43218,1.43131,1.45872,1.39830,1.38443,1.20602,1.25798,1.34986,1.19060,1.30135,1.15642,1.10143,1.22005,1.16742,1.38563,1.30683,1.28083,1.25747,1.34690,1.30286,1.41369,1.27988,1.11331,1.14051,1.15507,0.91623,0.89955,1.03321,1.11334,1.23127,1.11125,1.16538,1.21286,1.43730,1.48414,1.47018,1.86004,1.21998,1.20810,1.40483,1.22580,1.18140,1.17250,1.28925,1.28568,1.43117,1.26890,1.30766,1.29953,1.26201,1.42273,1.31431,1.40514,1.34560,1.36174,1.46674,1.43768,1.62252,1.69014,1.38408,1.53487,1.52950,1.62249,1.56146,1.58741,1.67277,1.70396,1.75442,1.73650,1.74998
2021,Newdell 66_11kV,07MAY2020,MW,1.78414,1.65669,1.65913,1.80377,1.77366,1.67825,1.57667,1.60182,1.66586,1.60915,1.65560,1.65831,1.61943,1.63202,1.59095,1.52176,1.49915,1.47714,1.38795,1.36805,1.43152,1.26785,1.42960,1.38895,1.33553,1.30995,1.29150,1.26356,1.25768,1.17257,0.93613,0.89547,1.00627,1.01599,1.13494,1.02214,0.94713,0.92012,0.85526,0.85392,1.06149,1.02827,0.91282,1.11944,0.99717,1.13688,1.23040,1.34102,1.21642,1.15206,1.32259,1.12073,1.14152,0.86294,0.80491,0.97300,0.83608,1.20354,1.25469,1.10609,1.55072,1.62230,1.69937,2.07862,2.10417,2.30512,2.27892,2.06779,2.06702,2.06084,2.16077,2.16051,1.74941,1.69436,1.33884,1.33193,1.30394,1.35041,1.67343,1.85479,1.90833,2.22009,2.61663,2.63139,2.55967,2.55829,2.45657,2.32568,2.45636,2.21662,2.16453,1.83602,1.75859,2.28632,1.82318,1.66203
2021,Newdell 66_11kV,08MAY2020,MW,1.62570,1.56475,1.69105,1.70458,1.57780,1.65691,1.46342,1.55762,1.62546,1.60021,1.59169,1.57892,1.54743,1.60900,1.46202,1.50502,1.58111,1.54118,1.53314,1.50270,1.55805,1.65471,1.85845,1.80613,1.88847,1.80890,1.74885,1.74651,1.69821,1.70580,1.70988,1.66075,1.82147,1.72004,1.76268,1.53728,1.41291,1.42642,1.40095,1.38886,1.42257,1.52282,1.45824,1.29785,1.39577,1.39525,1.18009,1.31995,1.45823,1.14115,1.20337,1.26066,1.18494,1.15320,1.17536,1.28174,1.13360,1.20569,1.29352,1.30483,1.46537,1.69564,1.57659,1.35836,1.43499,1.52731,1.26143,1.13445,1.11203,1.08321,1.40756,1.37023,1.16789,1.30546,1.23391,1.35367,1.35333,1.34933,1.44214,1.22401,1.52508,1.39002,1.35755,1.37570,1.59059,1.61371,1.42577,1.32138,1.37582,1.39173,1.46904,1.61537,1.47117,1.33079,1.35047,1.41336
2021,Newdell 66_11kV,09MAY2020,MW,1.17375,1.23247,1.39729,1.54724,1.64508,1.35353,1.36580,1.05973,1.09595,1.17237,1.09681,1.20355,1.11951,1.26563,1.11620,1.09129,1.31727,1.42833,1.45831,1.50299,1.46427,1.46460,1.42922,1.20771,1.22904,1.26046,1.28554,1.05205,1.32752,1.24556,1.14956,1.20902,1.18507,1.14701,1.25090,1.17007,1.09981,1.21143,1.37753,1.32327,1.34022,1.52237,1.45540,1.37988,1.52548,1.34175,1.50535,1.28342,1.30093,1.23052,1.41033,1.22922,1.36283,1.28166,1.34308,1.35627,1.28675,1.54326,1.63295,1.55462,1.56835,1.48044,1.45427,1.53139,1.52357,1.57284,1.55366,1.44465,1.46277,1.59804,1.70301,1.67874,1.65391,1.75743,1.65305,1.47294,1.50090,1.51897,1.52648,1.42529,1.45532,1.59748,1.43960,1.63111,1.55812,1.42905,1.41821,1.67544,1.47291,1.43356,1.51787,1.58680,1.52378,1.44649,1.48625,1.43169
2021,Newdell 66_11kV,10MAY2020,MW,1.45574,1.45354,1.43275,1.50972,1.60502,1.39810,1.44002,1.46163,1.52169,1.48303,1.38247,1.58185,1.37128,1.45817,1.43950,1.40735,1.35831,1.39323,1.57250,1.52672,1.49219,1.60900,1.43514,1.40477,1.54089,1.60684,1.48557,1.39188,1.40009,1.47624,1.41308,1.47982,1.79373,1.84859,1.55794,1.72032,1.70757,1.55829,1.52302,1.74514,1.64709,1.50708,1.75815,1.53036,1.55450,1.69645,1.78043,1.82835,1.87997,1.59424,1.42596,1.51347,1.78909,1.54658,1.54989,1.56936,1.55892,1.69421,1.76342,1.66638,1.78233,1.59714,1.52203,1.60379,1.54419,1.60937,1.53849,1.61574,1.76793,1.76196,1.94656,1.92995,1.91406,2.00071,1.70460,1.86161,1.98767,1.67571,1.66147,1.86453,1.85932,1.93523,1.80965,1.84555,1.88150,1.90940,2.07584,2.02978,1.86852,2.03105,2.04949,1.99510,2.05779,2.02026,1.94470,1.95774
