year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Newport 33_11kV,01MAY2020,MW,5.58278,5.41474,5.11599,4.96662,5.50809,5.35872,5.07865,4.81725,4.74256,4.49983,4.46249,4.21976,4.16375,4.12640,4.03305,3.93969,4.01437,4.01437,4.05172,4.16375,4.23843,4.36913,4.49983,4.63053,4.96662,5.35872,5.80684,6.34831,6.53503,6.77776,7.18853,7.39392,7.65532,7.63665,7.65532,7.59930,7.46860,7.43126,7.20720,7.03916,7.00182,6.92713,6.96447,6.70307,6.46034,6.46034,6.38566,6.42300,6.47901,6.21761,6.18027,6.36698,6.75909,6.34831,6.42300,6.27363,6.31097,6.19894,6.18027,6.08691,6.21761,6.38566,6.62839,6.77776,6.96447,7.39392,7.95406,8.40218,8.70092,9.44778,10.15730,10.84815,11.24025,11.33361,11.29626,11.09088,10.97885,10.54940,10.21331,9.93324,9.80254,9.63450,9.83988,9.52247,9.20505,8.83162,8.83162,8.34616,8.23413,8.17812,7.95406,7.37525,7.39392,6.96447,6.75909,6.49768
2021,Newport 33_11kV,02MAY2020,MW,6.34831,5.99355,5.76950,5.54544,5.95621,5.78817,5.50809,5.19068,5.13466,4.89194,4.72389,4.49983,4.44382,4.33179,4.21976,4.23843,4.25710,4.20109,4.21976,4.33179,4.33179,4.46249,4.40648,4.51850,4.77991,5.07865,5.30271,5.52677,5.88152,6.10558,6.44167,6.68440,6.90846,7.13252,7.30056,7.30056,7.46860,7.44993,7.56196,7.58063,7.54329,7.43126,7.39392,7.09517,6.88979,6.62839,6.44167,6.38566,6.44167,6.44167,6.34831,6.21761,6.40433,6.32964,6.38566,6.38566,6.32964,6.23628,6.25496,6.31097,6.49768,6.68440,6.85244,7.26322,7.35657,7.59930,7.89805,8.38351,8.79428,9.54114,10.32534,10.86682,11.14689,11.16556,11.14689,10.97885,10.53073,10.15730,9.85856,9.61583,9.50380,9.22372,9.50380,9.20505,8.73827,8.40218,8.45819,7.99141,7.87938,7.80469,7.54329,7.09517,7.18853,6.77776,6.79643,6.38566
2021,Newport 33_11kV,03MAY2020,MW,6.21761,5.97488,5.63880,5.39607,5.95621,5.90020,5.60145,5.48942,5.24669,4.98529,4.89194,4.68655,4.57452,4.40648,4.36913,4.38780,4.31312,4.29445,4.31312,4.27578,4.38780,4.46249,4.48116,4.63053,4.76123,5.00396,5.30271,5.67614,5.99355,6.32964,6.70307,6.88979,7.24454,7.54329,7.73000,7.73000,7.76735,7.69266,7.65532,7.61798,7.46860,7.33790,6.92713,6.87111,6.66573,6.66573,6.70307,6.59104,6.44167,6.31097,6.29230,6.27363,6.27363,6.16160,6.21761,6.21761,6.14293,6.06824,6.08691,6.21761,6.27363,6.49768,6.53503,6.85244,6.94580,7.20720,7.69266,8.23413,8.68225,9.41044,10.23199,10.69877,10.97885,11.20290,11.05353,10.96018,10.60542,10.17597,9.93324,9.65317,9.33575,9.09302,9.22372,9.01834,8.58889,8.15945,8.08476,7.54329,7.46860,7.41259,7.18853,6.74041,6.59104,6.25496,6.18027,5.97488
2021,Newport 33_11kV,04MAY2020,MW,5.82551,5.69481,5.48942,5.37739,5.75082,5.62012,5.45208,5.20935,5.07865,4.94795,4.74256,4.55585,4.49983,4.31312,4.27578,4.12640,4.14507,4.20109,4.18242,4.33179,4.57452,4.57452,4.68655,4.91061,5.30271,5.63880,6.06824,6.51636,6.66573,7.05783,7.22587,7.50595,7.78602,7.89805,7.80469,7.65532,7.63665,7.44993,7.30056,7.18853,6.83377,6.60971,6.38566,6.10558,6.12425,6.08691,5.91887,5.86285,5.95621,5.86285,6.14293,6.29230,6.32964,6.19894,5.90020,6.10558,6.12425,5.97488,6.04957,6.10558,6.23628,6.42300,6.44167,6.57237,6.79643,7.05783,7.58063,8.21546,8.77561,9.74653,10.64276,11.31493,11.76305,11.81906,11.68836,11.27759,10.92283,10.47472,10.04527,9.76520,9.50380,9.22372,9.46645,9.07435,8.68225,8.29015,8.12211,7.65532,7.41259,7.41259,7.11384,6.60971,6.59104,6.29230,6.19894,5.88152
2021,Newport 33_11kV,05MAY2020,MW,5.78817,5.62012,5.43341,5.19068,5.76950,5.62012,5.34005,5.13466,5.00396,4.92928,4.53718,4.42515,4.31312,4.25710,4.23843,4.12640,4.20109,4.10773,4.14507,4.25710,4.42515,4.59319,4.74256,4.91061,5.11599,5.41474,5.84418,6.25496,6.51636,6.96447,7.28189,7.52462,7.35657,7.52462,7.80469,7.84203,7.78602,7.80469,7.63665,7.22587,7.03916,6.68440,6.62839,6.16160,5.99355,6.04957,6.10558,5.82551,5.62012,5.73215,5.69481,5.54544,5.54544,5.45208,5.56411,5.58278,5.58278,5.45208,5.39607,5.52677,5.54544,5.62012,5.91887,6.10558,6.34831,6.49768,6.81510,7.24454,7.74868,8.66358,9.63450,10.19464,10.43737,10.54940,10.38136,10.15730,9.80254,9.42911,9.05568,8.71959,8.53288,8.25281,8.55155,8.15945,7.99141,7.52462,7.46860,7.09517,7.03916,6.98314,6.77776,6.27363,6.32964,5.99355,5.93754,5.73215
2021,Newport 33_11kV,06MAY2020,MW,5.54544,5.39607,5.24669,5.07865,5.54544,5.43341,5.07865,4.83592,4.72389,4.53718,4.38780,4.23843,4.23843,4.18242,4.07039,4.03305,4.07039,4.08906,4.05172,4.18242,4.27578,4.49983,4.57452,4.72389,5.00396,5.32138,5.71348,6.16160,6.18027,6.53503,6.70307,6.98314,7.11384,7.26322,7.13252,6.94580,6.77776,6.51636,6.34831,6.38566,6.18027,5.99355,5.80684,5.48942,5.41474,5.41474,5.35872,5.32138,5.32138,5.26537,5.28404,5.32138,5.24669,5.20935,5.20935,5.24669,5.22802,5.19068,5.20935,5.41474,5.43341,5.47075,5.56411,5.93754,6.01223,6.21761,6.62839,7.03916,7.43126,8.15945,8.96232,9.50380,9.83988,9.95191,9.91457,9.69051,9.48513,9.09302,8.68225,8.43952,8.25281,8.01008,8.34616,8.04742,7.73000,7.39392,7.46860,7.13252,6.98314,6.90846,6.62839,6.18027,6.25496,5.97488,5.97488,5.67614
2021,Newport 33_11kV,07MAY2020,MW,5.54544,5.39607,5.20935,5.04131,5.48942,5.39607,5.07865,4.96662,4.76123,4.48116,4.27578,4.18242,4.10773,4.10773,3.99570,3.90235,3.95836,4.01437,3.97703,4.08906,4.20109,4.36913,4.46249,4.66788,4.94795,5.30271,5.58278,5.90020,6.03090,6.51636,6.75909,6.94580,7.00182,6.98314,7.15119,7.16986,6.98314,6.94580,6.85244,6.77776,6.64706,6.38566,6.29230,6.25496,6.14293,6.14293,5.90020,5.88152,5.97488,5.93754,5.69481,5.69481,5.47075,5.37739,5.39607,5.32138,5.47075,5.26537,5.39607,5.47075,5.35872,5.39607,5.60145,5.84418,5.97488,6.14293,6.59104,7.15119,7.35657,7.97273,8.79428,9.22372,9.48513,9.54114,9.63450,9.42911,9.11170,8.86897,8.55155,8.30882,8.15945,7.91672,8.06609,7.78602,7.33790,6.96447,7.09517,6.66573,6.68440,6.70307,6.57237,6.14293,6.19894,5.78817,5.75082,5.47075
2021,Newport 33_11kV,08MAY2020,MW,5.34005,5.20935,5.02264,4.81725,5.35872,5.22802,4.94795,4.72389,4.64921,4.40648,4.27578,4.10773,4.03305,4.03305,3.99570,3.86500,3.84633,3.84633,3.88367,3.97703,4.12640,4.18242,4.35046,4.53718,4.74256,4.94795,5.37739,5.71348,5.75082,5.99355,6.36698,6.60971,6.75909,6.74041,6.64706,6.57237,6.47901,6.21761,6.06824,5.97488,5.82551,5.69481,5.60145,5.56411,5.52677,5.35872,5.24669,5.26537,5.19068,5.20935,5.15334,5.19068,5.15334,5.05998,5.09732,5.17201,5.17201,5.17201,5.17201,5.15334,5.22802,5.26537,5.47075,5.54544,5.65747,5.95621,6.23628,6.51636,6.66573,7.20720,7.84203,8.32749,8.57022,8.64491,8.58889,8.47686,8.30882,7.84203,7.73000,7.48727,7.39392,7.13252,7.44993,7.15119,6.96447,6.70307,6.68440,6.34831,6.36698,6.40433,6.29230,5.95621,6.01223,5.76950,5.75082,5.50809
2021,Newport 33_11kV,09MAY2020,MW,5.37739,5.24669,4.94795,4.77991,5.37739,5.17201,4.92928,4.64921,4.48116,4.27578,4.05172,3.93969,3.86500,3.82766,3.79032,3.71563,3.67829,3.73430,3.80899,3.82766,3.80899,3.84633,3.88367,3.95836,4.21976,4.48116,4.46249,4.81725,4.92928,5.22802,5.52677,5.67614,5.95621,6.03090,6.29230,6.36698,6.40433,6.34831,6.21761,6.25496,6.06824,6.19894,6.16160,6.25496,6.23628,6.18027,5.93754,5.84418,5.45208,5.35872,5.34005,5.41474,5.54544,5.52677,5.52677,5.76950,5.93754,5.86285,5.91887,5.67614,5.76950,5.95621,6.04957,6.08691,6.18027,6.21761,6.42300,6.88979,7.13252,7.63665,8.21546,8.70092,8.94365,8.94365,8.85029,8.45819,8.04742,7.71133,7.58063,7.46860,7.24454,6.98314,7.30056,6.96447,6.68440,6.55370,6.70307,6.42300,6.34831,6.53503,6.46034,6.06824,6.14293,5.71348,5.69481,5.47075
2021,Newport 33_11kV,10MAY2020,MW,5.39607,5.24669,5.04131,4.89194,5.32138,5.17201,4.83592,4.68655,4.55585,4.36913,4.14507,4.08906,3.99570,4.01437,3.88367,3.86500,3.86500,3.84633,3.92102,3.90235,3.84633,3.95836,4.05172,4.12640,4.25710,4.48116,4.64921,5.00396,5.32138,5.65747,6.16160,6.49768,6.85244,7.03916,7.15119,7.22587,7.37525,7.44993,7.33790,7.31923,7.22587,7.05783,7.05783,6.85244,6.72174,6.66573,6.51636,6.38566,6.27363,6.12425,6.18027,6.19894,6.06824,5.93754,5.97488,5.90020,5.84418,5.84418,5.88152,6.01223,6.01223,6.31097,6.53503,6.64706,6.70307,6.92713,7.35657,7.87938,8.40218,9.26107,9.82121,10.32534,10.34402,10.32534,10.28800,10.23199,9.95191,9.85856,9.67184,9.35443,9.14904,8.88764,9.18638,8.98100,8.57022,8.21546,8.14078,7.65532,7.41259,7.39392,7.13252,6.66573,6.81510,6.42300,6.34831,6.14293
