year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Noraville 33_11kV,01MAY2020,MW,12.00578,12.64061,12.69663,11.57633,10.64276,9.55981,10.41870,10.25066,9.22372,8.40218,7.95406,7.37525,6.94580,6.81510,6.46034,6.23628,6.23628,6.23628,6.47901,6.60971,6.62839,7.05783,6.90846,7.16986,7.63665,8.01008,8.53288,8.99967,8.79428,8.71959,8.71959,8.71959,8.71959,8.71959,8.64491,8.29015,7.89805,7.44993,6.90846,6.64706,6.40433,6.08691,6.04957,6.03090,5.39607,5.28404,5.71348,5.20935,4.96662,5.34005,5.95621,6.08691,5.91887,6.18027,6.08691,5.90020,6.14293,5.58278,6.23628,6.04957,6.51636,6.90846,7.59930,8.02875,8.68225,9.42911,10.28800,11.12822,11.70704,12.80865,13.77957,14.71315,15.04924,15.08658,14.65713,14.41440,13.85426,13.72356,13.44349,13.05138,13.14474,13.38747,13.25677,13.03271,12.73397,12.47257,11.81906,11.42696,11.12822,11.25892,12.37921,11.87508,12.24851,12.77131,13.27544,13.48083
2021,Noraville 33_11kV,02MAY2020,MW,13.10740,13.35013,13.70489,12.50991,11.50165,10.56807,11.33361,10.71745,10.34402,9.37310,8.34616,7.84203,7.15119,7.13252,7.05783,6.51636,6.12425,6.31097,6.31097,6.36698,6.55370,6.62839,6.92713,6.92713,7.15119,7.44993,7.89805,8.30882,8.29015,8.27148,8.49554,8.55155,8.75694,8.79428,8.68225,8.66358,8.30882,8.30882,7.93539,7.63665,7.26322,7.11384,6.64706,6.29230,5.84418,5.69481,5.69481,5.69481,5.69481,5.54544,5.52677,5.30271,5.30271,5.30271,5.30271,5.30271,5.35872,5.56411,5.62012,5.75082,6.19894,6.88979,7.18853,7.58063,8.17812,8.99967,9.42911,10.36269,11.20290,11.96844,13.29411,14.04097,13.94762,13.94762,13.70489,13.35013,13.01404,12.52858,12.21117,11.96844,12.09914,12.13648,12.13648,11.68836,11.57633,11.42696,10.82947,10.47472,10.08261,10.34402,11.59501,11.44563,11.70704,12.17382,12.65928,13.10740
2021,Noraville 33_11kV,03MAY2020,MW,12.90201,13.48083,13.63020,12.30452,11.44563,10.40003,11.16556,10.71745,10.10129,9.11170,8.42085,7.91672,7.33790,7.00182,6.77776,6.42300,6.42300,6.36698,6.42300,6.42300,6.42300,6.42300,6.44167,6.66573,6.88979,7.16986,7.93539,8.29015,8.21546,8.19679,8.30882,8.58889,8.64491,8.86897,8.77561,8.60757,8.40218,8.27148,8.27148,7.67399,7.33790,7.11384,6.77776,6.38566,6.01223,5.60145,5.37739,5.30271,5.35872,5.60145,5.60145,5.26537,5.47075,5.39607,5.58278,5.54544,5.60145,5.84418,6.04957,6.31097,6.49768,6.79643,7.26322,7.78602,8.47686,9.29841,10.06394,11.01619,11.46431,12.50991,13.53684,14.04097,14.26503,14.09699,13.85426,13.61153,13.29411,12.93935,12.56592,12.19249,12.17382,12.21117,11.94976,11.87508,11.57633,11.55766,11.18423,10.49339,10.17597,10.17597,11.52032,11.22158,11.46431,11.80039,12.56592,13.08873
2021,Noraville 33_11kV,04MAY2020,MW,12.75264,13.25677,13.40614,12.28585,11.48298,10.54940,11.48298,10.92283,10.10129,9.18638,8.38351,7.89805,7.65532,7.15119,6.96447,6.47901,6.42300,6.10558,6.10558,6.40433,6.72174,7.05783,7.18853,7.35657,7.86070,8.49554,9.13037,9.61583,9.31708,9.24240,9.59715,9.59715,9.59715,9.54114,9.18638,8.66358,8.40218,7.93539,7.50595,6.74041,6.34831,5.99355,5.78817,5.62012,5.05998,5.05998,5.05998,4.81725,4.76123,4.49983,4.46249,4.46249,4.46249,4.46249,4.74256,4.94795,4.94795,5.00396,5.52677,6.01223,6.23628,6.62839,7.39392,7.87938,8.17812,8.99967,9.87723,11.05353,11.74438,12.88334,14.17167,14.73182,14.73182,14.67581,14.28370,13.85426,13.36880,12.82733,12.60327,12.26718,12.30452,12.28585,12.11781,11.66969,11.44563,11.09088,10.64276,10.19464,9.97059,9.98926,11.33361,11.05353,11.40829,11.85641,12.21117,12.56592
2021,Noraville 33_11kV,05MAY2020,MW,12.34187,12.69663,13.18208,12.04312,11.18423,10.08261,10.75479,10.41870,9.46645,8.70092,8.25281,7.63665,7.20720,6.77776,6.47901,6.36698,6.12425,6.27363,6.06824,6.27363,6.36698,6.62839,7.09517,7.30056,7.46860,7.95406,8.25281,8.96232,8.47686,8.57022,8.99967,9.46645,9.63450,9.63450,9.61583,8.57022,7.95406,7.78602,8.01008,8.30882,8.25281,6.75909,6.62839,7.58063,8.62624,8.45819,8.25281,9.03701,9.29841,9.50380,9.70918,9.50380,9.50380,9.27974,8.70092,8.77561,9.37310,9.24240,9.11170,9.50380,9.72786,9.95191,9.98926,10.34402,10.77346,11.33361,11.66969,12.02445,12.60327,13.64887,14.89986,15.16126,15.38532,15.01189,14.76916,14.17167,13.70489,13.12607,12.75264,12.69663,12.56592,12.65928,12.28585,12.13648,11.98711,11.78172,11.09088,10.45604,10.23199,10.40003,11.53899,11.42696,11.52032,11.93109,12.49124,12.90201
2021,Noraville 33_11kV,06MAY2020,MW,12.52858,13.07006,13.31278,12.26718,11.33361,10.28800,11.01619,10.69877,9.95191,8.94365,8.23413,7.80469,7.31923,6.83377,6.81510,6.36698,6.16160,6.16160,6.16160,6.31097,6.62839,6.74041,7.03916,7.48727,7.86070,8.10343,8.99967,9.39177,8.90631,8.77561,8.85029,9.18638,9.18638,8.94365,8.42085,8.01008,7.52462,7.33790,6.75909,6.42300,6.18027,5.63880,5.24669,5.05998,4.85459,4.59319,4.70522,4.76123,4.76123,4.61186,4.14507,4.42515,4.61186,4.61186,4.61186,4.61186,4.61186,4.61186,4.85459,5.17201,5.50809,6.10558,6.47901,7.03916,7.54329,8.29015,9.11170,9.74653,10.47472,11.63235,12.67795,13.36880,13.46216,13.14474,13.07006,12.64061,12.47257,12.17382,11.81906,11.42696,11.42696,11.48298,11.44563,11.07220,10.88549,10.64276,10.25066,9.80254,9.59715,9.76520,10.82947,10.82947,11.14689,11.72571,12.32320,12.62194
2021,Noraville 33_11kV,07MAY2020,MW,12.15515,12.65928,13.10740,11.68836,10.77346,9.97059,10.69877,10.34402,9.41044,8.42085,8.14078,7.56196,7.11384,6.74041,6.46034,6.29230,5.99355,5.99355,6.21761,6.31097,6.31097,6.51636,6.90846,7.05783,7.58063,7.82336,8.57022,9.14904,8.66358,8.49554,8.53288,8.90631,9.03701,8.57022,8.58889,8.75694,8.64491,8.49554,8.36484,7.87938,7.61798,7.26322,6.96447,6.85244,6.57237,6.31097,5.99355,5.76950,5.76950,5.93754,6.23628,5.86285,5.47075,5.54544,5.32138,4.96662,5.54544,4.76123,5.82551,6.12425,6.14293,6.53503,6.72174,7.28189,7.65532,7.99141,9.05568,10.00793,10.82947,11.78172,12.75264,12.97670,12.97670,12.97670,12.73397,12.32320,11.81906,11.44563,11.37095,10.96018,11.16556,10.99752,10.84815,10.73612,10.38136,10.40003,10.02660,9.46645,9.11170,9.39177,10.69877,10.51206,10.60542,11.07220,11.78172,12.13648
2021,Noraville 33_11kV,08MAY2020,MW,11.98711,12.30452,12.77131,11.48298,10.60542,9.76520,10.62409,10.15730,9.33575,8.57022,8.01008,7.43126,7.09517,6.53503,6.46034,6.16160,6.08691,6.08691,5.90020,5.80684,6.18027,6.68440,6.70307,6.98314,7.11384,7.65532,8.02875,8.55155,8.25281,8.10343,8.15945,8.32749,8.21546,8.21546,7.76735,7.54329,7.07650,6.75909,6.19894,5.76950,5.52677,5.39607,5.11599,4.87326,4.63053,4.48116,4.48116,4.35046,4.18242,4.18242,4.18242,4.21976,4.42515,4.49983,4.53718,4.77991,4.77991,4.89194,5.19068,5.28404,5.80684,6.16160,6.59104,7.15119,7.33790,7.82336,8.53288,9.05568,9.31708,10.15730,11.22158,11.27759,11.27759,11.27759,10.96018,10.81080,10.43737,10.38136,10.10129,9.74653,9.70918,9.69051,9.55981,9.54114,9.33575,9.44778,9.13037,8.58889,8.34616,8.62624,9.93324,9.74653,10.17597,10.92283,11.42696,11.81906
2021,Noraville 33_11kV,09MAY2020,MW,11.53899,12.09914,12.41655,11.05353,10.17597,9.13037,9.85856,9.80254,8.77561,7.97273,7.44993,7.15119,6.62839,6.25496,6.08691,6.03090,5.76950,5.76950,5.76950,5.76950,5.76950,5.76950,5.76950,6.01223,6.08691,6.38566,7.00182,7.11384,7.24454,7.28189,7.52462,7.30056,7.74868,7.86070,7.20720,7.73000,7.71133,6.68440,6.31097,5.95621,7.93539,7.63665,6.90846,6.55370,5.19068,4.79858,4.83592,7.30056,7.89805,7.71133,7.22587,6.51636,6.87111,6.85244,6.29230,6.40433,5.78817,6.60971,7.30056,7.76735,7.95406,8.25281,8.83162,9.01834,8.94365,8.94365,9.13037,9.65317,9.95191,10.51206,11.35228,11.93109,11.93109,11.87508,11.63235,11.37095,10.92283,10.66143,10.25066,10.00793,10.10129,10.08261,10.19464,10.04527,9.83988,9.78387,9.55981,9.18638,8.86897,9.13037,10.47472,10.30667,10.71745,11.12822,11.89375,12.21117
2021,Noraville 33_11kV,10MAY2020,MW,11.89375,12.52858,12.88334,11.66969,10.71745,9.52247,10.34402,10.00793,9.18638,8.55155,7.78602,7.33790,6.85244,6.49768,6.18027,5.80684,5.76950,5.56411,5.86285,5.90020,6.21761,6.42300,6.16160,6.19894,6.55370,6.55370,6.81510,7.22587,7.39392,7.48727,8.04742,8.06609,8.30882,8.47686,8.83162,8.57022,8.27148,8.27148,7.71133,7.69266,7.24454,6.74041,6.42300,6.06824,5.73215,5.50809,5.19068,5.13466,5.13466,5.13466,5.13466,4.68655,4.55585,4.55585,4.55585,4.83592,4.92928,4.92928,5.32138,5.65747,6.10558,6.55370,7.02049,7.63665,8.12211,8.96232,9.72786,10.79213,11.44563,12.50991,13.40614,13.92894,14.07832,13.76090,13.57419,13.48083,13.27544,13.27544,13.08873,12.65928,12.71530,12.90201,12.65928,12.41655,12.13648,11.98711,11.27759,10.53073,10.36269,10.47472,11.66969,11.44563,11.72571,12.06179,12.69663,12.90201
