year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,North Head 33_11kV,01MAY2020,MW,9.94029,9.79854,9.67451,9.76310,9.53276,9.65679,9.67451,9.67451,9.67451,9.60363,9.67451,9.56820,9.44416,5.08532,7.08755,7.03440,6.91036,6.85721,6.66230,4.32341,3.38431,3.08309,3.89815,6.46739,6.11301,6.04214,5.93582,4.03990,5.20935,4.96129,5.95354,6.39652,6.39652,6.41423,6.60914,6.78633,6.21933,4.50060,3.72096,4.46516,5.59917,6.23705,6.69774,6.75089,6.32564,5.86495,6.11301,6.48511,6.64458,6.55599,6.57370,6.62686,6.66230,6.75089,6.59142,6.59142,7.01668,3.75640,3.82728,3.45518,3.66781,5.88267,6.11301,4.55375,7.76087,8.09753,9.42644,9.17838,9.37329,9.44416,9.55048,9.69223,9.92257,9.95801,10.01117,10.01117,9.85170,9.85170,7.35334,6.99896,7.31790,7.90262,8.00893,7.86718,4.78410,4.50060,4.39428,4.39428,4.55375,4.41200,4.19937,4.19937,4.19937,4.00447,3.98675,3.89815
2021,North Head 33_11kV,02MAY2020,MW,3.89815,3.89815,3.89815,3.75640,3.66781,3.66781,3.66781,3.66781,3.45518,3.45518,3.45518,3.45518,3.45518,3.45518,3.45518,3.45518,3.45518,3.26027,2.99449,2.92362,2.92362,2.83502,2.83502,2.81730,2.69327,2.87046,2.94133,2.94133,2.94133,2.94133,3.04765,3.11852,3.11852,3.11852,3.27799,3.29571,3.29571,3.29571,3.29571,3.47290,3.56149,3.56149,3.56149,3.40202,3.29571,3.29571,3.29571,3.13624,4.21709,3.59693,3.63237,3.63237,3.63237,3.61465,3.38431,3.38431,3.38431,3.38431,3.41974,3.65009,3.65009,3.63237,4.00447,3.95131,4.14622,4.19937,4.32341,4.32341,4.37656,4.53603,4.80182,4.83725,5.08532,5.08532,5.08532,5.08532,5.08532,5.08532,5.08532,5.08532,5.08532,4.85497,4.85497,4.80182,4.69550,4.55375,4.53603,4.69550,4.67778,4.62463,4.39428,4.27025,4.35884,4.14622,3.96903,3.65009
2021,North Head 33_11kV,03MAY2020,MW,3.63237,3.63237,3.63237,3.63237,3.63237,3.63237,3.63237,3.63237,3.54378,3.54378,3.33115,3.40202,3.47290,3.47290,3.47290,3.15396,3.08309,3.08309,2.90590,2.83502,2.83502,2.83502,2.74643,2.78186,2.78186,2.78186,2.78186,2.78186,2.92362,4.71322,5.10304,5.31566,5.31566,5.06760,3.45518,3.47290,3.47290,3.56149,3.72096,3.52606,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.47290,3.63237,3.72096,3.72096,4.35884,4.42972,4.50060,4.50060,4.76638,4.80182,4.99672,5.22707,5.49285,5.42198,5.49285,5.49285,5.42198,5.28023,5.28023,5.28023,5.19163,5.03216,5.03216,4.94357,4.66007,4.69550,4.71322,4.67778,4.58919,4.48288,4.41200,4.21709,4.18166,3.95131,3.95131,3.86272
2021,North Head 33_11kV,04MAY2020,MW,3.70325,3.70325,3.65009,3.43746,3.59693,3.72096,3.47290,3.45518,3.45518,3.45518,3.45518,3.38431,3.34887,3.36659,3.36659,3.29571,3.13624,2.94133,2.94133,2.88818,2.81730,2.81730,2.81730,2.81730,2.81730,2.81730,4.25253,5.26251,5.26251,5.40426,5.52829,5.59917,5.77635,5.84723,5.84723,5.67004,5.58145,5.58145,5.58145,5.54601,4.85497,4.83725,4.83725,5.26251,5.13848,5.42198,5.77635,5.77635,5.77635,5.77635,5.86495,4.81954,5.35110,6.04214,6.20161,6.16617,6.13073,6.13073,6.34336,6.27248,6.27248,6.27248,6.27248,6.29020,4.03990,3.70325,3.52606,3.72096,3.77412,3.91587,4.16394,4.39428,4.44744,4.99672,6.55599,7.01668,7.30018,7.26474,7.26474,7.12299,7.58368,7.51281,7.44193,7.17615,4.28797,3.77412,3.82728,3.80956,5.61688,7.01668,8.06209,9.56820,9.76310,9.01891,8.93032,9.07207
2021,North Head 33_11kV,05MAY2020,MW,9.07207,9.24926,9.33785,9.35557,9.03663,5.29795,7.44193,7.35334,7.35334,6.36108,5.77635,5.59917,3.59693,3.57921,3.33115,3.33115,3.33115,3.33115,3.33115,3.33115,3.17168,3.15396,2.97677,2.88818,2.88818,2.88818,3.04765,4.69550,5.59917,5.38654,5.51057,5.90039,6.37880,6.62686,6.62686,6.68002,6.48511,6.39652,6.14845,5.91811,6.41423,6.11301,6.11301,6.11301,4.62463,3.65009,3.52606,3.20712,4.73094,3.47290,5.74092,5.22707,5.47513,5.24479,5.24479,5.06760,5.81179,6.37880,6.30792,6.09529,6.09529,6.09529,6.09529,6.09529,6.09529,6.13073,6.39652,6.83949,6.91036,7.01668,7.40649,7.51281,7.56596,7.81403,7.88490,7.88490,7.70771,7.65456,7.63684,7.60140,7.42421,7.26474,7.35334,7.37105,7.26474,7.17615,7.33562,7.37105,7.42421,7.54824,7.54824,7.51281,4.87269,4.05762,3.73868,3.61465
2021,North Head 33_11kV,06MAY2020,MW,3.49062,3.49062,3.49062,3.49062,3.49062,3.49062,3.49062,3.49062,3.38431,3.22484,3.22484,3.22484,3.22484,3.22484,3.22484,3.22484,3.22484,3.22484,3.22484,2.78186,2.78186,2.74643,2.85274,2.85274,3.38431,3.72096,4.51831,7.47737,7.54824,5.65232,7.03440,6.41423,7.92034,8.06209,8.16840,8.16840,8.02665,7.90262,6.21933,3.59693,3.57921,3.40202,3.36659,4.97901,6.50283,6.83949,6.83949,6.83949,6.83949,6.80405,5.91811,5.79407,5.74092,5.67004,5.67004,5.67004,5.67004,5.67004,5.97126,6.09529,6.00670,6.00670,6.00670,6.21933,4.87269,3.61465,3.40202,3.36659,3.36659,3.52606,3.89815,3.96903,4.07534,4.28797,4.35884,4.14622,4.00447,4.00447,5.10304,6.73317,6.55599,6.55599,6.55599,7.05211,7.03440,6.80405,6.78633,7.01668,7.05211,7.05211,7.24702,7.24702,7.24702,7.24702,7.24702,7.24702
2021,North Head 33_11kV,07MAY2020,MW,7.24702,7.24702,7.24702,7.24702,7.24702,7.24702,7.24702,7.06983,3.54378,3.59693,3.59693,3.59693,3.59693,3.36659,3.34887,3.34887,3.34887,3.34887,2.97677,2.92362,2.69327,2.69327,2.76415,2.67555,2.67555,2.83502,2.88818,2.95905,3.15396,3.15396,4.81954,5.84723,5.75864,5.72320,5.72320,6.05986,6.04214,5.88267,5.58145,5.72320,5.65232,5.36882,5.61688,5.38654,5.52829,5.70548,5.51057,5.35110,5.35110,5.17391,5.35110,5.38654,5.24479,6.82177,7.76087,7.61912,7.61912,7.61912,7.61912,7.61912,7.28246,6.64458,6.07758,6.05986,5.08532,3.20712,3.22484,3.22484,3.43746,3.47290,3.72096,3.80956,4.00447,4.00447,4.00447,4.00447,4.00447,3.86272,3.86272,3.84500,3.68553,3.95131,5.82951,6.14845,6.25476,6.16617,6.55599,6.92808,7.01668,6.98124,6.83949,7.06983,7.10527,7.24702,7.24702,7.24702
2021,North Head 33_11kV,08MAY2020,MW,7.24702,7.17615,7.08755,7.08755,7.10527,7.10527,7.10527,7.19387,7.15843,7.15843,6.11301,3.49062,3.50834,3.26027,3.22484,3.22484,3.22484,3.22484,3.06537,2.94133,2.76415,2.67555,2.67555,2.67555,2.69327,2.83502,2.83502,2.83502,3.06537,3.13624,3.34887,3.34887,4.73094,4.39428,5.29795,6.05986,6.02442,5.91811,5.77635,5.84723,5.84723,5.97126,6.07758,5.79407,5.81179,5.81179,5.81179,5.81179,5.74092,5.68776,5.56373,5.54601,5.40426,5.74092,5.72320,5.82951,5.81179,5.81179,5.56373,5.54601,5.70548,5.70548,5.51057,5.45741,3.63237,3.34887,3.26027,3.26027,3.18940,3.06537,3.31343,3.31343,3.43746,3.31343,3.41974,4.18166,5.17391,5.29795,4.89041,4.97901,5.04988,4.96129,5.01444,4.99672,5.04988,4.89041,5.04988,4.96129,5.06760,5.36882,5.33338,5.35110,5.86495,6.20161,6.20161,6.39652
2021,North Head 33_11kV,09MAY2020,MW,6.46739,6.23705,6.16617,6.37880,6.25476,6.20161,6.16617,6.04214,5.98898,5.98898,5.98898,5.86495,5.74092,5.74092,5.58145,3.06537,3.08309,2.58696,2.35661,2.44521,2.30345,2.30345,2.40977,2.30345,2.19714,2.35661,2.37433,2.42749,2.42749,2.42749,2.56924,2.56924,2.85274,2.87046,2.87046,2.87046,2.85274,2.72871,2.97677,2.97677,2.87046,3.06537,2.88818,2.88818,2.88818,2.88818,2.74643,2.88818,2.94133,2.71099,2.72871,2.85274,2.94133,2.97677,3.11852,2.88818,2.81730,3.26027,3.06537,2.97677,2.95905,3.02993,3.10080,2.99449,3.52606,3.40202,3.75640,3.84500,3.84500,3.93359,4.11078,4.18166,4.18166,4.23481,4.21709,4.03990,4.28797,4.28797,4.27025,4.02219,4.02219,4.03990,4.21709,3.86272,3.82728,3.82728,3.86272,3.84500,3.84500,3.86272,3.77412,3.77412,3.72096,3.50834,3.26027,3.26027
2021,North Head 33_11kV,10MAY2020,MW,3.41974,3.29571,3.02993,3.20712,3.17168,3.04765,3.06537,3.01221,3.08309,3.11852,2.78186,2.78186,2.90590,2.87046,2.88818,2.88818,2.67555,2.37433,2.49836,2.37433,2.23258,2.32117,2.14398,2.14398,2.28574,2.17942,2.14398,2.25030,3.06537,4.11078,4.21709,4.12850,4.05762,4.37656,4.28797,4.28797,3.18940,2.79958,3.04765,3.02993,2.78186,2.67555,2.58696,2.78186,2.60468,2.62239,2.44521,2.44521,2.62239,2.62239,2.62239,2.62239,2.78186,2.78186,2.53380,2.62239,2.81730,2.97677,2.97677,2.97677,2.97677,3.02993,2.97677,3.06537,2.95905,2.95905,3.61465,3.73868,3.89815,4.00447,4.02219,4.58919,4.44744,4.34113,4.34113,4.34113,4.48288,4.50060,4.28797,4.27025,4.27025,4.27025,4.21709,4.25253,4.07534,3.96903,3.88043,3.88043,4.05762,3.93359,3.59693,3.59693,3.59693,3.54378,3.34887,3.34887
