year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,North Sydney 132_11kV,01MAY2020,MW,19.93736,19.93736,19.75630,19.37441,19.37441,19.37441,18.90464,18.50309,18.50309,18.50309,18.50309,18.50309,17.91178,17.67129,17.67129,17.67129,17.67129,17.67129,17.67129,17.67129,18.49877,19.38996,19.42916,19.79074,21.68616,22.55472,23.90872,24.97104,26.64597,27.31710,29.46368,30.91447,32.39180,33.18708,33.47546,33.84361,33.46589,33.46589,33.46589,33.46589,33.22363,32.69434,33.26270,32.97482,32.76596,32.76596,32.76596,32.76596,32.84835,32.79225,32.79225,32.99949,32.98296,32.81197,32.76163,32.34670,32.15593,31.83674,31.31968,31.28168,31.22463,31.22463,31.22463,31.22463,30.84280,31.18731,31.72131,31.99617,31.99617,32.43500,33.52142,33.36789,31.96127,31.16979,31.02784,30.64507,29.69012,29.38313,28.27152,27.83437,27.83437,27.83437,26.97041,26.94664,26.45627,26.08404,25.34488,24.89685,24.44687,23.92080,23.36848,22.80563,22.73847,21.93431,21.93431,21.46081
2021,North Sydney 132_11kV,02MAY2020,MW,21.10120,21.10120,20.37867,20.25806,20.25806,19.59280,19.44877,19.44877,18.74000,18.59401,18.59401,18.59401,18.59401,18.59401,18.59401,18.07190,17.79343,17.79343,17.79343,17.79343,17.79343,18.04184,18.65343,18.65343,18.79574,19.55886,19.55886,19.82226,20.69587,21.21710,21.86907,22.34545,23.22480,23.68681,24.23683,24.53300,24.53300,24.53300,24.94179,25.36335,25.36335,25.36335,25.36335,25.36335,25.27740,25.06638,24.78445,25.28230,25.44470,25.44470,25.44470,25.44470,25.10361,24.67591,24.67591,24.67591,24.67591,24.05623,23.83439,23.83439,23.83439,23.83439,24.25875,24.64048,24.64048,24.64048,24.88053,25.45298,26.15015,27.15683,28.34012,28.73125,28.73125,29.46723,29.41141,28.64482,28.64482,28.26331,27.84396,27.84396,27.17563,27.04120,26.97512,26.15071,25.66851,25.27446,25.20785,24.45864,24.18980,23.63162,23.50000,22.59827,22.07622,22.07622,22.03844,21.23178
2021,North Sydney 132_11kV,03MAY2020,MW,21.23178,21.23178,20.87673,20.46212,20.46212,19.93530,19.55829,19.55829,19.31464,18.73300,18.73300,18.73300,18.73300,18.73300,18.45419,17.91805,17.91805,17.91805,17.91805,17.91805,18.13139,18.69118,18.69118,18.69118,18.69318,19.55450,19.55450,19.55450,20.28825,20.65317,21.21027,21.38819,22.07390,22.65961,22.85282,23.28664,23.62886,23.62886,24.38913,24.47998,24.47998,24.47998,24.47998,24.47998,24.47998,24.47998,24.47998,24.47998,24.47998,24.47998,24.40997,23.88419,24.48898,24.18195,23.91276,23.64731,23.64731,23.64731,23.64731,23.64731,23.64731,23.64731,23.64731,23.64731,23.64731,24.53482,24.79861,25.36786,25.84104,26.88411,28.42266,28.76204,29.58065,29.61679,29.61679,29.61679,28.81595,28.73575,28.55341,27.86559,27.55904,27.01099,27.01099,26.57380,26.20664,25.49933,25.14831,24.53547,24.08610,22.98925,22.72331,21.95841,21.26159,21.18950,21.18950,20.94224
2021,North Sydney 132_11kV,04MAY2020,MW,20.37584,20.37584,20.02664,19.49975,19.49975,19.49975,18.90710,18.69378,18.69378,18.69378,18.69378,18.69378,18.65991,17.82408,17.82408,17.82408,17.82408,17.82408,17.82408,18.03962,19.07357,19.41058,19.74667,20.63584,23.52257,24.62943,25.70416,27.11397,29.38622,30.51745,32.34685,33.56741,35.08498,36.05818,36.22955,36.44475,36.96725,36.21498,36.08054,36.08054,35.70834,35.24292,35.24292,35.24292,35.24292,34.77286,34.68603,35.04975,34.74675,34.74055,34.65281,34.52955,34.47864,34.03936,33.90466,33.83291,33.83291,33.40738,33.21258,33.14519,33.14519,33.14519,33.14519,33.14519,33.12312,33.10083,33.15739,33.90279,34.49347,35.07467,35.96378,36.04630,34.48766,33.99602,33.65781,33.19196,32.47374,31.83632,31.36455,30.67301,29.90321,29.26456,28.67327,28.30453,27.62316,27.00825,26.60633,25.66123,24.96595,23.99118,23.37483,22.75056,22.18839,21.64266,21.64266,21.00116
2021,North Sydney 132_11kV,05MAY2020,MW,20.75828,20.73812,19.99038,19.99038,19.99038,19.99038,19.23878,19.16003,19.16003,18.96814,18.38574,18.38574,18.38574,18.38574,18.38574,18.38574,18.38574,18.38574,18.38574,18.38574,19.16834,19.54311,20.01099,20.25467,22.48994,23.57484,24.68124,26.11479,28.59985,29.76367,31.86785,33.20865,35.25605,36.05303,36.48102,36.92862,36.41163,35.48486,35.14546,34.46123,34.46123,34.60123,34.43422,34.43422,34.43422,34.43422,34.43422,34.14851,34.40125,34.40125,34.40125,34.39881,34.23606,33.73589,33.52047,33.48291,33.51079,33.21251,33.06076,32.59341,32.67841,32.46641,32.40705,32.51479,31.69630,32.47513,32.48548,32.48548,32.70582,33.83201,35.13683,35.52996,33.94638,32.98620,32.63471,32.53822,31.73399,31.36749,30.44438,29.80818,29.12645,28.66009,28.07659,27.54780,27.18077,26.66443,25.88421,25.45106,24.81499,23.94072,23.34894,22.65849,21.89594,21.85500,21.27297,21.05428
2021,North Sydney 132_11kV,06MAY2020,MW,21.05428,20.52443,20.21203,20.21203,20.20072,19.43279,19.43279,19.32874,18.56119,18.56119,18.56119,18.56119,18.56119,18.56119,18.56119,18.56119,18.56119,18.56119,18.56119,18.56119,19.27976,19.45065,20.09191,20.59848,22.84793,23.58340,25.06758,26.09990,28.56268,29.89172,31.94413,33.31574,35.31040,36.44734,36.46304,36.25365,36.20438,35.87270,35.56426,35.58117,35.50214,35.15927,35.15927,35.15927,34.38127,34.36043,34.15937,33.87364,34.21752,34.21752,34.15418,33.77279,33.95743,34.30031,33.55085,33.43771,33.32618,32.62071,32.62071,32.62071,32.62071,31.99770,32.16198,32.20456,32.13851,31.81683,29.11687,31.87536,32.46599,33.13523,34.09255,33.97277,32.69541,32.32630,32.01915,31.51192,30.67233,30.09352,29.22274,28.69312,28.56988,28.12306,27.59518,26.94940,26.43008,26.09537,25.63290,24.61689,24.22736,23.45690,22.93547,22.34815,21.81666,21.81666,21.23587,20.80587
2021,North Sydney 132_11kV,07MAY2020,MW,20.14361,20.14361,20.14361,19.54602,19.29190,19.29190,19.29190,18.75333,18.45618,18.45618,18.45618,18.45618,18.45618,17.90840,17.59067,17.59067,17.59067,17.59067,17.59067,17.62633,19.02875,19.24471,19.38492,20.12331,22.14655,23.40852,24.11435,25.31933,27.50959,28.89338,31.04887,32.72272,34.14901,35.38260,35.69841,35.69841,35.59829,34.93050,34.69652,34.33500,34.36850,34.12107,34.12107,33.74222,33.23771,33.23771,33.86240,34.05237,34.05237,34.13455,34.10002,33.45603,33.62076,33.39267,33.39267,33.22772,32.98781,32.68926,32.68926,32.68926,32.52983,32.70198,31.92486,31.92486,32.07422,31.90626,32.36271,32.70698,32.70698,33.26133,33.57451,33.57451,32.29195,31.92891,31.26945,31.09435,30.00815,29.27617,28.60009,28.60009,27.73397,27.73328,26.99295,26.84919,26.06320,26.02101,25.31250,24.40349,23.92411,23.28561,22.68057,21.96451,21.60170,21.04950,21.04950,20.26884
2021,North Sydney 132_11kV,08MAY2020,MW,20.22029,20.22029,20.22009,19.38297,19.38297,19.38297,19.38297,18.99752,18.57832,18.57832,18.18145,17.75437,17.75437,17.75437,17.75437,17.75437,17.75437,17.75437,17.75437,18.59129,18.77106,18.81476,19.55290,19.93148,22.18639,22.90512,23.68100,25.10338,26.92749,27.81316,29.19985,30.53053,32.14972,33.42867,33.63610,33.97031,33.71250,33.71250,33.71250,33.71250,33.87327,34.25992,34.12476,33.89594,33.89594,33.89594,33.89594,33.89594,33.89594,33.89594,34.16095,34.51646,34.62884,34.36416,33.91905,34.55383,34.08404,33.75594,33.93962,33.71017,33.71017,33.71017,33.25650,33.06916,32.91019,32.91019,32.46518,32.57432,32.09362,32.50760,32.56019,32.26878,30.39307,29.61664,29.54038,28.76251,27.75872,26.94389,26.43408,26.43408,25.95416,25.41700,24.83714,24.64316,24.04601,23.74257,23.25065,23.25065,23.03488,22.39880,21.70103,21.31134,20.78267,20.78267,20.78267,20.22727
2021,North Sydney 132_11kV,09MAY2020,MW,20.01928,20.01928,19.84600,19.22262,19.22262,19.22262,19.04636,18.39532,18.39532,18.06537,17.59606,17.59606,17.59606,17.59606,17.59606,17.59606,17.59606,17.59606,17.59606,17.59606,17.59606,17.59606,18.26775,18.45471,18.45471,18.45471,19.20504,19.21666,19.78428,20.29722,20.84542,21.64975,21.71775,22.05559,22.85241,23.43990,23.43990,24.20483,24.27357,25.04556,25.04556,24.55950,24.98790,24.98790,24.98790,24.67540,24.22509,24.22509,24.22509,24.22509,24.22509,24.22509,24.22509,24.22509,24.14730,24.01618,24.23815,24.23815,23.79820,23.36858,23.36858,23.36858,23.36858,23.36858,23.36858,23.36858,23.36858,24.07796,24.76663,25.60389,25.96045,26.46809,26.81214,26.81214,26.81214,26.31605,26.01869,26.01869,25.49368,25.13837,24.61440,24.28943,24.09181,23.51905,23.26421,22.66342,22.66342,22.15478,21.79633,21.79633,21.79633,21.03963,20.44278,20.24237,20.24237,20.24237
2021,North Sydney 132_11kV,10MAY2020,MW,20.24237,20.08407,19.41042,19.41042,19.41042,18.68313,18.63163,18.63163,18.63163,17.85044,17.80767,17.80767,17.80767,17.80767,17.80767,17.32805,17.04557,17.04557,17.04557,17.04557,17.49020,17.80925,17.80925,17.80925,18.17004,18.59125,18.59125,18.59125,19.35812,19.69980,20.46833,21.08479,21.30142,21.93648,22.62247,22.88720,23.39255,23.40972,24.27171,24.27171,24.27171,24.27171,24.27171,24.27171,24.27171,24.02816,23.50773,23.50773,23.50773,23.50773,23.50773,23.50773,23.50773,23.50773,23.50773,23.42193,22.71092,22.71092,22.71092,22.71092,22.71092,22.71092,22.71092,22.71092,23.33991,23.54607,24.08852,24.56176,25.90826,26.91878,27.62886,28.10992,28.44686,28.44686,28.44686,28.44686,28.44686,27.91899,27.63320,27.63320,26.86083,26.83030,26.83030,26.05951,25.57443,25.15813,25.07400,24.34375,24.13935,23.28442,22.74549,22.08060,21.81248,21.02045,21.02045,20.58799
