year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Nulkaba 33_11kV,01MAY2020,MW,5.66269,5.62515,5.54552,5.31572,5.24496,5.10603,4.77945,4.64426,4.53923,4.34093,4.30402,4.13524,4.05530,4.12821,4.10594,4.15795,4.15096,4.15225,4.21177,4.25470,4.38558,4.43942,4.52253,4.55481,4.79788,4.98682,5.15707,5.19162,4.83948,4.54725,4.14962,3.78634,3.60793,3.52354,3.64062,3.70780,3.83654,3.87184,3.64694,3.99462,3.99959,3.96862,4.18064,3.62591,3.58108,3.92079,4.66733,3.93724,2.95359,3.15759,3.59242,3.24591,3.53940,3.30617,3.23609,3.16164,3.19083,3.21945,3.19673,3.34551,3.55219,3.54156,3.74638,3.48823,4.11039,4.78010,5.28986,5.80684,6.14485,6.42212,6.68182,6.87250,6.87597,6.74535,6.79749,6.78572,6.77414,6.72316,6.61541,6.41806,6.31188,6.24989,6.21395,6.11891,5.99324,6.02401,5.94669,5.85960,5.77321,5.66113,5.61600,5.56369,6.30095,6.17234,5.85329,5.69019
2021,Nulkaba 33_11kV,02MAY2020,MW,6.00177,5.94594,5.80145,5.56387,5.33147,5.14067,4.97476,4.85071,4.62429,4.45257,4.33349,4.29894,4.12537,4.04082,4.10808,4.07885,4.10128,3.96764,4.05247,4.09692,4.15520,4.17547,4.19997,4.27570,4.41097,4.51635,4.63118,4.60312,4.30118,3.90771,3.34558,2.80102,2.71863,2.94867,3.11089,3.25541,3.39351,3.46704,3.32632,3.01358,3.04693,3.29596,3.47960,3.74503,3.61513,3.61494,3.65489,3.05305,3.49591,3.29433,3.49231,3.55648,2.84142,2.95307,2.64040,2.95936,3.19430,2.86622,3.36968,2.80523,3.52208,4.24410,4.08440,4.24427,4.78111,5.06103,5.43319,5.77402,5.88452,6.05619,6.29370,6.57177,6.55051,6.50151,6.41799,6.36160,6.19597,6.18316,6.01472,5.98803,5.90929,5.86743,5.79205,5.56872,5.50360,5.42918,5.38218,5.32647,5.29772,5.25183,5.24210,5.30964,5.43802,5.20349,5.05065,4.92365
2021,Nulkaba 33_11kV,03MAY2020,MW,4.72318,4.62080,4.64894,4.54884,4.45730,4.42086,4.35939,4.28464,4.24587,4.12895,4.13128,4.07654,4.00796,4.02673,4.02647,4.07428,4.09217,4.18113,4.11142,4.15025,4.03647,4.13295,4.17425,4.25536,4.45091,4.59709,4.73668,4.72708,4.38645,3.98235,3.63102,3.32550,3.13651,2.99729,2.71742,2.77668,2.82577,2.83172,3.05856,3.11858,3.12295,3.04943,3.07413,3.16464,3.05265,3.01751,2.94065,3.24175,3.33806,3.06615,3.17117,3.04335,2.95421,2.63017,2.86903,2.74654,2.29752,2.52217,2.87281,2.64381,2.59220,2.45839,2.57566,2.94744,3.36846,4.07154,4.67507,5.22111,5.58816,5.85103,6.22360,6.52118,6.62238,6.50149,6.44092,6.46298,6.36682,6.24572,6.22795,6.05854,5.95490,5.89439,5.83860,5.71227,5.69774,5.54782,5.42326,5.35982,5.38710,5.29668,5.26129,5.16355,5.18415,5.08943,4.99888,4.79750
2021,Nulkaba 33_11kV,04MAY2020,MW,4.75182,4.58056,4.64553,4.69704,4.60780,4.47354,4.47880,4.35726,4.26706,4.22112,4.21618,4.17708,4.18548,4.13776,4.17674,4.22552,4.34206,4.40222,4.56587,4.53349,4.63791,4.78383,4.89315,5.00699,5.23962,5.39307,5.59652,5.83039,5.63441,5.33937,4.86956,4.49109,4.12514,3.77172,3.66749,3.71162,3.82459,3.81268,3.57801,3.31131,3.70658,3.98782,3.93358,3.96424,3.88033,3.71202,3.80141,4.23418,4.20939,4.08389,4.06359,3.98396,3.97026,3.90597,3.59648,3.56984,3.57280,3.40160,3.22501,2.50782,2.58209,2.53317,2.64942,3.02068,3.56842,4.25796,4.81731,5.32985,5.69409,5.84469,6.07403,6.26627,6.35846,6.43326,6.15948,6.20642,6.22767,5.92375,5.80744,5.80216,5.66533,5.56021,5.52225,5.54630,5.36401,5.30138,5.44841,5.29798,5.31337,5.19830,5.16092,5.15510,5.76356,5.80371,5.58741,5.34219
2021,Nulkaba 33_11kV,05MAY2020,MW,5.63938,5.47271,5.35364,5.17349,5.07418,4.90343,4.72360,4.61807,4.43783,4.28385,4.13147,4.08838,4.09104,4.06377,4.07268,4.06279,4.04567,4.02633,4.07703,4.11613,4.22071,4.36580,4.35079,4.44100,4.74124,4.91654,5.03861,5.04695,4.92001,5.27648,5.27437,4.72498,4.11948,4.22914,4.16726,3.74390,3.45318,3.44979,2.99139,3.18502,2.90741,3.29807,3.47920,3.13811,3.31939,3.68039,3.97467,5.01511,4.70959,3.49443,4.54599,4.63139,4.07746,4.28186,4.25569,4.27670,3.97135,4.26480,4.37642,4.49673,4.63985,4.54250,4.73631,4.92908,5.05084,5.25191,5.59187,5.86281,6.12356,6.22713,6.31867,6.44511,6.41857,6.29420,6.27388,6.12212,5.98961,5.93976,5.77610,5.77139,5.78563,5.53043,5.43082,5.41064,5.41467,5.38054,5.44204,5.38266,5.39405,5.25652,5.16956,5.14776,5.71218,5.68782,5.56420,5.24571
2021,Nulkaba 33_11kV,06MAY2020,MW,5.56083,5.55806,5.42739,5.28329,5.11554,4.96021,4.84727,4.67843,4.56549,4.44852,4.22140,4.16975,4.12810,4.06004,4.07215,4.11861,4.17105,4.32149,4.24979,4.34227,4.39498,4.55351,4.74457,4.73311,4.98341,5.24585,5.46322,5.55821,5.49719,5.55869,5.38439,5.26047,5.34329,5.27034,5.31439,5.07537,4.97387,5.01574,4.74640,4.55354,4.24917,4.27891,3.84962,3.93288,3.66311,3.54858,3.07560,3.68226,3.77187,3.70999,3.63919,3.54337,3.39980,3.40988,3.35191,3.29259,3.23752,3.12216,3.05800,2.94491,2.88642,2.80298,2.79028,3.02803,3.67591,4.29521,4.87504,5.37100,5.63762,5.65412,6.00915,6.20217,6.28589,6.12522,6.04468,5.98191,5.93345,5.87849,5.83562,5.80591,5.82940,5.72211,5.62359,5.43884,5.41501,5.36684,5.54397,5.41263,5.37672,5.33265,5.31389,5.29819,5.87768,5.97311,5.76805,5.58445
2021,Nulkaba 33_11kV,07MAY2020,MW,5.83602,5.75896,5.67204,5.47959,5.17700,5.16715,4.93948,4.73134,4.63973,4.46383,4.44370,4.38036,4.32328,4.26177,4.36102,4.31838,4.31593,4.38066,4.41068,4.41680,4.58035,4.66125,4.76588,4.89538,5.07682,5.34870,5.64191,5.74590,5.32456,5.26463,5.01560,4.88912,4.60643,4.98318,4.76153,4.27133,3.88322,4.10647,3.94402,3.35987,3.34333,3.50630,3.52069,3.37723,3.15749,3.28983,3.33552,3.33216,3.19452,3.03264,3.08537,3.12028,3.19629,2.97835,2.85658,2.71214,2.93036,2.93081,2.87623,3.21605,2.85245,3.48175,3.87740,3.44186,3.71098,4.56526,4.92500,5.36958,5.69378,5.76313,5.94892,6.02904,6.08341,6.00771,5.89096,5.83469,5.79889,5.78984,5.70350,5.60239,5.46825,5.42457,5.29982,5.21649,5.16362,5.10510,5.23960,5.11856,5.12979,5.14707,5.07577,5.13317,5.70206,5.78846,5.63257,5.43629
2021,Nulkaba 33_11kV,08MAY2020,MW,5.62324,5.56507,5.38540,5.18429,4.98761,4.81975,4.68834,4.49912,4.39209,4.28485,4.22642,4.11394,4.08146,4.09218,4.14451,4.24276,4.22487,4.14144,4.21088,4.30242,4.50074,4.61287,4.58785,4.68974,4.96305,5.11683,5.37346,5.42533,5.23351,4.92753,4.62774,4.20986,3.74495,3.53468,3.54047,3.67113,3.70205,3.57411,3.59948,3.57126,3.60013,3.36982,3.72764,3.79082,3.69886,3.76861,3.71250,3.74640,3.70120,3.74051,3.71117,3.59391,3.65735,3.61461,3.52233,3.44672,3.42689,3.34401,3.26350,3.22989,3.20509,2.93878,2.77793,3.18848,3.69897,4.24639,4.74231,5.05629,5.18668,5.22058,5.36021,5.31648,5.33067,5.25764,5.28205,5.17982,5.21719,5.17531,5.12668,5.05796,5.01697,4.90600,4.78520,4.80177,4.73308,4.69461,4.85806,4.74542,4.75714,4.79492,4.71269,4.76297,5.40696,5.37682,5.22604,5.02163
2021,Nulkaba 33_11kV,09MAY2020,MW,5.35670,5.28929,5.10862,4.98102,4.87686,4.71252,4.35055,4.22005,4.11892,4.03115,3.97846,3.94425,3.91122,3.89117,3.81532,3.74027,3.86319,3.73873,3.83595,3.89375,3.94242,4.03588,4.07422,4.13662,4.15880,4.27022,4.54148,4.70695,4.66104,4.59218,4.56893,4.54320,4.19859,3.35740,2.97137,2.71266,2.99476,3.19604,3.30938,2.81060,2.76035,2.77136,2.81983,2.87774,3.18880,3.52658,3.32451,3.24645,2.73655,2.29918,3.43597,3.10745,3.20109,3.45678,3.56584,3.69010,3.69620,3.99816,4.32711,4.42217,4.88713,4.93999,4.24574,4.27382,4.14125,3.93170,4.69466,5.10829,5.37454,5.56625,5.72161,5.82471,5.91884,5.85823,5.91418,5.87428,5.73438,5.55321,5.52809,5.47772,5.35507,5.23358,5.22764,5.08057,5.07036,4.92934,4.94552,4.78250,4.87021,4.88891,4.79187,4.76253,4.87597,4.75290,4.64281,4.61784
2021,Nulkaba 33_11kV,10MAY2020,MW,4.38619,4.24923,4.23448,4.21441,4.20076,4.13295,4.08242,3.92019,3.89976,3.88164,3.78941,3.79586,3.82194,3.84755,3.85066,3.84108,3.79277,3.77973,3.81065,3.91397,3.86905,3.88943,4.03910,4.05498,4.15819,4.23397,4.41868,4.48141,4.28819,4.05731,3.60870,3.20652,3.09096,3.00784,2.72055,2.86602,2.84757,2.88310,2.78911,2.89709,3.25910,3.15500,3.12439,3.01532,3.01651,2.95793,3.04563,2.97005,2.99774,2.95927,2.92887,2.91828,2.86049,2.75518,2.69289,2.57127,2.63085,2.60778,2.65130,2.54889,2.35660,2.54424,2.80726,3.16596,3.72619,4.40292,4.93247,5.41279,5.70792,6.07260,6.45478,6.57258,6.59316,6.66852,6.67271,6.58716,6.61231,6.64580,6.56262,6.51714,6.42036,6.45571,6.22485,6.20074,6.08051,5.95768,5.86189,5.67874,5.61463,5.45563,5.50873,5.50362,5.53170,5.43358,5.29581,5.07488
