year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Olympic Park 132_11kV,01MAY2020,MW,4.87366,4.64021,4.51190,4.51190,4.50235,4.32877,4.32877,4.32877,4.32877,4.32877,4.32877,4.32877,4.17999,4.14840,4.08611,4.14985,4.14985,4.26021,4.50854,4.52118,4.55281,4.54095,4.67299,4.64543,4.87797,5.00348,5.11111,5.08968,5.34236,5.54057,5.62598,5.80357,5.82296,5.94139,6.02035,6.08306,6.00992,6.12921,6.13414,6.13351,6.22354,6.34262,6.30092,6.30854,6.22891,6.30858,6.37057,6.30571,6.41331,6.40876,6.31225,6.44726,6.53956,6.45303,6.49000,6.36206,6.33559,6.54581,6.39888,6.37853,6.52449,6.46193,6.49066,6.50106,6.65834,6.71397,6.76611,6.86652,6.73484,6.63405,6.99405,6.99061,6.89799,6.91275,6.84541,6.75408,6.68009,6.59026,6.55631,6.54453,6.51785,6.50280,6.35544,6.36279,6.27847,6.32162,6.17438,6.13545,5.97256,5.83902,5.68662,5.62498,5.56222,5.55102,5.34294,5.33136
2021,Olympic Park 132_11kV,02MAY2020,MW,5.26534,4.96394,4.79111,4.78806,4.78806,4.68027,4.60638,4.60638,4.63368,4.56163,4.47417,4.47417,4.47417,4.47417,4.41441,4.19540,4.19540,4.26703,4.48612,4.59955,4.54458,4.59403,4.59403,4.59403,4.65879,4.68340,4.56851,4.60115,4.79524,4.75274,4.77112,4.95737,5.00757,4.95006,4.95292,5.15400,5.19056,5.24486,5.33099,5.34024,5.43704,5.60187,5.55452,5.61406,5.55724,5.47811,5.60586,5.58383,5.58849,5.54778,5.68478,5.73665,5.76548,5.71526,5.58627,5.57226,5.57226,5.57226,5.51681,5.57836,5.74590,5.73962,5.71035,5.65920,5.73112,5.85494,6.00866,6.08666,6.10958,6.31603,6.44003,6.56412,6.48676,6.48950,6.46747,6.46747,6.43853,6.33757,6.34840,6.22595,6.11774,6.15122,6.16762,6.05655,5.89907,5.99481,5.91466,5.83329,5.72942,5.72942,5.59114,5.70171,5.50726,5.50521,5.50521,5.50521
2021,Olympic Park 132_11kV,03MAY2020,MW,5.50521,5.10485,4.92233,4.78110,4.78110,4.78110,4.65999,4.60782,4.47908,4.43630,4.29868,4.26376,4.43129,4.44632,4.28315,4.27188,4.27188,4.28984,4.45617,4.45617,4.45617,4.45617,4.36014,4.28467,4.28467,4.40876,4.43383,4.47889,4.49382,4.62037,4.69900,4.66696,4.79653,4.85771,5.11529,5.20158,5.00186,5.06002,5.20671,5.19378,5.33912,5.44706,5.43138,5.48652,5.44834,5.49687,5.48490,5.60212,5.62942,5.76473,5.60805,5.51421,5.70112,5.66466,5.54395,5.47759,5.57138,5.57138,5.62365,5.57966,5.71118,5.60737,5.60737,5.62289,5.77826,5.89629,6.01293,6.07388,6.07708,6.19559,6.31255,6.38884,6.48604,6.49104,6.50171,6.53162,6.34428,6.40572,6.22774,6.20279,6.21555,6.17124,6.20539,6.00790,5.85901,5.91087,6.04050,5.98058,5.82883,5.67006,5.48229,5.38916,5.31961,5.31961,5.20089,5.16651
2021,Olympic Park 132_11kV,04MAY2020,MW,5.16651,5.05116,4.87185,4.82274,4.72032,4.65121,4.65121,4.64363,4.47983,4.47983,4.47983,4.47983,4.47983,4.47983,4.47983,4.45642,4.38636,4.50831,4.58190,4.62593,4.92847,4.94144,4.94671,4.98962,5.02566,5.06903,5.19612,5.23576,5.47291,5.82936,6.02611,6.08291,6.19603,6.29326,6.40912,6.47358,6.37320,6.48796,6.48129,6.54391,6.54240,6.60409,6.78381,6.87297,6.75780,6.94760,7.06821,7.11938,6.99435,7.06319,6.91691,6.85368,7.12916,6.95480,6.76467,6.65191,6.70360,6.81239,6.80778,6.79571,6.65242,6.70365,6.83437,6.92077,6.96460,7.08767,7.08898,7.28255,6.94351,7.09063,7.27679,7.30837,7.18093,7.18152,7.15804,6.99700,6.87432,6.93008,6.84749,6.81222,6.95339,6.74896,6.72918,6.60377,6.45583,6.38192,6.36902,6.28974,6.09921,6.08224,5.83291,5.68805,5.66407,5.49970,5.33876,5.18125
2021,Olympic Park 132_11kV,05MAY2020,MW,5.01314,4.98382,4.80453,4.80314,4.80314,4.77382,4.62481,4.62481,4.53506,4.51261,4.57331,4.39462,4.53176,4.51154,4.31084,4.34342,4.42614,4.44607,4.64504,4.70883,4.68253,4.94481,4.90532,4.97047,5.04453,5.15200,5.15260,5.21695,5.54936,5.70138,5.78056,5.77927,6.00700,6.09977,6.26931,6.25301,6.23162,6.29655,6.44850,6.39169,6.62467,6.72621,6.80164,6.91443,6.97182,6.96928,6.83560,6.67046,6.72719,6.85575,6.73277,6.79795,6.93185,6.67524,6.73418,6.75861,6.69732,6.71711,6.66902,6.60558,6.57614,6.66622,6.62179,6.69990,6.77894,6.92453,6.99081,7.20025,6.92815,7.04578,7.13995,7.02531,6.94692,6.81999,6.92762,6.82388,6.66676,6.64248,6.54839,6.54511,6.33471,6.28043,6.28043,6.28043,6.28043,6.03329,5.92678,5.92678,5.76809,5.61195,5.54641,5.40769,5.40769,5.37114,5.14809,5.01880
2021,Olympic Park 132_11kV,06MAY2020,MW,4.93475,4.87244,4.71697,4.52254,4.59146,4.54329,4.49811,4.40322,4.36316,4.36752,4.32427,4.32427,4.42308,4.41608,4.33030,4.32181,4.32181,4.38848,4.46487,4.76766,4.76208,4.83808,4.75803,4.78467,5.03784,5.02609,5.26101,5.25492,5.46816,5.79331,5.86582,5.99770,6.15835,6.13182,6.40255,6.32012,6.34650,6.47070,6.47729,6.47355,6.49122,6.50563,6.69815,6.72644,6.66940,6.80750,6.85432,6.92655,6.87152,6.83193,6.82090,6.96230,6.91259,6.80569,6.76296,6.72988,6.68266,6.83660,6.91189,6.91530,6.86365,6.82306,6.75301,6.81132,6.78350,6.84694,7.11966,7.05373,7.01311,6.94937,7.05416,7.17337,6.99768,7.01476,6.89722,6.92883,6.73640,6.57501,6.56739,6.52885,6.44049,6.42478,6.59574,6.48770,6.34057,6.31986,6.23230,6.01436,5.90069,5.79512,5.71493,5.63073,5.57488,5.44031,5.26055,5.10924
2021,Olympic Park 132_11kV,07MAY2020,MW,5.07974,4.88711,4.83305,4.68612,4.64895,4.58736,4.58767,4.49653,4.37884,4.37884,4.36358,4.34256,4.46672,4.42105,4.37360,4.37360,4.42054,4.60817,4.74545,4.71928,4.71928,4.67362,4.70464,4.76615,4.90662,4.90662,4.99754,5.14040,5.57846,5.69171,5.75848,5.75614,6.01030,6.06557,6.22431,6.24297,6.27432,6.20312,6.26241,6.35232,6.49582,6.70428,6.82919,6.63508,6.58342,6.49200,6.80782,6.71016,6.80116,6.92119,6.82384,6.79403,6.64612,6.72485,6.78318,6.77792,6.75318,6.75541,6.72020,6.68579,6.72229,6.68925,6.59679,6.72148,6.71209,6.88505,6.93640,6.90850,6.76010,6.91114,6.94657,6.96219,7.04551,6.99682,6.79774,6.67660,6.37505,6.48471,6.61690,7.27874,8.68663,8.57560,8.46470,8.34932,8.42871,8.28593,8.13690,7.89388,7.65313,7.59295,7.60988,7.38721,7.20094,7.07626,7.02908,6.91771
2021,Olympic Park 132_11kV,08MAY2020,MW,6.83671,6.81399,6.46581,6.34867,6.21727,6.26896,6.12389,5.89607,5.73579,5.82186,5.75760,5.73827,5.90259,5.75683,5.56737,5.56166,5.56166,5.63022,5.85872,5.93397,6.03984,6.25063,6.33557,6.35418,6.53721,6.60109,6.72044,7.08172,7.48612,7.64143,7.80748,8.02771,8.18597,8.18761,8.35577,8.26894,8.28585,8.36629,8.35465,8.32559,8.53006,8.68601,8.48141,8.44117,8.54821,8.59102,8.72851,8.82976,8.79190,8.84757,8.94611,8.87527,8.92244,9.03360,9.01870,8.99046,9.05538,8.90411,8.93792,8.87703,8.89763,8.85332,8.88929,9.18825,9.16968,9.09204,9.01829,9.07382,9.15897,9.19911,9.36638,9.36565,9.13328,9.12348,9.09334,8.92143,8.71321,8.58337,8.47306,8.50294,8.35100,8.30728,8.28762,8.16583,8.08773,8.08189,8.03575,7.78762,7.55637,7.56229,7.32102,7.29597,7.30153,7.05788,7.10674,6.97131
2021,Olympic Park 132_11kV,09MAY2020,MW,6.80983,6.72887,6.53454,6.31621,6.29228,5.96187,5.96587,5.84762,5.74059,5.74059,5.60560,5.55877,5.55877,5.55877,5.45230,5.55238,5.55238,5.55238,5.55238,5.65613,5.66132,5.77411,5.86700,5.90892,6.00270,5.92813,5.88245,5.90668,6.08478,6.28098,6.37039,6.41274,6.55500,6.83030,7.06499,7.06617,7.11439,7.14504,7.29441,7.47505,7.53932,7.42003,7.50297,7.55739,7.58506,7.51579,7.18289,7.30484,7.31504,7.25075,7.35126,7.45096,7.55101,7.80463,7.62933,7.24325,7.37065,7.42606,7.53069,7.39180,7.37112,7.65090,7.66576,7.67388,7.78449,7.97072,8.04052,8.17576,8.08249,8.17423,8.51530,8.51770,8.55105,8.51292,8.51982,8.50595,8.31434,8.31434,8.31434,8.07195,7.91799,7.75099,7.73216,7.73670,7.69064,7.53961,7.47132,7.19785,7.21807,7.02300,7.04842,7.03466,6.95868,6.95868,6.95868,6.71255
2021,Olympic Park 132_11kV,10MAY2020,MW,6.74822,6.52617,6.48493,6.16534,6.11799,6.06034,5.94762,5.84964,5.74234,5.72048,5.57671,5.62849,5.57458,5.52677,5.45627,5.43561,5.40132,5.49501,5.51943,5.54973,5.58009,5.58009,5.58009,5.58009,5.58009,5.71312,5.76265,5.76265,5.93337,5.98619,6.20077,6.13512,6.33591,6.53311,6.67783,6.63311,6.69443,6.79311,6.90963,7.05604,7.18656,7.17538,7.14841,7.04604,7.09764,7.13683,7.23689,7.06026,7.15994,7.01605,7.09705,7.20495,6.93349,6.99578,7.00403,7.01997,7.07846,6.90456,6.90456,6.93142,7.01707,7.20143,7.29183,7.35654,7.51229,7.58049,7.82555,8.02920,8.30747,8.44757,8.66890,8.70344,8.77740,8.80208,8.88130,8.85114,8.79488,8.58053,8.57418,8.58225,8.54194,8.50721,8.45711,8.32478,8.31087,8.26191,8.14062,8.02144,7.79286,7.75659,7.71020,7.57769,7.48515,7.24724,7.11180,7.10598
