year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Paddington 33_11kV,01MAY2020,MW,11.45269,11.43388,11.18941,11.05777,10.94493,10.68165,10.41837,10.32434,10.32434,10.32434,10.13629,10.24912,10.28673,9.94823,9.94823,9.94823,9.94823,9.94823,9.94823,10.06106,10.39957,10.66285,10.66285,10.75687,11.13299,11.56552,11.86641,12.18611,13.18281,13.76579,14.40519,14.85652,15.43950,15.75920,15.85323,15.79681,16.22934,16.69948,16.51143,16.17292,16.15412,16.04128,16.06009,16.36098,16.43620,16.34218,16.32337,16.39859,16.43620,16.45501,16.45501,16.45501,16.86874,16.71829,16.51143,16.28576,16.49262,16.11651,16.09770,16.09770,16.07889,15.66517,15.90964,16.11651,16.19173,16.34218,16.56784,16.83112,17.01918,17.65858,18.74931,18.91856,19.01259,19.29467,19.48273,19.16303,19.06901,18.74931,18.54244,18.20394,17.79022,17.60216,17.24485,16.81232,16.39859,16.07889,15.92845,15.58995,15.06339,14.83772,14.53683,14.10429,13.61534,13.50251,13.18281,12.93834
2021,Paddington 33_11kV,02MAY2020,MW,12.69386,12.41178,12.14850,12.01686,11.79119,11.65955,11.49030,11.02015,10.98254,10.98254,10.86971,10.56882,10.56882,10.56882,10.56882,10.56882,10.56882,10.56882,10.56882,10.56882,10.56882,10.56882,10.94493,10.98254,10.98254,10.98254,11.20821,11.56552,11.97925,12.24253,12.58103,13.06998,13.37087,13.82221,13.93504,14.06668,14.55563,14.91294,15.17622,15.19503,15.32667,15.51472,15.42069,15.66517,16.06009,15.79681,15.68397,15.36428,15.40189,15.40189,15.45831,15.70278,15.45831,15.30786,15.45831,15.42069,15.15741,15.04458,14.98816,15.19503,15.36428,15.17622,15.11980,15.34547,15.45831,15.70278,15.96606,16.32337,16.75590,17.45171,18.41080,18.99378,19.29467,19.42631,19.27587,19.21945,18.74931,18.63647,18.52364,18.10991,17.79022,17.45171,17.00038,16.75590,16.47382,15.79681,15.79681,15.49592,15.19503,14.91294,14.40519,14.14191,13.72818,13.40848,13.10759,12.58103
2021,Paddington 33_11kV,03MAY2020,MW,12.29894,12.14850,11.90402,11.58433,11.58433,11.56552,11.33985,11.22702,10.98254,10.85090,10.66285,10.66285,10.66285,10.47479,10.30554,10.30554,10.39957,10.64404,10.64404,10.64404,10.64404,10.64404,10.64404,10.71926,10.98254,11.33985,11.28344,11.37746,11.94164,12.44939,12.54342,12.88192,13.37087,13.44609,13.82221,14.08549,14.42399,14.70608,15.08219,15.17622,15.30786,15.47711,15.64636,15.45831,15.68397,15.72159,15.58995,15.53353,15.77800,15.60875,15.62756,15.60875,15.62756,15.40189,15.36428,15.25144,15.27025,15.02577,15.15741,15.19503,15.19503,15.04458,15.11980,15.40189,15.45831,15.64636,16.04128,16.41740,16.94396,17.92186,18.95617,19.82123,19.87765,20.04690,19.89646,19.80243,19.50154,19.12542,19.05020,18.50483,18.31678,17.92186,17.60216,16.98157,16.54904,16.28576,15.81561,15.34547,15.02577,14.64966,14.36757,13.78460,13.37087,13.03237,12.86312,12.41178
2021,Paddington 33_11kV,04MAY2020,MW,12.14850,11.94164,11.79119,11.79119,11.58433,11.41508,11.20821,11.02015,11.02015,10.96374,10.68165,10.68165,10.68165,10.68165,10.68165,10.68165,10.68165,10.68165,10.90732,11.02015,11.02015,11.02015,11.20821,11.50910,11.81000,12.05447,12.73148,13.29565,14.27355,14.91294,15.53353,16.13531,16.64307,17.01918,17.16963,17.41410,17.39530,17.28246,17.52694,17.09440,17.03799,17.20724,17.07560,16.94396,17.01918,17.18843,17.01918,17.03799,17.18843,17.30127,17.33888,17.33888,17.03799,17.16963,17.07560,17.00038,16.83112,16.60546,16.79351,16.49262,16.41740,16.47382,16.36098,16.53023,16.49262,16.73710,16.88754,17.43291,18.24155,19.05020,19.68959,20.42302,21.15644,21.40092,21.57017,21.23166,20.93077,20.68630,20.23496,20.08451,19.67079,19.08781,18.65528,18.27916,17.43291,16.94396,16.26695,15.77800,15.23264,14.85652,14.53683,13.99146,13.55893,13.20162,12.67506,12.41178
2021,Paddington 33_11kV,05MAY2020,MW,12.12969,11.84761,11.60313,11.32105,11.24582,11.24582,11.24582,11.24582,10.94493,10.86971,10.77568,10.49359,10.49359,10.49359,10.49359,10.49359,10.49359,10.49359,10.49359,10.51240,10.88851,10.96374,10.64404,9.83539,10.39957,10.96374,11.35866,11.64074,13.10759,15.17622,15.55233,16.07889,16.84993,17.24485,17.56455,17.37649,17.41410,17.30127,16.88754,16.79351,16.92515,17.24485,17.15082,17.09440,17.26366,17.35768,17.01918,17.16963,17.24485,17.26366,17.15082,17.22604,17.20724,16.92515,16.75590,16.60546,16.62426,16.62426,16.26695,16.11651,16.00367,16.00367,16.11651,16.09770,16.24815,16.41740,16.49262,16.81232,17.33888,18.09111,19.16303,20.04690,20.34779,20.49824,20.74271,20.85555,20.51705,20.23496,19.80243,19.63318,19.31348,18.61767,18.29797,17.84663,16.15412,15.85323,15.43950,14.80011,14.25474,13.89743,13.14520,12.86312,12.28014,11.84761,11.75358,11.43388
2021,Paddington 33_11kV,06MAY2020,MW,11.09538,10.92613,10.60643,10.24912,10.24912,10.24912,10.24912,10.07987,9.85420,9.85420,9.66614,9.60973,9.60973,9.60973,9.60973,9.60973,9.81659,9.85420,9.85420,9.85420,10.09867,10.17390,10.21151,10.56882,11.09538,11.52791,11.77238,12.31775,12.95714,13.85982,14.44280,14.98816,15.34547,15.94725,16.13531,15.98487,15.98487,15.89084,15.70278,15.57114,15.45831,15.42069,15.51472,15.43950,15.62756,15.57114,15.34547,15.19503,15.19503,15.36428,15.34547,15.51472,15.19503,15.06339,15.10100,15.17622,15.10100,14.83772,14.83772,15.10100,14.96936,14.72488,14.80011,14.87533,15.10100,14.89413,15.23264,15.53353,16.00367,16.68068,17.45171,18.03469,18.41080,18.63647,18.82453,18.76811,18.56125,18.12872,17.97827,17.62096,17.20724,17.09440,16.30456,16.13531,15.85323,15.38308,14.96936,14.57444,14.04788,13.54012,12.93834,12.46820,12.05447,11.75358,11.32105,11.00135
2021,Paddington 33_11kV,07MAY2020,MW,10.64404,10.56882,10.34315,10.21151,10.11748,9.85420,9.85420,9.85420,9.72256,9.47809,9.47809,9.47809,9.47809,9.47809,9.47809,9.29003,9.47809,9.51570,9.51570,9.51570,9.64734,9.92942,10.02345,10.24912,10.58762,11.07657,11.54672,12.03566,13.01356,13.65296,14.27355,14.49921,14.83772,15.49592,15.87203,16.11651,16.15412,16.02248,15.66517,15.70278,15.51472,15.66517,15.72159,15.70278,15.42069,15.55233,15.66517,15.64636,15.42069,15.83442,15.89084,15.75920,15.74039,15.40189,15.32667,15.13861,15.17622,14.98816,14.93175,14.93175,15.06339,14.85652,14.78130,14.68727,14.98816,15.06339,15.55233,15.68397,15.98487,16.36098,17.01918,17.52694,17.88424,18.22275,18.31678,18.31678,18.05350,17.54574,17.33888,17.00038,16.49262,16.26695,15.85323,15.70278,15.28905,15.04458,14.49921,14.14191,13.63415,13.18281,12.69386,12.41178,11.97925,11.54672,11.30224,10.96374
2021,Paddington 33_11kV,08MAY2020,MW,10.77568,10.49359,10.26793,10.04226,10.04226,10.04226,9.72256,9.68495,9.68495,9.68495,9.53450,9.29003,9.29003,9.29003,9.29003,9.29003,9.29003,9.29003,9.30883,9.64734,9.64734,9.64734,9.85420,10.02345,10.51240,10.85090,11.05777,11.52791,12.31775,12.86312,13.46490,13.89743,14.48041,14.68727,14.96936,15.02577,15.30786,15.02577,14.87533,14.59324,14.64966,14.87533,14.85652,15.04458,15.21383,15.11980,14.91294,15.04458,15.28905,15.28905,15.21383,15.17622,15.10100,15.10100,15.06339,15.10100,14.89413,15.00697,14.91294,14.78130,14.63085,14.66847,14.61205,14.31116,14.74369,14.93175,14.96936,15.08219,15.34547,15.70278,16.13531,16.68068,17.03799,16.86874,17.15082,16.81232,16.41740,15.94725,16.00367,15.79681,15.28905,15.04458,14.66847,14.46160,13.97265,13.76579,13.48370,13.05117,12.91953,12.37417,12.31775,12.22372,11.82880,11.54672,11.24582,11.20821
2021,Paddington 33_11kV,09MAY2020,MW,11.17060,10.58762,10.49359,10.41837,10.15509,9.85420,9.74137,9.74137,9.74137,9.51570,9.34645,9.34645,9.34645,9.21481,8.95153,9.00794,9.29003,9.29003,9.29003,9.29003,9.45928,9.62853,9.62853,9.62853,9.76017,9.98584,10.09867,10.13629,10.56882,10.90732,11.35866,11.67836,11.97925,12.44939,12.52461,12.86312,13.16401,13.59654,13.93504,13.99146,14.02907,13.97265,13.93504,13.97265,14.19832,14.06668,14.12310,14.01027,14.12310,14.64966,14.44280,14.36757,14.32996,14.01027,13.87863,13.78460,13.99146,13.95385,13.93504,13.61534,13.59654,13.65296,13.65296,13.50251,13.44609,13.55893,13.91624,14.21713,14.51802,15.17622,15.70278,15.92845,16.22934,16.24815,16.00367,15.87203,15.53353,15.19503,15.00697,15.00697,14.63085,14.31116,14.14191,13.89743,13.55893,13.42729,13.01356,12.67506,12.43058,12.20492,11.92283,11.77238,11.26463,11.24582,11.20821,10.85090
2021,Paddington 33_11kV,10MAY2020,MW,10.73807,10.49359,10.15509,10.07987,9.85420,9.59092,9.47809,9.47809,9.47809,9.47809,9.47809,9.47809,9.15839,9.12078,9.12078,9.12078,9.12078,9.12078,9.12078,9.12078,9.12078,9.40286,9.44047,9.44047,9.70375,9.76017,9.77898,10.23031,10.45598,10.81329,11.07657,11.39627,12.09208,12.37417,12.59984,12.86312,13.12640,13.40848,13.59654,13.67176,14.29235,14.12310,14.04788,13.95385,14.01027,14.14191,14.04788,14.02907,13.80340,13.80340,13.80340,13.80340,13.65296,13.40848,13.54012,13.46490,13.46490,13.14520,12.95714,13.18281,13.18281,13.16401,13.31445,13.63415,13.63415,13.87863,14.34877,14.76249,15.53353,16.24815,16.96276,17.47052,17.73380,17.80902,17.75260,17.75260,17.73380,17.18843,17.05679,17.05679,16.96276,16.39859,15.92845,15.66517,15.28905,14.93175,14.55563,13.99146,13.52132,13.22042,12.71267,12.44939,12.14850,11.71597,11.58433,11.22702
