year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Peats Ridge 33_11kV,01MAY2020,MW,4.66344,4.34273,4.39043,4.29610,4.15714,4.03218,3.98310,3.94151,3.88424,4.59742,4.64622,4.61513,4.49406,4.44935,4.49330,4.38990,4.38132,4.50722,4.52538,4.56304,4.70931,5.06180,4.75096,4.62772,4.82564,5.06467,5.20336,5.44446,5.43064,5.50093,5.66740,6.12352,6.23267,5.89918,5.99356,5.73053,5.63543,5.30314,5.05853,5.03369,5.05957,5.02875,4.92611,4.81376,5.00896,4.91109,4.58622,4.86570,5.04493,4.85764,6.18254,6.13365,6.20250,5.85315,5.65876,5.32073,5.40277,5.51074,5.68565,5.64691,6.06351,6.01193,6.16879,5.78741,5.52794,5.73025,6.02868,6.18096,6.37059,6.64332,6.78245,7.15762,7.28953,7.31618,7.33335,7.52431,7.94116,7.77301,7.66806,7.61038,7.29286,7.31067,7.26295,7.22644,7.18837,7.03947,6.95913,6.87999,6.65337,6.15861,5.74665,5.54737,5.43044,5.34344,5.51424,5.48889
2021,Peats Ridge 33_11kV,02MAY2020,MW,4.71108,4.38850,4.42444,4.33148,4.15571,4.39544,4.93079,4.72079,4.74109,4.62574,4.57955,4.47864,4.45935,4.40282,4.35787,4.38686,4.39989,4.38115,4.39576,3.64407,3.57942,3.73374,4.12884,3.93244,4.17394,4.58672,4.80019,4.81777,4.68613,4.46491,4.40722,4.79150,5.13607,5.16095,4.89925,4.71211,4.34692,4.30738,4.39233,4.44647,4.47408,4.27390,4.03593,4.13421,4.01529,3.73438,3.20299,2.31835,2.15497,2.05250,2.14032,2.21902,2.34219,2.33338,2.47289,2.59152,3.02080,3.68466,3.87157,4.08166,4.25515,4.43039,4.66056,4.79860,4.87267,5.09389,5.30166,5.52390,5.61232,5.86479,6.24793,7.09246,6.99295,6.32986,5.93270,5.77320,5.24073,5.26027,5.14744,5.07066,4.96582,4.78925,4.84536,5.48182,5.51070,5.50394,5.44938,5.33720,5.27010,5.14314,5.03480,4.94349,4.90147,4.90311,5.09373,5.11920
2021,Peats Ridge 33_11kV,03MAY2020,MW,5.14955,5.15943,5.15905,4.77151,4.07066,3.88548,3.94558,3.85291,3.77566,3.63341,3.57851,3.45284,3.46649,4.06315,4.22678,4.20609,4.20231,4.29364,4.25469,4.22707,4.34922,4.34098,4.39549,4.44463,4.53705,4.69854,4.76029,4.78955,4.76510,4.67521,3.89542,3.82184,3.77689,3.56888,3.50675,3.39566,3.27733,3.11256,3.02614,3.20394,3.54989,3.39395,3.32458,3.19444,3.08468,3.04709,3.07921,3.06190,3.13314,3.19467,3.19455,3.24336,3.22243,3.22685,3.30016,3.42609,2.86635,2.80784,3.03214,3.16766,3.23796,3.37937,3.54391,3.70266,3.90686,4.32320,5.26051,5.49642,5.55819,5.71127,5.97082,6.10321,6.16117,6.12732,6.09313,6.11904,5.96563,5.81223,5.76268,5.68541,5.67185,5.63329,5.56555,5.14665,4.59324,4.47984,4.39409,4.25250,4.26604,4.18681,4.22429,4.00303,3.98100,4.68725,5.12424,5.12243
2021,Peats Ridge 33_11kV,04MAY2020,MW,5.12968,5.20731,5.22023,5.12340,5.07395,4.86819,4.88708,4.76449,4.65261,4.64746,4.56109,4.45252,4.57010,4.46773,4.44698,3.58485,3.61140,3.74786,3.76583,3.91843,4.41175,4.53402,4.67716,4.70032,5.61112,6.34098,6.32567,6.35242,6.21677,7.23412,7.68620,7.68003,7.51789,6.29845,5.78590,5.69135,5.59447,5.69539,5.50378,5.40855,5.26407,5.23198,4.80271,4.89008,5.07775,4.81740,4.91316,4.95850,5.10220,6.01155,5.99828,5.91349,6.00087,5.90737,5.95243,6.07066,6.15313,6.20906,6.12570,6.24448,6.49948,6.75498,6.84138,6.91238,7.05070,7.49323,6.61087,6.97233,7.09322,7.42791,7.62002,7.65857,7.63672,7.36555,7.51156,7.27964,7.02457,7.08124,7.00054,6.92295,6.97523,6.77759,6.64866,6.36008,6.28087,6.10293,6.03215,5.69201,5.70066,5.81600,5.88546,5.64387,5.55333,5.61030,5.66953,5.67422
2021,Peats Ridge 33_11kV,05MAY2020,MW,5.24303,4.46055,5.08851,5.31442,5.11103,4.99958,4.97948,4.93389,4.84442,4.69758,4.65259,4.53473,4.55669,4.57832,4.51606,4.50477,4.57529,4.57170,4.55639,4.56393,4.32668,4.59495,4.43590,4.55978,4.67752,5.06723,5.72632,5.68610,5.73927,5.72724,5.84100,6.03616,5.90686,6.49314,6.95031,6.73421,6.79206,6.66096,6.51138,6.45551,6.65750,6.49840,6.67119,6.31105,6.03579,5.43312,4.91915,4.92535,4.81556,5.78326,5.74779,6.04742,6.05569,6.89981,7.22442,7.27059,7.20078,6.20651,6.01213,5.85640,5.92904,6.96257,7.45407,7.43524,7.43550,7.58706,7.62551,7.30536,7.15708,7.20761,7.43840,6.66193,6.60027,7.21455,7.15160,7.08053,6.87173,6.79557,6.66351,6.63476,6.91119,7.34032,7.33153,7.26535,7.19781,6.94527,6.91443,6.81300,6.72298,6.72813,6.51742,5.58766,5.56965,5.52300,5.64254,5.61790
2021,Peats Ridge 33_11kV,06MAY2020,MW,4.77272,4.45554,4.35175,4.27771,4.17916,4.07710,4.14266,3.95959,3.86262,3.78355,3.76029,3.66002,3.58508,3.58864,3.60881,3.59064,3.68898,3.71818,3.70502,3.85133,5.07848,5.17608,5.48665,5.54325,5.84104,6.29672,6.50797,6.52486,6.35508,6.26908,6.03665,5.97851,6.06818,6.73536,6.66862,6.43481,6.27075,5.79189,5.15144,4.98317,4.95015,4.59436,4.31664,4.23991,3.97408,4.23883,4.64910,5.12689,5.46241,5.65820,5.80076,5.87314,5.85447,6.01639,5.96959,5.89599,5.73678,5.87009,6.09154,6.19460,6.24104,6.44134,6.79595,6.86958,6.84475,6.20026,6.38827,6.51220,6.51707,6.71107,7.07796,7.17181,7.06727,6.94989,6.67420,6.64065,6.52755,6.57122,6.65485,6.45086,6.41354,6.42104,6.25152,6.18594,6.01124,5.86757,5.99606,5.62979,5.56039,5.65001,5.75458,5.48591,5.43402,6.19445,6.46452,6.54783
2021,Peats Ridge 33_11kV,07MAY2020,MW,5.97060,5.22282,5.26334,5.24056,5.02262,4.87455,4.89238,4.75154,4.71596,4.55044,4.49664,4.45114,4.39929,4.39377,4.09999,3.53434,3.57682,3.62635,3.65609,3.71688,4.00412,4.42550,4.55031,4.66712,5.40234,5.66333,6.21457,6.24492,5.97657,5.91201,5.91277,5.79789,5.92589,5.98698,5.16090,4.96699,5.06477,4.93839,4.75802,4.70831,4.71561,4.71135,4.50565,4.50277,4.37949,4.33699,4.33602,4.44452,4.71940,5.31432,5.47074,5.50866,5.52019,5.50212,5.91231,5.96835,5.80057,6.02605,6.14693,5.96806,6.12732,5.85203,6.15187,6.62648,6.76446,7.08991,7.29185,7.50021,7.53826,7.75005,8.08615,7.37933,6.70749,6.63527,6.87910,6.73846,6.50650,6.38572,6.42529,6.36185,6.39522,7.10321,7.14319,7.06032,6.95251,6.88192,6.93364,6.68498,6.67566,6.65449,6.54136,6.45990,6.50673,6.38634,6.53624,6.63963
2021,Peats Ridge 33_11kV,08MAY2020,MW,6.07282,5.32156,5.06459,4.29975,4.17860,4.02459,4.06828,3.90623,3.91494,3.75518,3.64812,3.67836,4.21027,4.47454,4.46526,4.51380,4.52201,4.50850,4.56551,4.58670,5.03869,5.18043,4.64849,4.57073,4.90929,5.05813,5.14356,5.44968,5.80527,6.35094,6.37552,6.14543,6.01100,6.00344,5.80603,5.55508,5.62730,5.49373,5.25431,4.95831,5.32567,5.42605,5.39808,5.42647,5.32457,5.18283,5.23581,5.43252,6.19045,6.43708,6.43371,6.44942,6.34731,6.25592,6.27723,6.39963,6.46274,6.60928,6.73568,6.63300,6.77082,6.99988,7.20410,7.17521,7.36886,7.25337,6.62552,6.71790,6.52809,6.92649,7.00862,7.15946,6.95506,6.75290,6.68493,7.01844,7.45746,7.37988,7.43740,7.35229,7.27457,7.29537,7.05453,6.84106,6.74828,6.64212,6.65384,6.56367,6.45920,6.17116,6.26447,5.65264,5.38441,5.29002,5.55207,5.31915
2021,Peats Ridge 33_11kV,09MAY2020,MW,4.46563,4.20838,4.25479,4.15745,4.06501,3.91990,3.84764,3.72390,3.65918,3.55496,3.50927,3.45299,3.42404,3.36453,3.37241,3.35216,3.32659,3.41207,3.41758,3.42167,3.49877,3.58040,3.69396,3.87610,4.23705,4.47230,4.71346,4.63844,4.52707,4.42659,4.49232,4.64858,4.50241,4.31008,4.15193,4.04244,3.94151,3.88712,3.76904,3.65910,3.66816,4.11471,4.42324,4.50893,4.91435,4.35920,4.32474,3.83342,3.77271,4.12947,3.89935,3.51048,3.73018,4.30729,4.34788,4.59826,4.53752,4.19505,4.02820,4.19967,4.36795,4.37114,4.19939,3.96116,4.20504,4.23149,4.45962,5.48989,5.70712,5.91390,6.02279,6.13011,6.13958,6.08333,6.01342,5.87432,5.78666,5.65894,5.52402,5.33292,5.25336,5.32993,5.26468,5.15250,4.80608,4.12883,4.16412,4.06495,4.02337,3.94657,3.97776,3.88649,3.84996,3.83829,4.01833,4.03269
2021,Peats Ridge 33_11kV,10MAY2020,MW,4.04159,4.10254,4.15840,4.01000,3.85519,3.75037,3.75441,3.60966,3.60223,3.47853,3.43777,3.36695,3.26563,3.24657,3.26051,3.26227,3.24960,3.33200,3.28544,3.29183,3.34106,3.33443,3.40542,3.41487,3.58418,3.69798,3.77170,3.77730,3.75216,3.73846,3.69058,3.66839,3.63525,3.55042,3.39219,3.30411,3.26447,3.08720,3.12321,3.66153,3.53248,3.38790,3.33420,3.30661,3.20789,3.08936,3.10941,3.17553,3.16569,3.13871,3.19726,3.21190,3.31245,3.35561,3.38706,3.41914,3.07267,2.81851,2.93054,3.08024,3.25099,3.36038,3.57514,3.74504,3.94410,4.18751,5.13220,5.49076,5.64000,5.90633,6.04523,6.16348,6.29025,6.18920,6.21990,6.22371,6.04418,5.90724,5.71424,4.88416,4.80411,4.79708,4.69481,4.63989,4.55250,4.41643,4.41454,4.29120,4.31267,4.23105,4.24309,4.13591,4.13476,4.12719,4.34652,4.29875
