year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Punchbowl 33_11kV,01MAY2020,MW,15.77248,15.57192,14.79367,14.38642,14.32447,13.67194,13.14187,12.41995,11.84851,11.44244,11.13629,10.95336,10.83767,11.00173,11.16562,11.61508,12.33244,13.44944,14.18505,14.28588,14.52860,14.09772,13.43475,12.82791,12.90389,13.01308,12.94164,13.24019,13.31946,13.85106,14.11561,14.44815,14.70047,14.95838,15.11858,15.42650,15.23528,15.28006,15.41179,15.39649,15.76743,16.05910,15.32628,15.28531,15.26137,15.33615,15.32699,15.81251,16.23221,16.37313,16.84879,16.93510,16.98955,17.70582,17.21967,17.19284,17.21687,17.39292,16.70853,16.88296,17.29898,17.88138,18.30273,18.70745,19.41509,20.47826,21.21461,22.55205,23.66293,23.27301,22.90997,24.11706,24.11292,23.47687,23.20418,22.88541,22.30727,21.90300,21.44120,21.26836,21.16459,21.16527,20.84193,20.48070,20.27353,19.92614,19.86724,19.53478,19.93257,20.10109,19.84262,19.39738,18.46338,18.16101,18.15743,17.61065
2021,Punchbowl 33_11kV,02MAY2020,MW,17.27375,16.95854,16.29011,15.88616,15.71911,15.00132,14.27129,13.73083,13.26461,13.06249,12.51284,12.11199,11.97629,11.90415,11.95552,12.27617,12.96304,14.12994,14.80721,14.47933,14.62504,14.13871,13.08199,12.43797,12.50441,12.45828,12.66246,12.79603,12.73575,12.91826,13.19085,13.16410,13.47707,13.29065,13.49366,13.88017,14.83765,14.99324,14.99380,15.13372,15.21954,15.51517,15.46596,15.29365,15.34914,15.65840,15.68079,15.47556,15.70155,15.92303,15.76261,16.19850,16.60408,16.46833,16.42329,16.33590,16.87073,16.90203,17.12524,17.33453,17.49479,18.01996,18.04674,18.68882,19.37646,20.11060,21.08591,22.12569,22.97050,22.27059,22.01413,23.32809,23.38640,23.12121,22.62329,22.49370,22.40730,21.97924,21.26623,21.00698,20.86829,20.67019,20.65037,20.65933,20.32923,19.97733,19.65247,19.32384,19.56497,19.87608,19.93413,19.62631,19.14851,18.91448,19.01984,18.36339
2021,Punchbowl 33_11kV,03MAY2020,MW,17.66396,17.42644,16.85513,16.43292,16.43792,15.66365,15.00403,14.44702,13.96218,13.54702,12.95648,12.52900,12.49955,12.35559,12.29166,12.50261,13.28822,14.43772,14.96678,15.07409,15.19262,14.67703,13.36414,12.82096,12.91908,12.61549,12.50597,12.57806,12.31206,12.56560,13.12473,13.38832,13.64357,14.07493,14.19086,14.34604,14.31604,14.57615,14.72632,14.77040,15.20909,15.50648,15.31881,15.46161,15.52144,15.74808,15.93325,16.07746,16.61450,16.59406,16.72052,16.27475,16.16748,16.34038,16.34938,16.27448,16.24061,16.38951,16.55185,16.75325,16.99661,17.72904,17.82414,18.24514,18.96643,19.81534,20.64686,21.50696,22.42215,21.46842,21.70993,22.85764,22.85454,22.20224,21.86647,21.95490,22.16004,21.74832,21.80898,21.45132,21.41357,21.03520,20.41836,20.30057,20.15407,19.87872,19.64695,19.00262,19.01379,19.21963,18.98508,18.47198,18.02608,17.80875,17.85164,17.37419
2021,Punchbowl 33_11kV,04MAY2020,MW,17.33265,17.05615,16.27675,15.68034,15.65508,14.91429,14.40750,13.74681,13.21209,12.79714,12.45882,12.33418,12.22502,12.14216,12.04933,12.57311,13.41945,14.73965,15.46869,15.42894,15.52883,15.46464,14.45817,13.97852,13.94906,14.25158,14.30073,14.53951,14.90522,15.45476,15.91394,16.29054,16.42460,16.63806,16.68102,16.59920,16.43651,16.37072,16.26635,16.23373,16.36172,16.38511,15.90392,15.78607,15.94996,16.14789,16.26816,16.87923,17.26647,17.61265,17.55195,17.09632,16.84014,17.14316,16.76344,16.75308,17.05961,17.87656,18.04904,17.94071,17.68819,17.91015,18.55366,19.28761,20.16267,21.20480,22.22463,24.01778,24.68071,23.15235,23.48201,24.48934,24.42595,23.68939,23.39657,23.08320,22.67453,22.85708,22.68780,22.35506,22.34366,21.78114,21.33070,20.79292,20.35452,19.76236,19.28120,18.77130,18.77607,18.84640,18.82074,18.14838,17.60494,17.35024,17.34788,16.77279
2021,Punchbowl 33_11kV,05MAY2020,MW,16.53175,16.38806,15.63077,15.21969,15.25858,14.93098,14.20319,13.89606,13.25555,12.74785,12.21180,12.08562,11.87361,11.77364,11.95157,12.21770,12.84097,14.18227,15.14871,15.07292,15.26878,15.11801,13.98855,13.46371,13.58575,13.82694,13.84100,13.84936,14.43720,14.11516,14.45959,15.33585,15.78657,16.04040,15.99981,15.53689,15.41261,15.19574,15.09882,15.39822,16.01562,16.16053,15.84202,16.09355,16.23820,15.85479,16.03693,16.07177,16.24501,16.41230,16.96349,17.34563,17.01198,16.57052,16.22229,15.79119,16.23482,16.05565,16.22915,16.33176,16.28083,16.64628,17.14031,17.49503,18.38770,19.77605,20.69576,21.84559,22.47688,21.14763,21.84352,22.41354,21.94776,21.61331,21.26982,21.11025,20.79811,20.52979,20.07617,19.87021,19.99295,19.89910,19.65052,19.31139,18.97919,18.81642,18.05751,17.48636,17.55209,17.85995,17.57103,17.10540,16.53619,16.47322,16.48860,15.73930
2021,Punchbowl 33_11kV,06MAY2020,MW,15.43201,15.17813,14.55541,14.37367,14.36533,13.80184,13.17979,12.59321,12.15169,11.73285,11.53594,11.38789,11.18902,11.21689,11.39248,12.02604,12.82111,13.91437,14.87973,14.80443,14.58228,14.68382,13.58302,13.21135,13.33376,13.40040,13.49285,13.59560,13.83188,14.20620,14.58869,15.21736,15.57470,16.12466,15.97301,15.75162,15.69592,15.68715,15.60187,15.59188,15.40846,15.43204,15.10888,15.15741,15.35923,15.26865,15.23769,15.33758,15.55503,15.87381,16.16432,16.17371,16.06630,16.02652,15.92285,15.65891,15.58979,15.70063,15.77717,16.01783,16.25003,16.48423,16.94916,17.58625,17.81020,18.77566,19.92782,21.22047,21.71562,20.59536,21.24081,21.98692,21.50327,20.85265,20.27001,20.19370,19.88413,19.61631,19.37817,19.13692,19.39511,19.13870,18.88633,18.87004,18.72115,18.23092,18.03077,17.60980,18.22739,18.19555,17.90877,17.39783,16.95654,16.69428,16.74816,16.31263
2021,Punchbowl 33_11kV,07MAY2020,MW,16.09300,15.76127,15.15928,14.84661,14.78589,14.13589,13.68184,13.20256,12.70299,12.15678,11.59333,11.41043,11.30156,11.22752,11.34921,11.70865,12.43676,13.50988,14.28033,14.63606,14.91579,14.95240,14.17713,13.68369,13.47691,13.57980,13.44477,13.58631,13.92531,14.42440,14.81895,15.28873,15.89198,16.19430,16.70430,16.99506,16.89484,16.81968,16.66840,16.70789,17.29223,17.21681,16.53724,16.20009,16.45703,16.00914,16.14653,16.38954,16.62029,16.70271,16.77385,16.78226,16.74234,17.22032,17.06772,16.52424,16.27831,16.35648,16.41295,16.23925,16.58081,17.55833,17.66144,18.13778,18.88119,20.24172,21.53297,22.28228,22.61210,21.31255,21.99998,22.74481,22.10617,21.57665,21.09564,20.56474,20.33507,19.96226,19.61951,19.07650,19.26185,19.31949,18.97506,18.57344,18.62820,18.33746,18.33093,18.01906,18.08544,18.04680,17.61056,16.87553,16.49944,16.39772,16.42136,15.92469
2021,Punchbowl 33_11kV,08MAY2020,MW,15.74432,15.50158,14.94629,14.62156,14.52651,13.77162,13.40754,12.95633,12.27946,11.82017,11.25221,11.10311,10.92709,10.88446,11.06997,11.40945,12.01347,13.10711,13.91266,13.90846,14.02667,14.36787,13.74526,13.26292,13.31735,13.41712,13.02212,12.87839,13.09806,13.53032,13.59990,14.03249,14.61399,14.87314,14.91027,14.95171,15.30926,15.16218,15.22313,15.28448,15.53820,15.44623,15.31388,15.24720,15.01596,15.05432,15.17404,15.42515,15.68951,16.15327,16.24150,16.29362,16.68799,17.09777,16.64745,16.68240,16.91035,17.10367,17.17257,16.82561,16.74890,16.98387,17.34076,18.13462,18.64424,19.35321,20.02896,20.95478,21.03951,20.17435,20.75279,21.09558,20.80169,20.17490,19.75287,19.40618,18.63244,18.41650,18.16956,17.81831,17.88621,17.77561,17.35660,17.10963,16.84394,16.73150,16.87935,16.63825,16.72484,17.01803,17.02252,16.68959,15.96684,15.71934,16.00259,15.67048
2021,Punchbowl 33_11kV,09MAY2020,MW,15.37766,15.19732,14.64451,14.33773,14.47048,13.67733,13.19945,12.70694,12.08133,11.77790,11.13740,10.71624,10.73164,10.69935,10.79255,10.82812,11.52154,12.77486,13.37230,13.24097,13.14488,12.86585,11.95017,11.55341,11.49460,11.73750,11.49894,11.57122,11.77557,11.99947,12.08620,12.55093,12.74201,12.79145,13.04692,13.10440,14.00436,14.94512,14.85866,15.79007,16.16477,15.84212,15.51760,15.71632,15.79685,15.73787,14.68589,14.94007,15.11534,15.29133,15.25008,15.41658,16.27140,16.94941,16.19576,15.86295,16.33800,17.02827,17.01548,17.11216,16.88300,16.60138,16.79847,17.51006,17.96417,18.68428,19.49641,20.48222,20.35649,19.03814,19.64686,20.14896,19.66756,19.11967,18.86782,18.63075,18.56515,17.76663,17.47891,17.11330,17.15506,17.19534,17.12899,16.92150,16.81026,16.50612,16.23737,16.01216,16.36962,17.06202,16.97807,16.72018,16.21979,16.33723,16.24090,15.84911
2021,Punchbowl 33_11kV,10MAY2020,MW,15.55986,15.32402,14.80442,14.44130,14.54857,13.85932,13.40320,12.85760,12.46629,11.77049,11.48458,11.04814,10.89576,10.79338,10.84536,10.92762,11.71854,12.67667,13.14629,12.97454,12.88220,13.10737,12.19006,11.65759,11.62652,11.43206,11.14878,11.31254,11.51339,11.72480,11.91250,12.26620,12.96867,13.26565,13.28387,13.53931,13.99439,14.06430,14.17964,14.42655,14.92814,15.21344,15.22590,15.16605,15.08702,15.37397,15.69783,15.68035,15.86963,15.64476,15.51455,15.59480,15.58603,15.44643,15.10880,15.20332,15.21975,15.53862,15.75105,15.95039,16.22067,16.45434,16.96967,17.66816,18.42661,18.93006,19.83017,20.87573,20.74939,19.67836,20.50255,21.26475,21.16555,21.07613,21.03198,21.21137,21.22780,20.85637,20.70370,20.55919,20.79240,20.66526,20.67888,20.36435,20.14852,20.00011,19.82501,19.47419,19.40242,19.55878,19.20984,18.84985,18.21174,18.11594,18.01151,17.65494
2021,Punchbowl 33_11kV,11MAY2020,MW,17.39231,17.22507,16.53811,15.88257,15.60618,14.87958,14.37370,13.82213,13.22759,12.89487,12.24236,12.17642,12.01564,11.89643,12.07791,12.26537,13.03453,14.42949,15.30008,15.56658,15.71934,15.74981,14.48345,13.95607,14.26538,14.70077,14.81671,15.22869,16.06219,16.71183,17.00828,17.42241,17.83006,17.90798,17.45916,17.26952,17.43136,17.35427,17.03410,17.01112,17.01802,17.00056,16.84409,17.16163,17.01144,16.82336,16.80391,16.79264,17.02699,16.94101,16.86255,17.05547,16.98308,16.95423,16.65701,16.47270,16.63634,17.03795,17.11958,17.06040,17.55512,18.57733,19.05135,19.51333,20.50511,21.47026,22.65722,24.08638,24.05584,23.34179,24.65344,25.20789,24.99837,24.31183,23.55403,23.70802,23.69769,23.62968,23.33675,23.06216,23.32090,22.94236,22.24213,21.77382,21.61993,21.19158,20.87053,20.09202,19.91783,20.06166,19.96848,19.34122,18.77133,18.43058,18.35140,18.06713
2021,Punchbowl 33_11kV,12MAY2020,MW,17.47826,17.58908,16.94186,16.57361,16.40145,15.71310,14.98061,14.40225,13.84930,13.31690,12.78953,12.58980,12.41219,12.36504,12.36057,12.71547,13.40632,14.68471,15.53546,15.80629,16.14308,16.52975,15.58601,15.05005,15.10626,15.09105,15.11831,15.60085,16.01283,17.02274,17.62900,18.10913,18.33083,18.19370,18.22820,18.11016,17.96323,17.79429,17.61745,17.58544,17.67886,17.62329,17.19006,16.80025,16.53130,16.53911,16.68183,16.90369,17.16679,17.33714,17.27578,17.20856,16.99998,17.11101,17.02085,17.08433,17.07895,17.35469,17.13872,17.30087,18.23283,18.77912,18.97955,19.75829,20.84604,21.62933,22.65193,23.86226,23.78287,23.38809,23.99122,24.50712,24.21920,23.38408,23.27847,23.02660,22.44049,22.38181,22.45667,22.37743,22.39108,22.31599,21.94708,21.62389,20.92344,20.27023,19.89518,19.48515,19.53953,19.46216,19.27126,18.76915,18.02432,17.92802,17.74802,17.31836
2021,Punchbowl 33_11kV,13MAY2020,MW,17.09439,16.84966,16.23543,15.94239,15.88124,15.29104,14.60392,14.41389,13.82916,13.23538,12.93390,12.47595,12.07476,11.99108,12.06295,12.58010,13.20118,14.39292,15.45709,15.81181,15.88618,15.90322,14.98896,14.39548,14.59614,14.74555,14.69070,15.14223,15.35629,16.00489,16.84712,17.63020,18.25992,18.17733,18.10668,18.02914,18.30619,18.56406,18.26266,18.63167,18.56502,18.62673,18.98414,19.13170,19.11196,19.31774,18.24114,18.43747,18.72904,19.04690,18.72776,19.65408,19.63349,19.04281,18.89940,18.87918,19.22849,19.03496,18.73277,18.48311,18.61951,19.28149,20.48265,21.31579,22.17528,23.72449,24.63136,25.35991,24.88875,24.21349,25.67786,25.75910,25.12086,24.95131,24.64338,24.44174,24.30307,24.00251,23.38621,23.34609,23.36466,23.48316,23.07766,22.71594,22.45371,22.13113,21.33108,20.62095,20.81599,20.85433,20.54399,19.99149,19.32733,19.11755,19.04718,18.39826
2021,Punchbowl 33_11kV,14MAY2020,MW,17.98571,17.66877,17.12282,16.64899,16.40533,15.84844,15.23211,14.44854,14.04154,13.51102,13.00450,12.76066,12.63819,12.55852,12.78253,13.05328,14.35894,15.65833,16.47408,16.82326,16.93582,16.60967,15.63499,14.83356,15.19015,15.35866,15.33428,15.53870,16.19474,17.11001,17.78989,17.95984,18.51405,18.44367,18.29130,18.40479,18.40721,18.22179,18.60689,19.41332,19.25254,19.24768,19.74787,18.67485,18.68382,18.22722,18.04651,18.57906,18.97305,18.64922,18.37060,19.07521,18.99239,19.06704,18.50477,18.77757,19.20493,19.31011,18.89606,18.36002,18.49245,20.00660,21.60789,22.69553,23.54242,24.41102,25.26165,25.99594,25.97906,25.66818,26.67932,27.05749,26.62241,26.41613,26.24376,25.73913,25.06726,24.65317,24.22680,23.99687,24.01121,23.60425,23.26539,23.10761,22.56282,22.31294,21.83609,21.29771,21.21353,21.21710,20.77581,19.99904,19.29413,18.93804,18.81504,18.32159
2021,Punchbowl 33_11kV,15MAY2020,MW,18.11946,17.84063,17.05977,16.61453,16.50645,15.91869,15.14521,14.45102,13.65702,13.35745,12.96207,12.63070,12.54644,12.58173,12.63759,13.08654,13.73876,14.86937,15.80644,16.34723,16.42392,16.17729,15.72969,15.10996,15.25920,15.48827,15.75435,15.60717,16.01092,16.61434,16.93176,17.09172,17.50696,17.33004,17.40637,17.34939,17.51521,17.91006,18.33879,18.40161,18.77857,19.35179,19.74217,19.40151,19.57951,20.03171,20.06958,20.14428,19.06090,19.76075,20.78302,21.53058,21.95183,21.57056,21.83735,21.03778,20.64140,20.32335,20.23206,20.32511,20.76793,21.08489,21.43434,22.28430,23.43068,24.84155,25.39981,26.70966,26.57066,26.13658,27.21728,27.24610,26.89798,26.45644,25.90291,25.59753,25.53221,24.80320,24.57123,23.85405,23.91490,23.54180,23.15350,22.84571,22.33364,21.96587,21.75974,21.28514,21.60300,21.82600,21.59837,21.04833,20.49425,20.33204,19.85597,19.15583
