year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Pymble 33_11kV,01MAY2020,MW,13.55118,13.62544,13.14279,12.54877,12.56733,12.12181,11.76911,11.37928,11.10083,10.80382,10.37687,10.17267,10.06129,9.81997,9.67146,9.56008,9.56008,9.43014,9.57864,9.57864,9.76428,9.83853,10.09842,10.48824,11.24934,11.93618,12.47451,13.12423,13.56975,14.62785,15.33326,15.74165,16.42849,16.50274,16.52131,16.48418,16.24286,16.00153,15.81590,15.55602,15.31469,15.20331,14.90630,14.73923,14.49791,14.66498,14.66498,14.44222,14.42366,14.99912,15.33326,15.44464,14.88774,14.59073,14.25659,14.18233,14.25659,14.51647,14.44222,15.14762,14.90630,14.85061,15.07337,15.40751,16.00153,16.48418,17.02251,17.57941,18.30338,19.32436,20.62379,21.55195,21.53339,21.47770,20.84655,20.51241,19.95551,19.75131,19.26867,18.99022,18.76746,18.69321,18.50758,18.09918,17.63510,17.35665,16.98539,16.66981,16.70694,16.83688,16.63269,16.15004,15.70452,15.38895,15.51889,15.03624
2021,Pymble 33_11kV,02MAY2020,MW,14.92487,14.83205,14.20090,13.75538,13.81107,13.17992,12.64158,12.17750,11.69486,11.24934,11.02658,10.54393,10.32118,10.15411,9.87566,9.72715,9.56008,9.56008,9.56008,9.56008,9.56008,9.56008,9.83853,9.98704,10.19123,10.35830,10.69244,11.15652,11.36072,11.71342,12.12181,12.53020,12.69727,12.86434,12.82722,13.23561,13.62544,13.68113,13.53262,13.43980,13.56975,13.56975,13.23561,13.08710,12.79009,12.56733,12.45595,12.34457,12.47451,12.54877,12.43739,12.45595,12.28888,12.40026,12.40026,12.30744,12.21463,12.30744,12.36313,12.62302,12.79009,12.93860,13.21704,13.40268,13.88532,14.31228,14.98056,15.85303,16.61412,17.80217,18.99022,19.73275,20.19683,20.32678,20.34534,20.12258,19.84413,19.25011,19.04591,18.78602,18.58183,18.24769,17.93211,17.76504,17.37522,17.05964,16.91113,16.39136,16.72550,16.87401,16.59556,16.20573,15.77878,15.59314,15.85303,15.31469
2021,Pymble 33_11kV,03MAY2020,MW,15.16619,15.24044,14.44222,13.97814,14.10808,13.58831,13.03141,12.53020,12.14038,11.45353,11.11940,10.91520,10.82238,10.45112,10.26549,10.06129,9.81997,9.81997,9.81997,9.81997,9.81997,9.81997,9.81997,10.07985,10.35830,10.54393,10.84095,11.13796,11.34216,11.84336,12.02900,12.34457,12.71584,13.08710,13.23561,13.43980,13.58831,13.68113,13.71825,13.55118,13.42124,13.23561,13.14279,12.86434,12.49308,12.49308,12.34457,12.17750,12.10325,11.93618,11.86193,11.86193,11.86193,11.86193,11.75055,11.69486,11.89905,11.89905,11.93618,12.19607,12.23319,12.43739,12.62302,12.86434,13.40268,14.14521,14.77636,15.40751,16.11291,17.46803,18.87884,19.95551,20.58666,20.90224,20.88367,20.60522,20.23396,19.95551,19.58424,19.32436,19.23154,18.89740,18.63752,18.34051,17.98780,17.54229,17.26384,16.65125,16.78119,16.76263,16.37280,15.96441,15.40751,15.07337,15.31469,14.81349
2021,Pymble 33_11kV,04MAY2020,MW,14.70211,14.70211,14.18233,13.94101,14.10808,13.53262,13.03141,12.38170,12.01043,11.67629,11.36072,11.13796,10.74813,10.61819,10.37687,10.24692,10.22836,10.50681,10.50681,10.50681,10.50681,10.56250,11.10083,11.43497,12.23319,13.06854,14.03383,15.11050,15.77878,16.94826,17.65367,18.19200,19.12016,19.65850,19.69562,19.43574,19.19442,18.71177,18.43332,17.96924,17.54229,16.87401,16.76263,16.68838,16.24286,15.68596,15.51889,15.31469,15.20331,15.29613,15.09193,15.12906,15.81590,15.44464,14.72067,14.42366,14.20090,14.36797,14.31228,14.77636,14.96199,14.92487,15.24044,15.59314,15.92728,16.33567,16.98539,17.89499,18.95309,20.38247,21.75615,22.62862,22.77713,22.53580,21.99747,21.47770,21.01362,20.66091,20.21540,20.06689,19.73275,19.47287,19.12016,18.65608,18.21056,17.85786,17.30096,16.61412,16.59556,16.50274,16.27998,15.68596,15.22188,14.90630,15.01768,14.60929
2021,Pymble 33_11kV,05MAY2020,MW,14.49791,14.51647,13.90389,13.56975,13.58831,13.01285,12.54877,12.12181,11.76911,11.34216,10.97089,10.67388,10.58106,10.41399,10.35830,10.17267,10.11698,9.91278,10.02416,10.17267,10.17267,10.26549,10.63675,10.98945,11.78767,12.28888,13.23561,14.05239,14.47935,15.79734,16.57700,17.31953,18.52614,19.13873,19.04591,18.65608,18.48901,17.56085,16.89257,16.31711,15.92728,15.85303,15.38895,15.33326,15.76021,15.55602,14.85061,14.47935,14.51647,14.66498,14.64642,14.90630,14.59073,14.27515,14.21946,14.01527,13.73682,13.73682,13.90389,13.86676,14.03383,14.25659,14.44222,14.51647,14.99912,15.33326,15.72309,16.20573,17.09677,18.15487,19.41718,20.49384,20.64235,20.54953,20.04833,19.71419,19.39861,19.04591,18.56327,18.22913,18.06206,17.80217,17.80217,17.52372,17.09677,16.66981,16.44705,15.89016,15.83447,16.07579,15.68596,15.18475,14.99912,14.46078,14.66498,14.20090
2021,Pymble 33_11kV,06MAY2020,MW,14.16377,14.25659,13.66256,13.36555,13.34699,12.71584,12.27032,11.88049,11.39784,11.02658,10.84095,10.54393,10.46968,10.30261,10.22836,9.96847,9.80140,9.94991,9.96847,10.15411,10.22836,10.33974,10.65531,11.10083,11.78767,12.53020,13.23561,14.29371,14.90630,15.89016,16.52131,17.09677,17.78361,18.17344,18.02493,17.82073,17.70936,17.24527,16.74407,16.26142,15.57458,15.29613,15.07337,14.88774,14.46078,14.23802,14.08952,13.79251,13.86676,13.94101,13.77394,13.84820,13.68113,13.38411,13.29130,13.14279,13.21704,13.16136,13.12423,13.21704,13.36555,13.60687,13.77394,14.03383,14.36797,14.60929,15.01768,15.72309,16.66981,17.80217,19.10160,19.86269,20.06689,19.93695,19.49143,19.23154,19.00878,18.74890,18.28482,18.06206,17.69079,17.52372,17.20815,16.72550,16.57700,16.16860,16.02010,15.42607,15.76021,15.81590,15.68596,15.20331,14.51647,14.23802,14.33084,13.95958
2021,Pymble 33_11kV,07MAY2020,MW,13.90389,14.03383,13.47693,13.29130,13.21704,12.75296,12.30744,11.84336,11.32359,10.93376,10.58106,10.43256,10.28405,10.15411,9.94991,9.94991,10.00560,9.76428,9.94991,10.13554,10.17267,10.17267,10.63675,10.98945,11.86193,12.38170,13.06854,13.90389,14.36797,15.22188,15.77878,16.35424,17.30096,17.95068,18.22913,18.11775,17.98780,17.41234,17.24527,17.04108,16.72550,16.48418,16.05722,15.79734,15.35182,14.90630,14.40509,14.72067,14.86918,14.86918,14.18233,14.16377,13.95958,13.79251,13.58831,13.47693,13.64400,13.30986,13.49549,13.66256,13.34699,13.62544,13.53262,14.12664,14.44222,14.70211,15.25900,15.81590,16.63269,17.61654,18.76746,19.36149,19.69562,19.36149,18.91597,18.86028,18.39620,17.69079,17.57941,17.28240,17.04108,16.81832,16.63269,16.31711,15.90872,15.50033,15.18475,14.73923,15.05481,15.20331,14.98056,14.51647,14.08952,13.88532,14.03383,13.58831
2021,Pymble 33_11kV,08MAY2020,MW,13.60687,13.58831,13.19848,12.69727,12.90147,12.27032,11.71342,11.26790,10.98945,10.56250,10.30261,10.11698,10.06129,9.96847,9.63433,9.54152,9.54152,9.54152,9.54152,9.56008,9.78284,9.81997,10.06129,10.15411,10.82238,11.47210,11.99187,12.79009,13.10567,13.82963,14.20090,14.72067,15.14762,15.42607,15.35182,15.09193,15.09193,14.57216,14.21946,13.99670,13.88532,13.68113,13.36555,13.16136,13.10567,13.08710,12.93860,12.73440,12.77153,12.90147,12.88291,12.67871,12.66015,12.88291,12.92003,12.71584,12.79009,12.71584,12.77153,12.80865,12.92003,12.99429,13.04998,13.23561,13.47693,13.71825,13.92245,14.49791,14.96199,15.61171,16.48418,17.05964,17.18958,16.81832,16.57700,16.29855,15.98297,15.68596,15.20331,14.98056,14.73923,14.31228,14.05239,13.90389,13.64400,13.51406,13.43980,13.19848,13.62544,13.77394,13.86676,13.75538,13.36555,13.19848,13.51406,13.16136
2021,Pymble 33_11kV,09MAY2020,MW,13.25417,13.43980,12.86434,12.53020,12.53020,11.95474,11.41641,10.97089,10.54393,10.24692,9.83853,9.56008,9.39301,9.39301,9.17025,9.15169,8.94749,8.87324,8.87324,8.87324,8.87324,8.87324,8.87324,8.87324,9.13313,9.50439,9.69002,9.91278,10.06129,10.45112,10.69244,10.97089,11.13796,11.23078,11.23078,11.80624,11.43497,11.45353,11.52779,12.27032,12.41882,12.60446,12.36313,12.53020,12.17750,10.71100,10.87807,10.87807,10.87807,11.17509,11.04514,11.13796,11.88049,11.76911,10.80382,10.87807,11.11940,11.08227,11.08227,11.56491,11.47210,11.45353,11.65773,11.73198,11.75055,12.17750,12.60446,12.90147,13.51406,14.38653,15.24044,15.64883,15.92728,15.90872,15.79734,15.74165,15.44464,14.94343,14.68354,14.40509,14.20090,13.81107,13.81107,13.56975,13.30986,13.21704,13.06854,12.88291,13.43980,13.84820,13.86676,13.79251,13.38411,13.19848,13.45837,13.29130
2021,Pymble 33_11kV,10MAY2020,MW,13.23561,13.43980,12.82722,12.43739,12.49308,12.08469,11.54635,11.08227,10.78526,10.39543,10.24692,9.85709,9.76428,9.46727,9.18882,9.09600,9.09600,9.00318,8.83611,8.83611,8.83611,8.83611,8.83611,9.22594,9.44870,9.65290,9.76428,10.13554,10.39543,10.82238,11.23078,11.49066,11.95474,12.17750,12.38170,12.60446,12.69727,12.88291,12.95716,12.82722,12.67871,12.60446,12.60446,12.40026,12.28888,12.12181,11.80624,11.84336,11.82480,11.58348,11.60204,11.60204,11.60204,11.34216,11.49066,11.37928,11.50922,11.50922,11.56491,11.73198,11.86193,12.02900,12.30744,12.62302,13.23561,13.69969,14.46078,15.35182,16.18717,17.35665,18.41476,19.21298,19.56568,19.86269,20.08545,19.97407,19.71419,19.54712,19.47287,19.30580,19.00878,18.73033,18.39620,17.91355,17.69079,17.31953,17.00395,16.46562,16.44705,16.33567,16.18717,15.76021,15.22188,14.88774,14.96199,14.68354
