year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Rathmines 132_11kV,01MAY2020,MW,7.49850,7.10205,6.83228,6.79879,6.33370,5.78806,5.47729,5.53099,4.97126,4.61534,4.32025,3.98895,3.77136,3.54504,3.46405,3.41157,3.39886,3.36533,3.46082,3.50416,3.67516,3.80947,3.88961,4.23810,4.45727,4.72875,5.07221,5.14128,4.94232,5.14863,5.13224,5.11697,5.00819,4.76637,4.64221,4.16343,3.90694,3.58310,3.35793,3.16953,2.87902,2.65139,2.59356,2.55293,2.51246,2.42997,2.74778,2.48650,2.76369,1.97291,2.03479,2.37537,1.99918,2.10319,2.02998,2.05002,2.29531,2.73699,2.88059,2.98964,3.00012,3.41455,3.76084,4.23531,4.80238,5.24067,5.67748,6.20490,6.61883,7.11731,7.77840,8.10900,8.41259,8.41955,8.29692,8.09361,7.96089,7.90021,7.79854,7.53182,7.33876,7.21466,7.13229,6.86621,6.61746,6.50076,6.60923,6.43631,7.80659,7.46547,7.15999,6.75957,7.26574,7.01227,7.24917,7.38407
2021,Rathmines 132_11kV,02MAY2020,MW,7.74891,7.43896,7.12785,7.04645,6.54939,5.96147,5.50479,5.07605,5.35092,4.86064,4.43603,4.17078,3.87520,3.76482,3.58232,3.55383,3.57653,3.40499,3.38243,3.46949,3.51087,3.47785,3.47241,3.64466,3.89365,4.07609,4.38032,4.47008,4.47627,4.70968,4.98059,5.05851,5.10392,5.11829,4.98244,4.91250,4.75499,4.58834,4.39359,4.09530,3.76175,3.49956,3.23782,3.08379,2.78530,2.51029,2.42505,2.33991,2.14644,2.21268,2.21202,2.28681,2.25416,2.22827,2.22417,2.43175,2.52990,2.70820,2.95074,3.27807,3.62038,3.82145,4.01463,4.48464,4.87276,5.25786,5.59118,5.82330,6.34670,6.90289,7.38472,7.66034,7.79733,7.72351,7.61552,7.32691,7.04851,6.97599,6.73876,6.53489,6.29847,6.22030,6.05104,5.82467,5.82721,5.71462,6.94061,6.44778,6.39115,6.14065,6.04689,5.91749,6.90251,6.48813,6.10225,6.15034
2021,Rathmines 132_11kV,03MAY2020,MW,6.34135,5.71900,5.57557,5.80227,5.27601,4.74122,4.36684,4.13109,4.19309,3.93477,3.77582,3.68606,3.50990,3.39382,3.36242,3.33939,3.26256,3.29220,3.28943,3.35765,3.28992,3.31180,3.41257,3.63485,3.76604,4.01057,4.15942,4.21242,4.34507,4.49957,4.59365,4.80798,4.87710,4.79120,4.84516,4.94777,4.76411,4.70727,4.41833,4.15242,3.93746,3.55157,3.30653,3.05866,2.81764,2.64587,2.46275,2.42371,2.38223,2.35495,2.42803,2.45763,2.84102,2.37156,2.31865,2.45186,2.55998,3.11000,3.05123,3.99373,4.15243,4.64614,4.45873,4.75686,5.08882,5.49412,5.94370,6.25241,6.48211,7.02572,7.70752,7.90582,8.03983,7.91567,7.77227,7.54183,7.36024,7.21220,7.03251,6.86771,6.73909,6.54125,6.45093,6.18754,6.18296,5.92143,7.06273,6.58359,6.30401,6.09970,6.21120,6.01570,7.02347,6.48900,6.14763,6.27014
2021,Rathmines 132_11kV,04MAY2020,MW,6.29039,5.79674,5.67451,5.93429,5.39184,4.89998,4.63854,4.50587,4.17461,3.95911,3.73783,3.69697,3.58561,3.48019,3.41347,3.35461,3.42890,3.51671,3.52777,3.52163,3.68629,3.83793,4.08285,4.36598,4.68282,4.96528,5.38991,5.53138,5.52898,5.81656,5.83076,5.67942,5.63392,5.47572,5.18984,4.82782,4.33437,3.87948,3.58226,3.26780,3.06315,2.68384,2.55017,2.34077,2.12324,2.11107,2.01835,1.90620,2.00325,2.05501,2.05746,2.03861,2.01632,2.14003,2.08349,2.23283,2.32954,2.45461,2.68434,2.90834,3.14996,3.45953,3.67612,3.96659,4.40267,4.82085,5.35454,5.89451,6.51648,7.21634,7.83052,8.07491,8.16688,8.14033,7.83210,7.56380,7.31376,7.32288,7.06425,6.84395,6.62128,6.40002,6.23348,6.10035,5.89673,5.71256,5.78184,5.70049,7.11371,6.84243,6.52014,6.19633,6.83682,6.47129,6.70880,7.07972
2021,Rathmines 132_11kV,05MAY2020,MW,7.42727,6.96546,6.73073,6.71368,6.38066,5.79426,5.49006,5.58909,5.02671,4.64441,4.24213,4.02125,3.80175,3.73500,3.59593,3.40961,3.34458,3.27229,3.40834,3.51534,3.56056,3.57921,3.77655,4.06801,4.37755,4.60457,4.95090,4.97303,4.89366,5.11411,5.29788,5.26628,5.06266,4.33293,4.92835,5.25123,5.21713,5.01167,4.77824,3.63327,3.01019,3.15249,3.72946,4.35310,4.84324,5.06873,5.43034,5.50519,5.41219,4.95575,4.74053,4.61168,4.32127,3.97529,3.51743,3.82940,3.70226,3.74990,3.44945,4.27379,4.65481,4.68350,4.75008,4.84107,5.30532,5.60594,5.97145,6.75848,7.12668,7.67606,8.14907,8.35338,8.41769,8.29032,7.98387,7.59000,7.40579,7.24151,7.07455,6.77996,6.62442,6.42620,6.24405,6.14519,5.97939,5.78620,5.96485,5.86769,7.29097,6.95234,6.55243,6.37693,6.92039,6.67852,6.93081,7.30326
2021,Rathmines 132_11kV,06MAY2020,MW,7.68386,7.32221,7.11694,7.08070,6.59748,5.96211,5.66084,5.67311,5.18079,4.71651,4.34421,4.05934,3.82950,3.66249,3.50684,3.52657,3.47819,3.41705,3.45754,3.52004,3.57829,3.79752,3.90762,4.10389,4.50169,4.77492,5.15702,5.13064,4.97333,5.10013,5.15351,5.17962,5.06470,4.63016,4.36022,4.03243,3.67188,3.40142,3.17569,2.94403,2.68347,2.28952,2.04183,1.94652,1.85162,1.59560,1.60935,1.57447,1.49071,1.57610,1.68010,1.78746,1.67539,1.64336,1.64577,1.84614,1.96218,2.13208,2.32439,2.57174,2.83835,2.93820,3.01605,3.32000,3.74268,3.67116,4.02228,4.49853,5.06537,5.68589,6.29688,6.55965,6.68484,6.63524,6.43613,6.29113,6.15269,6.08444,5.88961,5.62565,5.45745,5.51590,5.31230,5.10295,5.07187,4.86041,5.07220,4.80844,6.27755,6.00509,5.78110,5.56871,6.13973,5.79928,6.08579,6.41651
2021,Rathmines 132_11kV,07MAY2020,MW,6.84015,6.31913,6.10861,6.17999,5.75775,5.14859,4.86491,4.85491,4.46718,4.00642,3.60275,3.33479,3.08328,2.95523,2.83408,2.75032,2.69386,2.69158,2.74857,2.83568,2.95919,3.04607,3.23854,3.53678,3.86057,4.11697,4.53680,4.41861,4.17200,4.19179,4.35447,4.40372,4.42168,4.15560,3.99934,3.98609,3.86366,3.69106,3.27073,3.14283,3.02609,2.60498,2.55604,2.51386,2.49750,2.21023,2.23356,2.55136,2.67122,2.70824,2.20736,1.83959,2.05521,2.12300,2.11404,2.56462,1.88413,2.66809,2.56121,2.60848,2.94709,3.05233,3.21182,3.44144,3.50775,3.89553,4.14253,4.60032,5.21290,5.81757,6.36754,6.46159,6.60713,6.51567,6.36454,6.15524,6.00986,5.95548,5.70332,5.50415,5.29385,5.22720,5.08665,4.94194,4.95407,4.70557,4.96946,4.84323,6.30099,5.96739,5.68535,5.54408,6.18452,5.93679,6.13707,6.40501
2021,Rathmines 132_11kV,08MAY2020,MW,6.80654,6.47185,6.20819,6.08790,5.73425,5.25533,4.89973,4.78742,4.33991,3.85400,3.52277,3.24334,3.11904,2.99780,2.87662,2.77508,2.67589,2.77896,2.73496,2.83465,2.89937,3.01131,3.16622,3.38850,3.65610,3.91703,4.12272,4.14955,3.86341,4.00303,3.97090,3.94100,3.86546,3.65608,3.44158,3.14912,2.89953,2.50797,2.25511,2.00040,1.74507,1.65822,1.51030,1.26669,1.27168,1.06545,0.98373,1.04614,1.07647,1.04439,1.13958,1.09224,0.96964,1.01783,1.05328,1.22743,1.31428,1.44134,1.69048,1.89104,2.13851,2.43044,2.64479,2.97313,3.21617,3.46488,3.78742,4.06932,4.32361,4.81783,5.29983,5.41095,5.50871,5.59523,5.43737,5.18998,5.03910,4.93244,4.72408,4.62245,4.47474,4.49295,4.31386,4.26913,4.07497,3.98610,4.26822,4.21234,5.64332,5.46681,5.08398,4.98131,5.70189,5.44744,5.67868,6.07658
2021,Rathmines 132_11kV,09MAY2020,MW,6.27088,5.93023,5.77075,5.74814,5.30492,4.75581,4.24924,3.86087,4.15677,3.90676,3.53355,3.22947,2.91550,2.76311,2.67874,2.65467,2.58536,2.57638,2.49603,2.53873,2.50266,2.56833,2.69187,2.70420,2.77948,2.96095,3.12370,3.30476,3.44789,3.65497,3.75110,3.84155,3.73193,4.42255,4.00115,3.35922,3.57428,3.43546,3.61701,4.01568,3.80331,3.74533,4.06912,3.59036,2.09005,1.78015,1.97301,3.28525,3.46551,2.99241,1.36670,1.45814,2.94416,3.45791,3.65855,2.90174,3.16472,3.40875,3.65924,3.85980,3.92177,4.27006,4.59209,4.42325,4.04666,4.35084,4.36407,4.47091,4.80377,5.31928,5.90675,5.97463,5.97906,5.87427,5.80043,5.53294,5.45027,5.35448,5.08557,4.73885,4.66357,4.57636,4.52564,4.35858,4.45440,4.23986,5.62210,5.23641,5.14010,5.00157,4.96478,4.88761,5.93361,5.52799,5.19007,5.39095
2021,Rathmines 132_11kV,10MAY2020,MW,5.67201,4.95669,4.95446,5.16132,4.52619,3.94059,3.53749,3.28953,3.39733,3.24555,3.02878,2.88063,2.74637,2.62726,2.64764,2.64936,2.65511,2.66473,2.61279,2.63908,2.72039,2.72471,2.67506,2.75378,2.89235,3.02329,3.25831,3.50378,3.67862,3.95376,4.09956,4.19891,4.43636,4.51508,4.60138,4.41931,4.29733,4.09704,3.87570,3.59462,3.41252,3.12200,2.75813,2.51795,2.42985,2.22689,1.97056,2.02556,1.98497,1.80736,1.80411,1.77644,1.69459,1.69105,1.71738,1.78249,1.76875,2.02467,2.20281,2.40907,2.77869,3.03814,3.31996,3.73167,4.19737,4.63725,5.13925,5.45183,5.76711,6.36703,6.99924,7.15573,7.24503,7.32189,7.17438,7.04366,6.96362,6.86848,6.67141,6.47620,6.36150,6.17136,6.08392,6.00784,5.96218,5.73480,6.89175,6.29813,6.13676,5.79727,5.79392,5.44369,6.33630,5.95209,5.49957,5.75030
