year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Raymond Terr NEW 33_11kV,01MAY2020,MW,10.55876,10.05249,9.93103,10.36433,9.89610,9.27526,9.04983,9.07418,8.20589,7.72034,7.20211,6.78397,6.51381,6.34138,6.12928,6.04073,6.08871,6.04535,6.02175,6.20883,6.47949,6.36009,6.64512,7.04492,7.51997,7.98547,8.45055,8.25613,8.12760,8.27475,8.33376,8.28083,8.19775,7.99986,7.89532,7.60970,7.49263,7.17891,8.12167,7.40675,6.96719,7.44171,7.11103,7.00352,7.45935,6.49120,6.49031,6.85750,6.27417,6.44480,6.81650,7.00707,7.04253,6.02118,6.15957,5.87066,6.07901,6.24061,6.25734,6.51353,6.76947,6.91302,7.13680,7.57331,7.97393,8.40831,9.04742,9.55283,9.84940,10.60784,11.18897,11.10259,11.27180,11.33324,11.11042,10.97950,10.81090,10.67988,10.50010,10.22279,9.83392,9.69000,9.43899,9.20797,8.99158,8.72418,8.84324,8.55295,10.41168,10.04720,9.70182,9.39701,9.93882,9.62946,10.20246,10.80139
2021,Raymond Terr NEW 33_11kV,02MAY2020,MW,10.97361,10.62336,10.52612,10.77197,10.31116,9.60721,9.06713,8.34067,8.72774,8.42677,7.86109,7.20460,6.93134,6.67607,6.38046,6.39031,6.32210,6.17536,5.85906,5.88667,6.03663,6.11198,6.13054,6.17892,6.36235,6.56745,6.79108,7.23515,7.25643,7.42069,7.63057,7.50958,7.47115,7.70334,7.66379,7.59403,7.45935,7.27591,7.43294,7.20762,7.27895,6.84475,6.39727,6.66039,6.40621,6.27702,6.19331,5.97251,6.00405,5.49902,5.40459,5.47819,5.50436,5.64616,5.55436,5.50134,5.65372,5.85590,6.14129,6.17279,6.32040,6.56822,7.40643,7.54618,7.71988,8.21553,8.66273,8.71171,9.28386,9.87447,10.43992,10.35865,10.46214,10.26430,10.05308,9.89748,9.71447,9.54108,9.30697,9.14592,8.91847,8.81245,8.66947,8.33347,8.22748,7.98171,9.65060,9.09603,8.48855,8.19690,8.51131,8.16598,9.42809,9.20180,8.61627,8.84238
2021,Raymond Terr NEW 33_11kV,03MAY2020,MW,8.98574,8.20943,8.39190,9.15022,8.36339,7.63788,7.25335,6.75741,6.99213,6.77457,6.39545,6.04876,6.02153,5.99845,5.73848,5.64851,5.72213,5.75322,5.69188,5.71118,5.87035,5.85087,5.89102,5.99857,6.27328,6.38173,6.35878,6.45411,6.60624,6.79332,6.92773,7.10039,7.35609,7.36619,7.29747,7.25993,7.20337,6.96057,6.67606,6.50545,6.37242,6.07590,5.74626,5.60605,5.40660,5.30241,5.32941,5.08927,5.02723,5.77118,5.52283,5.75827,5.42110,5.49197,5.26870,5.50513,5.39386,5.62763,5.83687,6.61464,6.78327,6.78489,6.99757,7.17529,7.48060,7.90527,8.40186,8.51762,9.20073,9.79385,10.44460,10.39089,10.33629,10.21320,10.16332,9.90728,9.66224,9.71168,9.46273,9.26294,9.22615,9.03948,8.92349,8.71880,8.52983,8.17810,9.76759,9.34334,8.81642,8.38678,8.76048,8.24903,9.40430,9.10423,8.51730,8.69641
2021,Raymond Terr NEW 33_11kV,04MAY2020,MW,8.76847,8.34508,8.36525,9.03567,8.37143,7.63268,7.44270,7.47049,7.06978,6.77201,6.45321,6.19472,6.09277,5.99302,5.92217,5.88086,6.02249,6.04100,6.10612,6.22229,6.49213,6.76387,7.03638,7.30305,7.89921,8.47780,9.10197,8.96737,9.12440,9.35911,9.48141,9.29678,9.27858,9.08290,8.85406,8.60347,8.42567,7.99656,7.82643,7.37792,7.13366,6.96583,6.70267,6.46263,6.35776,6.07683,5.87136,5.71928,5.74106,5.70988,5.52830,5.57071,5.37491,6.30796,7.06590,6.33210,6.29433,6.18394,6.45822,6.44099,6.49926,6.62807,6.96626,7.42124,7.89673,8.47215,8.89891,9.34792,9.98753,10.81112,11.47153,11.15417,11.04835,10.99937,10.65479,10.34700,10.24039,10.22253,10.02330,9.67571,9.45871,9.21608,8.90145,8.76310,8.52487,8.18735,8.33984,8.04806,9.74131,9.42297,9.12065,8.74002,9.28715,9.04577,9.64927,10.24190
2021,Raymond Terr NEW 33_11kV,05MAY2020,MW,10.56472,10.06982,10.00307,10.31048,9.90836,9.37014,8.99276,8.94300,8.55366,7.99303,7.33955,6.88196,6.55384,6.32905,6.20563,6.20800,6.04188,6.21128,6.31456,6.28824,6.57315,6.88345,7.24936,7.54004,8.07851,8.59704,9.08258,9.11335,9.28897,9.60859,9.94047,10.22014,10.10637,10.03475,10.03955,9.16804,8.62635,8.51317,9.56875,9.55000,9.88315,10.00940,10.15284,9.88516,8.29030,7.84219,9.24316,8.30681,7.37179,7.92249,8.05255,8.36750,8.87686,7.29507,8.82702,8.40148,6.92672,7.65586,7.96556,8.58103,8.37076,7.97237,7.93837,8.60873,8.60688,8.76787,9.06350,9.57751,10.22625,10.77759,11.39822,11.15665,11.11453,10.69063,10.40340,10.18377,10.02529,9.97104,9.54529,9.38113,9.27389,9.04397,8.69956,8.52049,8.26307,7.94273,7.95447,7.88765,9.57692,9.11310,8.84823,8.42716,8.97610,8.68474,9.36927,10.02042
2021,Raymond Terr NEW 33_11kV,06MAY2020,MW,10.06844,9.83223,9.78620,10.04617,9.61209,8.99089,8.72927,8.68377,8.12769,7.64126,7.11983,6.84474,6.56475,6.25991,5.94218,5.94313,5.96886,6.03562,6.29025,6.38750,6.49474,6.60673,7.00032,7.23850,7.80827,8.39886,8.91494,8.66005,8.54528,9.03151,9.40782,9.40506,9.63829,9.59995,9.55881,9.57817,9.76167,9.48272,9.52855,9.18572,9.16491,9.10031,8.88928,8.49299,7.85442,7.27993,7.03807,6.42640,6.17108,6.10157,6.23010,6.05531,6.00825,5.94615,6.09393,6.20055,6.19700,6.30910,6.37639,6.51685,6.71780,7.01974,7.41497,7.53979,7.85849,7.94363,8.38996,8.84201,9.37752,9.92223,10.41103,10.44426,10.30401,10.21367,10.04201,9.94854,9.73304,9.59045,9.31406,9.15431,8.85205,8.67686,8.60055,8.33697,8.08914,7.74209,7.94609,7.89324,9.69417,9.39450,9.02819,8.77967,9.35784,8.94901,9.53461,10.22268
2021,Raymond Terr NEW 33_11kV,07MAY2020,MW,10.55659,9.96446,9.91498,10.21648,9.75928,9.21902,8.82135,8.93423,8.41791,7.90617,7.32574,6.93119,6.63371,6.43654,6.29115,6.21057,6.17843,6.05858,6.09129,6.38668,6.76154,6.81555,7.32056,7.61051,8.21388,8.76060,9.33201,9.33805,9.29040,9.47260,10.06822,10.38946,10.28771,9.78414,9.85482,10.02620,9.75761,9.58923,9.41980,9.31101,9.19007,8.69969,7.86298,7.76731,7.61844,7.67224,8.04411,8.17235,8.04973,7.93791,7.95022,7.52995,7.85064,7.70893,7.90522,7.93095,7.44017,7.31772,6.98306,6.95960,7.48634,7.23666,7.63159,7.60664,7.78775,7.84079,8.38314,8.91974,9.41643,9.88654,10.60558,10.39928,10.34976,10.53554,10.31469,9.95482,9.53788,9.50202,9.32463,9.15827,8.89078,8.63222,8.61626,8.45913,8.29736,8.00167,8.35705,8.11822,9.86781,9.51801,9.15656,8.75781,9.35094,9.14353,9.47456,10.00133
2021,Raymond Terr NEW 33_11kV,08MAY2020,MW,10.35703,9.97218,9.85500,10.17790,9.77533,9.21082,8.78071,8.97897,8.43495,7.85562,7.40619,6.99199,6.62987,6.36142,6.23286,6.11261,6.02670,6.02922,6.43003,6.30125,6.44007,6.75067,7.09269,7.21571,7.86982,8.24326,8.59356,8.62280,8.67261,8.64831,8.66395,8.65725,8.48018,8.25958,7.95404,7.73930,7.46902,7.07513,6.70327,6.37126,6.34346,5.92672,5.72883,5.60540,5.68096,5.57907,5.49771,5.36078,5.28024,5.29778,5.26085,5.41639,5.58337,5.49848,5.62711,5.83372,6.01773,6.05232,6.24192,6.51817,6.73378,6.99592,7.31828,7.36555,7.63100,7.73280,7.98839,8.31896,8.67719,8.90002,9.31066,9.27047,9.28102,9.25918,8.92373,8.79646,8.60392,8.61261,8.43477,8.53278,8.35384,7.92843,7.72007,7.61827,7.52348,7.36289,7.53844,7.51353,9.30100,8.85828,8.63812,8.42491,8.97745,8.64804,9.37590,10.08422
2021,Raymond Terr NEW 33_11kV,09MAY2020,MW,10.09753,9.65509,9.53208,9.87018,9.64143,8.95764,8.38186,7.70329,8.12787,7.74227,7.19167,6.81875,6.67783,6.45883,6.04230,5.92967,5.72386,5.70681,5.85747,5.73565,5.69947,5.75183,5.78103,5.95763,6.56364,6.65793,6.80694,7.26790,7.33077,7.58908,7.56716,7.86380,8.10547,7.56380,7.29501,7.17967,7.09057,6.39669,6.55188,7.99942,7.61706,7.76109,7.72190,7.30567,7.56462,6.59737,6.29197,6.72912,5.69368,5.38719,6.33861,6.48179,7.16852,7.59432,7.50927,7.72331,7.87809,7.86868,7.98917,7.98492,7.90033,8.00756,8.29032,8.35800,8.41613,8.17588,8.06362,8.03162,8.37970,8.93525,9.38851,9.13591,9.31076,9.12971,8.82755,8.69999,8.70592,8.70223,8.30403,8.13193,7.98216,7.97408,7.92233,7.81315,7.67368,7.56077,9.37758,8.81202,8.24795,7.81851,8.21701,7.94035,9.31855,8.95807,8.30592,8.52360
2021,Raymond Terr NEW 33_11kV,10MAY2020,MW,8.66258,8.13447,8.38500,8.93707,8.13209,7.43075,6.89000,6.62898,6.80443,6.47271,6.25350,6.10287,5.74229,5.72177,5.64535,5.53982,5.58980,5.56739,5.59610,5.64599,5.71868,5.70637,5.72918,5.72512,6.14746,6.34307,6.37542,6.64501,7.02204,7.04207,7.00315,7.40424,7.52735,7.75314,7.87293,7.60018,7.48930,7.30105,7.13226,7.00585,6.52878,6.38425,6.04636,5.79863,5.68766,5.44657,5.27827,5.12863,5.03079,5.04363,4.87713,4.83457,4.75989,4.65799,4.79855,4.90987,5.15558,5.31509,5.38369,5.67342,5.87088,6.13562,6.70899,7.07150,7.52885,8.10452,8.39792,8.56811,9.28479,9.90823,10.50029,10.54644,10.66526,10.61246,10.29941,10.23223,10.26367,10.26065,10.24278,10.06754,9.90464,9.66811,9.68574,9.30678,9.19881,9.09505,10.61381,10.09431,9.52547,8.97480,9.17570,8.81455,9.99851,9.62559,9.00217,9.28014
