year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Revesby 132_11kV,01MAY2020,MW,21.17692,19.99101,18.59804,19.20041,19.03099,17.65684,16.24505,15.24738,13.96735,13.06381,12.36732,11.97202,11.67083,11.29436,11.16259,11.08729,11.31318,11.06847,11.25671,11.36965,11.70848,12.00967,12.59321,12.95086,13.62852,14.09912,14.88973,15.60504,14.83325,15.19091,15.92504,16.30152,16.43329,16.22622,16.30152,15.81210,15.15326,14.64501,14.70149,14.38148,13.87323,13.27087,13.60970,14.30618,13.06381,13.91088,13.23322,12.96969,12.87557,12.70615,12.81909,13.00733,13.36499,12.25438,12.14143,12.00967,12.34850,12.63085,13.23322,14.56972,14.53207,14.77678,14.85208,15.30385,16.18858,17.29919,18.54157,19.80277,20.85691,21.98635,23.62403,24.77229,25.09229,25.16759,24.88523,24.82876,24.65934,24.37698,23.73697,23.66168,23.49226,22.96519,22.23106,21.83575,21.57222,20.95103,21.00750,19.87807,19.63336,20.64985,20.61220,23.41696,22.41930,21.32751,23.00284,23.28520
2021,Revesby 132_11kV,02MAY2020,MW,22.45694,21.00750,19.72748,20.32984,20.25454,18.86157,17.18624,15.92504,14.75796,13.83559,13.13910,12.57438,12.06614,11.57671,11.14376,10.89905,10.84258,11.08729,11.04964,10.97435,11.16259,11.21906,11.03082,11.33200,11.25671,11.55789,12.00967,12.38614,12.04731,12.16026,12.55556,12.68733,13.19557,13.02616,13.15792,14.02383,14.88973,14.94620,14.68266,13.98618,13.13910,12.72497,12.44262,12.21673,12.14143,12.00967,11.74613,11.67083,11.67083,11.59554,11.53907,11.38848,11.38848,11.29436,11.18141,11.36965,11.40730,11.61436,11.74613,11.97202,12.40497,12.81909,13.10145,13.74147,14.79561,15.69915,16.58388,17.93920,18.65451,19.93454,21.47810,22.40047,23.04049,23.15343,23.05931,22.72048,22.21223,21.85458,21.55340,21.04515,20.61220,20.17925,19.80277,19.55806,19.25688,19.20041,18.82393,18.35333,18.18391,19.55806,19.99101,23.02166,22.30635,21.36516,22.60754,22.72048
2021,Revesby 132_11kV,03MAY2020,MW,22.36282,21.30868,19.93454,20.31102,20.29219,18.69216,17.41213,16.26387,15.07797,14.04265,13.27087,12.51791,12.12261,11.40730,11.16259,10.88023,10.57905,10.44728,10.57905,10.54140,10.54140,10.54140,10.54140,10.54140,10.91788,11.06847,11.20024,11.82143,11.44495,11.93437,12.25438,12.51791,12.85674,13.38381,13.53440,13.59087,13.44028,13.49676,13.44028,13.10145,12.93204,12.57438,12.06614,11.84025,11.57671,11.44495,11.46377,11.33200,11.53907,11.14376,11.12494,11.08729,10.86141,10.65434,10.69199,10.78611,10.54140,10.72964,11.08729,11.08729,11.59554,11.85907,12.38614,13.04498,13.72264,14.62619,15.64268,16.69682,17.61920,18.88040,20.49926,21.70399,22.06164,22.09929,22.00517,22.08047,21.74164,21.23339,20.80044,20.25454,20.25454,20.25454,19.76512,19.42629,18.99334,18.40980,18.08979,17.44978,17.43096,18.80510,18.76745,21.76046,21.08280,20.25454,21.74164,21.79811
2021,Revesby 132_11kV,04MAY2020,MW,21.55340,20.53690,19.20041,19.76512,19.78395,18.39098,17.31801,15.98151,14.87090,13.91088,13.15792,12.38614,12.04731,11.52024,11.25671,11.01200,10.95553,10.80493,11.06847,11.33200,11.50142,12.19790,12.63085,12.91321,13.96735,14.70149,15.98151,17.63802,17.61920,18.08979,18.65451,19.48276,19.59571,19.35100,19.36982,18.20274,16.60270,16.43329,15.49209,14.92737,15.36032,15.45444,15.20973,15.11561,14.85208,14.26854,14.21206,13.23322,13.30852,14.83325,13.45911,12.51791,13.25204,12.17908,11.72731,11.57671,12.53674,12.61203,13.28969,13.64735,13.25204,13.64735,14.49442,15.19091,15.81210,16.92271,18.20274,19.95336,21.38398,22.94637,24.58405,25.60054,25.71348,25.82643,25.11112,24.77229,24.67817,24.43346,23.98168,23.20990,22.79578,22.11811,21.25221,21.21457,20.78161,19.78395,19.29452,19.12511,18.88040,19.76512,19.48276,22.49459,21.81693,20.91338,22.32518,22.30635
2021,Revesby 132_11kV,05MAY2020,MW,21.55340,20.57455,19.29452,19.85924,19.67100,18.22156,16.96036,15.88739,14.73913,13.77911,12.91321,12.34850,11.80260,11.31318,11.21906,10.84258,10.89905,11.03082,11.38848,11.38848,11.55789,11.97202,12.36732,12.74380,13.02616,13.45911,14.34383,15.19091,14.36266,15.02149,15.94387,16.45211,16.84741,17.03565,16.79094,16.43329,16.03799,15.36032,15.09679,14.77678,14.68266,13.96735,13.00733,14.02383,13.59087,14.49442,13.83559,13.76029,14.19324,14.13677,13.44028,12.59321,12.00967,11.76495,11.44495,11.52024,11.38848,11.12494,11.72731,12.48026,12.42379,12.59321,13.28969,13.76029,14.41913,15.22856,16.07563,17.01683,18.18391,19.57688,21.30868,22.28753,22.83342,22.75813,22.00517,21.81693,21.49692,21.02633,20.80044,20.59338,20.27337,19.80277,19.23805,19.20041,18.86157,18.50392,17.97685,17.73214,17.52508,18.44745,18.33450,21.45928,20.81926,19.93454,21.45928,21.51575
2021,Revesby 132_11kV,06MAY2020,MW,20.96985,20.02866,18.54157,19.21923,19.44512,18.10862,16.56506,15.39797,14.30618,13.49676,12.61203,12.12261,11.50142,11.12494,11.08729,10.88023,10.67317,11.10612,11.18141,11.35083,11.52024,12.14143,12.66850,13.15792,14.00500,14.56972,15.58621,16.58388,15.96269,16.45211,16.77212,16.77212,16.96036,16.65918,16.56506,15.92504,15.39797,15.26620,14.81443,14.34383,13.68499,13.21440,13.10145,12.55556,12.42379,12.12261,12.00967,11.76495,11.48260,11.25671,11.42612,11.46377,11.18141,11.27553,11.23788,11.27553,11.08729,11.08729,11.46377,12.34850,12.36732,12.98851,13.57205,13.89206,14.43795,15.02149,15.90622,16.79094,18.08979,19.42629,20.93221,21.76046,22.17459,22.04282,21.44045,21.32751,21.19574,20.89456,20.53690,20.29219,19.99101,19.59571,18.89922,18.80510,18.33450,18.07097,17.92038,17.50625,17.44978,18.31568,18.57922,21.38398,20.72514,19.72748,21.51575,21.53457
2021,Revesby 132_11kV,07MAY2020,MW,20.70632,19.61453,18.57922,19.08746,18.95569,17.69449,16.41446,15.30385,14.40030,13.32734,12.48026,12.00967,12.27320,12.38614,12.36732,12.57438,12.55556,12.55556,12.57438,12.74380,13.21440,13.68499,13.40264,13.44028,14.81443,15.04032,15.39797,17.54390,16.79094,16.64035,17.26154,17.69449,19.42629,19.57688,20.14160,19.93454,19.46394,18.99334,18.71098,18.40980,17.84508,17.31801,15.37915,15.47327,15.88739,15.41680,14.83325,14.81443,14.23089,12.89439,13.47793,13.44028,13.45911,13.81676,12.74380,11.78378,11.44495,11.63319,11.89672,12.16026,12.49909,13.23322,13.60970,14.19324,14.88973,15.71798,16.32034,17.28036,18.03332,19.06864,20.19807,21.06397,20.95103,21.32751,20.93221,20.42396,20.06631,20.16043,19.35100,19.50159,19.08746,18.50392,17.73214,17.76979,17.41213,16.96036,17.01683,16.73447,16.47094,17.93920,17.82626,20.91338,20.14160,19.33217,20.72514,20.91338
2021,Revesby 132_11kV,08MAY2020,MW,20.29219,19.16276,18.07097,18.67334,18.56039,17.05448,15.77445,14.75796,13.72264,12.72497,12.02849,11.50142,10.91788,10.71081,10.50375,10.33434,10.33434,10.52257,10.54140,10.69199,10.95553,11.48260,11.95319,12.40497,13.27087,13.57205,14.56972,16.20740,15.52974,16.16975,16.28270,16.58388,16.33917,15.43562,14.90855,14.30618,15.00267,15.15326,14.79561,14.60737,13.02616,12.63085,12.57438,11.99084,11.82143,12.36732,12.57438,12.57438,12.29202,12.48026,11.95319,11.33200,11.29436,12.17908,11.12494,10.80493,10.72964,11.06847,11.27553,11.48260,12.21673,12.59321,12.85674,13.57205,13.76029,14.26854,15.36032,15.96269,16.28270,17.07330,18.46627,18.97452,19.06864,19.03099,18.59804,18.37215,18.07097,18.12744,17.78861,17.61920,16.88506,16.47094,15.94387,15.98151,16.03799,15.68033,15.58621,15.20973,15.49209,16.62153,16.65918,19.46394,18.86157,18.16509,19.80277,20.12278
2021,Revesby 132_11kV,09MAY2020,MW,19.67100,18.42862,17.26154,17.90155,17.93920,16.56506,15.30385,14.19324,13.17675,12.46144,11.72731,11.14376,10.91788,10.56022,10.24022,10.18374,10.16492,10.35316,10.37198,10.37198,10.40963,10.37198,10.25904,10.46610,10.72964,10.78611,11.31318,11.50142,11.48260,12.10378,12.42379,12.85674,12.70615,12.81909,13.04498,12.78145,13.40264,14.70149,14.51325,15.05914,14.51325,14.28736,14.00500,13.53440,13.34616,11.50142,11.16259,10.74846,10.71081,10.93670,10.95553,10.78611,11.82143,11.61436,10.07080,10.65434,12.76262,12.81909,12.81909,12.63085,12.63085,12.80027,12.42379,12.74380,13.51558,14.09912,14.83325,15.45444,16.33917,16.80977,17.93920,18.37215,18.56039,18.35333,17.88273,17.86391,17.26154,17.12977,16.54623,16.16975,15.51092,15.37915,15.13444,14.77678,14.77678,14.51325,14.40030,14.40030,14.47560,15.94387,16.43329,19.57688,19.27570,18.37215,20.16043,20.42396
2021,Revesby 132_11kV,10MAY2020,MW,20.04748,18.86157,17.93920,18.40980,18.56039,17.22389,15.71798,14.49442,13.45911,12.57438,12.02849,11.46377,11.18141,10.76729,10.31551,10.10845,9.88256,9.76962,9.60020,9.76962,9.76962,9.76962,9.76962,9.76962,10.16492,10.46610,10.95553,11.38848,11.06847,11.68966,12.31085,12.57438,12.78145,13.23322,13.79794,14.06147,14.11794,14.00500,13.87323,13.77911,13.34616,13.10145,13.04498,12.51791,12.23555,11.93437,11.80260,11.29436,11.27553,11.04964,10.99317,10.80493,10.63552,10.35316,10.39081,10.25904,10.44728,10.57905,10.65434,10.88023,11.29436,11.59554,12.25438,12.80027,13.49676,14.45678,15.56739,16.75329,17.58155,18.86157,20.00983,20.95103,21.53457,21.83575,22.09929,21.91105,22.21223,21.81693,21.51575,21.25221,21.17692,21.00750,20.68750,20.34866,20.04748,19.42629,19.01217,18.52274,18.22156,19.23805,19.36982,22.19341,21.55340,20.57455,22.09929,22.47577
