year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Rockdale 132_11kV,01MAY2020,MW,16.98173,16.47821,15.84318,15.34435,14.74605,14.18392,13.43281,13.02190,12.78189,12.38215,12.04937,11.82958,11.62953,11.53471,11.53424,11.55784,11.67977,11.79818,11.84041,12.05966,12.25919,12.59386,12.91978,13.24111,13.99813,14.54473,15.17904,15.73492,16.04983,16.31352,17.10974,17.50557,17.82563,17.92864,18.39985,18.32877,18.30502,18.09089,18.05135,18.17259,17.86815,18.02794,17.85137,18.00132,18.00242,17.92168,17.71709,17.79060,18.12880,17.98284,17.94679,18.07859,17.96178,18.49530,18.15010,18.34200,17.87803,18.49271,18.60653,18.42254,18.25483,18.52826,19.00960,19.23046,19.65756,20.32842,20.98875,21.77999,22.28193,23.32327,23.64769,24.41330,24.63967,24.99647,24.85143,24.66466,24.54579,24.15233,23.88727,23.40690,23.39510,23.24185,22.73027,22.12914,21.98325,21.75083,21.49773,20.98037,21.13673,20.82117,20.32888,19.59899,18.80837,18.30646,18.82405,18.39109
2021,Rockdale 132_11kV,02MAY2020,MW,18.40288,17.94931,17.21137,16.60563,15.98292,15.23614,14.58875,14.00993,13.60088,13.16631,12.84740,12.54522,12.36292,12.21390,12.05486,11.98410,12.08786,12.04422,12.02126,11.99042,12.30820,12.44380,12.44621,12.60438,13.10950,13.19085,13.49415,13.84450,13.89208,14.30075,14.70700,14.99548,15.32319,15.85854,15.95707,16.30793,17.18072,17.26120,17.53991,17.44693,17.48343,17.29030,17.36721,17.46290,17.64873,17.39552,17.47583,17.45717,17.30138,17.17776,17.15752,17.09617,17.15307,17.05192,17.23322,17.38217,17.28295,17.14688,17.29917,17.30353,17.54797,17.83757,18.17830,18.55258,19.04807,19.51564,20.11452,20.95161,21.83315,22.74717,23.20080,23.87987,24.07562,24.26907,24.30011,24.32407,24.05974,23.67190,23.33454,22.87662,22.77517,22.95514,22.51137,21.98680,21.89470,21.48824,21.40214,20.89949,21.12484,20.86332,20.30840,19.54313,19.17241,18.77153,19.30246,18.83354
2021,Rockdale 132_11kV,03MAY2020,MW,18.83823,18.28704,17.68692,17.06056,16.67070,15.80970,15.15016,14.45725,14.14034,13.64660,13.31089,12.87113,12.62789,12.50843,12.32987,12.14433,12.24373,12.29414,12.18303,12.18745,12.38553,12.37439,12.39401,12.39655,12.67160,12.71236,12.96517,13.39882,13.69168,14.10394,14.44759,14.71797,15.13096,15.36226,15.65639,15.85861,16.15712,16.56540,16.81260,16.96782,17.02429,17.01785,16.67605,16.87583,16.89973,16.95300,17.03783,17.12417,17.06283,17.17036,17.02197,17.09064,17.00914,16.87853,16.89357,16.79844,16.65106,16.65485,16.67239,16.88681,17.20969,17.38703,17.75334,18.17817,18.72611,19.16558,19.74505,20.73982,21.41779,22.54783,23.52902,24.27665,24.48767,24.50330,24.48419,24.35663,24.29826,23.65691,23.25565,23.18310,23.03983,23.15536,22.62959,21.93940,21.82562,21.57203,21.33871,20.60574,20.68319,20.41944,19.91033,19.25470,18.54311,17.74178,18.17545,17.78066
2021,Rockdale 132_11kV,04MAY2020,MW,17.89957,17.51585,16.89264,16.30319,15.71689,15.08710,14.46728,13.96916,13.50082,13.13725,12.90364,12.56922,12.27906,12.05183,12.12967,12.10487,12.18618,12.34974,12.49776,12.55237,13.00688,13.21408,13.55040,14.03807,14.67723,15.09344,15.66732,16.05031,16.76521,17.26465,18.11251,18.55223,18.99023,19.17537,19.35308,19.32890,19.36203,19.44146,18.84873,18.82554,18.61023,18.33574,18.21280,18.44195,18.64720,18.72867,18.65481,18.41610,18.51935,18.93845,18.77990,18.61817,18.41074,18.47349,18.27188,18.40952,18.67690,18.97258,18.66524,18.96180,18.73094,18.87895,19.25839,19.73441,20.11696,20.74997,21.62603,23.03931,23.82266,24.49334,25.45821,26.01544,26.19086,26.42267,26.29945,25.93589,25.62116,25.20322,24.73548,24.36975,24.22874,24.21077,23.76006,22.99868,22.59425,22.03714,21.48884,20.79243,20.82503,20.45993,19.83407,19.06261,18.28915,17.55598,18.15645,17.74451
2021,Rockdale 132_11kV,05MAY2020,MW,17.71320,17.26153,16.54297,15.82020,15.48724,14.82744,14.24244,13.78078,13.39034,12.94441,12.49439,12.27444,12.15565,12.01986,11.87738,11.79105,11.88335,12.04114,12.07334,12.20354,12.63971,12.93629,13.21701,13.66172,14.35508,14.97485,15.54479,15.77058,16.46323,17.22857,17.72583,18.44187,18.86357,19.24156,19.63925,19.71680,19.75868,19.53686,19.12605,18.99608,18.88932,19.09360,18.71264,18.90365,18.17252,18.47477,18.28083,18.11416,18.32659,19.00468,19.00069,19.19989,19.09951,18.71511,18.14500,18.08264,18.25162,18.05653,18.21917,18.11971,18.26143,18.52944,18.72214,19.07416,19.17318,19.58875,20.61693,21.53934,22.17861,23.06003,23.99085,24.61379,24.88001,25.19343,25.00207,24.96228,24.50955,23.96511,23.51749,23.26207,23.18286,23.21936,22.81358,22.18758,21.70685,21.23053,20.77420,20.21511,20.23891,19.91020,19.49882,18.74549,18.05675,17.30170,17.79323,17.38779
2021,Rockdale 132_11kV,06MAY2020,MW,17.49380,16.98510,16.17099,15.66531,15.20986,14.54496,13.96066,13.46036,13.14487,12.85555,12.48787,12.23640,12.02010,11.90599,11.92119,11.87514,12.11059,12.24389,12.36552,12.41116,12.94333,13.21474,13.33066,13.89251,14.54647,15.04473,15.65668,16.17255,16.64510,17.15997,17.80676,18.27105,18.36290,18.61795,18.77421,18.86115,18.75195,18.37751,18.41567,18.64108,18.33376,18.17198,17.96786,17.91053,17.85859,17.83082,17.87201,17.84915,17.74674,17.75445,17.82743,17.83052,17.43753,17.42082,17.38521,17.30240,17.40080,17.20369,16.56411,16.60754,16.73788,16.90240,17.15493,17.49761,17.69279,18.20621,18.72441,19.39211,19.76626,20.68032,21.26874,21.79903,21.92756,22.08718,22.02269,21.96086,21.71458,21.19244,20.86719,20.74056,20.67621,20.54260,19.93592,19.39063,19.37924,19.05876,18.80757,18.04762,18.21734,18.01176,17.35671,16.78614,16.22902,15.59718,15.93009,15.43036
2021,Rockdale 132_11kV,07MAY2020,MW,15.53105,15.06165,14.42277,13.98016,13.65686,13.20391,12.55367,12.38573,11.94481,11.67342,11.42653,11.19081,11.02487,10.90069,10.94206,10.84260,10.92241,10.95281,11.23405,11.31496,11.62467,11.93032,12.18617,12.51932,13.26104,13.63480,14.11723,14.56459,14.77901,15.40983,16.05465,16.55091,16.88203,17.37102,17.93433,18.12236,18.07227,18.11306,17.91901,17.84374,18.04392,17.99556,17.77983,17.35482,17.22691,17.19702,17.26810,17.33116,17.29200,17.33688,17.38079,17.06511,17.02524,17.03226,17.33457,16.76093,16.61525,16.73912,16.71539,16.50630,16.51383,17.06162,17.08103,17.35656,17.60249,18.04715,18.78121,19.39026,19.84544,20.51520,20.86389,21.14238,21.41794,21.58922,21.56554,21.17186,20.95532,20.67463,20.33911,19.99003,19.81614,19.81113,19.31162,18.95030,18.79030,18.41714,18.02646,17.59843,17.84014,17.57895,17.03047,16.25112,15.81208,15.17387,15.51959,15.25695
2021,Rockdale 132_11kV,08MAY2020,MW,15.31666,14.79514,14.33840,13.77314,13.29965,12.78749,12.40904,12.00110,11.70208,11.36741,11.12272,10.95866,10.80559,10.66694,10.63381,10.74098,10.80037,10.94946,11.03242,11.14194,11.49386,11.73417,11.90158,12.25054,12.85552,13.26206,13.68507,14.20719,14.60625,15.12992,15.44428,15.69704,16.11966,16.37054,16.48013,16.37492,16.46981,16.45487,16.38098,16.31199,16.11816,16.21010,16.14425,16.43542,16.31922,16.26955,16.06895,16.08544,16.26803,16.34964,16.18083,16.36531,16.36401,16.25925,16.43306,16.44553,16.52757,16.52561,16.51795,16.71438,16.74151,16.85475,17.01411,17.25138,17.48005,17.61027,18.09355,18.54616,18.82039,19.29604,19.58762,20.08612,19.96256,19.91933,19.76758,19.76954,19.53389,19.13243,18.85729,18.33782,18.47948,18.39257,17.97430,17.48444,17.26485,16.97456,16.71404,16.43617,16.71910,16.63687,16.23064,15.71908,15.30664,14.74107,15.40246,15.09992
2021,Rockdale 132_11kV,09MAY2020,MW,15.23280,14.72539,14.27264,13.58200,13.15298,12.64860,12.21544,11.79889,11.55448,11.29222,11.06626,10.75337,10.61605,10.56283,10.41379,10.32287,10.37748,10.43365,10.39112,10.44296,10.57824,10.68241,10.83379,10.97777,11.36323,11.51404,11.64209,11.73189,12.01771,12.39481,12.82246,13.26990,13.52823,13.82832,14.10059,14.43091,14.78013,15.42481,14.89182,16.02947,16.62016,16.45920,16.14040,16.20936,16.17227,16.18142,15.36666,15.48862,15.39451,15.36107,15.39736,15.33201,15.72755,16.30253,16.25019,15.46039,15.28832,15.61106,15.60772,15.36596,15.44079,15.98034,15.78675,16.15070,16.34557,16.77065,17.15682,17.68113,18.09516,18.62835,18.97480,19.39455,19.56564,19.48785,19.46987,19.16194,18.75038,18.38254,18.05343,17.89981,17.89544,17.55526,17.34101,16.94479,16.93434,16.77931,16.47415,16.16638,16.60652,16.49262,16.00302,15.59015,15.17404,14.75209,15.37084,15.08483
2021,Rockdale 132_11kV,10MAY2020,MW,15.14942,14.77782,14.24544,13.64505,13.34470,12.84094,12.41008,11.98177,11.64264,11.22930,11.09390,10.86746,10.68742,10.61748,10.48109,10.40240,10.38253,10.44228,10.49374,10.42907,10.62025,10.68559,10.70156,10.81305,11.00817,11.05413,11.18489,11.51227,11.79537,12.08266,12.50514,12.98423,13.46523,13.76182,14.03834,14.24548,14.58196,14.80290,14.90039,15.04371,15.16832,15.23501,15.41297,15.49994,15.44714,15.34857,15.39665,15.28687,15.26235,15.30281,15.19656,15.14188,14.97805,14.69432,14.85944,14.92108,14.79787,14.95720,15.09112,15.08776,15.13329,15.49012,15.72732,16.20398,16.74982,17.16805,17.68524,18.45868,19.08477,19.79941,20.43189,20.86146,21.12762,21.28379,21.44632,21.43360,21.14946,20.73090,20.60835,20.42569,20.51238,20.75822,20.44236,19.93523,19.92047,19.59485,19.13542,18.48841,18.64769,18.27717,17.75820,17.09824,16.52766,15.90017,16.29614,15.94480
