year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Rothbury 132_11kV,01MAY2020,MW,2.74086,2.80911,2.75304,2.61148,2.51154,2.39275,2.34185,2.34185,2.34185,2.32880,2.16253,2.09692,2.11651,2.17215,2.17215,2.17215,2.17020,2.21535,2.30791,2.30791,2.34637,2.25584,2.15784,2.25457,2.41276,2.47760,2.47760,2.45111,2.43136,2.30433,2.15360,2.10388,2.13025,2.10427,1.82114,1.44539,1.35264,1.13507,0.95872,0.96408,0.96695,1.14836,1.07905,1.15614,1.44269,1.13553,1.03520,1.44036,1.23287,1.54627,1.39060,1.19026,1.15694,0.88316,0.62675,0.84446,0.85604,0.82323,0.98170,1.17000,1.39259,1.76007,2.03527,2.26512,2.36732,2.54548,2.65657,2.62439,2.80134,2.92527,3.13097,3.19034,3.35461,3.49187,3.47583,3.21920,3.23990,3.22428,3.17433,3.05458,3.05458,3.00575,2.88488,2.88488,2.88488,2.88488,2.72589,2.59658,2.54548,2.69648,2.71518,2.60979,2.77079,2.88488,2.81982,2.70172
2021,Rothbury 132_11kV,02MAY2020,MW,2.77743,2.67932,2.54548,2.43120,2.47082,2.45758,2.37578,2.25602,2.04731,2.07648,2.04883,2.14221,2.09978,2.17215,2.17215,2.17215,2.32374,2.34185,2.30487,2.17215,2.17215,2.17215,2.17932,2.23755,2.17215,2.27395,2.22719,2.40476,2.51154,2.40287,2.15178,2.00245,1.94833,1.77296,1.66305,1.60119,1.45074,0.96063,0.88245,0.79733,0.68068,0.53500,0.40435,0.43730,0.40294,0.41260,0.46534,0.45409,0.44576,0.18759,0.26110,0.39917,0.59691,0.57354,0.67076,1.27828,1.07914,1.00744,1.34815,1.60801,1.85748,2.04469,2.27607,2.38369,2.40972,2.46110,2.61336,2.76967,2.78306,2.81419,2.96409,3.12246,3.17245,3.29216,3.16508,3.14494,3.09810,3.00079,3.08401,2.91882,2.91882,2.77592,2.74912,2.74912,2.74912,2.63729,2.57942,2.57942,2.57942,2.42988,2.44520,2.57942,2.57942,2.57942,2.50772,2.48664
2021,Rothbury 132_11kV,03MAY2020,MW,2.52739,2.46441,2.51702,2.29603,2.24323,2.20609,2.20609,2.20609,2.20609,2.20609,2.31547,2.37578,2.36538,2.20609,2.11893,2.07987,2.20609,2.05715,2.00245,2.00245,2.00245,2.07623,2.20609,2.20609,2.20609,2.20609,2.23871,2.34866,2.45666,2.20609,2.13771,2.17389,2.16464,1.86217,1.70963,1.53094,1.37585,1.22108,0.84645,0.88243,0.85040,0.78983,0.71274,0.57627,0.62769,0.39276,0.40842,0.38810,0.51722,0.37883,0.35412,0.49511,0.53640,0.60410,0.68884,0.85221,0.79912,1.03065,1.02179,1.08908,1.35102,1.60350,1.69699,1.69699,1.81985,2.18195,2.31981,2.52725,2.61939,2.68807,2.84437,2.88488,3.04798,3.09040,3.18433,3.03289,2.90677,2.88488,2.93581,2.88488,2.88488,2.85580,2.71518,2.84418,2.89565,2.88488,2.74704,2.62653,2.54548,2.54548,2.54548,2.43796,2.51963,2.53040,2.52135,2.38730
2021,Rothbury 132_11kV,04MAY2020,MW,2.54548,2.45401,2.40143,2.54548,2.42881,2.41575,2.37578,2.37578,2.33545,2.20609,2.20609,2.23411,2.17215,2.17215,2.17215,2.17215,2.17215,2.17215,2.17215,2.17215,2.17215,2.17215,2.38981,2.51493,2.68124,2.68124,2.61996,2.51154,2.67599,2.67728,2.50439,2.34185,2.36312,2.33504,2.08069,1.86594,1.83236,1.80785,1.38282,1.31725,1.09216,0.63200,0.51394,0.60171,0.64645,0.67880,0.67448,0.34200,0.47516,0.48776,0.43069,0.63788,0.59191,0.57683,0.82096,0.73764,0.87630,1.00190,1.11449,1.36065,1.54102,1.73773,1.71061,1.95418,2.00633,2.17818,2.34185,2.39195,2.66432,2.79668,2.97292,3.04831,3.10647,3.20241,3.12771,2.94487,2.95955,2.89747,2.78420,2.85094,2.75981,2.64730,2.64730,2.71479,2.81476,2.81700,2.80018,2.61637,2.49587,2.47760,2.38216,2.30791,2.47231,2.64071,2.64730,2.64730
2021,Rothbury 132_11kV,05MAY2020,MW,2.64730,2.56543,2.47760,2.47760,2.38600,2.29218,2.30527,2.24003,2.24003,2.15816,2.09159,2.07033,2.16288,1.92286,1.90063,2.07132,2.16064,2.10745,2.08694,2.13031,2.07033,2.15576,2.24003,2.24003,2.42844,2.51490,2.40972,2.40972,2.40972,2.40972,2.52136,2.57942,2.50946,2.34940,2.11159,2.20121,2.27868,1.96328,1.37544,1.23675,1.75071,1.90510,1.87558,1.98388,1.86270,2.17762,2.24003,2.35729,2.53104,2.50319,2.08789,2.45430,2.61425,2.37578,2.39084,2.37578,2.40177,2.49797,2.39731,2.56645,2.62921,2.74912,2.72703,2.59077,2.63126,2.64825,2.71475,2.80290,2.87961,2.93468,3.21920,3.17775,3.46682,3.20160,3.22080,3.22143,2.95581,2.89692,2.91602,2.95802,2.88488,3.00690,2.87993,2.79058,2.71518,2.71518,2.65938,2.68371,2.62577,2.47226,2.37578,2.37578,2.66672,2.71518,2.55809,2.69764
2021,Rothbury 132_11kV,06MAY2020,MW,2.81036,2.71518,2.67460,2.45197,2.37578,2.37274,2.37578,2.37578,2.37578,2.37578,2.37578,2.27001,2.20609,2.20609,2.12871,2.17305,2.20609,2.20609,2.26606,2.30791,2.30791,2.34376,2.35161,2.30791,2.41913,2.47760,2.56528,2.64730,2.64730,2.65977,2.64730,2.76518,2.88751,2.70915,2.70934,2.75987,2.75571,2.61336,2.67313,2.59111,2.47477,2.54396,2.31204,2.29879,2.19121,2.03677,1.91424,1.61246,1.27137,1.02768,0.71042,0.61415,0.77981,0.89338,0.94467,1.20395,1.50660,1.63681,1.48810,1.55818,1.64292,1.83236,1.92819,2.10236,2.28480,2.38956,2.44594,2.42475,2.57660,2.61676,2.85697,3.02064,3.02064,3.08819,3.19034,3.11130,3.05549,3.02103,3.02064,3.02064,2.88487,2.88059,2.81700,2.81700,2.68968,2.64730,2.64730,2.64730,2.60107,2.47760,2.47760,2.47760,2.62639,2.66765,2.80793,2.79611
2021,Rothbury 132_11kV,07MAY2020,MW,2.92150,2.70458,2.64730,2.63332,2.47760,2.47760,2.40683,2.30791,2.30791,2.30791,2.30791,2.29259,2.13821,2.13821,2.13821,2.13821,2.13821,2.20355,2.24740,2.39955,2.40972,2.30826,2.33166,2.40972,2.51980,2.60014,2.57942,2.57942,2.67423,2.58813,2.61564,2.49928,2.35820,2.47097,2.63360,2.43349,2.43981,2.51154,2.45744,1.85900,1.76349,1.55991,1.57765,1.56697,1.95385,1.83275,1.65104,1.61177,1.89093,1.77638,1.78421,1.84516,1.67630,1.71131,1.59272,1.76002,1.60522,1.52654,1.80409,2.09896,2.07039,2.20609,2.25532,2.20609,2.63990,2.46856,2.39543,2.75373,3.02388,3.15640,3.07909,2.99114,3.11289,3.10247,2.99973,3.08476,2.97265,2.88488,2.93148,3.02590,3.00688,2.88488,2.74807,2.71518,2.71518,2.71479,2.71518,2.71518,2.71518,2.68485,2.42481,2.48644,2.83119,2.89332,2.88488,2.79587
2021,Rothbury 132_11kV,08MAY2020,MW,2.73292,2.71518,2.71518,2.55508,2.38443,2.37578,2.37578,2.39918,2.54548,2.48399,2.20609,2.20609,2.20609,2.20609,2.20609,2.20609,2.20609,2.26550,2.37578,2.37578,2.18166,2.35899,2.45010,2.54548,2.56341,2.62501,2.56812,2.68124,2.68124,2.68632,2.56431,2.37883,2.19551,2.07050,2.03689,1.94052,1.65087,1.66568,1.28288,1.21526,1.19920,0.84721,0.72414,0.70591,0.72708,0.74718,0.59151,0.71797,0.80325,0.73160,0.60549,0.73197,0.86209,0.71750,0.87297,1.05140,1.19446,1.27069,1.43442,1.68382,1.71320,1.82185,1.90329,2.12882,2.38488,2.50818,2.54548,2.45739,2.40729,2.70917,2.71518,2.71518,2.86791,2.89823,2.89894,2.79324,2.70589,2.61204,2.51154,2.56056,2.64260,2.45197,2.54288,2.65179,2.67392,2.66294,2.51154,2.51154,2.40309,2.34185,2.34185,2.34185,2.60584,2.68124,2.54390,2.36995
2021,Rothbury 132_11kV,09MAY2020,MW,2.47760,2.47720,2.47760,2.47760,2.47760,2.32069,2.13821,2.13821,2.13821,2.13821,2.11163,1.98287,2.13821,2.13821,2.04544,2.07390,2.13821,2.08429,1.96851,2.04096,2.13364,2.12390,2.14050,2.06599,2.13274,2.17215,2.31341,2.33279,2.17215,2.17215,2.17215,2.17215,2.15056,2.04955,1.74258,1.60301,2.09405,1.90591,2.10427,1.87110,1.00990,0.85264,0.79022,0.92276,1.36414,0.98367,1.21652,1.28346,1.37442,0.86490,0.58524,1.22567,1.96043,2.08447,2.20609,2.18572,2.20609,2.16177,2.20609,2.21081,2.37578,2.37578,2.22417,2.20858,2.16063,2.06376,2.26386,2.37578,2.37578,2.56895,2.74706,2.88488,3.06635,3.19370,2.97816,2.88488,2.77401,2.79134,2.76463,2.71518,2.79212,2.81850,2.71518,2.59127,2.54868,2.54548,2.54548,2.54548,2.54507,2.45272,2.37578,2.37578,2.37102,2.25473,2.20609,2.20609
2021,Rothbury 132_11kV,10MAY2020,MW,2.26097,2.37578,2.25811,2.20609,2.32959,2.37578,2.34354,2.04072,2.03639,2.03639,2.03639,2.03639,2.03639,2.03639,2.09884,2.04409,2.03639,2.02380,2.02270,2.09678,2.03885,2.00245,2.00245,2.18734,2.20609,2.20609,2.23758,2.20609,2.20609,2.13616,2.00245,1.96493,1.83212,1.83275,1.87258,1.68380,1.40592,1.03591,0.96330,0.86001,0.76543,0.64794,0.53284,0.40634,0.55771,0.41705,0.41456,0.36295,0.40203,0.29863,0.21962,0.21740,0.43505,0.47516,0.47380,0.47516,0.54304,0.62040,0.72303,0.88388,1.22453,1.52781,1.68268,1.93610,2.11334,2.21893,2.31983,2.34185,2.45765,2.80799,2.90416,2.95054,3.02064,3.11230,3.19696,3.19034,3.12585,3.02064,3.02064,3.02064,3.00310,2.89184,3.02064,3.00646,2.94993,2.85094,2.85094,2.73242,2.74325,2.48949,2.51929,2.46329,2.44366,2.44366,2.51112,2.51366
