year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Rutherford 33_11kV,01MAY2020,MW,11.69176,11.50122,11.26224,10.92388,10.41269,9.94014,9.53889,9.18348,8.95023,9.02980,8.90986,8.68315,8.56807,8.58524,9.64227,9.80355,9.89015,9.95502,10.12120,10.21922,10.60159,11.30914,11.84846,12.33333,13.18912,13.63113,14.51248,14.81744,14.63481,15.12327,14.92137,14.91124,14.08603,12.79325,12.40703,12.31685,12.00411,11.62436,11.23815,10.80893,10.56630,10.41974,11.61788,11.28143,11.05683,11.63116,10.60585,10.89545,10.76783,10.27992,11.29115,9.47586,9.49900,9.91888,8.58754,8.24076,8.70999,8.92577,8.86398,9.32337,9.97330,10.50835,10.87644,10.73193,11.01472,11.53028,11.74295,12.26817,12.61466,12.95015,13.62547,14.20525,14.17755,14.01659,13.81851,13.69509,13.61879,13.25604,12.76584,12.72230,12.47642,12.39118,12.54297,12.51965,12.33241,12.26829,12.32151,11.83272,11.52849,11.39290,11.02925,10.66621,11.88079,11.92113,11.57699,11.20425
2021,Rutherford 33_11kV,02MAY2020,MW,11.65688,11.61265,11.26196,10.63359,10.35479,9.90217,9.48052,9.27356,9.02879,8.86518,8.51733,8.29153,8.36688,8.32244,8.43738,8.43689,8.54611,8.39444,8.39044,8.42653,8.52752,8.71022,8.81647,9.14830,9.64503,9.81272,10.01806,10.49116,10.51338,10.76371,10.49564,11.00559,11.06131,10.70885,10.28613,9.70729,9.30405,9.10987,9.11680,8.42211,8.50927,7.70430,7.52326,7.15291,7.01022,6.77923,6.58450,6.29082,5.94024,5.96927,6.06139,5.91752,6.03765,6.08986,6.23426,6.42808,7.88252,6.81153,7.03394,7.16189,8.70970,9.80772,10.42798,11.14072,11.30220,11.18762,11.56948,12.21185,12.60198,12.93702,13.50290,14.01916,13.94023,13.86642,13.36989,13.11923,12.94750,12.83361,12.50495,12.22196,12.29614,12.08910,11.79380,11.55571,11.27892,11.09991,11.15330,10.85135,10.38123,10.11445,10.06900,10.05350,10.24106,10.02376,9.94187,9.79745
2021,Rutherford 33_11kV,03MAY2020,MW,9.59391,9.59850,9.39189,9.20716,8.96959,8.61713,8.34586,8.30771,8.34190,8.43668,8.12072,7.93418,7.87567,7.88338,7.99571,7.95934,7.96749,7.95123,7.78125,7.78078,7.92430,8.13799,8.28457,7.89377,8.02076,8.08023,8.28339,8.29271,8.16404,8.43606,8.35439,8.10777,8.04624,7.97529,7.83673,7.39691,6.92769,6.69875,6.59799,6.27763,5.92345,5.42371,5.30590,5.30051,5.21737,4.95981,4.87978,4.63433,4.54412,4.50123,4.53841,6.52710,6.02434,6.35547,6.66387,6.08168,6.65812,7.50173,6.74566,7.34604,7.87630,7.88829,8.29034,8.64197,8.91090,9.42229,10.03015,10.75133,11.48029,11.90627,13.02146,13.52459,13.45289,13.35183,13.42232,13.39145,13.33396,13.09303,12.77567,12.43557,12.33451,12.24378,12.02627,11.84575,11.56832,11.21691,10.95770,10.82933,10.47641,10.37455,10.15897,10.01569,10.24683,10.10585,10.10595,10.00304
2021,Rutherford 33_11kV,04MAY2020,MW,9.83249,9.51915,9.37757,9.32738,9.32491,9.03287,8.92681,8.73137,8.62596,8.56313,8.56193,8.59960,8.69984,8.54113,8.59808,8.65909,8.61790,8.81971,9.21433,9.58681,9.80643,10.13582,10.41797,10.95239,11.83094,12.88728,13.62886,14.29655,14.57602,14.72166,15.06966,15.31261,15.15876,14.33494,13.43102,13.18853,12.52289,11.98588,11.47381,10.97955,10.54627,10.12355,10.02212,9.75362,10.24669,10.16296,10.01701,9.71087,9.72735,9.50223,9.09423,9.39001,9.64166,9.67197,9.98225,9.91902,10.09864,10.20312,10.21479,10.48142,10.16194,10.27359,10.58763,10.86596,11.08860,11.18504,11.98211,12.41246,12.65450,12.91387,13.48732,13.68194,13.53506,13.44512,13.31747,12.93628,12.72316,12.74475,12.80706,13.02913,12.65287,12.50068,12.36286,12.23049,11.99675,11.80529,11.81225,11.65447,11.41189,11.22938,10.93263,10.63411,11.76246,11.77804,11.60497,11.45791
2021,Rutherford 33_11kV,05MAY2020,MW,11.80190,11.49941,11.11103,10.84731,10.39495,10.08834,9.66745,9.35156,9.02736,8.94709,8.78285,8.74354,8.66627,8.90402,8.66569,8.75387,8.78873,8.85076,9.04647,9.30102,9.65026,10.06028,10.59705,10.65652,11.61443,12.29197,12.78840,13.42936,14.04304,14.56695,14.41690,14.43140,14.45469,14.61186,14.68402,14.36887,13.87070,12.31023,11.53743,11.51624,12.24825,12.27586,12.83600,13.14924,12.37539,11.60114,13.39590,14.58011,14.67135,14.93052,14.21453,13.30415,13.04708,12.46853,12.62719,12.09534,11.86680,11.38767,11.59231,11.75053,12.26138,12.47652,12.52216,12.86494,13.71471,13.66432,13.97195,14.35768,14.36574,14.23604,14.48212,14.69493,14.46375,14.18642,14.06653,13.71201,13.71099,13.48856,13.41501,12.91438,12.53849,12.45681,12.30533,12.18514,11.97750,11.80895,11.84205,11.48998,11.30831,10.97164,10.78851,10.63005,11.85058,11.89803,11.47687,11.12700
2021,Rutherford 33_11kV,06MAY2020,MW,11.41287,11.01594,10.71074,10.42250,9.99764,9.73277,9.29575,9.05738,8.65311,8.55606,8.51884,8.44477,8.44561,8.58645,8.51685,8.63274,8.61645,8.67583,8.83137,9.10700,9.42852,10.28069,10.71667,10.24350,10.91828,11.75117,12.20946,12.74789,13.14700,13.14561,13.61018,14.49564,14.54794,15.01050,15.15784,15.02829,14.82850,14.41773,14.19688,14.43191,14.27834,13.84327,13.33226,12.60807,11.83385,11.21878,10.69296,9.60517,8.91309,8.37987,8.29693,8.78435,8.97620,8.80109,8.97645,9.13996,9.42523,9.44681,9.62727,9.71020,10.10127,10.22372,10.37386,10.76947,11.08835,10.93750,11.48751,11.89714,12.09946,12.66068,12.93760,13.20564,12.97732,13.29444,13.31003,13.22920,13.13721,12.61752,12.42423,12.28890,12.16195,12.16100,12.01044,11.83091,11.44219,11.36271,11.36574,11.38807,10.98254,10.69035,10.56188,10.27006,11.65881,11.63885,10.97542,10.80905
2021,Rutherford 33_11kV,07MAY2020,MW,11.11196,10.80574,10.51640,10.10142,9.70682,9.54291,9.20720,9.24362,9.16671,8.96776,8.78908,8.86951,8.90373,8.82581,8.69920,8.90999,9.05328,9.26959,9.32085,9.37962,9.86715,10.68519,11.11668,11.76614,12.16657,12.67489,12.92903,13.59324,14.13469,14.69110,14.98512,15.11022,15.10415,14.81400,14.91260,14.42786,13.66152,13.54025,13.63125,14.44617,13.60793,13.34533,13.25910,13.05003,13.20202,13.00690,12.50775,12.19963,12.28737,12.52964,12.56123,12.97247,12.71146,12.50778,12.42241,11.72368,12.37693,11.30568,11.73298,12.32121,11.47060,12.43137,12.44083,12.75346,12.34338,12.43096,12.77565,13.15652,13.48649,13.83686,14.00307,14.16887,14.16103,13.83272,13.96096,13.87814,13.50907,13.08292,12.96455,12.94032,12.52497,12.25856,11.90481,11.83140,11.60319,11.40382,11.63600,11.35128,11.31487,11.03195,10.81300,10.57392,11.82108,11.77966,11.60025,11.39774
2021,Rutherford 33_11kV,08MAY2020,MW,11.63780,11.44806,11.21766,10.66849,10.37879,9.94496,9.45443,9.03883,8.87995,8.78547,8.89385,8.70811,8.55615,8.49647,8.69707,8.56967,8.94252,9.08437,9.06657,9.19271,9.51505,10.45642,10.75951,11.06310,11.58817,12.54141,13.20454,13.50400,14.30884,14.82896,14.73189,13.95765,13.82293,13.13746,12.96607,12.53435,11.93354,11.67536,11.03969,10.73578,10.30444,10.09544,9.94820,10.22549,9.71191,9.18946,9.18445,8.70543,8.97523,8.98498,9.85544,9.34389,9.28335,9.01285,8.70354,9.12384,9.18865,9.52100,9.79666,10.00511,10.21178,11.58229,11.32824,10.69577,11.15984,10.77016,11.10941,11.36344,11.66094,11.73758,11.86629,11.91130,11.85463,11.89500,11.56103,11.42299,11.26785,11.19038,11.18333,11.01165,10.55220,10.49883,10.86805,10.73648,10.70162,10.86803,10.67901,10.68539,10.55195,10.38918,10.14702,9.86729,11.21782,11.29492,10.88008,10.73956
2021,Rutherford 33_11kV,09MAY2020,MW,11.02820,10.90277,10.57060,10.26103,9.86200,9.58593,9.24154,8.75818,8.54557,8.45785,8.37002,8.16551,8.23887,8.27201,8.24213,8.04894,8.21693,8.22413,8.27008,8.21131,8.44709,8.56701,8.60159,8.85148,9.23934,9.61933,10.26929,10.74249,11.10394,11.35403,11.64698,11.62534,10.38395,10.97072,10.33871,10.06154,9.48127,9.35280,9.19509,9.53605,11.35277,10.75163,8.59374,7.20041,7.87219,9.25493,7.37730,5.68350,5.87793,7.33092,6.44965,8.18397,9.61974,9.80710,10.13703,10.47764,10.41732,10.45675,10.62120,9.96979,10.41099,10.57249,10.24332,10.32763,9.71196,9.20871,9.98968,10.14634,10.45127,10.69580,11.27051,11.47869,11.46454,11.72349,11.85723,11.57175,11.32178,11.17753,10.96851,10.74253,10.65290,10.50897,9.96494,9.61821,9.49049,9.20851,9.38931,9.32866,9.09933,9.03466,8.69762,8.54885,8.92900,8.76359,8.49475,8.41977
2021,Rutherford 33_11kV,10MAY2020,MW,8.41780,8.23365,8.12155,7.72740,7.66282,7.42534,7.47530,7.37069,7.41153,7.26678,7.11182,6.91077,6.96083,6.94668,7.02685,7.06196,6.91129,7.05162,7.07795,7.07310,7.16486,7.88127,8.03326,8.06150,8.34817,8.58848,8.79815,8.93700,8.97128,8.88879,8.85462,8.75337,8.79556,8.75254,8.43616,7.92294,7.82173,7.60377,7.34047,7.16923,6.84152,6.50287,6.31360,6.07246,5.67597,5.54466,5.54102,5.40564,5.41689,5.38923,5.37411,5.29954,5.28815,5.47511,5.60524,5.76468,5.80467,6.07924,6.37113,6.86247,7.06297,7.55507,7.93918,8.55981,9.18536,9.87452,10.66164,11.42123,11.76380,12.35830,13.20830,13.51750,13.71021,13.47762,13.23737,13.21838,13.04203,13.07804,13.03775,12.87300,12.57009,12.36880,12.16207,12.02077,11.93094,11.74355,11.58108,11.28543,10.95868,10.69527,10.52136,10.30395,10.51070,10.34020,10.18314,10.06049
