year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Scone 66_11kV,01MAY2020,MW,7.26164,6.97932,6.72255,6.32104,5.85995,5.55423,5.30732,5.01131,4.87072,4.81302,4.68505,4.63572,4.53077,4.35761,4.27862,4.33484,4.70130,5.00292,4.98419,5.24743,5.43071,5.48311,5.58495,5.76876,6.14936,6.40175,6.63523,6.88841,6.77357,7.04843,7.21072,7.00432,6.60401,6.22808,5.90866,5.60291,5.32047,5.57811,6.10614,6.10994,5.73782,5.57769,5.84572,5.81678,5.86902,6.00812,6.00497,5.89793,5.94211,6.38121,6.49968,6.64805,6.75935,6.59597,6.68013,6.48547,6.48009,6.56604,6.09687,6.11489,5.96365,6.31167,6.42703,6.70249,6.37279,6.56178,6.88484,7.24061,7.54082,7.84451,8.16600,8.50828,8.79764,8.83996,8.83877,8.71012,8.66912,8.44891,8.15748,7.95504,7.78832,7.54595,7.30096,7.06120,6.85811,6.78393,7.07352,7.14081,7.39047,8.16102,8.16464,7.78957,8.15981,8.29480,7.85711,7.99379
2021,Scone 66_11kV,02MAY2020,MW,7.70186,7.43092,7.08925,6.72228,6.27421,6.01695,5.68909,5.42934,5.16279,5.07260,4.95980,4.83587,4.68671,4.57032,4.51753,4.42596,4.50760,4.62298,4.57334,4.78295,4.78949,4.84142,4.95835,5.00509,4.76488,4.71867,4.81078,4.96024,5.05859,5.29480,5.55779,5.52199,5.51809,5.74688,5.84468,5.99640,6.08604,5.88884,5.81556,5.76262,5.55384,5.25167,5.21788,5.22737,4.83645,4.24025,4.38955,4.30726,3.91805,3.71120,3.62414,4.11656,4.79236,4.77198,4.92573,5.22684,5.49275,5.61734,5.57365,5.21955,5.41001,4.72528,4.76122,5.18885,5.94791,6.26976,6.64391,7.05710,7.56753,7.74004,7.97638,8.38948,8.53905,8.42666,8.32122,8.38939,8.37123,8.08049,7.76774,7.56021,7.30496,7.07318,6.99352,6.88940,6.65829,6.60718,6.53778,6.29751,6.35960,6.24420,6.00736,5.85357,6.07813,5.70830,5.55247,5.54970
2021,Scone 66_11kV,03MAY2020,MW,5.48417,5.38371,5.45130,5.24249,5.02901,4.88514,4.71534,4.57106,4.53237,4.42906,4.36081,4.21088,4.31962,4.25027,4.17884,4.27960,4.26507,4.32340,4.35150,4.47957,4.46826,4.51325,4.72723,4.67892,4.88263,5.01485,5.20186,5.49145,5.41304,5.36314,5.42869,5.36789,5.28872,5.16997,5.04264,4.96809,4.85418,4.70384,4.51290,4.19532,3.94549,3.69469,3.55851,3.50349,3.38392,3.23603,3.14297,3.24527,3.23992,3.35829,3.55465,3.35977,3.56978,3.34228,3.19647,3.24003,3.62409,3.53190,3.71475,4.02909,4.03537,4.06721,4.26410,4.55752,4.89241,5.26421,5.72397,6.13131,6.70522,7.26287,7.74418,8.36601,8.61220,8.68524,8.67936,8.61772,8.46016,8.20825,8.15238,7.87226,7.56405,7.51676,7.22028,6.91408,6.65403,6.59006,6.46484,6.27785,6.02606,5.88067,5.63838,5.62685,5.91774,5.64697,5.48473,5.43176
2021,Scone 66_11kV,04MAY2020,MW,5.56900,5.28270,5.23420,5.10273,4.91078,4.81575,4.80834,4.70450,4.72586,4.63586,4.44505,4.47110,4.39141,4.36580,4.40732,4.49227,4.84447,5.00277,5.08754,5.36803,5.64767,5.85280,6.00087,6.25297,6.83352,7.13639,7.38604,7.73968,7.43752,7.56533,7.56527,7.69366,7.43142,7.08228,6.81711,6.53718,6.38566,6.07418,5.73465,5.45145,5.35609,5.13609,4.93808,4.75889,4.43587,4.40169,4.31405,4.55148,4.57458,4.66391,4.58343,4.50862,4.39079,4.37906,4.39010,4.43009,4.50644,4.75297,4.81665,4.90087,4.97467,5.16585,5.40999,5.69050,5.98613,6.29447,6.58301,7.03315,7.49036,8.04673,8.59095,9.06733,9.33125,9.38856,9.06275,9.02621,9.02409,8.64650,8.48333,8.29559,7.84760,7.62307,7.48331,7.41083,7.04142,6.97512,6.89694,6.80019,7.00261,7.74656,7.85245,7.47277,8.06956,8.21890,7.81405,7.85031
2021,Scone 66_11kV,05MAY2020,MW,7.69055,7.19189,7.01108,6.46375,6.14091,5.80507,5.63777,5.42559,5.26875,4.97992,4.80853,4.75210,4.74413,4.77297,4.63354,4.63952,5.06453,5.22536,5.34689,5.57535,5.76973,5.99534,6.29198,6.48253,7.11384,7.65902,7.83409,8.05106,7.80342,7.95459,7.95815,8.11143,8.05664,8.06271,8.25973,7.86758,7.69885,7.76892,7.54321,7.32098,7.24247,7.02928,6.94778,7.01057,7.22953,7.42105,6.62972,6.03360,6.78347,6.86271,6.64966,6.53076,6.70676,6.60533,6.12961,5.50031,5.36489,5.61758,5.41235,5.66695,5.66554,5.91640,6.13428,6.08556,6.18415,6.38826,6.68069,7.19161,7.41651,7.88960,8.31881,8.89244,9.24258,9.29027,9.25917,9.02122,8.93795,8.70797,8.58970,8.21688,7.94355,7.73099,7.44898,7.19710,7.01458,6.73430,6.94118,6.75405,7.01683,7.74447,7.64860,7.33398,7.84707,8.06174,7.68027,7.68704
2021,Scone 66_11kV,06MAY2020,MW,7.40319,6.97437,6.68511,6.35118,5.88697,5.56285,5.38036,5.05527,4.86194,4.77453,4.63359,4.47069,4.41792,4.35328,4.22951,4.38439,4.77425,5.06971,4.90535,5.45208,5.76232,5.64664,5.89369,6.09623,6.45585,6.90848,7.19664,7.27292,6.97589,7.22687,7.29609,7.29418,7.18147,6.96178,6.94333,7.04078,6.81657,6.62379,6.16591,5.62533,5.34163,5.00447,4.70902,4.72122,4.68357,4.90353,4.67703,4.42884,4.41433,4.44531,4.37339,4.35404,4.31077,4.47645,4.60218,4.57723,4.51219,4.71527,4.67557,4.69420,4.78119,5.01002,4.99956,5.22228,5.41052,5.82313,6.09540,6.47871,7.01893,7.49334,7.77342,8.07328,8.26544,8.22885,8.28135,8.14876,7.98681,8.01391,7.96293,7.73371,7.50883,7.42280,7.22098,6.97352,6.74634,6.56906,6.35387,6.51403,6.75394,7.64503,7.62790,7.23980,7.68439,7.94207,7.51974,7.51242
2021,Scone 66_11kV,07MAY2020,MW,7.24174,6.89761,6.60349,6.23404,5.91398,5.71810,5.38299,5.20363,5.08548,4.99510,4.82856,4.54133,4.47512,4.53535,4.50701,4.52758,4.94355,5.44521,5.61058,5.67618,5.92069,6.25686,6.39706,6.51630,6.83313,7.12110,7.53259,8.15464,7.80107,8.08093,8.24341,8.18681,8.11492,7.92544,7.54871,7.12013,6.78841,6.57543,6.38835,6.37772,6.26971,5.89606,5.45140,5.47983,5.63291,5.60467,5.33749,5.39087,5.26138,5.46210,5.54796,5.41783,5.42636,5.64846,5.96665,5.72959,5.54578,5.66497,5.43848,5.05263,5.06973,5.40604,5.47390,5.60961,5.93332,6.26979,6.58765,6.87371,7.19537,7.68050,8.23439,8.46649,8.66488,8.81296,8.86181,8.66782,8.62513,8.27054,8.03054,7.85957,7.69690,7.49995,7.30686,7.10312,7.01158,6.64507,6.66315,6.78000,6.93459,7.62751,7.79287,7.44094,8.01701,8.13760,7.75041,7.75278
2021,Scone 66_11kV,08MAY2020,MW,7.53870,7.26652,6.94738,6.43181,6.09884,5.72457,5.45654,5.17153,4.96418,4.96332,4.87055,4.80505,4.63024,4.55494,4.60516,4.61518,4.97521,5.40906,5.45458,5.76427,5.85429,5.90361,6.17057,6.48346,6.72647,7.13111,7.27747,7.40941,7.10850,7.10272,7.06220,6.94568,6.60413,6.26441,6.00313,5.78584,5.48999,5.24297,4.98408,4.69522,4.62781,4.39967,4.16422,4.05873,4.63182,4.21301,3.95807,3.97992,4.02982,4.02243,4.03827,3.97602,4.06588,4.14320,4.18084,4.19531,4.24514,4.43603,4.52873,4.63719,4.60382,4.71305,4.78797,5.09725,5.44740,5.38060,5.49328,5.76336,6.04987,6.33851,6.76735,6.79267,6.93194,7.09165,6.87067,6.79132,6.72054,6.55943,6.41546,6.32024,6.12473,6.05549,5.90728,5.83959,5.82572,5.73914,5.85761,5.86883,6.15475,7.05353,7.22711,6.81692,7.35626,7.48517,7.12360,7.05798
2021,Scone 66_11kV,09MAY2020,MW,6.82137,6.38762,6.19947,5.82989,5.45798,5.19091,4.83637,4.62008,4.62365,4.46866,4.47059,4.41508,4.18262,4.03866,4.09872,4.08762,4.11480,4.10115,4.02088,4.23495,4.53946,4.56736,4.57757,4.60961,4.81487,5.04456,5.03226,5.12342,5.18042,5.41981,5.64335,5.77089,5.81993,5.78533,6.12116,5.62732,5.58235,5.77200,5.96986,5.86108,5.41246,5.28359,3.70609,3.47335,4.45856,4.54121,4.64988,4.49798,4.96884,4.51339,5.20704,5.23168,5.46290,5.41235,5.33243,5.14423,5.26111,5.56215,5.97438,5.97419,5.83528,5.62112,5.36960,4.89300,5.09006,5.37623,5.63544,6.08639,6.40735,6.87158,7.44546,7.66793,7.80510,7.77740,7.69474,7.63503,7.48260,7.32335,7.18466,6.85649,6.54269,6.49979,6.38633,6.36536,6.13511,5.89364,5.97966,5.85972,5.84392,5.76883,5.56828,5.38475,5.70634,5.26536,5.13301,5.18843
2021,Scone 66_11kV,10MAY2020,MW,5.13441,5.05896,5.04472,4.81506,4.73001,4.56100,4.52390,4.49328,4.27358,4.34440,4.12197,4.05485,4.10526,3.89097,3.89475,3.96537,3.99725,4.03744,4.09444,4.14635,4.35662,4.41785,4.38360,4.42850,4.61293,4.72909,4.87879,5.23795,5.38130,5.28382,5.39683,5.46073,5.42825,5.30747,5.14796,5.03577,4.87093,4.63648,4.40567,4.33091,4.16255,3.95714,3.67874,3.48995,3.40390,3.21428,3.16042,3.07141,2.99549,2.93000,2.94294,2.85196,2.68305,2.76455,2.77756,2.81034,3.04251,3.15845,3.23512,3.51405,3.73758,3.94035,4.13491,4.50153,4.90091,5.26542,5.72720,6.30296,6.80415,7.48514,8.23390,8.88277,8.94342,8.78894,8.75412,8.63285,8.62950,8.47410,8.34927,8.23238,7.98084,7.81085,7.40130,7.28885,7.05478,6.95230,6.84814,6.60237,6.43175,6.22519,6.03036,5.89694,6.07332,5.93356,5.88475,5.88712
