year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Sefton 132_11kV,01MAY2020,MW,23.23589,22.56989,21.29340,21.49690,21.58940,20.22040,19.48041,18.25941,17.51942,16.52042,15.96542,15.31793,14.89243,14.35593,14.70743,14.70743,14.78143,15.63243,16.33542,16.11342,16.57592,16.87192,16.87192,16.87192,17.29742,18.20391,18.59241,19.01791,18.37041,18.62941,18.98091,19.27691,19.79491,19.79491,19.96141,20.20190,19.92441,19.38791,19.01791,18.79591,18.38891,18.49991,18.31491,17.96341,18.01891,18.14841,17.98191,18.27791,17.64892,17.77842,18.38891,18.11141,18.94391,18.20391,18.38891,18.05591,18.27791,18.77741,19.20291,19.14741,19.57291,20.01690,20.42390,21.53390,22.55139,23.42089,24.10539,25.60388,26.21438,25.82588,25.99238,26.38087,26.63987,26.86187,27.00987,26.62137,26.26988,25.71488,25.40038,25.40038,24.90088,24.58638,24.29038,23.93889,23.67989,23.38389,22.84739,22.77339,22.64389,22.86589,23.23589,25.03038,25.03038,24.16089,25.12288,25.51138
2021,Sefton 132_11kV,02MAY2020,MW,24.71588,23.75389,22.49589,22.71789,22.38489,21.14540,19.88741,18.75891,17.94491,16.96442,16.13192,15.48443,15.48443,14.83693,14.50393,14.39293,14.63343,15.24393,15.41043,15.15143,15.15143,15.15143,14.76293,14.57793,14.79993,14.67043,14.57793,14.37443,14.09693,13.96743,13.70843,13.81943,13.76393,13.70843,13.87493,15.16993,15.68793,15.59543,14.13393,14.18943,13.96743,13.96743,13.76393,13.46794,13.46794,13.46794,13.67144,13.57894,13.57894,13.41244,13.57894,13.68993,13.59744,13.59744,13.59744,13.81943,14.04143,14.20793,14.72593,14.98493,15.42893,15.83592,16.98292,17.57492,18.46291,19.40641,20.40540,21.84840,22.86589,22.62539,22.19989,23.16189,23.64289,23.64289,23.64289,23.21739,23.19889,22.84739,22.79189,22.38489,22.81039,22.40339,21.99640,21.86690,21.44140,21.42290,21.42290,21.42290,21.73740,22.40339,22.49589,24.53088,24.51238,23.75389,24.62338,25.14138
2021,Sefton 132_11kV,03MAY2020,MW,24.51238,23.92039,23.01389,22.34789,22.27389,20.99740,19.99840,19.22141,18.07441,17.29742,16.39092,15.50293,15.02193,14.55943,14.54093,14.20793,14.61493,14.92943,15.09593,15.35493,15.41043,15.04043,14.57793,14.18943,14.41143,14.50393,14.15243,14.63343,14.07843,14.17093,14.04143,14.04143,14.04143,14.04143,14.04143,14.02293,14.00443,13.80093,13.63444,13.57894,13.20894,13.20894,13.20894,13.20894,13.20894,13.20894,13.20894,13.20894,13.24594,13.78243,13.80093,13.70843,13.87493,13.87493,13.87493,13.87493,13.87493,14.04143,14.50393,15.24393,15.46593,15.41043,16.02092,16.81642,17.92641,18.64791,19.73941,20.57190,21.36740,21.31190,21.18240,22.03340,22.45889,22.79189,22.90289,22.64389,22.64389,22.42189,22.31089,22.19989,22.19989,22.19989,22.19989,21.94090,21.79290,21.38590,21.34890,21.34890,21.34890,21.86690,21.88540,24.30888,23.88339,23.25439,24.17939,24.29038
2021,Sefton 132_11kV,04MAY2020,MW,23.79089,23.14339,22.27389,22.40339,22.19989,21.10840,19.83191,18.62941,17.66742,17.07542,16.29842,15.65093,15.15143,15.09593,15.09593,15.05893,15.29943,15.87292,16.37242,16.89042,17.22342,17.46392,17.22342,17.07542,17.90791,18.72191,19.38791,19.79491,19.68391,20.03540,20.49790,21.03440,21.34890,21.36740,21.25640,21.14540,21.20090,20.68290,20.03540,20.03540,19.97991,19.07341,19.03641,18.72191,18.70341,18.29641,18.33341,18.27791,18.70341,18.29641,17.85242,17.42692,17.85242,18.49991,18.64791,18.66641,18.31491,18.35191,19.55441,19.83191,19.44341,19.51741,20.20190,20.79390,21.71890,22.66239,23.92039,25.60388,25.88138,25.43738,25.77038,26.38087,27.04687,26.73237,26.73237,26.51037,25.95538,25.49288,24.99338,24.93788,24.69738,24.25338,23.75389,23.55039,23.14339,22.73639,22.79189,22.36639,21.95940,22.88439,23.25439,24.80838,24.67888,23.97589,24.69738,24.80838
2021,Sefton 132_11kV,05MAY2020,MW,24.04989,23.14339,22.68089,22.05190,22.12589,20.99740,19.77641,19.16591,18.18541,17.13092,16.59442,15.85442,15.41043,15.04043,14.98493,14.65193,14.98493,15.57693,16.37242,16.20592,16.48342,16.48342,16.98292,16.92742,17.22342,17.90791,18.37041,18.70341,18.88841,19.42491,19.48041,19.81341,19.94291,20.12790,19.90591,19.57291,18.72191,18.48141,18.14841,18.14841,18.33341,19.25841,19.70241,19.83191,19.36941,19.48041,19.22141,19.64691,18.46291,18.33341,19.12891,19.29541,18.33341,19.03641,18.59241,19.46191,18.42591,17.85242,18.40741,18.48141,18.53691,19.07341,19.27691,19.94291,20.88640,21.95940,23.14339,24.45688,25.04888,23.86489,23.86489,24.62338,24.80838,24.80838,24.40138,24.30888,24.30888,23.95739,23.56889,23.43939,23.01389,22.86589,22.32939,21.84840,22.03340,21.62640,21.62640,21.12690,21.34890,22.16289,22.21839,24.32738,24.10539,23.30989,24.14239,24.27188
2021,Sefton 132_11kV,06MAY2020,MW,23.53189,22.75489,22.07040,22.05190,21.84840,20.51640,19.48041,18.79591,17.88941,17.20492,16.44642,15.92842,15.55843,15.22543,15.09593,15.15143,15.24393,15.90992,16.15042,16.40942,16.90892,17.50092,17.18642,17.27892,18.12991,18.75891,19.59141,20.23890,19.86891,20.14640,20.20190,20.34990,20.18340,20.20190,20.36840,20.47940,19.88741,19.42491,18.92541,18.37041,18.27791,18.12991,18.55541,18.31491,17.94491,17.70442,17.70442,17.70442,17.51942,17.20492,17.38992,17.68592,17.72292,17.68592,17.85242,17.98191,17.98191,17.94491,17.70442,18.31491,18.40741,19.14741,19.62841,19.92441,20.71990,21.55240,22.44039,23.67989,23.62439,22.60689,22.97689,23.69839,24.01289,23.77239,23.64289,23.55039,23.12489,22.75489,22.75489,22.34789,21.84840,21.84840,21.84840,21.71890,21.40440,21.10840,21.21940,20.84940,20.84940,21.34890,21.58940,23.49489,23.27289,22.55139,23.47639,23.56889
2021,Sefton 132_11kV,07MAY2020,MW,23.08789,22.27389,21.05290,21.18240,21.29340,19.86891,18.72191,18.00041,17.00142,16.37242,16.07642,15.28093,15.11443,14.63343,14.85543,14.39293,14.68893,15.70643,15.79892,16.05792,16.13192,16.81642,16.68692,16.79792,17.77842,18.38891,18.35191,19.07341,18.48141,19.01791,19.40641,19.96141,20.27590,20.79390,21.25640,20.99740,20.38690,20.55340,20.44240,19.94291,20.18340,20.22040,20.01690,19.53591,18.90691,18.62941,18.96241,18.72191,18.99941,18.81441,18.33341,18.09291,18.29641,18.55541,18.07441,17.96341,17.50092,17.72292,18.44441,18.12991,18.48141,19.22141,19.40641,20.07240,20.79390,22.03340,22.92139,23.71689,23.88339,22.42189,22.84739,23.55039,23.36539,23.30989,23.01389,22.47739,22.21839,22.03340,21.84840,21.36740,21.08990,20.70140,20.70140,20.59040,20.10940,19.73941,19.73941,19.73941,19.73941,20.29440,20.46090,22.66239,22.51439,21.47840,22.45889,22.69939
2021,Sefton 132_11kV,08MAY2020,MW,22.18139,21.45990,20.47940,20.46090,20.46090,19.38791,18.24091,17.61192,16.61292,15.87292,15.26243,14.72593,14.42993,14.02293,13.98593,13.98593,14.13393,14.61493,15.09593,15.26243,15.55843,15.68793,15.87292,15.85442,16.68692,16.83492,16.96442,17.24192,16.85342,17.61192,17.64892,17.94491,18.05591,18.29641,18.35191,18.29641,17.81542,17.37142,17.29742,17.35292,17.22342,16.98292,16.68692,16.79792,16.90892,16.96442,17.01992,17.33442,17.51942,17.57492,17.59342,17.27892,17.68592,18.09291,17.61192,17.29742,17.26042,17.42692,17.64892,18.00041,18.46291,19.05491,19.36941,19.59141,20.07240,20.75690,21.38590,22.45889,22.12589,21.20090,21.34890,21.75590,21.49690,21.29340,21.10840,20.75690,20.34990,20.01690,19.64691,19.46191,19.23991,18.90691,18.35191,18.03741,17.83392,17.53792,17.87092,17.74142,17.53792,18.37041,18.75891,20.86790,20.64590,19.83191,20.73840,21.20090
2021,Sefton 132_11kV,09MAY2020,MW,21.08990,20.31290,19.27691,19.27691,19.31391,18.20391,17.01992,16.09492,15.11443,14.68893,14.00443,13.65294,13.28294,12.85744,12.69094,12.45044,12.69094,13.15344,13.15344,13.15344,13.24594,13.65294,13.65294,13.33844,13.20894,13.20894,13.28294,13.20894,12.85744,12.76494,13.26444,13.35694,13.15344,12.80194,13.24594,12.98694,14.17093,14.92943,14.63343,15.26243,15.29943,13.96743,13.44944,13.89343,14.26343,13.26444,12.46894,12.91294,12.65394,12.46894,12.43194,12.46894,14.78143,15.05893,13.72693,13.02394,14.09693,15.04043,15.35493,14.59643,14.65193,14.54093,15.46593,16.00242,16.37242,17.35292,18.51841,19.22141,19.18441,18.40741,18.64791,19.33241,19.59141,19.40641,18.66641,18.74041,18.75891,18.31491,18.07441,17.92641,17.81542,17.24192,17.01992,17.01992,17.01992,16.66842,16.63142,16.63142,16.72392,18.00041,18.07441,20.34990,20.27590,19.59141,20.40540,20.99740
2021,Sefton 132_11kV,10MAY2020,MW,20.64590,19.97991,19.14741,19.22141,19.36941,18.03741,17.29742,16.05792,15.55843,15.00343,14.31893,13.63444,13.52344,13.19044,12.83894,12.69094,12.70944,13.09794,13.09794,13.09794,13.09794,13.37544,13.37544,13.02394,13.02394,13.02394,13.02394,13.02394,13.02394,12.72794,13.09794,13.41244,13.07944,13.67144,13.80093,13.93043,14.18943,13.87493,13.74543,13.74543,13.74543,13.44944,13.31994,13.31994,13.31994,12.93144,13.11644,13.04244,12.96844,12.96844,12.96844,12.96844,12.96844,12.96844,12.96844,12.96844,13.04244,13.41244,13.68993,13.87493,14.31893,15.04043,15.76193,16.61292,17.53792,18.33341,19.33241,20.34990,20.94190,20.53490,21.07140,21.95940,22.29239,22.29239,22.29239,22.32939,22.40339,22.31089,22.31089,22.31089,22.31089,22.31089,22.31089,21.86690,21.82990,22.08890,22.08890,21.84840,22.05190,22.92139,23.03239,25.03038,24.69738,23.86489,24.88238,24.66038
