year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Singleton 66_11kV,01MAY2020,MW,7.50048,7.21373,6.94620,6.69238,6.48074,6.34883,6.18085,6.13250,5.92470,5.77735,5.64231,5.64380,5.67557,5.65425,5.66248,5.75029,5.85455,5.76546,5.93872,6.20965,6.32962,6.49283,6.63347,6.78211,6.77522,6.92172,7.28099,7.59240,7.53562,7.68322,7.47676,7.42944,7.42158,7.42010,7.46646,7.81529,7.43767,7.16975,6.93503,6.72539,7.18511,7.72167,6.86091,6.94986,7.02050,7.45641,7.34836,7.14958,7.74407,6.99736,6.48581,6.55854,6.50890,6.18638,6.29073,6.40739,6.36679,6.49733,6.68366,6.82550,6.97539,7.06284,7.24391,7.65124,7.67007,7.89245,8.18010,8.31076,8.37945,8.78172,9.04904,9.33317,9.30408,9.18604,9.16316,9.08740,8.86601,8.74620,8.62548,8.58737,8.46032,8.34544,8.62532,8.29262,8.33706,8.26022,8.11199,8.46863,8.59635,8.51003,8.44493,8.66597,8.58233,8.27150,7.99997,7.68703
2021,Singleton 66_11kV,02MAY2020,MW,7.62314,7.51312,7.33782,7.25201,7.06414,6.84623,6.74280,6.56781,6.16062,6.08400,6.01149,5.99137,5.94507,5.78976,5.83109,5.82660,5.82660,5.82660,5.82660,5.82660,5.82660,6.05023,6.12960,6.13980,6.13980,5.91328,6.05945,6.15382,6.25907,6.22720,6.31039,6.29313,6.42149,6.39182,6.44581,6.38741,6.42843,6.04523,6.16174,5.91989,5.91539,5.44714,5.39858,5.17714,4.89701,4.73179,4.64791,4.61696,4.78860,5.32016,5.30311,4.85733,4.54642,4.49820,4.70221,4.91323,5.19390,5.33562,5.49372,5.87453,6.15393,6.27367,6.46200,6.52951,6.44490,6.52364,6.76112,7.02268,7.18855,7.60568,8.02419,8.13977,8.04716,7.93396,7.91006,7.88664,7.67693,7.66837,7.65214,7.29565,6.97986,6.92126,6.79476,6.63680,6.41393,6.30348,6.33420,6.30736,6.25195,6.15607,6.06870,5.95690,5.75965,5.66910,5.59835,5.62206
2021,Singleton 66_11kV,03MAY2020,MW,5.70211,5.51060,5.33355,5.33070,5.27714,5.36668,5.20631,4.92883,4.81728,4.68933,4.71126,4.73622,4.69225,4.81735,4.69288,4.51220,4.47046,4.54958,4.61279,4.77343,4.84186,4.91358,4.95810,4.98772,5.13450,5.04337,5.21978,5.45494,5.36150,5.40609,5.55907,5.55049,5.49435,5.37941,5.41800,5.27498,5.47189,5.41431,5.27010,4.96367,4.71598,4.40556,4.29698,4.07880,4.01927,3.85048,4.01757,4.10922,4.31967,4.09966,4.20283,4.33902,4.03389,4.06672,3.96168,4.04157,4.12815,4.30333,4.44374,4.54569,4.76469,4.90583,5.04994,5.29766,5.50740,5.92811,6.20526,6.39316,6.76374,7.17965,7.62014,7.67610,7.78976,7.74518,7.78826,7.77790,7.49624,7.37515,7.24161,7.00379,6.86067,6.83724,6.71078,6.54659,6.45750,6.45750,6.45750,6.45750,6.26913,5.95500,5.74218,5.63122,5.76889,5.66974,5.57730,5.55167
2021,Singleton 66_11kV,04MAY2020,MW,5.69079,5.49250,5.46660,5.42519,5.34660,5.27433,5.32125,5.13393,5.12042,4.95242,4.84740,4.83576,4.86946,4.91062,5.10200,5.08615,5.14665,5.24070,5.40518,5.60390,6.03642,6.43713,6.54264,6.71085,7.15572,7.48260,7.63548,7.92241,7.80096,8.03601,7.91622,7.90159,7.98088,7.77942,7.79107,7.63758,7.50731,7.43350,7.23250,7.09784,6.75540,6.48912,6.37649,6.37247,6.26471,6.23672,6.20891,6.02209,5.95934,5.77797,5.63006,5.73376,5.82646,5.79697,5.75508,5.84343,5.82047,5.95455,6.01776,6.08673,6.28516,6.26922,6.51199,6.55004,6.64673,6.86615,7.07336,7.30929,7.35758,7.52328,8.11982,8.53047,8.48970,8.43025,8.28090,8.28090,8.19067,7.98220,7.81694,7.82631,7.57851,7.47829,7.66392,7.51543,7.30104,7.05509,7.08811,7.78549,7.61611,7.44930,7.50349,7.52683,7.46432,7.16874,7.01386,6.81072
2021,Singleton 66_11kV,05MAY2020,MW,6.46200,6.44801,6.17728,6.16109,6.14380,5.91298,5.75058,5.62465,5.37101,5.32350,5.21864,5.15769,5.29347,5.32866,5.35651,5.38428,5.41890,5.55598,5.78788,5.90833,6.09287,6.25033,6.47554,6.61583,6.86305,7.11806,7.28065,7.46219,7.39446,7.33272,7.61627,7.87804,7.88156,7.46591,7.74573,8.11104,7.84184,7.45405,8.08724,7.89023,7.56397,6.99628,7.41856,7.61045,7.50973,7.89904,8.32871,8.26626,8.03139,8.13810,7.88715,7.28844,7.95389,7.72333,8.21418,8.48487,8.19376,8.10277,7.96733,7.88154,7.80877,7.87099,8.07779,8.20530,8.21554,8.48420,8.47409,8.68520,8.74553,8.91433,9.50814,9.83891,9.87951,9.63585,9.37083,8.93313,8.76771,8.69310,8.69310,8.69310,8.44846,8.40859,8.62911,8.40060,8.30712,8.26411,8.24947,8.63290,8.78778,8.71380,8.66076,8.73076,8.50133,8.13236,7.80077,7.65313
2021,Singleton 66_11kV,06MAY2020,MW,7.57190,7.45061,7.30415,6.95574,6.97777,6.77610,6.59353,6.36724,6.14257,6.05668,6.07408,5.91665,5.99127,6.04160,6.09522,5.92246,6.14677,6.21720,6.24564,6.47814,6.68158,6.86937,7.06940,7.27912,7.38508,7.67444,7.92606,8.22004,8.38453,8.60983,8.63610,8.69009,8.76841,8.53290,8.11758,7.99741,8.21514,8.39846,8.35842,8.38017,8.33738,8.24468,8.02966,7.91544,7.63301,7.27818,6.78376,6.49434,6.05684,5.86914,5.79250,5.75078,5.80227,6.00503,6.31383,6.33737,6.49231,6.55650,6.58984,6.73784,6.88310,6.98586,7.27789,7.41317,7.61030,7.98176,8.20260,8.31082,8.44955,8.84614,9.26167,9.42271,9.36360,9.34139,9.26449,9.24210,9.04755,8.82405,8.74760,8.78593,8.67070,8.49642,8.68603,8.49415,8.59689,8.63392,8.57416,8.79592,8.91889,8.48221,8.63084,8.67080,8.42630,8.16353,8.22787,8.16787
2021,Singleton 66_11kV,07MAY2020,MW,8.00344,7.88380,7.56773,7.43515,7.13914,6.94299,6.62375,6.54682,6.49346,6.46632,6.29642,6.37650,6.39814,6.38910,6.27704,6.14790,6.37205,6.55920,6.57000,6.74891,7.00294,7.30347,7.43867,7.60226,7.93738,8.26815,8.47209,8.68816,8.78197,8.94193,8.98704,9.01520,9.00147,8.95952,9.08253,9.14535,9.30807,9.09350,8.49829,8.38283,8.19827,7.98582,7.83068,7.95567,7.76241,7.55465,7.43030,7.48199,7.48181,7.36196,7.36428,7.35839,7.23844,7.38554,7.39439,7.01750,6.84087,7.01118,7.19601,7.41509,7.58573,7.59008,7.70775,7.73795,7.93195,8.03475,8.17237,8.33318,8.48553,8.83850,9.05318,9.24366,9.38097,9.38654,9.21500,9.05488,8.87890,8.78156,8.82090,8.71352,8.52570,8.35648,8.72778,8.43071,8.28456,8.23860,8.20241,8.56688,8.67304,8.44519,8.46371,8.74315,8.56075,8.27424,8.19386,7.92000
2021,Singleton 66_11kV,08MAY2020,MW,7.91521,7.65624,7.35814,7.26474,7.10789,7.06678,6.79070,6.65659,6.52272,6.26785,6.10799,6.01553,6.24712,6.24988,6.25410,6.25410,6.33498,6.44095,6.56919,6.63636,6.69346,7.08763,7.29076,7.66494,7.79650,8.02684,8.27563,8.49940,8.54331,8.76096,8.74619,8.60263,8.65417,8.52513,8.41729,8.27472,8.28116,7.90302,7.72437,7.49412,7.31482,7.16399,7.03697,6.84166,6.72881,6.64402,6.61167,6.56526,6.45593,6.37740,6.43851,6.56378,6.65910,6.61081,6.64067,6.57437,6.62837,6.83530,7.05269,7.23372,7.47419,7.72655,7.40158,7.54053,7.71421,8.00969,8.11480,8.16660,8.18052,8.38797,8.59460,8.79262,8.70614,8.54680,8.43490,8.38710,8.21083,8.00910,8.00910,7.94325,7.99059,7.83720,8.06460,7.81015,7.87089,7.92412,7.67186,8.07457,8.34026,8.26031,8.27861,8.42882,8.29154,7.94383,8.02643,7.80878
2021,Singleton 66_11kV,09MAY2020,MW,7.67250,7.41799,7.21110,7.02146,6.90032,6.70624,6.57838,6.43327,6.24861,5.98232,5.86040,6.05610,6.08406,6.06600,6.06600,5.95278,6.10001,6.19219,6.19246,6.18266,6.40792,6.48540,6.53618,6.74542,6.91512,7.05012,7.04407,7.21463,7.44359,7.56285,7.88771,8.08038,8.21844,8.27196,7.92956,8.23570,7.87837,7.83258,7.29948,6.98764,6.62757,6.57639,6.40144,6.29493,6.91696,5.83408,5.58314,5.31880,5.61485,6.00834,6.49406,6.89124,7.05004,7.08711,6.88259,6.52366,6.65617,6.64994,6.93696,7.49347,7.35282,6.86787,6.76621,6.57883,6.40515,6.53072,6.64333,6.99938,7.12236,7.64684,8.01128,7.97581,7.94430,7.99885,7.76741,7.70440,7.65900,7.41759,7.35300,7.26241,7.14122,6.86138,6.81210,6.73748,6.60112,6.35507,6.52860,6.46492,6.26059,6.25440,6.24780,6.17083,6.03773,5.99374,5.89892,6.05970
2021,Singleton 66_11kV,10MAY2020,MW,5.96302,5.82822,5.76790,5.65020,5.50720,5.40103,5.20513,5.17680,5.10243,4.97207,5.00490,4.98473,5.04588,5.05550,5.02502,5.01650,5.00070,4.92370,4.91404,5.10935,5.12640,5.14729,5.13720,5.26771,5.29107,5.25330,5.33984,5.66010,5.58426,5.74185,5.77076,5.77639,5.73390,5.73249,5.81325,5.89130,5.58165,5.38737,5.28683,5.13994,4.98917,4.92194,4.72986,4.44337,4.41180,4.26432,4.25100,4.15242,4.09031,4.24259,4.24440,4.12558,3.99386,3.74341,3.92287,3.90543,3.97348,3.82424,3.93629,4.40180,4.64286,4.67283,4.86017,5.21370,5.59685,5.90320,6.21287,6.48113,6.77126,7.33089,7.77631,7.94236,7.78247,7.84256,7.85430,7.85430,7.81864,7.60124,7.56705,7.55617,7.63190,7.45277,7.23562,7.02646,6.90733,6.70828,6.75469,6.62760,6.62250,6.31972,6.27649,6.26429,6.12189,6.02370,5.97240,5.98826
