year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Singleton North 66_11kV,01MAY2020,MW,8.80000,8.33749,8.00417,7.66111,6.80000,6.40139,5.93750,5.33750,5.30000,4.97083,4.80000,4.67361,4.30000,3.90139,3.80000,3.80000,3.80000,3.80000,3.80000,3.80000,3.80000,3.80000,3.93194,4.42917,4.80000,4.80000,4.95500,5.64861,5.65417,5.40000,5.40000,5.40000,5.40000,5.26806,4.90000,5.08750,4.90417,4.56389,3.90000,3.90000,3.47361,3.33750,2.90000,3.36639,3.70722,3.34750,3.07778,3.17833,3.72500,3.24111,2.42500,2.49722,3.72917,2.82361,2.67056,2.79306,3.00000,3.00000,3.42194,3.10000,3.44306,3.60000,3.95139,4.10000,4.48889,5.10000,5.10000,5.56250,6.12778,6.60000,7.03472,7.23194,7.60000,7.60000,7.60000,7.60000,7.60000,7.60000,7.60000,7.60000,7.27083,7.10000,7.07083,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,7.99250,8.30000,8.30000,8.65582,9.00000
2021,Singleton North 66_11kV,02MAY2020,MW,9.00000,8.66805,8.17500,7.50000,7.07361,6.80417,6.00417,5.53472,5.50000,5.17083,4.50139,4.50000,4.50000,4.41528,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.19306,4.50000,4.50000,4.50000,4.50000,4.50000,4.50000,4.50000,4.50000,4.40139,4.51167,4.17083,4.10000,3.93472,3.27083,3.10000,3.10000,2.86806,2.60000,2.57083,2.10000,2.10000,2.68944,2.67778,3.28889,2.72861,2.40000,2.68056,2.40000,2.70917,3.37083,3.54444,4.32639,4.50000,4.50000,4.50000,4.96250,5.00000,5.00000,5.00417,5.69861,6.02639,6.50000,7.29444,7.50000,7.50000,7.89306,8.00000,8.00000,7.76528,7.50000,7.50000,7.50000,7.50000,7.23472,7.00000,6.67083,6.50000,6.31528,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,5.90694,5.50000,5.50000
2021,Singleton North 66_11kV,03MAY2020,MW,5.50000,5.37083,5.00000,5.00000,5.00000,5.00000,4.83750,4.50000,4.50000,4.50000,4.50000,4.50000,4.20417,4.00000,3.77083,3.50000,3.50000,3.50000,3.50000,3.50000,3.50000,3.50000,3.50000,3.50000,3.50000,3.56250,4.00000,4.00000,4.00000,4.00000,4.09583,4.50000,4.50000,4.50000,4.50000,4.50000,4.13750,4.00000,3.97083,3.50000,3.50000,3.15278,2.50000,2.50000,2.50000,2.16250,2.00000,2.00000,2.00000,2.00000,2.00000,2.17778,2.00000,2.11111,2.00000,2.00000,2.02917,2.50000,2.50000,2.50000,2.79306,3.00000,3.22639,3.50000,3.76806,4.32639,4.92917,5.13750,6.06944,6.50000,7.49167,7.62917,8.00000,8.00000,8.00000,8.00000,7.83750,7.50000,7.50000,7.50000,7.50000,7.17083,6.70417,6.50000,6.50000,6.44028,6.00000,6.00000,6.00000,6.00000,5.83750,5.50000,5.00139,5.00000,5.00000,5.00000
2021,Singleton North 66_11kV,04MAY2020,MW,5.00000,5.00000,5.00000,5.00000,5.00000,5.00000,4.77083,4.50000,4.50000,4.50000,4.50000,4.50000,4.33472,4.00000,3.57083,3.50000,3.50000,3.50000,3.52917,4.00139,4.50000,4.50000,4.50000,4.82361,5.36250,5.50000,5.50000,5.88611,6.25694,6.00000,6.00000,6.00000,6.00000,5.74028,5.50000,5.30694,4.50417,4.50000,4.40417,3.60139,3.26806,3.00000,3.00000,2.82083,2.40417,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.04306,2.53194,3.00000,3.00000,3.42917,3.50000,3.92639,4.00000,4.52778,5.26250,5.52639,6.00000,6.79444,7.00000,7.00000,7.00000,7.00000,7.00000,7.00000,7.00000,7.00000,7.00000,6.56806,6.50000,6.50000,6.50000,6.20139,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,7.41194,7.70000,7.70000,8.05972,8.39999
2021,Singleton North 66_11kV,05MAY2020,MW,8.39999,8.13472,7.90000,7.63472,6.80556,6.40000,6.06806,5.43194,4.97083,4.90000,4.90000,4.63750,4.40000,4.13472,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90972,4.40000,4.40000,4.40139,4.90000,5.26250,5.40000,5.89306,5.90000,5.90000,5.90000,5.90000,5.20000,4.90000,4.90000,4.64861,4.26806,3.94583,4.65972,4.68611,3.90000,3.66806,4.18611,4.07500,3.75528,4.52639,5.00000,5.00000,5.00000,5.00000,4.36667,3.46944,4.87917,4.51111,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.92917,5.40000,5.61528,5.90000,6.05972,6.40000,6.99028,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.06806,6.57083,6.50000,6.50000,6.50000,6.10417,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,6.00000,7.08694,7.66528,7.80000,8.21111,8.60000
2021,Singleton North 66_11kV,06MAY2020,MW,8.60000,8.27083,8.07361,7.20417,7.10000,6.43889,5.74028,5.60000,5.10139,5.07083,4.50139,4.10000,4.10000,4.10000,4.10000,4.10000,4.10000,4.10000,4.10000,4.10000,4.10000,4.10000,4.10000,4.32917,4.60000,4.93472,5.10000,5.22917,5.60000,5.60000,5.60000,5.60000,6.05972,6.10000,6.10000,6.10000,6.10000,6.10000,6.10000,5.90417,5.19306,5.10000,5.10000,5.10000,4.60139,4.18056,3.58750,2.77361,2.60000,2.60000,2.60000,2.60000,2.60000,2.60000,2.60000,2.60000,2.60000,2.60000,2.60000,2.60000,2.60000,2.86250,3.10000,3.62500,4.10000,4.21528,4.60000,4.86528,5.10000,5.69167,6.38472,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.16806,6.10000,6.10000,6.10000,6.03472,5.60000,5.60000,5.60000,5.60000,5.60000,5.60000,7.43944,7.80000,7.80000,8.15582,8.95972
2021,Singleton North 66_11kV,07MAY2020,MW,9.00000,8.23055,7.90417,7.23750,6.67361,6.37361,5.70694,5.30417,5.00000,5.00000,4.67639,4.50000,4.50000,4.50000,4.50000,4.16806,4.00000,4.00000,4.00000,4.00000,4.43194,4.50000,4.50000,4.67361,5.42917,5.50000,5.50000,5.69583,5.69833,5.40000,6.19167,6.40000,6.40000,6.13472,5.90000,5.90000,5.90000,5.52972,4.54861,4.30000,4.07361,3.80000,3.80000,3.80000,3.80000,3.47361,3.30000,3.30000,3.30000,3.30000,3.30000,3.30000,3.30000,3.30000,3.30000,3.30000,3.06806,2.97917,3.30000,3.30000,3.30000,3.62639,3.80000,3.80000,3.94583,4.30000,4.30000,4.62917,4.86417,5.90000,6.23194,6.40000,6.40000,6.40000,6.40000,6.40000,6.40000,6.40000,6.40000,6.40000,6.10417,5.90000,5.90000,5.90000,5.90000,5.57639,5.40000,5.40000,5.40000,5.40000,5.40000,7.16750,7.50000,7.50000,8.16805,8.80000
2021,Singleton North 66_11kV,08MAY2020,MW,8.80000,8.01666,7.73194,7.30000,6.57222,6.23750,5.80000,5.63472,4.93750,4.80000,4.80000,4.47083,4.30000,4.30000,4.30000,4.30000,4.30000,4.30000,4.30000,4.30000,4.30000,4.30000,4.30000,4.30000,4.76417,5.40000,5.40000,5.46528,5.90000,5.90000,5.90000,5.90000,5.90000,5.45000,4.90000,4.84028,4.40000,4.13750,3.52639,3.40000,3.40000,2.82778,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.40000,2.63194,2.90000,2.90000,2.90000,2.90000,3.07083,3.40000,3.40000,3.97500,4.40000,4.43194,4.90000,4.90000,4.90000,4.99583,5.40000,5.40000,5.40000,5.40000,5.40000,5.37083,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,4.90000,6.74389,7.10000,7.10000,7.73861,8.39999
2021,Singleton North 66_11kV,09MAY2020,MW,8.39999,7.86389,7.28750,6.70417,6.37083,5.90000,5.40139,5.13750,4.54028,4.40000,4.40000,4.26806,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,3.90000,4.16250,4.40000,4.40000,4.40000,4.40000,4.49861,5.12361,4.40000,4.70139,4.41917,3.80000,3.40833,2.80000,2.80000,2.89306,3.05056,1.84444,1.70000,1.70000,1.70000,2.79556,3.50000,3.50000,3.50000,3.50000,3.50000,3.50000,3.50000,3.50000,3.89444,4.50000,4.50000,4.50000,4.50000,4.43472,4.00000,4.19583,4.59583,5.00000,5.00000,5.52139,6.12639,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.60000,6.30417,6.10000,6.10000,6.10000,6.10000,5.83472,5.60000,5.60000,5.60000,5.53750,5.10000,5.10000,5.10000,5.10000,5.10000,5.10000
2021,Singleton North 66_11kV,10MAY2020,MW,5.10000,5.10000,5.10000,5.10000,4.66806,4.60000,4.60000,4.40833,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.60000,3.90972,4.10000,4.10000,4.10000,4.10000,4.10000,4.10000,3.90139,3.60000,3.60000,3.60000,3.47500,2.60000,2.60000,2.60000,2.14861,2.10000,2.10000,2.10000,2.10000,2.10000,2.10000,2.10000,2.10000,2.10000,2.10000,2.10000,2.10000,2.10000,2.10000,2.32917,2.60000,2.60000,3.52500,3.69028,4.10000,5.02778,5.62778,6.13194,6.66528,7.56250,7.90972,8.10000,8.10000,8.10000,8.10000,8.10000,8.10000,8.10000,8.10000,8.10000,7.63750,7.60000,7.60000,7.30139,7.10000,7.10000,6.96806,6.60000,6.20417,6.10000,6.10000,6.10000,6.10000,6.10000,6.10000
