year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,St Ives 33_11kV,01MAY2020,MW,19.02168,19.00319,18.17134,17.82011,17.98648,17.17312,16.41521,15.58336,14.99182,14.36331,13.75328,13.23569,12.95840,12.49626,12.10806,12.10806,11.90472,11.75684,11.75684,11.75684,11.96018,12.25595,12.40383,12.75506,13.58691,14.65908,15.74973,16.78492,17.24706,18.68894,19.65019,20.62992,21.22146,21.38783,21.66512,21.57269,21.09206,20.72235,20.14930,19.55776,19.44685,19.35442,18.98471,18.43014,18.70742,18.46711,18.04194,17.67223,17.54283,18.91076,19.74262,19.39139,18.41165,17.80163,17.37646,17.06220,17.06220,17.54283,17.37646,17.74617,17.70920,18.39317,18.87379,19.59473,20.05687,20.68538,21.55420,22.75577,23.64308,25.56558,27.28474,28.78207,29.61392,29.92818,29.39210,29.35513,29.00390,28.20902,27.74688,27.43262,27.11837,26.76714,26.26803,25.78741,25.38072,24.91858,24.38250,23.43973,23.92036,24.32704,23.62459,22.60788,21.84997,21.53572,22.14574,21.25843
2021,St Ives 33_11kV,02MAY2020,MW,21.01812,20.75932,19.66867,19.02168,19.28048,18.31923,17.48737,16.69249,16.06398,15.41699,14.75151,14.27088,13.82723,13.32811,13.08780,12.62566,12.40383,12.40383,12.40383,12.40383,12.55172,12.42232,12.62566,12.95840,13.43903,13.84571,14.47422,14.95485,15.39850,16.47067,17.35797,18.09740,18.83682,19.39139,19.66867,19.81656,20.24173,20.20476,20.09384,19.92747,19.24350,18.85531,18.70742,18.06043,17.59829,17.13615,17.02523,17.02523,16.93281,16.65552,16.56309,16.48915,16.23035,16.13792,16.26732,15.93458,16.24884,16.24884,16.28581,16.78492,17.26555,17.26555,17.72769,18.46711,19.05865,19.76110,20.99964,22.29363,23.23639,24.90010,26.95200,28.44933,28.96693,28.96693,28.96693,28.59722,28.04265,27.50657,26.76714,26.37894,25.67649,25.30678,24.97404,24.60433,24.23462,23.82793,23.73550,22.97760,23.43973,23.49519,23.23639,22.58940,21.66512,21.35086,21.62815,20.98115
2021,St Ives 33_11kV,03MAY2020,MW,20.77781,20.75932,19.87202,19.50230,19.50230,18.76288,17.91254,17.21009,16.32278,15.73124,15.17667,14.38179,13.80874,13.51297,13.21720,12.90295,12.73658,12.44081,12.47778,12.51475,12.42232,12.62566,12.82900,12.99537,13.49448,13.95662,14.54816,15.13970,15.71276,16.50764,17.33949,18.20831,18.92925,19.53927,19.68716,20.01990,20.01990,20.01990,19.74262,19.59473,19.22502,18.74439,18.46711,17.91254,17.37646,16.98826,16.56309,16.47067,16.34127,16.06398,16.06398,16.00853,15.69427,15.65730,15.65730,15.65730,15.65730,15.65730,15.82367,16.02701,16.34127,16.48915,17.02523,17.54283,18.11588,18.98471,20.07536,21.40632,22.57091,24.29007,26.43440,27.74688,28.44933,28.83753,28.76359,28.28296,27.74688,27.15534,26.89654,26.50834,25.91680,25.43618,25.23284,24.65978,24.23462,23.25488,22.77425,22.01634,22.38606,22.12726,22.01634,21.14752,20.35264,20.13081,20.62992,20.05687
2021,St Ives 33_11kV,04MAY2020,MW,19.92747,20.03839,19.29896,18.94774,19.15108,18.30074,17.54283,16.71098,15.99004,15.38002,14.75151,14.10451,13.73480,13.51297,13.06932,12.68112,12.75506,12.60718,12.60718,12.68112,12.69960,13.06932,13.18023,13.79025,14.89939,16.10095,17.21009,18.17134,18.91076,20.14930,21.38783,22.53394,23.42125,23.69853,23.77248,23.58762,22.86668,22.42303,21.57269,20.87024,20.16778,19.63170,19.05865,18.59651,18.11588,17.80163,17.37646,17.13615,16.95129,16.61855,16.56309,16.71098,16.37824,16.91432,16.76644,16.13792,15.78670,15.58336,15.41699,15.71276,16.60006,16.69249,16.98826,17.57980,18.17134,18.96622,20.35264,21.99786,23.23639,25.34375,27.39565,29.04087,29.76181,30.03909,29.78029,29.18876,28.37539,27.83931,27.41414,27.22928,26.58229,25.93529,25.36224,24.62281,23.92036,23.05154,22.70031,21.94240,21.96089,22.10877,21.68360,20.94418,20.18627,19.87202,20.42658,19.68716
2021,St Ives 33_11kV,05MAY2020,MW,19.50230,19.66867,18.78136,18.48560,18.63348,17.89406,16.95129,15.91610,15.41699,15.01030,14.28937,13.62388,13.53146,13.06932,12.71809,12.36686,12.16352,12.07109,11.81230,11.92321,12.23746,12.55172,12.79203,13.10629,13.95662,14.97333,16.28581,17.09918,17.56132,18.87379,20.01990,21.29541,22.58940,23.47671,23.75399,22.51546,21.72057,20.68538,19.89050,19.05865,18.30074,17.74617,17.28403,17.08069,17.57980,17.91254,16.61855,16.52612,16.93281,17.19160,17.59829,16.91432,17.32100,16.80341,16.06398,15.84216,15.50941,15.50941,15.60184,15.89761,15.89761,16.28581,16.72946,16.96978,17.39495,17.93103,18.83682,19.89050,21.18449,22.82971,24.95555,26.45289,27.04443,27.24777,27.22928,26.67471,26.02772,25.60255,24.91858,24.65978,24.21613,23.80945,23.32882,22.97760,22.18271,21.66512,21.40632,20.75932,21.18449,21.62815,21.14752,20.37113,19.48382,19.31745,20.00141,19.53927
2021,St Ives 33_11kV,06MAY2020,MW,19.46533,19.42836,18.50408,18.17134,18.50408,17.54283,16.63704,16.08247,15.15819,14.58513,14.03057,13.58691,13.08780,12.95840,12.42232,12.25595,12.25595,12.21898,11.92321,12.07109,12.31141,12.62566,12.93992,13.43903,14.47422,15.39850,16.39672,17.61677,18.18983,19.18805,20.16778,20.96267,21.62815,22.03483,21.90543,21.36935,20.64841,19.94596,19.20653,18.87379,17.94951,17.50586,17.09918,16.39672,15.89761,15.38002,15.23213,15.26910,14.95485,14.91788,15.15819,15.04727,15.06576,14.64059,14.43725,14.40028,14.40028,14.40028,14.14148,14.54816,14.75151,14.99182,15.50941,15.63881,16.08247,16.60006,17.52434,18.67045,19.42836,21.46178,23.49519,24.75221,25.45466,25.86135,25.56558,25.36224,24.58584,24.06825,23.86490,23.60611,23.10699,22.66334,22.14574,21.90543,21.51723,20.99964,20.55598,20.07536,20.50053,20.94418,20.51901,20.07536,19.26199,19.26199,19.87202,19.29896
2021,St Ives 33_11kV,07MAY2020,MW,19.37290,19.37290,18.43014,17.91254,18.20831,17.32100,16.65552,15.99004,15.10273,14.49271,13.97511,13.51297,13.14326,12.69960,12.29292,11.94169,11.94169,11.94169,11.94169,11.94169,12.16352,12.57020,12.62566,13.12477,14.19694,15.17667,16.17490,16.91432,17.45040,18.52257,19.53927,20.61144,21.36935,21.70209,21.81300,21.94240,21.46178,21.03661,21.03661,20.61144,20.01990,19.79807,19.39139,18.79985,17.96800,17.52434,17.19160,17.70920,17.85709,17.46889,16.19338,16.45218,15.87913,15.49093,15.17667,14.84393,15.63881,14.99182,15.23213,15.39850,14.84393,15.21364,15.32456,16.43369,16.71098,17.04372,17.96800,19.04016,20.00141,21.59118,23.07002,24.36401,25.02950,25.38072,25.34375,25.15890,24.38250,23.75399,23.27336,22.97760,22.55243,22.18271,21.73906,21.35086,20.75932,20.14930,19.92747,19.39139,19.87202,20.38961,20.14930,19.46533,18.85531,18.68894,19.40988,18.85531
2021,St Ives 33_11kV,08MAY2020,MW,18.91076,18.89228,18.04194,17.50586,17.93103,16.98826,16.04550,15.19516,14.76999,13.99360,13.43903,13.01386,12.62566,12.18201,11.81230,11.77532,11.77532,11.68290,11.66441,11.75684,11.75684,11.90472,12.14504,12.49626,13.43903,14.30785,15.13970,15.84216,16.21187,17.13615,17.78314,18.48560,18.98471,19.04016,19.18805,18.89228,18.24528,17.72769,17.35797,16.85886,16.37824,16.00853,15.60184,15.28759,15.06576,14.64059,14.40028,14.28937,14.56665,14.43725,14.30785,14.67756,14.32634,14.32634,14.27088,14.19694,14.12299,13.93814,14.15997,14.17845,14.25239,14.56665,14.93636,15.06576,15.89761,16.06398,16.60006,17.19160,17.85709,19.13259,20.35264,21.18449,21.48026,21.60966,21.59118,21.48026,20.81478,20.29718,19.94596,19.46533,19.13259,18.67045,18.30074,18.18983,17.91254,17.59829,17.59829,17.30252,18.07891,18.72591,18.70742,18.20831,17.61677,17.85709,18.87379,18.37468
2021,St Ives 33_11kV,09MAY2020,MW,18.37468,18.35620,17.46889,17.13615,17.33949,16.52612,15.65730,14.89939,14.27088,13.73480,12.99537,12.57020,12.23746,11.84927,11.68290,11.36864,11.27621,11.03590,11.03590,11.03590,11.03590,11.03590,11.09136,11.42410,11.75684,12.18201,12.73658,12.95840,12.95840,13.54994,14.45574,15.01030,15.36153,15.67578,15.86064,15.67578,16.08247,15.87913,15.15819,16.13792,16.95129,16.80341,16.74795,16.30430,15.87913,14.32634,14.56665,14.49271,14.08602,14.25239,13.93814,14.15997,15.30607,15.26910,14.23391,13.95662,15.08425,14.32634,14.41876,15.56487,14.95485,14.56665,14.91788,15.39850,15.63881,15.84216,16.37824,17.21009,17.83860,19.09562,20.62992,21.31389,21.44329,21.51723,21.49875,21.07358,20.48204,19.96444,19.44685,19.07713,18.55954,18.30074,18.09740,18.07891,17.56132,17.17312,17.02523,17.02523,17.65374,18.39317,18.59651,18.30074,17.59829,17.91254,18.87379,18.28225
2021,St Ives 33_11kV,10MAY2020,MW,18.24528,18.37468,17.57980,17.06220,17.35797,16.50764,15.60184,14.88090,14.19694,13.71631,13.34660,12.62566,12.31141,12.08958,11.66441,11.38713,11.38713,11.16530,11.05439,11.05439,11.38713,11.40561,11.49804,11.77532,12.16352,12.66263,13.16174,13.53146,14.03057,14.89939,15.76821,16.58158,17.24706,17.59829,18.06043,18.48560,18.81834,19.00319,18.65197,18.41165,18.39317,18.00497,17.93103,17.52434,16.76644,16.63704,16.61855,16.54461,16.08247,16.06398,15.62033,15.62033,15.32456,13.90117,14.12299,13.95662,13.95662,14.10451,14.82545,14.82545,15.26910,15.69427,16.56309,16.98826,17.65374,18.70742,19.94596,21.20298,22.38606,24.17916,25.99075,27.28474,27.76536,28.02416,27.85779,27.76536,27.41414,26.97048,26.60077,26.28652,26.06469,25.67649,25.28829,24.78918,24.38250,23.69853,23.16245,22.46000,22.49697,22.46000,21.96089,20.85175,20.07536,19.85353,20.51901,19.92747
