year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,St Peters 132_11kV,01MAY2020,MW,27.84661,27.37052,27.13142,26.79700,26.71295,26.29320,25.80220,25.65045,25.61683,25.44823,25.41162,25.18448,25.37749,25.36995,25.39924,25.35958,25.60404,25.53976,25.77499,25.96791,26.29696,26.57127,27.18087,27.81496,29.25469,30.16154,30.80947,32.31885,33.56313,34.52388,35.53872,36.35438,37.43025,37.96698,38.40707,38.54538,38.17262,38.10041,38.29935,38.54421,38.36672,38.71815,38.70720,38.89786,39.06846,39.02733,38.76740,38.96775,39.33452,38.96461,39.29818,40.61927,40.04090,39.04119,38.62894,38.98199,38.94229,39.04263,38.87265,38.75730,38.57981,38.64236,38.45167,38.55209,38.48350,38.49810,38.68409,38.66519,38.97746,39.61369,40.48888,41.19804,40.87797,40.90017,40.91945,40.70137,40.06364,39.31396,38.82402,38.21254,37.54106,36.80236,36.53962,36.24001,35.49619,34.89398,34.45361,33.94611,33.41339,32.60169,32.05654,31.56304,30.92005,30.32826,29.89682,29.31244
2021,St Peters 132_11kV,02MAY2020,MW,28.99752,28.58666,28.25200,27.75824,27.33566,26.89253,26.63338,26.26218,26.06191,25.96910,25.89177,25.64123,25.40321,25.29207,25.27404,25.14699,25.24513,25.05582,25.07762,25.24593,25.40612,25.59629,25.74199,26.10139,26.77810,27.21341,27.45830,27.76541,28.10030,28.72259,29.39906,29.73181,30.45124,30.93528,31.22012,31.65924,32.62247,32.42983,32.56656,32.83549,32.85493,32.80008,33.32545,33.41830,33.58706,33.63146,33.85869,33.96602,33.89336,33.85422,33.71978,33.66175,33.75455,33.51897,33.47402,33.44268,33.58197,33.57687,33.53627,33.71853,33.82474,33.88187,33.83160,34.19613,34.28671,34.67399,35.12558,35.55196,36.11993,37.07830,38.04627,38.89438,39.06603,38.97156,39.01008,38.70610,38.47896,37.57169,37.06469,36.59975,36.29907,35.95248,35.54041,34.96985,34.39258,33.83296,33.41521,33.11911,32.79113,32.33532,31.70773,31.14608,30.53661,30.03152,29.66946,29.25116
2021,St Peters 132_11kV,03MAY2020,MW,28.69351,28.24329,27.66331,27.25876,27.05485,26.60771,26.21422,25.95220,25.84428,25.69997,25.32937,25.24184,25.05926,24.95104,24.80658,24.78473,24.72354,24.78034,24.87835,24.75777,24.94463,24.99729,25.14945,25.20004,25.60653,25.83293,25.98806,26.35548,26.76099,28.12857,29.21002,27.78761,28.16990,28.65466,29.20351,29.52824,29.87918,30.06864,30.31627,30.61165,30.85848,31.08951,31.36667,31.45021,31.57651,31.62426,32.00386,31.99303,31.93651,31.81312,31.81410,31.75087,31.91521,31.79218,31.94696,31.91393,31.99201,31.81397,31.86148,32.32128,32.48708,32.56197,32.76610,33.12313,33.48498,34.24273,35.24072,35.35911,36.19775,37.02975,38.12891,39.01239,39.49284,39.86612,39.91500,39.55416,39.24043,38.74480,37.87287,37.54950,37.33237,36.75623,36.27524,35.79562,35.22815,34.60168,34.22067,33.48021,32.77208,32.13018,31.25289,30.66516,29.88416,29.22945,28.70676,28.26920
2021,St Peters 132_11kV,04MAY2020,MW,27.94557,27.51649,27.24348,26.89216,26.46084,26.12973,26.01436,25.81129,25.65033,25.50603,25.23221,25.24951,25.23514,25.27905,25.18742,25.25885,25.38579,25.38873,25.52298,25.88978,26.17100,26.50621,27.27982,28.15612,29.54175,30.50401,31.43531,32.56827,34.19586,35.25339,36.74096,37.51817,38.41085,39.26198,39.55537,39.61678,39.67133,39.41796,39.40520,39.83816,39.68021,39.75525,39.81855,39.99129,40.14475,39.92773,39.89487,39.88636,39.84926,39.82564,40.11443,40.03687,39.89458,39.58141,39.87600,40.07535,40.00322,40.17606,40.12431,40.48028,40.13811,39.88085,39.58919,39.36808,39.41428,39.59600,40.02142,40.52107,40.69768,41.64726,42.79372,43.27402,43.31450,43.55234,43.44778,43.30737,42.53646,41.93380,41.18051,40.38408,39.56772,38.73262,38.05369,37.34287,36.48171,35.60279,34.99403,34.35301,33.83171,32.80896,32.04697,31.17610,30.22386,29.60217,29.06607,28.50539
2021,St Peters 132_11kV,05MAY2020,MW,28.10146,27.69318,27.38478,26.99357,26.89091,26.49666,26.20286,26.09142,25.91741,25.69407,25.55368,25.48412,25.44341,25.48567,25.39146,25.34407,25.56533,25.65224,25.82933,26.15640,26.51930,26.81293,27.51005,28.33759,29.79166,31.02969,31.89639,33.08034,34.47265,35.66400,37.07681,38.32698,38.79840,39.55702,40.31511,39.88040,39.83878,40.10813,40.57878,40.98245,41.41072,41.12539,40.24838,40.44503,40.92959,40.78818,40.43652,40.47086,41.09527,40.73182,40.51647,40.73372,40.60050,40.17044,40.11543,40.36032,40.14815,39.70488,39.98984,40.09620,39.80065,39.23981,39.26868,39.27303,39.02546,39.32789,39.81051,40.30317,40.57516,41.04746,42.00912,42.70572,42.95197,43.01194,42.85779,42.80531,42.34813,41.74737,40.90561,40.09935,39.65169,38.90650,38.21635,37.48215,37.00061,36.26050,35.56564,34.61766,33.71737,32.91206,32.07157,31.37797,30.72306,29.95323,29.31572,28.80526
2021,St Peters 132_11kV,06MAY2020,MW,28.53002,27.94217,27.54589,27.20021,26.98422,26.62750,26.32880,25.97612,25.95454,25.77136,25.61237,25.56385,25.54133,25.47735,25.54566,25.55801,25.80891,25.93840,26.25841,26.53539,26.81133,27.10491,27.73251,28.74456,30.07390,30.96891,31.51702,32.70357,34.38391,35.78686,37.14125,38.08612,38.68052,39.11966,39.94076,39.96705,39.95604,39.81634,39.87493,40.38387,39.86164,40.09100,39.82798,39.80212,40.35531,40.52077,40.59126,40.52155,40.76416,40.64464,40.48884,40.28729,40.40686,40.49781,40.62742,40.54967,40.31055,40.35988,40.24404,40.08030,39.87181,39.77355,39.89964,39.69534,39.45585,39.48501,39.62558,39.86578,39.83605,40.56538,41.92147,42.46038,42.58834,43.00436,42.91573,42.50276,41.70061,41.14705,40.65318,40.02666,39.15707,38.44367,37.95315,37.37851,36.29090,35.56101,35.15360,34.35899,33.65414,32.86044,32.04947,31.30492,30.64600,29.87828,29.09052,28.66344
2021,St Peters 132_11kV,07MAY2020,MW,28.20986,27.71014,27.53295,27.14913,27.02136,26.63799,26.16062,26.11193,26.09904,25.69936,25.58476,25.53236,25.38019,25.45001,25.45764,25.45010,25.56544,25.65901,25.74976,26.13456,26.44634,26.90070,27.67709,28.11742,29.56630,30.24260,30.94304,32.18415,33.87713,34.97460,36.35280,37.43138,38.43576,39.08356,40.00132,40.21559,40.33994,40.26842,40.39232,40.39138,40.49616,40.86321,40.94363,40.67989,40.76622,40.64894,40.87339,40.80376,40.76276,41.02213,41.41653,40.62675,40.98572,41.15794,41.26068,40.49865,40.71762,40.76561,40.74114,40.53141,40.30306,40.52929,39.96772,39.92156,39.71251,39.53645,40.03553,40.11772,40.36940,40.86791,41.95934,42.18716,42.21511,42.19446,41.92712,41.72566,41.56669,40.72575,40.04784,39.43137,38.78051,38.08690,37.38738,36.84860,36.00214,35.29907,34.68017,33.92620,33.29218,32.59705,31.77616,30.99509,30.50304,29.63828,29.28515,28.86260
2021,St Peters 132_11kV,08MAY2020,MW,28.42373,27.99133,27.73397,27.20894,26.89294,26.41793,26.32495,26.11460,26.03607,25.85402,25.77348,25.58084,25.60594,25.61513,25.61877,25.59519,25.73403,25.83449,25.93336,26.20677,26.49465,26.72678,27.28805,28.03026,29.52226,30.26508,30.93260,31.88150,33.41467,34.38565,35.43363,36.06314,37.17098,38.04925,38.59751,39.07039,39.09757,39.26238,39.23776,39.51093,39.64548,39.74620,39.77457,40.19431,40.22169,40.21223,40.29402,40.18531,40.11836,40.16564,40.34975,40.36859,40.71878,40.60278,40.30331,40.61526,40.61370,40.79237,40.52928,40.53599,40.50493,40.31834,40.31908,40.42718,40.07297,40.41207,40.05548,40.15692,40.33596,40.73981,41.37203,41.51369,41.34527,41.11380,40.79542,40.34660,39.41420,38.52524,37.50029,36.99121,36.44984,36.21770,35.79476,35.36285,34.50574,34.12580,33.79273,33.14766,32.46928,31.92304,31.27678,30.91160,30.35934,29.95908,29.52859,29.13967
2021,St Peters 132_11kV,09MAY2020,MW,28.74736,28.27650,27.89171,27.54349,27.04330,26.75183,26.18906,26.03733,25.87032,25.74165,25.47359,25.35545,25.27058,25.14837,25.17449,25.14200,25.08439,25.12611,25.03822,25.15261,25.23320,25.43040,25.80943,26.12369,26.88346,27.26456,27.40405,27.88100,28.50249,29.52321,30.04799,30.58186,30.87371,31.24787,31.66344,32.88079,33.04106,33.60232,33.52502,34.96743,35.71404,35.77472,35.35428,35.40550,36.21450,35.91373,35.59006,35.03353,35.03232,35.06847,35.21026,35.01604,35.62423,36.09703,35.92016,34.68328,35.09933,35.01039,34.84717,34.77150,35.25813,35.21645,35.44186,35.56843,35.62236,35.50985,35.63425,36.01048,36.24882,36.70222,37.42720,37.84677,37.73378,37.60187,37.41911,37.00137,36.59444,36.26457,35.56903,35.20230,34.57310,33.97325,33.66341,33.19203,32.79159,32.42005,31.95548,31.80202,31.37762,30.87594,30.33613,29.96167,29.55951,29.28981,28.95367,28.43641
2021,St Peters 132_11kV,10MAY2020,MW,27.85708,27.38334,27.06821,26.70565,26.42361,25.97213,25.65913,25.47437,25.25369,25.11403,25.03485,24.77843,24.76522,24.57086,24.51493,24.52154,24.55352,24.59728,24.54645,24.61150,24.63033,24.64555,24.80454,24.90768,25.31751,25.51529,25.67097,25.99237,26.58635,26.77321,27.05803,27.38848,28.11377,28.71312,29.12194,29.60795,30.03602,30.33963,30.61558,31.05593,31.34042,31.62267,31.53103,31.48609,31.65502,31.51199,31.61153,31.56899,31.37892,31.40204,31.40719,31.58732,31.49965,31.44682,31.29740,31.29374,31.27724,31.59595,31.68116,31.63366,31.79595,32.11156,32.33073,32.60265,33.31684,33.54013,34.28697,34.90855,35.47262,36.65833,37.72356,38.08171,38.69961,38.78921,38.80176,38.51081,38.17643,37.59839,37.26094,36.93719,36.38409,36.03483,35.84925,35.34998,34.58591,34.14523,33.42262,32.96426,32.31632,31.71245,30.94105,30.19369,29.47230,28.86752,28.48925,28.14890
