year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Stockton 33_11kV,01MAY2020,MW,2.52739,2.32330,2.34551,2.36532,2.28644,2.12970,2.06609,2.05117,1.86732,1.83825,1.78162,1.67923,1.64145,1.65710,1.61665,1.63656,1.63757,1.69325,1.72562,1.77811,1.74456,1.84193,1.97735,2.02547,2.21741,2.30328,2.48383,2.60440,2.59256,2.61599,2.64513,2.57311,2.52174,2.48297,2.44391,2.37114,2.23043,2.15871,2.11951,2.11179,2.03479,1.79084,1.90105,1.94680,1.75450,1.70898,1.73719,1.66539,1.67369,1.71018,1.71585,1.77725,1.77942,1.71374,1.63466,1.73284,1.60161,1.68133,1.72510,1.84186,1.90958,2.02471,2.18123,2.36100,2.48664,2.75473,3.04392,3.34032,3.61627,3.95201,4.18503,4.32309,4.39168,4.50977,4.38509,4.30298,4.20136,4.11736,4.09212,3.92871,3.79317,3.69070,3.61244,3.48595,3.32600,3.23925,3.17353,3.06866,3.38121,3.20620,2.96638,2.75735,2.90185,2.75771,2.76456,2.78234
2021,Stockton 33_11kV,02MAY2020,MW,2.69348,2.51487,2.51392,2.49230,2.33164,2.19542,2.06805,1.94892,1.97605,1.89049,1.82021,1.72487,1.71723,1.72199,1.68657,1.70657,1.67726,1.62284,1.66671,1.69492,1.74115,1.78968,1.89399,1.89648,1.98050,2.09624,2.17989,2.34098,2.45251,2.52049,2.57987,2.64936,2.56127,2.68825,2.60492,2.53372,2.49913,2.39483,2.24960,2.14613,2.07009,2.10517,1.98447,1.76595,1.72892,1.74186,1.75881,1.71266,1.69341,1.68914,1.58630,1.60764,1.57410,1.53993,1.64608,1.60783,1.55992,1.62341,1.69365,1.73570,1.91363,1.94047,2.10214,2.27529,2.35912,2.54736,2.79294,3.01304,3.25007,3.56344,3.97332,4.07250,4.13652,4.06458,3.95548,3.85201,3.75710,3.70367,3.49001,3.40877,3.30803,3.17433,3.18348,3.03486,2.96365,2.83427,3.04423,2.97934,2.79955,2.62582,2.69040,2.57782,2.77884,2.57862,2.41928,2.36177
2021,Stockton 33_11kV,03MAY2020,MW,2.27141,2.11595,2.15919,2.22273,2.01792,1.86510,1.80493,1.71735,1.72531,1.70792,1.63599,1.64925,1.65904,1.63767,1.67167,1.65683,1.62860,1.64121,1.63502,1.67294,1.71557,1.72043,1.78617,1.83499,1.88143,1.93720,2.11913,2.30185,2.33039,2.44401,2.56533,2.56157,2.57594,2.59987,2.52393,2.48662,2.52970,2.33779,2.24792,2.10678,2.02029,1.91172,1.77081,1.75972,1.66123,1.62466,1.59563,1.57864,1.53969,1.53532,1.58216,1.57058,1.51009,1.49596,1.52593,1.51683,1.53707,1.62235,1.65033,1.80909,1.99986,2.31879,2.48016,2.37215,2.57437,2.76905,2.94555,3.09472,3.43167,3.73839,4.04779,4.12908,4.08320,4.00942,3.91770,3.87092,3.77284,3.73801,3.55940,3.41625,3.32818,3.22250,3.11210,2.98176,2.96132,2.75779,2.95175,2.80156,2.65617,2.45682,2.56101,2.41071,2.69791,2.57454,2.38399,2.30392
2021,Stockton 33_11kV,04MAY2020,MW,2.27210,2.13050,2.19764,2.19905,1.98416,1.87401,1.89688,1.86244,1.74578,1.70437,1.68149,1.67656,1.69258,1.67039,1.63584,1.68397,1.68301,1.69323,1.70411,1.77448,1.85933,1.90038,1.96513,2.04886,2.30396,2.41086,2.57566,2.64517,2.74131,2.80347,2.87335,2.88743,2.78694,2.72262,2.59467,2.47535,2.41054,2.28042,2.06578,2.00337,1.87589,1.82036,1.67661,1.54735,1.44704,1.49648,1.44290,1.42027,1.41172,1.44231,1.42071,1.40402,1.33227,1.35791,1.37194,1.36649,1.44638,1.50615,1.54914,1.59054,1.68310,1.79605,1.89685,2.04071,2.24075,2.44077,2.75005,2.96524,3.28572,3.71634,4.00191,4.15735,4.11270,4.07598,3.94246,3.77380,3.74868,3.69156,3.42327,3.32123,3.23387,3.13648,3.07180,2.94217,2.87026,2.79174,2.79684,2.71020,2.99341,2.82837,2.69716,2.55396,2.68672,2.63050,2.62910,2.61149
2021,Stockton 33_11kV,05MAY2020,MW,2.61614,2.37933,2.40454,2.41087,2.25767,2.12608,2.02500,2.02808,1.95170,1.79539,1.74305,1.72109,1.71566,1.66152,1.69938,1.67677,1.67362,1.70695,1.68489,1.71232,1.77429,1.79395,1.87364,1.98858,2.16663,2.38167,2.45816,2.49122,2.53009,2.67721,2.72795,2.83302,2.63982,2.42327,2.26051,2.21199,2.58743,2.84394,2.84623,2.85438,2.72373,2.25544,2.06204,1.99594,1.79335,1.61244,1.43931,1.48463,1.50848,1.70264,1.67516,1.49932,1.62985,1.71511,1.85690,1.64848,1.69555,1.61723,1.49200,1.66551,1.95022,2.25607,2.36388,2.45626,2.47504,2.54247,2.67675,2.93315,3.17618,3.54517,3.82082,3.89795,3.89599,3.81144,3.70996,3.60026,3.53856,3.35144,3.25694,3.18312,3.10422,2.96886,2.87073,2.77727,2.68600,2.55562,2.55660,2.47671,2.76240,2.60874,2.56042,2.34983,2.52515,2.46639,2.44779,2.49774
2021,Stockton 33_11kV,06MAY2020,MW,2.47460,2.26907,2.31614,2.32214,2.22148,2.08233,2.00472,1.95927,1.89417,1.80696,1.66971,1.69432,1.66965,1.67127,1.63973,1.59877,1.59873,1.65726,1.61909,1.64565,1.75488,1.83760,1.85891,1.97258,2.09279,2.14299,2.30024,2.29267,2.49984,2.59405,2.58181,2.67344,2.70522,2.63247,2.60381,2.60523,2.52975,2.27859,2.09070,2.01486,1.90247,1.82825,1.80631,1.73543,1.53290,1.36383,1.33023,1.30495,1.29949,1.25417,1.22755,1.26738,1.30250,1.30743,1.34120,1.27457,1.25169,1.33889,1.40060,1.47316,1.58545,1.63371,1.70375,1.85593,2.04339,2.26843,2.47963,2.68408,2.99273,3.31014,3.55559,3.67104,3.66927,3.61459,3.55658,3.45125,3.35693,3.24737,3.20472,3.02709,2.95353,2.87246,2.81275,2.74741,2.70547,2.56422,2.54881,2.45680,2.69380,2.59787,2.48132,2.38661,2.61129,2.49305,2.50291,2.46881
2021,Stockton 33_11kV,07MAY2020,MW,2.39458,2.30862,2.28261,2.22953,2.17744,2.04243,1.92400,1.93200,1.84956,1.80348,1.73700,1.65708,1.65029,1.59848,1.61269,1.64094,1.60532,1.63490,1.66929,1.72189,1.76782,1.80953,1.91106,1.91903,2.16553,2.22604,2.41952,2.51724,2.52968,2.54683,2.51613,2.39396,2.41001,2.36135,2.28467,2.28461,2.26734,2.10891,2.04794,2.04495,2.00025,2.00779,1.84116,1.76269,1.75773,1.67503,1.73620,1.81855,1.85236,1.86789,1.80060,1.68053,1.54485,1.66017,1.70692,1.75706,1.74074,1.67749,1.97307,1.74150,1.90127,2.13295,2.11170,2.23423,2.31248,2.41388,2.64880,2.75212,3.03404,3.39867,3.65794,3.75332,3.66930,3.59464,3.56043,3.46879,3.29729,3.21902,3.16367,3.06035,2.99281,2.91763,2.86211,2.78894,2.65130,2.62162,2.51421,2.48225,2.81866,2.71107,2.56765,2.40909,2.62223,2.51723,2.52497,2.53810
2021,Stockton 33_11kV,08MAY2020,MW,2.49671,2.32496,2.33964,2.31812,2.20857,2.07988,2.01997,1.96470,1.87477,1.79545,1.76191,1.71270,1.66016,1.66723,1.64710,1.64026,1.63103,1.64173,1.69787,1.65244,1.72825,1.80941,1.84403,1.96345,2.19885,2.23715,2.46485,2.50801,2.50071,2.60472,2.55786,2.50216,2.46407,2.34864,2.27314,2.19006,2.04996,1.94798,1.82076,1.67206,1.60812,1.50744,1.38563,1.27422,1.28342,1.22587,1.16634,1.18496,1.15997,1.16331,1.21249,1.20885,1.31684,1.29382,1.30577,1.30756,1.37131,1.38806,1.43714,1.50351,1.57287,1.77153,1.91375,2.02173,2.12381,2.27963,2.42167,2.59616,2.73969,3.04189,3.24701,3.26871,3.28569,3.29364,3.20101,3.10852,3.04396,3.05399,2.93527,2.77527,2.69477,2.67134,2.52888,2.42080,2.40163,2.30047,2.37536,2.30595,2.59562,2.52245,2.35485,2.27485,2.49464,2.41501,2.44025,2.43925
2021,Stockton 33_11kV,09MAY2020,MW,2.38667,2.23039,2.27391,2.25898,2.17858,1.99901,1.85068,1.80470,1.79608,1.70663,1.67759,1.61246,1.62323,1.59490,1.56412,1.60536,1.51724,1.51806,1.57777,1.58078,1.64362,1.67112,1.68510,1.73369,1.79750,1.83471,1.99493,2.09121,2.16201,2.28609,2.43332,2.45798,2.46952,2.16018,2.21152,2.32898,2.25773,1.99647,1.98435,2.46932,2.43788,2.14580,2.31897,1.97604,1.71382,1.46516,1.38515,1.79618,1.82472,1.75598,1.71026,1.79684,1.52872,1.80922,2.20394,2.25032,2.20531,2.33010,2.41746,2.55478,2.50816,2.48056,2.57870,2.66729,2.70041,2.68986,2.57235,2.74183,2.86608,3.16940,3.41044,3.48357,3.44504,3.49721,3.30839,3.18529,3.13849,3.20053,3.04747,2.93556,2.84678,2.75823,2.66451,2.58203,2.58026,2.46732,2.74173,2.56075,2.44970,2.39477,2.40621,2.23363,2.51510,2.32351,2.19364,2.19605
2021,Stockton 33_11kV,10MAY2020,MW,2.11306,1.98745,2.09758,2.05546,1.90063,1.75559,1.66249,1.64527,1.67832,1.62343,1.55419,1.56787,1.55195,1.52230,1.57545,1.59382,1.57285,1.59906,1.59080,1.57765,1.58836,1.63827,1.71862,1.72657,1.82723,1.88480,1.96266,2.11783,2.18900,2.27333,2.39569,2.34700,2.44405,2.42308,2.47180,2.40666,2.34767,2.18244,2.01893,1.96191,1.90330,1.78816,1.70064,1.59605,1.58772,1.52693,1.43416,1.40328,1.40105,1.41056,1.34097,1.36516,1.41584,1.36605,1.38262,1.42389,1.40771,1.45178,1.54352,1.60559,1.73886,1.86733,1.95939,2.15521,2.40611,2.61464,2.79304,3.02269,3.29934,3.68948,4.00299,4.04733,3.98399,4.05088,3.95747,3.81402,3.75748,3.77738,3.57210,3.48477,3.36656,3.25532,3.19724,3.05161,3.01814,2.89529,3.12591,2.88797,2.70200,2.61679,2.56610,2.43098,2.66329,2.50991,2.34382,2.35966
