year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Surry Hills 33_11kV,01MAY2020,MW,12.32534,12.18418,11.99471,11.84047,11.70175,11.58801,11.38344,11.40099,11.39094,11.06184,11.01630,10.98156,10.72246,10.82965,10.89097,11.05950,11.06386,10.82863,10.86489,11.33669,11.57924,11.86736,12.06885,12.28335,13.24350,13.48134,13.80003,14.57077,15.49243,15.79192,15.03758,14.61131,14.75648,14.95588,15.17800,15.33303,15.37829,15.31812,15.54300,15.45298,15.33359,15.39267,15.43498,15.62375,15.74734,16.07553,16.54390,16.89107,16.92287,16.64231,17.05455,17.10239,17.11146,16.94592,16.87503,16.66084,16.96903,17.06354,16.73678,16.70761,16.64740,16.62451,16.65761,16.13275,16.58688,15.83585,16.18730,16.51867,16.62981,17.21935,17.46726,17.80714,17.08363,16.92507,17.02868,16.82136,16.51915,16.22002,15.46258,14.54839,14.38805,14.29899,13.85955,13.67905,15.35439,15.18940,14.93250,14.82054,14.42562,14.36572,14.11579,13.70632,13.57989,13.25626,13.10838,12.72352
2021,Surry Hills 33_11kV,02MAY2020,MW,12.66495,12.27242,12.14997,11.99610,11.83076,11.65511,10.83112,10.34686,10.67348,10.36860,10.24122,10.13388,9.93772,9.94576,9.58912,9.69773,9.78940,9.54124,9.65353,9.85865,9.90720,9.90879,9.93459,10.13764,10.56935,10.55790,10.89704,11.04034,12.19247,12.16036,12.25914,12.76235,13.30109,13.74227,13.97080,13.93058,14.04831,13.98105,14.01413,13.93290,14.29550,14.27600,14.28970,14.50348,14.56808,14.78434,14.68486,14.80618,14.88432,14.99996,15.10111,15.13460,15.13691,14.94852,14.94470,14.90938,14.95169,14.77326,14.80640,14.66761,14.73418,14.72907,14.58946,14.73593,14.81459,14.93183,15.11688,15.27573,15.34419,15.66611,16.01234,16.24430,16.22305,16.35904,16.41995,16.29494,16.13719,15.87952,15.79440,15.70740,15.54894,15.22281,15.24795,15.02585,14.88938,14.75959,14.60956,14.41300,14.07884,13.98192,13.66020,13.51504,13.39988,13.33826,13.08107,12.92461
2021,Surry Hills 33_11kV,03MAY2020,MW,12.68793,12.57109,12.42204,12.22326,12.03517,11.82461,11.51743,11.37499,11.11142,10.78965,10.30431,10.27540,10.12473,10.24484,9.87676,9.60946,9.72322,9.66157,9.66416,10.04165,9.96479,10.04110,10.72631,11.10337,10.99679,10.91234,11.25764,11.59099,11.44300,11.40006,12.32863,12.61501,12.70492,12.99579,13.23871,13.35682,13.37529,13.48545,13.66992,13.87038,13.87474,13.94493,14.16158,14.17316,14.20409,14.24387,14.38286,14.38900,14.41281,14.40445,14.45408,14.50848,14.36057,14.27594,14.38234,14.26255,14.03856,14.24575,14.33896,14.25775,14.44988,14.26882,14.11620,14.32294,14.47196,14.57673,14.73605,14.96688,15.37793,15.59153,16.27373,16.42194,16.54242,16.64150,16.73324,16.35518,16.39773,16.08876,15.96640,16.02790,15.85132,15.26734,15.32489,15.15863,14.89799,14.72906,14.66850,14.36998,14.11387,13.93266,13.68287,13.44057,13.21215,13.07702,13.10939,12.73311
2021,Surry Hills 33_11kV,04MAY2020,MW,12.52533,12.26566,11.99676,11.82404,11.71933,11.49616,11.35695,11.04592,10.50634,10.87917,10.91341,10.73306,10.59755,10.50379,10.09894,9.96427,10.05239,9.90160,10.44339,11.60641,11.93638,12.10916,12.22225,12.50792,13.32184,13.79548,14.18005,14.91735,15.84169,16.35934,16.85979,17.04035,15.88429,15.96263,15.98186,16.07566,16.03220,16.04568,16.13097,16.10830,16.25837,17.10062,17.55446,17.41112,17.32243,17.52264,17.90221,17.82248,17.99933,18.12336,17.93633,17.84526,17.76367,17.87797,17.68882,17.81466,17.67902,17.51921,17.61892,17.61560,17.48176,17.35959,17.24238,17.35693,17.44020,17.22755,17.56567,17.86377,18.08911,18.49800,18.75700,18.83079,18.22496,18.16666,18.07168,18.01090,17.48410,17.43611,17.05850,15.94591,15.46454,14.79303,14.59647,14.55042,14.03800,13.59243,13.41320,13.02158,14.63126,14.25538,13.77256,13.59654,13.38599,13.07729,12.88008,12.87568
2021,Surry Hills 33_11kV,05MAY2020,MW,12.62795,12.29400,12.07686,11.98743,11.84405,11.63212,11.59536,11.49314,11.37217,11.10402,11.12387,11.21972,11.17043,11.26440,11.32336,11.11275,11.28198,11.25303,11.38913,11.50272,11.80702,11.90697,12.12961,12.53121,13.32278,13.75878,14.36260,15.02099,15.88292,15.12585,15.53480,15.58736,15.55992,15.73383,15.92718,15.99386,15.94943,16.19690,16.21192,16.46826,16.38452,16.40503,16.34459,16.54440,16.52536,17.26463,17.45135,17.69440,18.04762,18.07081,17.89048,17.98237,18.06650,18.06924,18.21973,17.78232,17.86168,17.49064,17.58750,17.78476,17.65620,17.58257,17.67404,17.41603,17.21856,17.56320,17.55124,17.62832,17.80903,17.94113,18.26960,18.54780,18.05833,18.17927,17.95722,17.97913,17.56831,17.40976,17.10766,17.07121,16.23502,15.38044,15.01097,14.84009,14.31235,13.75893,13.45376,13.12293,14.57448,14.52258,14.13818,13.87443,13.51509,13.28491,12.93124,12.85258
2021,Surry Hills 33_11kV,06MAY2020,MW,12.66093,12.51329,12.31403,12.13971,11.96679,11.83824,11.65812,11.60808,11.44044,11.39736,11.30756,11.26661,11.16072,11.22250,11.23033,11.16994,11.17568,11.19507,11.30217,11.73668,11.78113,12.03839,12.34371,12.57977,13.53788,13.82252,14.01289,15.04934,16.00327,15.63150,14.99324,15.44469,15.84860,16.12431,16.26478,16.27758,16.52268,16.82256,16.67251,16.43454,16.55799,16.62293,16.62554,16.38784,16.48466,16.57534,17.03302,17.76211,18.07866,17.85619,17.86909,18.13349,18.12231,18.14298,18.11755,18.17102,17.94846,17.91637,17.76948,17.72438,17.28556,17.42278,17.28403,17.02305,17.39521,17.47281,17.41683,17.38847,17.52763,18.03887,18.34100,18.32817,17.91115,17.72767,17.78099,17.73209,17.35299,16.97392,16.68279,16.51252,16.12698,15.79291,15.36234,14.92428,14.10549,13.55392,12.97900,12.73718,14.30380,14.14922,13.91174,13.71850,13.48140,13.34324,13.15770,12.71430
2021,Surry Hills 33_11kV,07MAY2020,MW,12.57284,12.31190,12.14017,12.00173,11.89161,11.79683,11.69098,11.45568,11.41968,11.25647,11.24876,11.27258,11.14327,11.12308,11.35375,11.10324,11.08944,11.22259,11.36696,11.52950,11.76847,11.87478,12.12594,12.52447,13.21568,13.62493,14.15727,14.86357,15.85365,16.35323,14.87230,14.98460,15.20826,15.53707,15.95062,16.17215,16.56601,16.33199,16.36872,16.53755,16.28413,16.34378,16.50835,16.28377,16.93544,17.65760,17.70254,17.96902,18.19409,18.03293,18.02483,17.95660,18.04095,17.99011,17.88585,17.71151,17.93852,18.02201,17.90566,17.73025,17.54969,17.57235,17.60096,17.51453,17.73179,17.62112,17.57084,17.65441,17.84919,18.07535,18.14656,18.21238,17.73147,17.47897,17.41587,17.53402,17.25436,16.80888,16.61360,16.40014,16.02104,15.61951,15.46829,15.23069,14.64948,13.38563,14.67690,14.66073,14.36710,14.08530,13.92308,13.71091,13.44808,13.05128,12.98074,12.56651
2021,Surry Hills 33_11kV,08MAY2020,MW,12.41977,12.27803,12.13675,11.98541,11.77679,11.57844,11.37570,11.27060,11.12186,11.22959,11.05352,11.12193,11.13737,11.12047,11.10324,11.10137,11.15294,11.21690,11.39790,11.48401,11.70521,11.80298,12.10958,12.30722,13.19785,13.50054,13.86750,14.38349,14.84625,14.26506,14.16897,14.78082,14.94723,16.05849,16.40133,17.56712,17.46771,17.32653,17.02554,17.23159,17.63931,17.62226,17.57957,17.66087,17.81409,17.92020,18.03991,17.94493,17.88355,18.16465,18.02771,18.10680,18.29201,18.28220,18.20208,18.43900,18.16387,18.42105,18.09462,18.25014,18.04903,17.99311,17.95613,17.72819,17.79053,17.52717,17.62247,17.62739,17.64658,17.40503,17.60003,17.84666,17.21187,17.01744,17.06404,16.89516,16.44322,16.03487,15.74477,15.61393,15.33854,15.05512,14.92237,14.65608,14.48992,13.45995,12.90962,12.59622,13.92826,13.91499,13.54865,13.25571,13.03531,12.71929,12.55772,12.38327
2021,Surry Hills 33_11kV,09MAY2020,MW,12.25810,12.01034,11.78312,11.63415,11.74589,11.45037,11.19920,11.12257,10.92429,10.78658,10.69572,10.51125,10.45838,10.18569,10.45542,10.04964,9.98341,9.95698,9.94147,10.77502,10.44353,10.65106,10.72130,10.27598,11.11957,11.53287,11.73113,11.82472,12.10729,12.50591,12.58382,12.67359,13.08417,13.11188,13.56652,14.28323,14.05971,14.26020,14.15288,14.30113,14.59772,14.56125,14.53248,14.49991,14.77255,14.87931,14.85094,14.73636,14.84131,14.88670,14.82258,14.73954,14.77576,14.85326,14.40228,14.61387,14.81098,14.78388,14.54928,14.62576,14.62744,14.62880,14.51178,14.69098,14.51846,14.66743,14.84193,14.90454,15.15275,15.55315,15.68819,15.84443,15.71945,15.66561,15.48218,15.60150,15.41629,15.08127,14.87414,14.78053,14.50836,14.38819,14.18561,14.31856,14.02547,13.90049,13.82790,13.53690,13.43940,13.29814,13.16948,12.98513,12.83328,12.56859,12.59707,12.28320
2021,Surry Hills 33_11kV,10MAY2020,MW,12.15547,12.05152,11.74119,11.69194,11.58652,11.41165,11.23371,11.16261,11.12427,10.92393,10.33938,10.33951,10.05457,10.06913,9.71238,9.62504,9.41271,9.51260,9.55575,9.92990,9.82165,10.14273,10.03280,10.12962,10.74439,10.46056,10.98837,11.28327,11.58038,11.80272,11.73865,12.00674,12.53217,12.73795,12.91317,12.97611,13.34298,13.44826,13.48458,13.68777,13.70137,13.84360,13.85699,13.95180,13.83168,14.04180,13.92368,13.88902,13.91352,13.99212,14.02844,13.97794,14.04776,14.13260,14.01653,14.02583,13.94301,13.86191,13.90401,13.96244,13.92402,13.92476,14.16776,14.12112,14.22952,14.30041,14.49105,14.73212,15.08923,15.38938,15.70930,16.00602,16.11840,16.05222,16.03493,16.18070,15.93452,15.84428,15.76257,15.62408,15.37284,15.26726,15.06957,14.96448,14.85677,14.70716,14.73288,14.44434,14.04138,13.82771,13.80231,13.42092,13.22859,12.94206,12.73879,12.66251
