year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Tanilba Bay 33_11kV,01MAY2020,MW,4.52344,4.34035,4.21166,3.82870,3.55400,3.33254,3.12071,3.00429,2.82723,2.75916,2.78760,2.65916,2.63102,2.53881,2.60094,2.50825,2.54438,2.56238,2.68096,2.69263,2.66712,2.71328,2.89044,3.11843,3.29635,3.53064,3.80148,3.87499,3.72993,3.68207,3.78604,3.92521,3.77556,3.59278,3.39949,3.26427,2.86816,2.59022,2.61222,2.70237,2.49055,2.30997,2.30638,2.80041,2.64622,3.07979,3.16839,3.04674,3.19373,2.99530,2.63475,2.28511,2.28711,2.72091,2.23170,2.50774,2.37489,2.42651,2.64117,2.52147,2.86158,3.24105,3.36783,3.47175,3.80281,4.11690,4.43618,4.82653,5.06792,5.57929,6.00731,6.24625,6.18536,6.15202,6.15272,6.04066,5.87890,5.64376,5.44218,5.26806,5.15160,5.13372,5.05878,4.99843,5.06784,5.04030,5.35718,5.12324,5.13938,4.98148,4.87309,4.65211,5.63751,5.52335,5.29670,5.01748
2021,Tanilba Bay 33_11kV,02MAY2020,MW,4.79662,4.53504,4.38743,4.13638,3.80606,3.45929,3.22360,3.11318,2.98137,2.84878,2.84414,2.74870,2.71584,2.71408,2.67437,2.62038,2.58873,2.56858,2.53486,2.55428,2.60438,2.53763,2.73512,2.89485,2.96056,3.11754,3.36782,3.42290,3.38436,3.52346,3.58625,3.52320,3.53763,3.53272,3.39985,3.29960,2.63600,2.05208,1.99428,1.86983,1.79424,1.86690,1.81563,1.89531,4.04712,2.89965,2.56007,2.43689,2.24474,2.05158,2.07292,2.12178,1.98513,2.05033,2.11522,2.32926,2.37148,2.51541,2.60638,2.69696,2.87560,3.06759,3.16975,3.25515,3.51969,3.87265,4.47634,5.07037,5.35545,5.64297,5.98596,6.16595,6.20052,6.07512,6.07318,5.92102,5.67440,5.48998,5.33149,5.16772,5.10386,4.85967,4.80023,4.68348,4.58542,4.39097,4.64230,4.55723,4.54651,4.40432,4.30935,4.14581,5.08075,4.83810,4.46222,4.27269
2021,Tanilba Bay 33_11kV,03MAY2020,MW,4.08053,3.73888,3.66854,3.52825,3.29875,3.06786,2.89549,2.83559,2.78049,2.70014,2.64226,2.72578,2.60858,2.46923,2.51146,2.43318,2.43450,2.56768,2.41866,2.48824,2.57658,2.57972,2.53224,2.67474,2.82457,2.98156,3.20571,3.35634,3.29763,3.56415,3.57545,3.59060,3.47174,3.54791,3.52565,3.56408,3.32728,3.04784,2.93741,2.96628,2.88540,2.67528,2.51380,2.47735,2.41791,2.29330,2.22597,2.11056,2.09494,2.23789,2.26332,2.10259,2.04701,2.21222,2.11907,2.33114,2.46225,2.60312,2.62895,2.78820,3.08814,3.22353,3.28276,3.46260,3.78454,4.12722,4.52656,4.84790,5.18988,5.61329,6.09027,6.26050,6.24502,6.21544,6.04945,6.04287,5.92497,5.69065,5.44101,5.26554,5.10431,4.92003,4.87316,4.75805,4.59446,4.55297,4.60205,4.61765,4.58070,4.50053,4.30785,4.16991,4.91513,4.55370,4.31221,4.07527
2021,Tanilba Bay 33_11kV,04MAY2020,MW,3.91444,3.69429,3.59188,3.46318,3.26736,3.11870,2.96204,2.90579,2.89677,2.76126,2.63729,2.63729,2.63729,2.61338,2.49718,2.62138,2.62434,2.76955,2.63833,2.74077,2.85674,3.04203,3.13816,3.36957,3.47356,3.86685,4.02214,4.16809,4.16590,4.36681,4.28618,4.14980,4.16157,3.87342,3.71185,3.51843,3.23368,2.90122,2.85718,2.95748,2.85524,2.72715,2.50762,2.31800,2.25178,2.03499,1.98068,1.93650,1.85497,1.72402,1.73802,1.74828,1.88830,2.05099,2.03181,2.31634,2.35209,2.34971,2.51105,2.59318,2.70631,2.95347,3.14874,3.42684,3.71422,4.05984,4.36557,4.62311,4.91021,5.38062,5.81706,6.13580,6.21356,6.15658,6.14766,5.97065,5.64776,5.44369,5.32313,5.11381,5.06425,4.98110,4.79643,4.71939,4.68707,4.67303,5.02592,4.85122,4.89418,4.73819,4.63989,4.54508,5.51889,5.39049,5.12964,4.77127
2021,Tanilba Bay 33_11kV,05MAY2020,MW,4.65144,4.37375,4.29803,4.13647,3.70698,3.46567,3.17616,3.05339,2.98734,2.88941,2.73129,2.66712,2.56370,2.63380,2.67533,2.55622,2.58168,2.69160,2.62307,2.64027,2.76831,2.92469,3.05631,3.19128,3.37650,3.62102,3.75717,3.66147,3.61414,3.57971,3.93961,4.34142,4.13018,3.93639,3.87342,4.11721,3.91198,3.41371,3.25750,3.35464,3.16656,3.74311,4.08523,3.97933,3.74606,3.96771,4.14115,4.23371,3.78080,3.70992,3.36648,3.10025,3.38015,3.07389,2.88568,3.13278,3.61694,3.03882,2.74025,2.66637,2.79800,3.59330,3.84074,4.11638,4.21646,4.46652,4.88011,5.07223,5.44871,5.87371,6.21387,6.36350,6.32411,6.19221,5.95662,5.79232,5.52693,5.42141,5.24579,5.08743,5.01279,4.86567,4.76016,4.77367,4.73956,4.71790,4.92436,4.69997,4.74581,4.55297,4.38672,4.27998,5.20607,5.25692,4.96581,4.74157
2021,Tanilba Bay 33_11kV,06MAY2020,MW,4.54398,4.20008,4.04594,3.83529,3.61979,3.37026,3.12062,2.94557,2.90696,2.74138,2.60621,2.68005,2.60354,2.52790,2.55426,2.52669,2.47770,2.58326,2.61342,2.62284,2.80511,2.92056,3.03808,3.12399,3.40941,3.56562,3.65964,3.85778,3.77366,3.95231,4.08796,4.11891,4.07907,4.04552,4.07003,3.95656,3.69718,3.58108,3.63982,3.57782,3.35208,2.91676,2.39459,2.06893,1.88120,1.80618,1.82599,1.87419,1.88829,1.69783,1.69432,1.75112,1.86265,1.91185,2.08466,1.90954,1.90451,2.14935,2.27588,2.40716,2.45295,2.60569,2.88642,3.06258,3.43529,3.72848,4.06615,4.44296,4.65834,5.23335,5.53721,5.54412,5.63820,5.69537,5.52821,5.45590,5.23950,4.98803,4.88599,4.75542,4.68191,4.63123,4.70707,4.61408,4.57025,4.52031,4.67996,4.54475,4.54341,4.55173,4.31282,4.12450,5.11265,5.17892,4.98523,4.67817
2021,Tanilba Bay 33_11kV,07MAY2020,MW,4.43981,4.18533,4.12199,3.91696,3.65052,3.36910,3.20295,3.01401,2.99427,2.78178,2.71305,2.62894,2.57514,2.54207,2.47903,2.45996,2.55150,2.61258,2.61105,2.76853,2.80483,2.97281,3.05798,3.14547,3.32417,3.49781,3.55509,3.69297,3.55300,3.64077,3.78874,3.71485,3.59197,3.45083,3.45745,3.31314,2.98669,2.80754,2.80377,2.93949,2.88148,2.83870,2.70206,2.47569,2.44866,2.50806,2.58866,2.68637,2.70267,2.62238,2.46177,2.25547,2.27876,2.58523,2.37201,2.37267,2.60319,2.49733,2.91843,2.68147,2.67464,3.13508,3.03340,3.33317,3.50608,3.80915,4.02724,4.23195,4.53040,5.00177,5.48683,5.66337,5.66707,5.66729,5.54297,5.47541,5.41007,5.26548,5.01695,4.90910,4.78562,4.72897,4.80860,4.70076,4.55835,4.61596,4.76889,4.63512,4.58364,4.55337,4.49004,4.38643,5.40129,5.37060,5.13491,4.79003
2021,Tanilba Bay 33_11kV,08MAY2020,MW,4.52818,4.21743,4.03155,3.85698,3.62132,3.38369,3.16665,2.88872,2.82922,2.75269,2.71103,2.63496,2.65571,2.62444,2.59155,2.59155,2.59827,2.67692,2.53662,2.71702,2.75146,2.79192,3.03501,3.13002,3.32203,3.50634,3.73633,3.92602,3.76270,3.90361,4.00353,4.03787,3.91082,3.72671,3.41648,3.08435,2.72705,2.65665,2.49331,2.31831,2.21897,2.06728,2.01183,1.95033,1.96664,1.81004,1.77132,1.80859,1.79565,1.80612,1.67199,1.65754,1.69865,1.70659,1.82319,1.84077,1.81369,2.10823,2.59255,2.41449,2.57453,2.84664,2.99480,3.21111,3.51078,3.65304,3.74773,3.91965,4.12909,4.47850,4.90696,4.91331,4.94123,5.01216,4.99128,4.88872,4.68379,4.67677,4.45329,4.42387,4.40353,4.36261,4.27035,4.19068,4.23922,4.18764,4.48068,4.31608,4.28563,4.20830,4.15126,4.02455,5.14569,5.21244,5.01413,4.69535
2021,Tanilba Bay 33_11kV,09MAY2020,MW,4.56228,4.24145,4.01865,3.82059,3.46423,3.17385,3.03289,2.93068,2.82524,2.76205,2.55300,2.62728,2.52094,2.52094,2.53380,2.54313,2.49329,2.49038,2.45531,2.45820,2.48322,2.48812,2.57112,2.66499,2.84133,3.07250,3.23526,3.48736,3.49397,3.63584,3.83739,3.87603,4.10281,3.73804,4.05415,3.94521,3.76060,3.39570,3.09768,3.51750,2.82005,2.95906,3.77574,4.12534,3.84109,3.80640,3.77886,3.58831,3.75096,3.76300,2.90466,3.08676,3.30142,3.43545,3.56562,3.77919,3.81597,3.80966,3.97080,4.19517,4.17204,4.22287,4.23534,4.34795,4.38297,4.48822,4.57208,4.65872,4.87737,5.29874,5.53554,5.60265,5.52797,5.58007,5.59024,5.42060,5.21646,5.05906,4.94306,4.87877,4.97774,4.78254,4.60915,4.45307,4.42184,4.33698,4.44846,4.14645,4.08124,4.07141,4.08242,4.01391,4.75435,4.43955,4.17631,4.01420
2021,Tanilba Bay 33_11kV,10MAY2020,MW,3.88136,3.55184,3.51241,3.38394,3.21028,3.00491,2.86645,2.63949,2.58657,2.53287,2.53287,2.53287,2.49963,2.48912,2.48912,2.50584,2.48571,2.43641,2.37596,2.58018,2.59585,2.53287,2.61218,2.68340,2.89056,3.10925,3.28121,3.32926,3.62575,3.81426,3.84007,3.91283,3.98329,3.95215,3.82253,3.76498,3.69991,3.51558,3.18020,2.99869,2.86269,2.70107,2.64416,2.54453,2.44915,2.36984,2.27969,2.24913,2.25755,2.20456,2.03006,2.00235,2.00602,1.97399,1.97399,2.00805,2.12314,2.33333,2.52064,2.75799,2.91801,3.09887,3.28267,3.62830,4.00495,4.15643,4.42507,4.75307,5.15775,5.67744,6.24553,6.32445,6.32193,6.26701,6.43055,6.29126,6.22632,5.99710,6.00165,5.91916,5.72739,5.49955,5.24268,5.05997,4.84299,4.80621,4.86578,4.71215,4.66054,4.47320,4.47216,4.20269,4.97646,4.72005,4.42587,4.22414
