year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Tarro 33_11kV,01MAY2020,MW,11.24195,11.09704,10.95435,10.71014,10.59088,10.32027,10.01753,10.05635,9.68243,9.40976,9.15512,8.95054,9.06162,8.90124,8.60896,8.53703,8.66406,8.82784,8.45510,8.77326,8.84899,9.29928,10.13731,10.34183,10.69943,11.04355,11.36151,11.40064,11.69867,11.39252,11.79506,11.61906,11.89165,11.95237,11.69937,11.48099,11.19504,11.30607,11.40899,11.31693,11.31967,11.05658,11.06731,11.09616,10.94715,10.97884,10.76622,10.76843,10.50282,10.46718,10.75418,10.89728,10.67803,10.68927,10.73717,10.22173,10.16222,9.96508,10.14234,10.20190,9.74272,9.80799,9.98844,10.53215,10.97098,11.22165,11.38783,11.66190,11.68676,11.84254,12.35920,12.15381,12.13394,12.29217,11.85523,11.61400,11.57934,11.62069,11.43559,11.14970,11.22522,11.19705,10.62153,10.65107,10.56667,10.57355,10.68386,10.60079,11.08622,10.85082,11.17561,11.03842,10.98244,10.78686,10.72843,10.81692
2021,Tarro 33_11kV,02MAY2020,MW,10.90389,10.48191,10.27029,10.09563,9.85560,9.61455,9.14282,8.64078,8.87037,8.65950,8.49999,8.14807,8.01277,7.79354,7.70356,7.82482,7.80822,7.87397,7.76930,7.73838,7.78418,7.46066,7.45257,8.12664,8.16442,7.92961,8.03553,7.99693,8.03549,8.18802,8.41777,8.49433,8.33698,8.43416,8.33667,8.18699,7.95448,7.73198,7.87045,7.77384,7.71311,7.49182,7.39048,7.29948,7.01340,6.70792,6.50333,6.47599,6.28048,6.30628,6.46380,6.62843,6.28412,6.31891,6.20190,6.25193,6.50041,7.07420,7.10250,7.03331,7.17606,7.52121,7.53058,7.75647,7.72052,7.98649,8.08155,8.32912,8.70631,9.08493,9.46420,9.62324,9.54537,9.50240,9.41007,9.38271,9.33382,9.39017,9.27227,9.16529,9.10645,8.99413,9.15033,8.97425,8.87259,8.61080,9.08383,8.81438,8.51186,8.35743,8.87393,8.54894,8.80630,8.53195,8.36589,8.45238
2021,Tarro 33_11kV,03MAY2020,MW,8.46280,8.04110,7.98327,8.11957,7.71737,7.40885,7.17406,6.87146,6.99825,6.70165,6.56138,6.45712,6.52968,6.42023,6.38656,6.41593,6.39981,6.45346,6.56853,6.61888,6.64511,6.70873,7.22074,7.13388,7.00169,6.79452,6.87278,6.93911,6.98930,7.15915,7.38015,7.50534,7.32913,7.28432,7.27449,7.18308,7.11972,7.09110,7.03671,6.90635,6.36910,6.18066,6.03745,5.84701,5.72066,5.68031,5.99952,5.97301,5.92031,6.02545,6.19061,6.81004,6.09923,6.03445,6.42475,6.24846,6.32427,6.15081,6.58643,7.21023,7.21607,7.26336,7.24528,7.33557,7.58557,8.17902,8.51773,8.69342,8.99590,9.54497,10.10381,10.16413,10.14465,10.25853,10.03046,10.02587,9.76764,9.91835,9.73731,9.64977,9.56409,9.59041,9.58231,9.46635,9.64164,9.48813,10.11251,9.93018,9.68233,9.56666,9.99200,9.62899,9.95254,9.75783,9.56028,9.64775
2021,Tarro 33_11kV,04MAY2020,MW,9.51624,9.14472,9.15773,9.19161,8.87478,8.64031,8.52902,8.39371,8.26532,8.17341,8.12599,7.90595,7.87051,7.80248,7.63660,7.84627,7.90404,8.00416,8.56585,9.12798,9.14602,9.11387,9.62441,10.18152,10.55054,10.95532,11.39218,11.50701,11.52269,11.87102,11.89100,11.94081,12.05332,12.30553,12.30823,12.39469,12.37861,12.20373,12.09154,11.84864,11.50265,11.42854,11.71485,11.72941,11.66442,11.16077,11.39843,11.42410,11.07005,11.06693,11.28359,11.30016,11.79502,12.21954,12.38160,11.63384,11.02869,11.55684,11.51881,11.66640,11.62404,11.58730,11.77512,12.18872,12.33006,12.46195,12.65564,12.92073,13.08410,13.35617,13.79459,13.84720,13.41598,13.16378,12.96271,12.87920,12.72560,12.35921,12.01122,11.81378,11.68041,12.00097,12.10280,11.92008,11.88486,11.83352,11.94382,11.81247,12.35722,12.17980,12.19958,11.80304,12.02657,11.41036,11.49205,11.61502
2021,Tarro 33_11kV,05MAY2020,MW,11.69337,11.48978,11.36540,11.12418,10.89237,10.51630,10.24291,10.28243,10.02619,9.75426,9.11116,9.07277,9.08009,8.91893,8.89138,8.93565,9.36834,9.29372,9.12814,9.06710,9.39743,9.60933,9.94034,10.65676,11.59469,11.65825,11.57281,11.69084,11.91436,12.45392,12.70128,12.91735,13.32658,13.45975,13.43184,13.22225,12.58067,12.16121,12.91386,12.87227,12.62501,12.36844,11.95401,11.81376,12.32386,12.54300,12.29816,12.27694,12.23446,11.83882,12.00190,12.00684,11.57554,11.74516,11.71624,11.60938,11.40293,11.56842,11.69602,11.88740,11.84836,11.88144,11.98702,11.74150,11.96238,12.27106,12.47229,12.81273,12.88025,12.81338,13.03272,12.92172,12.80165,12.63383,12.45633,12.58557,12.37292,12.06531,11.60213,11.50930,11.57412,11.36068,11.20417,11.17135,10.90466,10.65005,10.79065,10.49502,11.03791,10.81515,11.09261,10.88176,10.96612,10.78118,10.60368,10.66818
2021,Tarro 33_11kV,06MAY2020,MW,10.75702,10.40480,10.17824,9.70149,9.41540,8.96123,8.81317,8.83600,8.42711,8.08927,7.71162,7.48611,7.53955,7.46159,7.37932,7.22385,7.51635,7.86484,7.90940,8.22758,8.36850,8.86887,9.47360,9.60112,9.79880,9.89472,9.99452,9.93074,10.22246,10.54134,10.79811,11.26458,11.21182,11.38667,11.45562,11.40207,11.39320,11.35228,11.24173,11.18264,11.03563,11.16658,10.91181,10.48670,10.13862,10.24017,10.14516,10.03708,9.78611,9.74704,10.12609,10.14797,10.03422,9.98110,10.13350,10.19044,9.86277,9.83778,9.63536,10.00649,10.10136,10.18770,10.62294,11.11264,10.79683,10.97280,11.27831,11.62423,11.79361,11.99141,12.60492,12.54022,12.38521,12.29656,12.29046,12.05437,11.69072,11.83792,11.69384,11.59174,11.49393,11.46545,11.39535,11.58409,11.35906,11.31026,11.30261,11.23194,11.72723,11.65578,11.97346,11.61816,11.76105,11.47385,11.30696,11.25198
2021,Tarro 33_11kV,07MAY2020,MW,11.38127,11.04416,10.84150,10.78139,10.41051,9.99002,9.67981,9.66512,9.54779,9.32035,9.06464,8.86944,8.88245,8.74301,8.61679,8.71480,9.01931,9.06329,9.01417,9.20790,9.54920,10.17006,10.71838,10.86557,11.06934,11.01117,11.26187,11.40015,11.74830,11.83499,12.14987,12.33715,12.46996,12.17802,12.13048,12.18189,11.84520,11.57815,11.50840,11.49554,11.42643,11.22629,11.37381,11.45837,11.15352,11.14106,11.28256,11.32606,11.16893,11.12515,11.31204,11.33336,11.33166,11.28567,11.28528,11.31813,10.71499,11.12566,10.61103,10.98658,11.52798,11.35784,11.60871,11.76084,11.53423,11.62871,11.88184,11.77180,11.75586,11.95942,11.83336,11.86448,11.73058,11.73945,11.63164,11.36267,11.38087,11.41354,11.18811,10.79363,10.81275,10.85863,10.86452,10.80559,11.02963,10.78252,10.90750,10.82366,11.38329,11.14962,11.45456,11.27145,11.40786,11.02274,10.79250,10.93917
2021,Tarro 33_11kV,08MAY2020,MW,10.84043,10.54297,10.32135,10.16525,9.95132,9.69011,9.48088,9.37792,9.01714,8.60186,8.31836,8.27712,8.27569,8.03625,7.98815,8.12125,8.06448,8.18243,8.32759,8.67602,8.98079,8.74525,9.06041,9.88224,10.22010,10.26214,10.46419,10.41722,10.58077,10.93214,11.22035,11.23180,11.06004,11.22919,10.99026,11.02876,10.71954,10.63521,10.54487,10.22340,10.04142,10.03798,9.87907,9.76582,9.53689,9.59866,9.60334,9.42992,9.34625,9.31705,9.42648,9.51138,9.15394,9.21422,9.39701,9.46217,9.25191,9.20672,9.11942,9.48999,9.22530,9.30969,9.91224,10.25035,10.14328,10.19618,10.39432,10.61461,10.38819,10.57821,10.76532,10.88960,10.75007,10.41777,10.14068,10.03013,10.02043,9.96755,9.77776,9.66707,9.54123,9.39578,9.27477,9.09255,9.06483,8.93507,9.12571,9.12767,9.61412,9.34196,9.69115,9.38694,9.88704,9.55221,9.76462,9.63557
2021,Tarro 33_11kV,09MAY2020,MW,9.51264,9.37226,9.27124,9.07241,8.65199,8.40071,8.01033,7.70559,8.08575,7.69998,7.38063,7.11353,7.08660,6.84234,6.90052,6.79313,6.85518,6.89580,6.78678,6.97043,7.50597,7.47879,7.27439,7.29922,7.32743,7.37962,7.43817,7.50239,7.68215,7.73821,8.11838,8.24180,7.30937,7.61450,7.81318,7.57001,7.33271,7.24584,7.81710,7.63142,7.56359,7.89077,7.51964,7.07644,6.74851,6.68086,7.34331,7.24738,6.49665,6.79811,7.10369,6.92581,6.99855,7.42324,7.32663,7.60246,7.65206,7.65350,7.91555,8.02333,7.93491,7.89147,8.07345,8.09651,8.09610,7.97547,7.72440,8.11148,8.42943,8.82284,9.14120,9.10073,8.91009,8.79155,8.61347,8.32819,8.82723,8.86424,8.53465,8.46538,8.35066,8.34921,8.45671,8.32481,8.27115,8.07654,8.72782,8.61251,8.30674,8.20974,8.70778,8.38617,8.85768,8.25524,7.96061,8.10141
2021,Tarro 33_11kV,10MAY2020,MW,8.18997,7.79118,7.76096,7.90535,7.54552,7.15084,6.84760,6.72879,6.86634,6.58464,6.42696,6.42093,6.43063,6.22118,6.24057,6.18719,6.26487,6.25922,6.66108,6.86667,6.61974,6.55675,6.63126,6.66211,6.48938,6.40566,6.40474,6.59546,6.51393,6.74159,6.88992,7.05835,7.00245,7.04187,7.08499,6.90579,6.85115,6.81448,6.67651,6.44302,6.28255,6.13811,6.10159,6.03067,5.87119,5.75262,5.72172,5.70156,5.67654,5.54416,5.59487,5.36706,5.32898,5.31423,5.33839,5.62977,5.60218,5.74522,5.81896,5.94105,6.09091,6.46289,6.71852,6.91427,7.12916,7.46666,7.88963,8.04275,8.54894,9.02969,9.17674,9.41772,9.37486,9.20707,9.33327,9.36438,9.34242,9.54436,9.47839,9.47556,9.31925,9.46272,9.67913,9.45665,9.49981,9.22219,9.86837,9.57097,9.37164,9.19304,9.73225,9.51231,9.74766,9.35237,9.11825,9.41405
