year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Terrey Hills 33_11kV,01MAY2020,MW,5.04531,4.98987,4.93442,4.80506,4.97138,4.98987,4.84202,4.84202,4.73113,4.65721,4.62025,4.58328,4.54632,4.49088,4.50936,4.39847,4.49088,4.52784,4.54632,4.49088,4.69417,4.98987,5.35948,5.61822,5.95088,6.20961,6.52379,6.72708,7.02277,7.26303,7.54024,7.83594,8.07619,8.13163,8.15011,8.13163,8.20556,8.15011,8.07619,8.02075,8.20556,8.18708,8.13163,7.98378,7.92834,7.72505,7.85442,7.83594,7.78049,8.09467,8.42733,8.40885,7.96530,7.79897,7.90986,7.79897,7.81746,7.78049,7.76201,7.83594,7.66961,7.70657,7.66961,7.74353,8.03923,8.02075,7.94682,7.96530,7.96530,8.11315,8.31644,8.39037,8.13163,8.02075,7.74353,7.57720,7.42935,7.29999,7.11518,7.04125,7.04125,6.93037,6.98581,6.78252,6.57923,6.41290,6.37594,6.11721,6.13569,6.13569,5.95088,5.71062,5.61822,5.34100,5.34100,5.21164
2021,Terrey Hills 33_11kV,02MAY2020,MW,5.13771,5.06379,4.89746,4.80506,5.11923,5.06379,4.95290,4.86050,4.78657,4.69417,4.65721,4.52784,4.52784,4.52784,4.54632,4.54632,4.52784,4.52784,4.63873,4.62025,4.71265,4.82354,4.93442,5.02683,5.24860,5.30404,5.32252,5.48885,5.48885,5.71062,5.85847,6.11721,6.26505,6.32050,6.48682,6.46834,6.41290,6.44986,6.32050,6.24657,6.26505,6.35746,6.17265,5.98784,5.76607,5.83999,5.71062,5.76607,5.74759,5.76607,5.72910,5.63670,5.61822,5.65518,5.65518,5.56278,5.52581,5.65518,5.78455,5.69214,5.74759,5.87695,5.95088,6.11721,6.22809,6.33898,6.48682,6.70860,6.61619,6.76404,6.89341,7.05974,7.07822,6.98581,6.85644,6.74556,6.67163,6.52379,6.44986,6.35746,6.24657,6.11721,6.20961,6.20961,6.02480,5.89543,5.87695,5.65518,5.74759,5.67366,5.47037,5.30404,5.34100,5.10075,5.04531,5.00835
2021,Terrey Hills 33_11kV,03MAY2020,MW,5.02683,4.87898,4.76809,4.74961,4.95290,4.86050,4.78657,4.65721,4.63873,4.60176,4.62025,4.49088,4.39847,4.41695,4.36151,4.36151,4.37999,4.37999,4.41695,4.34303,4.45392,4.43544,4.43544,4.52784,4.67569,4.74961,4.71265,4.86050,4.89746,5.06379,5.11923,5.21164,5.45189,5.50733,5.48885,5.47037,5.45189,5.58126,5.54429,5.61822,5.65518,5.47037,5.35948,5.26708,5.21164,5.10075,5.06379,5.02683,5.06379,5.15619,5.15619,5.10075,5.06379,5.02683,4.93442,5.17467,5.13771,5.11923,5.06379,5.13771,5.28556,5.34100,5.45189,5.67366,5.82151,5.93240,6.08024,6.09872,6.09872,6.33898,6.61619,6.81948,6.81948,6.76404,6.65315,6.54227,6.52379,6.39442,6.30201,6.17265,6.15417,6.06176,6.04328,5.89543,5.72910,5.58126,5.54429,5.41493,5.39645,5.39645,5.17467,5.04531,5.02683,4.84202,4.82354,4.74961
2021,Terrey Hills 33_11kV,04MAY2020,MW,4.73113,4.73113,4.60176,4.56480,4.74961,4.78657,4.62025,4.58328,4.54632,4.52784,4.41695,4.34303,4.43544,4.36151,4.30607,4.34303,4.37999,4.47240,4.39847,4.52784,4.63873,4.84202,5.10075,5.30404,5.71062,6.15417,6.41290,6.74556,7.11518,7.42935,7.81746,8.15011,8.33492,8.55669,8.90783,8.96328,8.81543,9.01872,8.64910,8.61214,8.51973,8.51973,8.35340,8.16859,8.20556,7.94682,7.76201,7.68809,7.63265,7.74353,7.76201,7.63265,7.42935,7.68809,7.92834,7.90986,7.63265,7.55872,7.57720,7.72505,7.87290,7.92834,7.90986,7.98378,8.18708,8.24252,8.27948,8.31644,8.51973,8.40885,8.44581,8.53821,8.24252,8.05771,8.02075,7.81746,7.61416,7.28151,7.09670,6.87493,6.80100,6.67163,6.83796,6.72708,6.37594,6.13569,6.19113,6.02480,6.00632,5.95088,5.87695,5.58126,5.47037,5.34100,5.10075,4.95290
2021,Terrey Hills 33_11kV,05MAY2020,MW,4.91594,4.86050,4.71265,4.67569,4.97138,4.95290,4.86050,4.74961,4.71265,4.67569,4.60176,4.54632,4.45392,4.50936,4.41695,4.45392,4.49088,4.54632,4.63873,4.62025,4.78657,5.04531,5.34100,5.67366,5.98784,6.46834,6.74556,6.85644,7.22606,7.59568,7.72505,8.15011,8.68606,9.22201,9.27745,9.12961,8.96328,8.75999,8.55669,8.59366,8.53821,8.33492,8.22404,8.27948,8.27948,8.22404,8.15011,7.94682,8.11315,8.15011,8.20556,8.26100,8.02075,8.03923,7.81746,7.78049,7.63265,7.50328,7.55872,7.76201,8.00227,7.85442,7.90986,8.00227,8.15011,8.00227,8.09467,7.96530,7.94682,8.11315,8.11315,8.26100,8.07619,7.96530,7.79897,7.74353,7.41087,7.18910,7.07822,6.96733,6.81948,6.81948,6.89341,6.59771,6.33898,6.11721,6.19113,6.00632,5.89543,5.83999,5.63670,5.47037,5.37797,5.24860,5.08227,4.98987
2021,Terrey Hills 33_11kV,06MAY2020,MW,4.93442,4.82354,4.84202,4.78657,4.98987,4.93442,4.76809,4.69417,4.62025,4.67569,4.50936,4.58328,4.58328,4.52784,4.41695,4.47240,4.45392,4.52784,4.63873,4.80506,4.87898,5.08227,5.37797,5.63670,6.02480,6.39442,6.54227,6.87493,7.28151,7.50328,7.52176,7.89138,8.31644,8.50125,8.50125,8.39037,8.31644,8.27948,8.09467,8.09467,8.00227,8.03923,7.87290,7.90986,7.81746,7.61416,7.48480,7.54024,7.54024,7.59568,7.54024,7.68809,7.59568,7.65113,7.61416,7.50328,7.52176,7.46632,7.72505,7.61416,7.63265,7.68809,7.54024,7.66961,7.92834,7.94682,7.72505,7.70657,7.78049,7.94682,7.92834,7.74353,7.70657,7.57720,7.52176,7.44784,7.13366,6.98581,6.70860,6.61619,6.57923,6.50531,6.50531,6.46834,6.28353,6.00632,5.95088,5.74759,5.72910,5.76607,5.58126,5.45189,5.34100,5.13771,5.10075,5.02683
2021,Terrey Hills 33_11kV,07MAY2020,MW,4.93442,4.95290,4.74961,4.71265,4.89746,4.89746,4.76809,4.73113,4.69417,4.56480,4.50936,4.54632,4.45392,4.41695,4.39847,4.43544,4.47240,4.50936,4.62025,4.67569,4.69417,4.91594,5.23012,5.47037,5.85847,6.26505,6.48682,6.70860,7.00429,7.42935,7.70657,7.98378,8.22404,8.48277,8.61214,8.64910,8.68606,8.61214,8.72302,8.83391,8.66758,8.70454,8.51973,8.50125,8.39037,8.29796,7.89138,8.11315,8.15011,8.07619,7.87290,7.92834,7.76201,7.94682,7.89138,8.05771,8.16859,7.72505,7.79897,7.79897,7.70657,7.70657,7.74353,7.85442,7.92834,8.05771,7.89138,7.96530,8.02075,8.03923,8.26100,8.11315,7.90986,7.81746,7.78049,7.57720,7.59568,7.24454,7.17062,7.00429,6.85644,6.67163,6.72708,6.52379,6.19113,6.09872,6.04328,5.87695,5.76607,5.71062,5.69214,5.50733,5.43341,5.21164,5.15619,5.02683
2021,Terrey Hills 33_11kV,08MAY2020,MW,5.00835,4.91594,4.87898,4.78657,5.02683,4.95290,4.91594,4.80506,4.65721,4.60176,4.56480,4.52784,4.49088,4.43544,4.39847,4.43544,4.43544,4.50936,4.54632,4.67569,4.74961,4.98987,5.19316,5.52581,5.93240,6.24657,6.37594,6.57923,6.94885,7.18910,7.28151,7.35543,7.85442,7.96530,8.07619,8.09467,8.03923,7.94682,7.70657,7.92834,8.00227,7.92834,7.83594,7.89138,7.85442,7.65113,7.70657,7.50328,7.79897,7.72505,7.74353,7.81746,7.70657,7.79897,7.89138,7.76201,7.89138,7.90986,7.66961,8.03923,7.79897,7.92834,8.20556,8.18708,8.37188,8.05771,7.98378,8.03923,7.85442,7.87290,7.74353,7.39239,7.11518,6.96733,6.93037,6.76404,6.57923,6.48682,6.30201,6.13569,6.08024,6.04328,6.04328,6.08024,5.83999,5.69214,5.65518,5.52581,5.48885,5.47037,5.43341,5.30404,5.23012,5.00835,5.08227,4.87898
2021,Terrey Hills 33_11kV,09MAY2020,MW,4.86050,4.74961,4.74961,4.71265,4.86050,4.86050,4.69417,4.63873,4.58328,4.52784,4.47240,4.43544,4.37999,4.39847,4.37999,4.37999,4.39847,4.39847,4.49088,4.56480,4.58328,4.71265,4.71265,4.82354,5.02683,5.17467,5.17467,5.13771,5.19316,5.45189,5.50733,5.69214,5.74759,5.91391,6.00632,6.02480,6.11721,6.09872,6.20961,6.13569,6.35746,6.08024,6.41290,6.63467,6.44986,6.13569,6.00632,5.89543,5.89543,5.91391,6.00632,5.74759,6.17265,6.15417,5.76607,6.04328,6.11721,6.26505,6.04328,6.32050,6.08024,6.41290,6.19113,6.17265,6.20961,6.28353,6.33898,6.43138,6.24657,6.44986,6.41290,6.43138,6.35746,6.26505,6.20961,6.11721,5.95088,5.82151,5.72910,5.58126,5.56278,5.45189,5.59974,5.54429,5.41493,5.30404,5.26708,5.13771,5.10075,5.17467,5.10075,4.97138,5.08227,4.86050,4.80506,4.69417
2021,Terrey Hills 33_11kV,10MAY2020,MW,4.73113,4.62025,4.54632,4.52784,4.76809,4.74961,4.62025,4.52784,4.49088,4.39847,4.34303,4.32455,4.25063,4.26911,4.26911,4.23214,4.25063,4.23214,4.19518,4.28759,4.28759,4.34303,4.28759,4.34303,4.49088,4.54632,4.67569,4.76809,4.87898,4.98987,5.06379,5.08227,5.24860,5.32252,5.39645,5.34100,5.35948,5.47037,5.52581,5.52581,5.56278,5.48885,5.45189,5.35948,5.28556,5.17467,5.19316,5.06379,5.17467,5.17467,5.15619,5.15619,5.10075,5.08227,4.98987,5.10075,5.08227,5.13771,5.30404,5.37797,5.39645,5.45189,5.65518,5.74759,5.76607,5.98784,6.02480,6.32050,6.24657,6.26505,6.48682,6.59771,6.48682,6.48682,6.52379,6.44986,6.52379,6.37594,6.24657,6.11721,6.02480,5.87695,6.06176,6.00632,5.83999,5.74759,5.61822,5.41493,5.35948,5.41493,5.30404,5.19316,5.11923,4.93442,4.91594,4.91594
