year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Thornton 33_11kV,01MAY2020,MW,10.41621,10.48418,10.20846,9.94057,9.34981,8.58679,8.38734,8.11872,7.91079,7.91079,7.63435,7.33892,7.33892,7.33892,7.31145,7.33892,7.33892,7.33892,7.33892,7.33892,7.59578,7.89694,8.29203,8.55269,8.76859,8.76859,9.31201,9.85555,10.29356,10.29356,10.29356,10.29356,10.29356,9.86587,9.42611,8.89780,8.80596,8.38734,7.88438,7.30088,7.20228,7.21797,6.99681,6.95768,7.33949,6.56705,6.85447,8.19196,6.59867,6.42402,6.93127,7.69665,6.14009,6.35270,6.71125,6.32541,6.00457,6.00457,6.26440,6.54699,6.61914,7.56465,8.32423,8.67496,9.05452,9.37136,9.80690,10.90772,11.75852,12.53218,12.86695,12.86695,13.60231,13.82005,13.82005,13.82005,13.82005,13.82005,13.51136,12.60673,12.39039,12.39039,12.39039,12.30411,11.56508,11.18235,10.96073,10.96073,11.23216,11.38062,10.96073,10.96073,10.96073,10.96073,10.54968,10.54928
2021,Thornton 33_11kV,02MAY2020,MW,11.06351,10.42279,9.91231,9.91231,9.91231,9.81952,9.43576,8.45116,8.00610,8.01167,8.00610,8.00610,7.97162,7.52955,7.52955,7.52955,6.97893,6.95768,6.95768,6.95768,6.95768,6.95768,6.95768,7.18186,7.52955,7.52955,7.87632,8.10141,8.19846,8.19672,8.19672,8.19672,8.05313,7.72017,7.72017,7.72017,7.18704,6.62609,6.29051,6.29051,6.23845,4.98332,4.96299,4.76687,5.14678,4.88695,4.68305,5.05323,4.88500,4.72088,4.74532,4.76202,4.41019,4.61289,4.86085,4.65175,4.38429,5.85207,5.14678,5.37859,6.19520,6.19520,6.19520,6.19520,6.94046,8.05682,8.76859,9.27037,9.91231,10.57274,11.33322,11.47803,11.71446,11.43729,11.43729,11.43729,11.43729,11.43729,11.43729,11.43729,11.20225,10.96073,10.96073,10.96073,10.96073,10.49066,10.36374,10.15847,9.53107,9.53107,9.53107,9.35516,9.05452,9.05452,9.05452,9.05452
2021,Thornton 33_11kV,03MAY2020,MW,9.01247,8.45029,8.00610,8.48959,8.57796,8.14803,7.91079,7.91079,7.91079,7.91079,7.89445,7.07223,6.54727,6.95768,6.70820,6.48113,6.48113,6.48113,6.48113,6.48113,6.48113,6.48113,6.48113,6.48113,6.48113,6.48113,6.78488,6.95768,6.95768,6.95768,6.95768,6.95768,6.95768,6.91063,6.48113,6.48113,6.48113,6.39210,6.00457,5.41417,5.05147,5.05147,4.83085,4.65515,4.23316,4.19367,4.19367,4.19367,4.19367,4.42946,4.54824,4.47960,4.47960,4.47960,4.69045,4.86226,5.29339,5.19490,6.26893,7.36603,6.38582,6.38582,6.38582,6.61627,7.43424,8.04195,9.26176,9.65814,10.05526,10.99970,11.65199,12.77123,12.86695,12.86695,12.86695,12.47362,12.39039,12.39039,12.23382,11.75830,11.41736,11.34197,11.34197,11.10137,10.61677,10.38887,10.38887,10.38887,10.38887,10.23919,9.91231,9.67733,9.75692,9.85615,9.34045,9.34045
2021,Thornton 33_11kV,04MAY2020,MW,9.71929,8.89522,8.72102,8.38734,8.38734,8.38734,7.87625,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,7.81548,8.00831,8.38734,9.12585,9.81700,10.44606,11.53260,11.53260,11.53260,11.84645,11.56007,11.22696,10.80910,10.31423,9.94742,9.15445,8.97333,8.57796,7.79247,7.62486,7.30211,7.03381,6.09989,6.09989,6.09989,6.09989,6.09989,5.59654,5.52802,5.52802,5.52802,5.52802,5.52802,6.06236,7.19152,7.45805,7.52955,7.25730,7.45913,7.52955,8.14130,9.05452,9.05452,9.05452,9.37581,10.21407,10.68563,11.34124,12.17486,13.07340,13.91536,13.91536,13.91536,13.51183,13.26220,12.96226,12.55311,12.03245,11.91384,11.91384,11.91384,11.53087,10.96611,10.53129,10.86045,10.84105,10.49468,10.48418,10.48418,10.48418,10.27783,9.53107,9.53107,9.53107,9.53107
2021,Thornton 33_11kV,05MAY2020,MW,9.84249,10.10294,9.85213,9.62638,9.62638,9.17458,9.14983,9.14983,8.71105,8.01267,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.81640,9.09798,9.68010,10.31411,10.86542,10.86542,10.86542,10.86542,11.27307,11.34197,11.34197,11.34197,10.94868,10.33733,8.33197,9.43974,10.38887,10.23655,10.26188,9.83661,8.46427,8.88814,9.91555,10.39898,9.66665,9.43576,8.84058,8.02260,8.58137,8.89222,7.68434,7.38121,7.54424,7.05299,7.49208,8.58968,8.67327,8.69586,9.62638,10.18102,9.64087,9.04279,9.91078,10.85057,11.43990,12.11472,12.99425,13.15288,13.15288,13.15288,13.15288,13.15288,12.93835,12.67632,12.67632,11.94588,11.72322,11.72322,11.64439,11.24666,11.16701,10.77011,10.59028,10.29356,10.29356,10.29356,10.29356,10.29356,10.24291,10.31112,10.38887,10.38887,10.38887
2021,Thornton 33_11kV,06MAY2020,MW,10.38887,10.38887,10.24065,9.61140,9.12051,8.91847,8.48265,8.48265,8.48265,8.48265,8.02551,7.52955,7.17480,7.01377,6.95768,6.95768,6.95768,6.95768,6.95768,6.95768,6.95768,7.38499,7.52955,7.88488,8.46151,9.30475,9.59573,10.18522,10.60443,11.05604,11.05604,11.05604,11.05604,11.05604,11.31008,11.05604,11.05604,11.05604,11.05604,10.85387,10.57949,10.24702,9.65166,8.45724,7.03691,6.48113,5.88433,5.52802,5.52802,5.18160,5.05147,5.05147,5.05147,5.05147,5.05147,5.05147,5.44388,5.52802,6.04331,6.51477,6.57644,7.07252,7.65309,8.00610,8.22798,8.78167,9.43576,10.09075,10.81759,11.26845,12.05831,12.77164,12.77164,12.77164,12.77164,12.77164,12.43609,12.32117,12.22116,11.81853,11.63355,10.86542,10.86542,10.86542,10.86542,10.86542,10.86542,10.86542,11.21472,10.69960,10.48418,9.80148,9.94820,10.06570,10.10294,10.10294
2021,Thornton 33_11kV,07MAY2020,MW,10.10294,10.10294,10.10294,9.78778,9.59207,9.14983,8.11366,8.10141,8.10141,8.10141,8.10141,8.10141,7.64822,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.62486,7.93101,8.10141,8.10141,8.18201,9.47725,9.53107,10.07642,10.93508,10.96073,10.96073,10.96073,11.34736,11.23639,10.18506,10.97762,10.77011,10.51873,9.84804,9.35184,9.34045,9.28520,8.06027,7.91079,7.91079,7.91079,7.91079,7.91079,7.91079,7.91079,7.91079,7.91079,7.91079,7.91079,7.36007,6.96519,7.14830,7.20184,8.10971,7.23286,7.64803,9.06882,7.82259,8.31549,8.93558,9.34045,9.70644,9.81700,10.44684,11.16299,11.34197,11.70154,12.57270,12.77164,12.77164,12.49670,12.77164,12.32390,11.89473,11.55680,11.34197,11.06736,10.86542,10.86542,10.86542,10.86542,10.86542,10.86542,10.78613,9.99894,10.27523,9.91231,9.82898,9.87691,9.91231,9.91231,9.91231
2021,Thornton 33_11kV,08MAY2020,MW,9.91231,9.91231,9.91231,9.91231,9.80524,9.43576,9.22454,8.95921,8.21947,7.91079,7.76749,7.72017,7.63851,7.24361,7.24361,7.24361,7.24361,7.24361,7.65890,7.72017,7.72017,7.72017,7.72017,8.01792,8.91837,9.40412,10.02624,10.28481,10.67107,11.05604,11.05604,10.63961,9.97039,9.75757,8.77071,8.38734,8.31184,7.66188,7.27726,6.95768,6.66588,6.39103,5.98572,5.52802,5.52802,5.49807,5.43271,5.43271,5.43271,5.22661,4.95616,4.95616,4.95616,4.95616,4.95616,4.95616,5.88426,5.90926,5.95694,7.03385,7.14709,7.43424,7.99844,8.98701,9.17069,9.05452,9.05452,9.51889,9.72169,10.10533,10.96073,10.96073,10.96073,10.96073,10.96073,10.96073,10.91381,10.57949,10.57949,10.57949,10.40817,10.10294,10.10294,10.10294,9.35328,9.14983,9.14983,9.14983,9.14983,9.14983,9.14983,9.14983,9.53249,9.62638,9.48506,9.14983
2021,Thornton 33_11kV,09MAY2020,MW,9.35273,9.81700,9.64407,9.24514,9.24514,9.24514,8.66308,7.84697,7.62486,7.62486,7.62486,7.62486,7.62486,7.59851,7.05299,7.05299,7.05299,7.05299,7.05299,7.05299,7.05299,7.05299,7.05299,7.05299,7.35428,7.52955,7.52955,7.52955,7.52955,7.70681,8.00610,8.00610,7.63922,7.65797,7.59376,7.22085,6.31251,6.13772,7.38765,6.17413,6.23037,7.83128,6.71466,4.98934,4.47407,4.33029,6.14724,5.38903,4.07711,4.53920,5.87419,5.13220,5.41455,7.34635,7.62486,7.62486,7.62486,7.62486,7.81686,8.29109,8.23110,8.13473,8.67327,8.68474,9.14983,8.92621,9.05452,9.05452,9.23830,10.00864,10.48418,10.48418,10.85090,10.87043,10.57949,10.57949,10.57949,10.28966,10.54966,10.41849,10.10294,10.10294,10.10294,10.10294,9.69009,9.60354,9.44676,9.60504,9.14983,9.14983,9.14983,9.14983,9.14983,9.14983,9.14983,8.80621
2021,Thornton 33_11kV,10MAY2020,MW,8.67327,8.45285,8.19672,8.51718,8.53639,7.86775,7.72017,7.72017,7.72017,7.35286,7.24361,7.24361,7.24361,7.24361,7.24361,7.24361,7.24361,7.24361,7.15870,6.67175,6.67175,6.67175,6.67175,6.67175,7.05441,7.14830,7.14830,7.14830,7.14830,7.14830,7.21646,7.40128,7.14830,7.14830,7.14830,7.14830,7.14830,6.47314,5.91986,6.19520,5.72800,5.52936,4.89706,4.21806,4.19367,4.19367,4.23533,4.16712,4.09836,4.06869,3.99760,4.01102,4.07870,4.09836,4.09285,4.14868,4.15761,4.09836,4.13043,4.09918,4.84352,5.49074,5.52802,6.37188,7.10282,7.63048,8.75975,9.21894,10.36847,10.89427,11.75609,12.00915,12.47331,12.48570,12.26940,12.00915,12.00915,12.00915,12.00915,12.00915,12.00915,12.00915,12.00915,12.00915,11.65459,11.31524,11.05604,11.05604,11.05604,10.66363,10.57949,9.73338,9.62638,9.62638,9.62638,9.62638
