year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Tighes Hill 33_11kV,01MAY2020,MW,8.72122,9.54339,9.95741,9.89409,9.73433,9.58713,9.28129,8.53560,8.30963,7.91502,8.00886,7.51005,7.79330,7.07460,6.37929,6.41883,6.29652,6.14200,6.39291,7.40058,7.81614,8.05371,8.38207,8.36482,8.36804,9.66521,8.98941,9.58315,11.25288,12.26862,12.61762,12.60790,12.76279,12.35836,11.94393,11.54246,10.85294,11.34498,11.53268,12.57660,12.88494,13.47947,12.74210,13.53896,12.57746,12.56245,12.90323,11.87672,12.30036,12.74001,12.09830,12.03966,12.01581,11.40713,11.96772,11.05837,10.80067,11.52531,11.48550,11.69748,10.75204,10.07533,10.42554,9.89237,10.65399,11.73315,12.12158,12.25904,12.65317,12.47136,13.20576,12.83391,12.61165,12.93732,12.68370,12.31894,12.10470,11.99922,12.14523,12.63610,12.40576,12.70914,12.72324,12.53615,12.87228,13.10191,11.59291,12.07669,12.25730,11.93021,11.35241,10.71232,10.12667,9.58112,9.70232,10.22383
2021,Tighes Hill 33_11kV,02MAY2020,MW,8.63478,9.96385,11.72637,12.49146,12.47617,12.23961,11.72868,11.02910,11.78521,11.08929,11.19928,10.67512,10.03410,10.04859,9.59113,9.94833,9.68529,9.67396,8.12437,8.14083,8.70522,8.68789,9.38416,9.79993,10.14986,10.45432,10.15630,10.54064,10.08761,9.78412,9.67375,9.60943,9.06451,7.70147,7.58768,8.72957,8.52944,7.50341,7.28540,6.56097,7.24761,7.25572,7.04236,6.97058,6.79320,6.56148,6.62008,6.61019,7.53273,7.54388,7.23254,6.88481,6.20548,6.77084,6.04110,6.83427,6.38551,6.54371,6.41402,7.23680,7.34873,7.24851,7.72468,8.40048,8.65619,8.62226,8.79805,9.01458,9.46952,9.73548,10.10903,9.69741,9.79701,9.69617,9.12556,9.20990,9.07843,8.89054,8.71018,8.50269,9.12083,10.08191,10.06904,9.28377,9.02571,9.16045,9.06456,9.06974,8.50677,8.37431,8.57488,7.85569,8.25324,7.78312,7.08767,6.76535
2021,Tighes Hill 33_11kV,03MAY2020,MW,6.88156,6.53668,6.46131,6.30187,6.09369,5.85330,5.61875,5.54201,5.54726,5.52253,5.43869,5.41668,5.44472,5.39653,5.40061,5.34795,5.35034,5.36044,5.37858,5.45526,5.51419,6.18684,6.23886,5.83553,5.98688,5.91251,5.93883,6.15079,6.38788,7.28482,8.47619,10.05689,9.96324,9.97244,9.96766,9.78408,8.51584,8.62786,8.03818,8.21102,7.04217,7.32601,7.38830,6.51848,6.74096,6.96135,6.54898,6.58749,7.00799,7.47234,7.55621,7.64464,7.73217,7.61981,7.63371,7.14029,6.29120,5.99416,6.21849,8.02956,8.77770,8.32166,7.70917,8.54193,9.27219,10.57273,11.49788,11.14471,11.16405,11.97032,12.31798,12.83692,13.27821,12.93524,12.76940,11.76413,11.35217,11.22125,10.69685,10.65444,10.32925,10.65309,10.97126,10.95148,10.88649,10.70199,11.08583,9.63116,9.23659,8.63633,8.49345,8.47171,8.44516,8.33321,8.00333,7.89887
2021,Tighes Hill 33_11kV,04MAY2020,MW,7.82561,7.49826,7.31471,7.14123,7.58955,7.28116,7.17524,7.18160,7.11181,6.92728,6.84563,6.75408,6.67246,6.46380,5.84900,6.24045,6.61528,6.36959,6.48807,6.53660,7.45334,7.41058,7.06552,7.67293,8.42236,8.59807,8.83444,9.59618,9.99686,10.26435,10.59202,10.74303,10.92500,11.04231,10.73764,10.51440,10.49390,10.10788,9.77986,9.64130,9.53209,9.71541,9.74770,9.43742,9.82757,9.86960,9.28624,9.12351,9.24348,9.29670,9.26895,9.45657,10.28584,11.38782,10.93277,10.40241,10.14240,10.15206,10.49186,10.40217,9.94070,10.53938,10.21593,10.58366,10.98015,10.95575,11.25890,11.60652,11.37897,11.51600,11.66449,11.89890,12.35868,11.67981,11.21659,10.99531,11.04001,10.45174,10.11278,9.81259,9.48307,9.49971,9.46971,9.10156,8.96624,8.98028,9.12636,9.59492,10.20143,9.98104,9.77554,9.18174,8.86225,9.09613,8.46374,8.60981
2021,Tighes Hill 33_11kV,05MAY2020,MW,8.83048,8.74260,8.22882,8.18230,7.85528,8.60996,8.08540,8.07160,8.40563,8.50881,9.29589,9.20319,8.96102,9.10817,8.69769,8.13202,6.94132,7.91234,7.55333,8.18060,8.34735,7.53803,7.53602,8.55558,9.25607,9.51422,9.46034,9.27196,9.46204,9.77556,10.23764,11.12747,10.94623,10.83211,10.94748,10.64838,12.37888,13.01067,13.05868,13.20387,13.41156,11.89613,11.31489,12.36479,12.44570,11.94149,11.91123,11.90513,11.75982,11.36167,12.64930,12.25038,12.18199,12.78428,12.46892,11.73565,11.90440,11.01295,11.07029,11.44310,11.19291,11.19840,10.95935,11.00397,10.33781,9.79020,10.25706,10.71573,11.03261,11.79871,12.84977,12.90304,13.06289,13.20159,12.56068,11.82008,11.36241,11.04291,11.55762,11.25281,11.40963,11.92512,11.59871,10.71673,10.35221,10.09867,10.35889,9.70555,10.10156,9.83679,9.37766,9.08402,9.11577,8.18276,8.39560,8.73031
2021,Tighes Hill 33_11kV,06MAY2020,MW,8.76250,7.73210,8.09197,8.27206,8.35478,8.14257,7.95470,7.40530,7.31614,7.63316,6.46461,6.27267,6.60008,7.45681,7.29950,7.17671,6.38931,6.26749,6.27905,7.27501,7.28880,7.62839,7.75371,7.68617,8.92577,9.10641,9.70561,10.77745,10.89355,11.61617,11.84540,12.02656,12.43915,12.34874,12.14421,11.03036,11.16421,10.26464,10.52156,10.31100,10.89573,11.61482,9.95989,9.88656,9.94849,9.63446,10.18458,9.75591,9.78861,10.09425,9.61075,9.72833,9.89571,10.29700,10.59227,10.41397,10.38837,10.18762,10.32172,9.98976,9.41268,9.90447,9.33439,9.72017,8.93952,8.86134,9.22336,9.66792,9.17116,9.29131,9.60142,9.70170,9.99075,9.84975,9.78171,9.73448,9.59573,9.57854,9.44870,9.27220,9.13966,8.68895,8.66426,8.36113,8.33449,8.18880,8.00260,7.83664,8.89672,8.56894,7.97190,7.49762,7.43598,7.21702,7.11122,7.07841
2021,Tighes Hill 33_11kV,07MAY2020,MW,7.19070,7.07210,6.94117,6.99294,6.84378,6.55095,6.31644,6.46933,6.31390,6.28927,6.01246,6.12096,6.55806,6.42174,5.75874,5.72163,5.82420,5.81913,5.82443,6.19385,7.15135,7.97281,8.21884,8.57293,9.35391,9.81948,9.90017,10.02924,10.32124,10.53629,9.91603,9.73463,10.88296,11.87841,12.27134,11.84332,11.80947,11.59970,11.41098,11.57719,10.95977,10.72256,11.50313,11.86173,11.91371,12.20072,12.53453,12.73947,12.79884,12.14460,11.19824,12.06301,11.82043,12.00408,12.17902,11.65951,10.93083,11.08954,11.57545,11.22026,11.27854,11.92338,11.66273,11.17265,10.90660,11.49600,11.80015,13.89158,14.59959,13.79161,14.07402,14.38221,13.86843,14.01095,13.32350,13.98821,13.16571,11.14345,10.81729,11.46950,11.26429,10.35553,11.05349,10.91134,10.77587,10.48040,10.57293,10.33112,10.60563,10.18603,8.93133,8.97370,10.18641,10.04697,10.64362,10.55383
2021,Tighes Hill 33_11kV,08MAY2020,MW,11.18163,10.01002,10.43271,10.94659,10.15152,10.15122,9.74641,10.09661,10.01019,8.26616,8.86570,8.93685,8.72703,8.40442,8.46734,9.47913,9.30662,9.21483,9.30366,8.25966,9.15348,9.01704,10.31865,10.33239,10.17386,10.46489,9.87712,9.67303,11.21120,11.67500,11.97467,11.91624,11.12909,12.00733,11.67192,11.28432,10.81727,9.92068,9.30698,10.22201,10.08323,9.79106,9.43922,9.58085,10.41215,10.59724,9.74889,10.65859,10.71233,10.43339,10.20189,10.74869,10.62920,10.68448,10.12428,10.11031,10.16440,9.74866,9.71922,9.95389,10.01401,9.60502,9.44463,9.19022,9.54993,8.92932,10.01909,10.03029,10.09226,9.90724,10.20393,10.65614,10.72696,9.81772,9.63105,9.94863,9.67121,9.25346,9.26571,9.07694,8.14879,8.22345,8.41810,7.91313,7.44316,7.35436,7.41341,7.54767,8.31623,8.84983,8.50074,8.14719,8.29606,7.97521,7.26667,6.62419
2021,Tighes Hill 33_11kV,09MAY2020,MW,6.55280,6.51587,6.54969,6.60852,7.24488,7.25441,5.87442,5.77352,6.74265,7.23070,6.99645,6.62541,6.19280,5.93913,5.93620,5.58617,5.29936,5.22313,5.23442,5.26528,5.33974,5.33664,5.61903,5.66260,5.72855,5.72504,5.78992,5.87456,6.01383,6.06372,6.07055,6.14289,6.19208,6.17707,6.76233,6.92582,6.52454,6.59912,6.67864,6.61606,6.47841,6.16732,5.98427,5.29483,5.43911,5.33934,5.36028,6.04404,5.96504,5.93575,5.47598,5.70635,5.14196,5.66587,6.50975,6.53307,6.49032,6.50036,6.58324,6.80051,6.68323,6.62660,6.97530,7.65884,8.25623,8.33528,8.27638,8.69639,8.85109,9.01226,9.39424,9.27366,9.61294,9.18988,9.13099,9.76620,9.87508,9.74262,9.58773,8.85868,8.66474,8.57483,8.50585,8.35231,7.46297,7.49037,8.73091,8.33836,7.63131,7.55626,7.76172,7.69109,7.77243,7.63752,7.11067,6.40446
2021,Tighes Hill 33_11kV,10MAY2020,MW,7.30661,7.14814,7.05547,7.12347,6.89077,6.64573,5.81383,6.37829,6.52376,6.40971,6.37848,6.46589,5.73613,5.61197,6.05491,6.30988,6.36379,6.39164,5.76816,6.11527,6.26914,6.33129,6.43248,5.88486,6.53732,6.67026,6.61462,6.68542,6.39312,6.79279,6.47796,6.86159,6.85704,6.92373,6.95603,6.99920,7.03739,6.82671,6.69710,6.58711,6.48780,6.22892,6.22904,6.33273,6.16004,6.14374,6.03100,5.22030,6.32137,6.90393,7.15391,6.10804,5.48794,5.84994,6.72141,6.65399,7.11856,7.41528,6.87901,7.75185,7.67209,8.19316,7.68114,8.10404,7.90691,7.93764,9.04615,9.36667,8.96938,9.82914,10.82670,11.45817,11.72542,12.00686,11.58242,11.57459,11.42885,11.51192,11.47850,10.72854,11.44249,11.10026,11.81123,11.65844,11.01923,10.70096,11.00042,10.50916,9.75312,9.08839,9.06615,9.48394,9.79375,9.25403,9.13760,8.83114
