year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Tomago 33_11kV,01MAY2020,MW,4.09772,3.35353,3.15373,2.92022,2.59279,3.11131,3.86525,4.23393,4.35607,4.13145,4.20236,4.14443,4.14978,4.10215,4.01449,4.01079,4.17263,4.28915,4.31462,4.51024,4.81538,4.91885,4.29761,4.27916,4.83377,5.21086,5.69683,5.87239,6.10030,6.18811,6.38634,6.50278,6.41889,6.35386,6.35031,6.25927,5.87696,5.88734,5.97478,5.79673,5.95919,6.20487,5.84870,5.95182,5.84866,5.93914,5.87345,5.82899,5.60761,5.50647,5.23333,5.33893,5.20934,5.22218,5.04980,4.90182,4.80293,4.87166,4.63392,4.57973,4.23771,3.99595,3.71887,3.69850,3.58385,3.63812,3.52223,3.35484,3.21665,3.26999,3.46458,3.51206,3.49086,3.39089,3.36232,3.41387,3.23091,3.15063,3.21328,3.11218,3.00288,3.11412,3.17845,3.22638,3.23429,2.80426,2.75665,2.82853,2.92631,2.87632,2.70269,2.67232,3.01244,3.07387,2.92563,2.81928
2021,Tomago 33_11kV,02MAY2020,MW,2.73769,2.54882,2.48957,2.51435,2.46387,2.49050,2.66189,2.45585,2.41570,2.63422,2.64451,2.56823,2.62442,2.49436,2.34186,2.35993,2.44073,2.31949,2.39762,2.70625,2.79497,2.86971,2.80895,2.99139,3.19117,3.13233,3.56046,3.62079,3.61529,3.54694,3.49716,3.41419,3.34156,3.48070,3.33328,3.04783,2.98007,2.90150,2.80868,2.75257,2.72715,2.88846,2.78252,2.78060,2.64360,2.48634,2.38465,2.34638,2.20570,2.39816,2.20248,2.17354,2.01223,2.03401,1.96650,1.87626,1.91359,2.16122,2.07029,2.06209,1.94760,1.97673,2.06186,2.02002,2.18386,2.32520,2.55825,2.59026,2.73853,2.63420,2.70240,2.76785,2.80565,2.76604,2.94646,2.74333,2.75627,2.65378,2.64760,2.68691,2.55526,2.50350,2.61319,2.70445,2.63259,2.55009,2.48949,2.43543,2.47563,2.43201,2.55941,2.88161,2.67722,2.49106,2.40412,2.46069
2021,Tomago 33_11kV,03MAY2020,MW,2.37325,2.32034,2.29371,2.31222,2.44886,2.25491,2.31141,2.25670,2.03821,2.03293,2.20301,2.34070,2.28248,2.26732,2.22569,2.04215,2.14168,2.29367,2.21754,2.09851,2.04381,2.12108,2.31131,2.45223,2.56313,2.34419,2.22039,2.10946,2.13665,2.21657,2.05575,1.97921,2.08869,1.97175,1.94970,1.92506,1.77526,1.72276,1.64199,1.57244,1.70887,1.65567,1.63549,1.48373,1.52924,1.54426,1.46549,1.53004,1.74844,1.70409,1.58909,1.48480,1.64347,1.56394,1.68514,1.65856,1.60089,1.88592,1.91415,1.85388,2.04296,1.98041,2.01965,2.06814,2.00050,2.08559,2.29555,2.23605,2.28503,2.29322,2.50518,2.64080,2.65498,2.68679,2.83167,3.00247,3.00169,2.69567,2.46789,2.28760,2.27226,2.27725,2.31163,2.30089,2.39177,2.59149,2.57748,3.22059,3.60261,3.40916,2.81849,2.41283,2.53289,2.48461,2.52949,2.32197
2021,Tomago 33_11kV,04MAY2020,MW,2.24336,2.18425,2.15517,2.17011,2.07803,2.04779,2.00012,2.14690,2.01448,2.14512,2.16771,2.15478,2.13989,2.18139,2.18918,2.29714,2.47467,2.53608,2.59996,3.04165,3.21407,3.58390,3.99870,4.28237,4.94848,5.38493,5.63908,6.94240,7.42435,8.07782,8.29680,8.52913,8.57400,8.46783,8.39220,8.15704,7.79169,7.81969,7.87951,7.89392,7.89128,7.78491,7.46480,7.47830,7.51207,7.42925,7.18190,7.06887,7.03967,7.20812,7.16841,7.22804,7.21091,6.46294,6.08839,5.61065,5.81005,5.98809,5.62544,5.31574,4.85244,4.49546,4.37339,4.18245,3.90207,3.69312,3.66470,3.63491,3.55296,3.67115,3.78720,4.04068,4.11127,4.13384,4.14604,4.13813,3.78298,3.65200,3.66514,3.76433,3.71386,3.71639,3.52571,3.55507,3.54133,3.41731,4.04258,4.78307,4.97905,5.13071,5.13253,4.97325,5.21645,5.07661,4.85974,4.85949
2021,Tomago 33_11kV,05MAY2020,MW,4.59047,4.60743,4.78598,4.69987,4.50489,4.52624,4.66440,4.52801,4.45627,4.38849,4.35279,4.22758,4.07934,4.02525,4.12877,3.80101,3.94648,3.99260,4.44044,4.60026,4.91450,5.08490,4.63109,4.42930,4.93866,5.46057,5.55731,5.90032,6.20963,6.34915,6.54478,6.53721,6.48462,6.58387,6.56850,6.52748,6.14396,6.26390,6.53742,6.30603,6.50634,6.43810,6.22415,6.66703,6.72457,6.54069,5.99608,5.88615,5.77697,5.71711,5.74143,5.75765,5.98778,6.02838,5.95834,6.08269,5.96047,5.52440,5.30395,5.17304,5.10851,4.93908,4.59740,4.45970,4.30059,3.94592,3.81848,3.87808,3.83459,3.94689,4.05218,3.97582,4.02997,4.34665,4.43558,4.48131,4.38479,4.29579,4.09032,3.90555,3.86364,3.93480,3.94782,3.79949,3.68036,3.53718,4.19960,4.70861,5.24488,5.19360,5.11458,5.23385,5.33992,4.99424,4.79857,4.80624
2021,Tomago 33_11kV,06MAY2020,MW,4.76626,4.78415,4.68940,4.64963,4.60596,4.55653,4.47439,4.48374,4.41295,4.65579,4.72694,4.48453,4.30258,4.07468,4.06194,4.18795,4.30989,4.32668,4.40238,4.74267,5.16968,5.34137,5.10904,4.95659,5.16143,5.44557,5.37917,5.80649,6.28504,6.36317,6.52938,6.80107,6.74705,6.52112,6.57242,6.53791,6.33980,6.29427,6.51148,6.79935,6.75672,6.85208,6.85570,6.84861,6.40244,6.38421,6.49173,6.29549,5.99873,5.95083,5.84493,5.85690,5.90960,5.83868,5.95913,6.00595,5.95936,6.13293,5.74043,5.38346,5.05512,4.77068,4.57032,4.30549,4.15539,4.14808,3.86682,3.75603,3.68777,3.60299,3.88684,3.97033,3.87920,3.89002,3.80902,3.80071,3.71483,3.90712,3.73356,3.49695,3.63087,3.73812,3.62854,3.79031,4.03291,4.02418,4.60042,5.02585,5.27676,5.26100,5.46435,5.33003,5.26886,5.13830,5.32857,5.27613
2021,Tomago 33_11kV,07MAY2020,MW,5.33161,5.31686,5.22757,5.07316,5.01464,5.01731,4.66646,4.51871,3.54809,3.21135,4.24613,4.38276,4.21253,4.13326,4.01131,4.08557,4.14009,4.10789,4.25535,4.50982,4.90384,4.44197,4.15723,4.45760,5.08038,5.34595,5.81398,6.15324,6.38317,6.19239,5.89354,5.81219,5.78975,5.79675,5.75710,5.79716,5.65748,5.58170,5.48412,5.52474,5.77815,5.67949,5.48650,5.66199,5.49208,5.53834,5.47003,5.70932,5.32828,5.55875,5.54663,5.40156,5.45908,5.52526,5.53867,5.66068,5.74738,6.15587,5.76160,5.28631,5.01071,4.75429,4.49647,4.20330,4.02965,3.97535,3.88728,3.88346,3.67966,3.61379,3.94410,3.95672,4.03180,4.04483,4.10821,4.23851,4.19136,4.03201,3.80076,3.81845,3.98799,3.95693,3.80752,3.76216,3.73329,3.64703,4.07683,4.90370,5.31759,5.37994,5.35964,5.42901,5.39335,5.14561,5.04073,4.86741
2021,Tomago 33_11kV,08MAY2020,MW,4.82877,4.89084,5.03469,4.75001,4.70135,4.64133,4.51966,4.38254,4.29800,4.29669,4.34354,4.35392,4.22810,4.09204,4.13156,4.08016,4.12081,4.24937,4.37841,4.58418,4.91277,5.32140,5.51487,6.10495,6.55258,6.69541,6.47467,6.27672,6.45201,6.53335,6.31651,6.63341,6.62978,6.74858,6.46382,6.40109,5.88849,6.04576,5.87975,5.84926,5.96409,5.84346,5.92886,5.81296,5.71996,6.09542,5.89928,5.81164,5.69640,5.64022,5.51479,5.49273,5.36035,5.16153,5.15361,4.90150,4.85971,4.94651,4.86518,4.54010,4.25521,4.07888,3.86144,3.77363,3.76348,3.50420,3.50692,3.47664,3.26882,3.24357,3.23927,3.23917,3.03162,3.07953,3.24611,3.27816,3.28491,3.26734,3.18438,3.11723,3.13109,3.17868,3.28306,3.08471,2.83363,2.71328,2.81330,2.87864,3.06959,2.91827,2.82509,2.75019,2.77763,2.73335,2.70159,2.66838
2021,Tomago 33_11kV,09MAY2020,MW,2.68658,2.64848,2.58991,2.43871,2.46814,2.44478,2.46312,2.42613,2.28666,2.29113,2.35219,2.31143,2.26773,2.27687,2.38540,2.29599,2.22223,2.14531,2.13894,2.32503,2.55629,2.76105,2.84444,2.99285,3.28050,3.31711,3.47646,3.35504,3.32398,3.36825,3.34043,3.30973,2.97764,2.73998,2.95514,2.75245,2.62793,2.73303,2.76732,2.77286,2.66028,2.87442,2.81700,2.49966,2.16592,2.08938,2.25856,2.28877,2.02149,2.16513,2.30015,2.08268,2.08913,2.31740,2.29833,2.20331,2.24220,2.27612,2.24201,2.24416,2.18113,2.16265,2.19578,2.36668,2.31496,2.20031,2.07621,2.17466,2.24964,2.31747,2.45817,2.54772,2.51258,2.42031,2.40461,2.36919,2.36885,2.39018,2.21661,2.27675,2.27897,2.16323,2.17924,2.27105,2.45560,2.49392,2.42946,2.34072,2.26589,2.24581,2.27582,2.25606,2.24593,2.13213,2.16726,2.14498
2021,Tomago 33_11kV,10MAY2020,MW,2.13090,2.10877,2.17612,2.03441,1.99879,1.98777,1.94540,1.90952,1.92201,1.93371,1.95202,1.84795,1.80380,1.91550,1.86396,2.05477,1.98239,1.85647,1.77925,1.90497,1.85859,1.86782,1.91314,2.02830,2.14056,2.06730,2.00581,2.09205,2.06065,2.01481,1.97169,1.86628,1.82944,1.82648,1.78770,1.60873,1.61527,1.56243,1.47675,1.44539,1.42135,1.35854,1.41917,1.50768,1.37516,1.31707,1.34724,1.30667,1.31592,1.47375,1.51696,1.47977,1.38240,1.32885,1.36226,1.41013,1.48077,1.62827,1.74435,1.59969,1.57340,1.69044,1.73510,1.82907,1.95691,1.96015,2.08702,2.27603,2.23272,2.32092,2.63154,2.73939,2.70377,2.78790,2.87061,2.79249,2.76600,2.62490,2.55152,2.50338,2.48250,2.49652,2.44403,2.43632,2.53190,2.45107,2.58892,2.64362,2.55704,3.51842,3.74345,3.83948,3.91516,3.84489,3.83104,3.91511
