year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2021,Tomalpin 33_11kV,01MAY2020,MW,0.22970,0.22733,0.22358,0.22315,0.22066,0.22073,0.21983,0.22044,0.21889,0.21849,0.21679,0.21640,0.21674,0.22783,0.22385,0.21452,0.21622,0.21201,0.20788,0.20932,0.17955,0.23578,0.25331,0.25773,0.61098,0.96947,1.11349,0.92256,0.87135,0.84653,0.82252,0.58989,0.51912,0.92900,0.65060,0.95425,0.72878,0.57865,0.92895,0.85190,1.02965,0.92383,0.86609,0.91475,0.91994,0.60326,0.58297,0.63260,0.68840,0.65672,0.63822,0.62120,0.60625,0.68605,0.62317,0.65335,0.65488,0.69567,0.70691,0.67257,0.78295,0.81942,0.88693,0.67424,0.52010,0.55438,0.76410,0.82285,0.95335,1.14513,1.09902,1.03062,0.95813,0.36984,0.24595,0.24997,0.25034,0.23605,0.23313,0.23079,0.22806,0.22794,0.22551,0.22309,0.22215,0.22312,0.22414,0.22215,0.22185,0.22181,0.22163,0.22153,0.22123,0.22135,0.22084,0.22095
2021,Tomalpin 33_11kV,02MAY2020,MW,0.21980,0.22042,0.21598,0.21653,0.21660,0.21846,0.22046,0.21949,0.21963,0.21765,0.21462,0.21681,0.21843,0.21875,0.21892,0.21923,0.21817,0.21816,0.21495,0.18831,0.18842,0.19726,0.20069,0.20229,0.20202,0.19851,0.19631,0.19800,0.19753,0.19811,0.19794,0.19774,0.19549,0.20358,0.20473,0.20547,0.20197,0.19792,0.19577,0.19522,0.19522,0.19810,0.19455,0.19901,0.19602,0.19594,0.19630,0.19655,0.19480,0.19545,0.19747,0.19567,0.19452,0.19250,0.19380,0.19447,0.19572,0.19433,0.19567,0.19666,0.19751,0.19684,0.19609,0.19433,0.19599,0.19523,0.19700,0.19749,0.19564,0.19249,0.20013,0.20191,0.20136,0.20265,0.20150,0.20067,0.20314,0.20535,0.20450,0.20479,0.20484,0.20427,0.20617,0.20525,0.20422,0.20183,0.20261,0.20191,0.20294,0.20085,0.20329,0.20265,0.20257,0.20405,0.20276,0.20475
2021,Tomalpin 33_11kV,03MAY2020,MW,0.21370,0.21307,0.21302,0.21043,0.21160,0.21319,0.21292,0.21502,0.21364,0.21267,0.21150,0.21239,0.21247,0.21231,0.21080,0.20980,0.21406,0.21566,0.21255,0.20680,0.20606,0.20425,0.21391,0.21487,0.20408,0.19793,0.19462,0.19613,0.19524,0.20500,0.20404,0.19680,0.19639,0.19906,0.19677,0.19625,0.19838,0.20872,0.20573,0.19819,0.19750,0.19571,0.19461,0.19764,0.19749,0.19855,0.20598,0.20154,0.19622,0.19366,0.19311,0.19358,0.19658,0.19665,0.20034,0.20446,0.20052,0.19612,0.19655,0.19602,0.19501,0.19585,0.19813,0.20485,0.20457,0.19118,0.19378,0.19551,0.19621,0.19828,0.20706,0.21437,0.21315,0.20440,0.20479,0.20330,0.20576,0.20601,0.21629,0.21582,0.20393,0.20136,0.20298,0.20356,0.20401,0.21010,0.21329,0.20847,0.20385,0.20505,0.20591,0.20577,0.20752,0.21520,0.21456,0.20625
2021,Tomalpin 33_11kV,04MAY2020,MW,0.20632,0.20572,0.20363,0.20530,0.21582,0.21547,0.20723,0.20578,0.20428,0.20265,0.20341,0.21202,0.21764,0.21069,0.20518,0.20463,0.20623,0.20659,0.21265,0.21863,0.21615,0.21066,0.17852,0.24486,0.27507,0.61254,0.92695,0.96845,0.87689,0.85246,0.65035,1.02049,0.91445,0.74532,0.93132,0.99572,0.87922,0.84407,1.07360,1.06313,1.06549,1.06154,1.06269,0.98811,0.95215,1.02517,1.01547,1.01979,1.02088,1.01700,1.03617,0.94044,0.65266,0.67432,0.81702,0.92356,0.88429,0.99277,1.03595,0.86424,1.01642,1.16402,1.06535,1.03351,0.98970,0.79238,0.75694,0.69274,0.73553,0.72167,0.73660,0.80296,0.80283,0.63350,0.74276,0.78212,0.74298,0.97564,0.97070,0.95013,0.65003,0.80125,0.80596,0.90985,0.68664,0.74566,0.59716,0.76917,0.63075,0.63834,0.80881,1.01064,0.27516,0.25759,0.25234,0.23404
2021,Tomalpin 33_11kV,05MAY2020,MW,0.22155,0.21310,0.21377,0.21183,0.21211,0.20931,0.21786,0.22087,0.21594,0.20671,0.20658,0.20626,0.20669,0.20561,0.20676,0.20600,0.21612,0.21638,0.21501,0.20602,0.20986,0.20003,0.23409,0.25077,0.46736,0.88813,0.69471,0.93076,1.02171,0.98981,0.93221,0.96631,0.86817,0.76669,0.97910,0.81849,0.67223,0.74626,0.83751,0.74208,0.71610,0.67652,0.62555,0.81100,0.83259,0.83204,0.93185,0.91592,0.96120,0.85520,0.95227,0.96760,0.94381,0.91170,0.96831,0.72435,0.85917,0.74732,0.89024,0.86921,0.86115,0.96845,0.95287,0.89043,0.88024,0.87723,0.89299,0.86064,0.88886,0.77751,0.86351,0.51877,0.82524,0.93665,0.89999,0.95740,0.94995,0.94351,0.95657,0.94973,0.91606,0.92811,0.79929,0.69528,0.62967,0.75975,0.85114,0.89072,0.86793,0.87963,0.96415,0.45094,0.24926,0.22652,0.22482,0.22796
2021,Tomalpin 33_11kV,06MAY2020,MW,0.23208,0.23791,0.22420,0.22245,0.22277,0.22225,0.22319,0.22166,0.22332,0.22337,0.22524,0.23569,0.23751,0.22796,0.22266,0.22259,0.22256,0.22380,0.22233,0.22134,0.22437,0.23608,0.24351,0.30424,0.56851,0.76429,0.76536,0.78163,0.81168,0.83485,0.82751,0.79976,0.81083,0.80926,1.03312,0.97635,1.00108,1.01733,0.99897,0.93475,0.94281,0.96318,0.97238,0.99581,0.70940,0.74750,0.73560,0.62278,0.72028,0.64930,0.64097,0.67995,0.79396,0.76336,0.74357,0.86882,0.87583,0.93080,0.82810,0.63345,1.02273,0.84017,0.67801,0.78701,0.84300,0.78170,0.74060,0.78056,0.81351,0.93164,0.82154,0.93846,0.91585,0.90743,1.12297,0.94653,1.15839,1.17563,1.14655,0.93879,0.62546,0.72045,0.67843,0.83062,0.76504,0.88008,0.65247,0.61064,0.65476,0.63448,0.47794,0.81976,0.36667,0.31876,0.30102,0.22743
2021,Tomalpin 33_11kV,07MAY2020,MW,0.24692,0.23508,0.23312,0.22924,0.23987,0.23457,0.22689,0.22612,0.22574,0.22622,0.22327,0.23095,0.23549,0.22697,0.22391,0.22359,0.22196,0.22287,0.22711,0.23391,0.22947,0.22780,0.20446,0.27976,0.36421,0.76433,0.80679,0.70134,0.75679,0.88235,0.92323,0.85151,0.75047,0.57531,0.78466,0.93885,0.95548,0.83596,0.85338,0.85867,0.82067,0.83571,0.71126,0.65710,0.64751,0.73985,0.79699,0.68644,0.76394,0.77436,0.76328,0.92375,0.58664,0.52749,1.20200,0.92528,0.63436,0.86377,0.89557,0.78284,0.77828,0.71116,0.82391,1.17874,1.15888,1.08988,0.98636,0.83112,0.88461,1.04536,1.13105,1.13291,1.10065,1.07725,0.86647,0.83008,0.74075,0.67306,0.56690,0.94508,0.60443,0.73027,0.46573,0.56274,0.69496,0.62721,0.99808,0.53332,0.84610,0.94399,0.86647,0.46409,0.27209,0.22406,0.22069,0.23413
2021,Tomalpin 33_11kV,08MAY2020,MW,0.23315,0.24095,0.22069,0.21940,0.21934,0.21947,0.21684,0.21293,0.21996,0.22923,0.22182,0.21078,0.21157,0.21504,0.21487,0.21447,0.21613,0.22483,0.21259,0.20797,0.20985,0.20510,0.20213,0.18773,0.55134,0.71029,0.83946,0.80976,0.88379,0.81247,0.57484,0.63933,0.79072,0.78136,0.74880,0.65858,0.58365,0.80306,0.79605,0.85034,0.70486,0.80368,0.86795,0.86465,0.97492,1.06110,0.76307,0.74936,0.65890,0.58158,0.58921,0.46792,0.68344,1.00854,1.07503,1.03036,0.97212,1.04061,0.61949,0.77727,1.03940,1.04273,0.97620,0.99970,0.95800,0.92665,0.64558,0.68995,0.74937,0.59219,0.57828,0.73202,0.86425,0.50049,0.21903,0.20687,0.24541,0.22590,0.18854,0.18889,0.20238,0.19220,0.19117,0.19437,0.20371,0.18995,0.21181,0.21896,0.22118,0.22304,0.20933,0.20888,0.21795,0.21793,0.20863,0.21811
2021,Tomalpin 33_11kV,09MAY2020,MW,0.21514,0.21284,0.21698,0.20725,0.21538,0.20990,0.21909,0.20973,0.21075,0.19714,0.21582,0.21486,0.21532,0.21905,0.20821,0.21682,0.21533,0.20701,0.19059,0.20755,0.20639,0.20825,0.20700,0.20326,0.20980,0.20299,0.20530,0.19820,0.19552,0.20634,0.20434,0.19752,0.20125,0.20656,0.20476,0.19819,0.19645,0.19636,0.19650,0.20042,0.20365,0.20521,0.19312,0.19740,0.19789,0.19505,0.19591,0.19390,0.20840,0.20290,0.19454,0.19422,0.19339,0.19916,0.19705,0.19502,0.19591,0.20414,0.20318,0.19937,0.19730,0.19578,0.19602,0.19577,0.19570,0.19834,0.19735,0.19517,0.19504,0.19787,0.20451,0.20696,0.20710,0.20514,0.20365,0.20331,0.20220,0.20689,0.20351,0.20323,0.20286,0.20410,0.20686,0.20342,0.20286,0.20504,0.20805,0.20424,0.20297,0.20336,0.20143,0.20623,0.20160,0.20152,0.20230,0.20496
2021,Tomalpin 33_11kV,10MAY2020,MW,0.21511,0.21088,0.21419,0.21444,0.21575,0.21633,0.21223,0.21314,0.21534,0.21963,0.21442,0.21456,0.21512,0.21472,0.21557,0.21936,0.20467,0.20416,0.20388,0.20835,0.21825,0.20925,0.20438,0.20468,0.20486,0.20195,0.21021,0.20687,0.19593,0.19686,0.19811,0.19968,0.19909,0.20649,0.20426,0.19781,0.20084,0.19745,0.19663,0.19688,0.20536,0.20965,0.19888,0.19640,0.19711,0.19590,0.19870,0.20276,0.20645,0.20176,0.19755,0.20055,0.19754,0.19690,0.19627,0.20375,0.20860,0.20050,0.19608,0.19622,0.19616,0.19550,0.19905,0.20939,0.20124,0.19520,0.19632,0.19757,0.19699,0.20393,0.21570,0.21115,0.20415,0.20570,0.20264,0.20417,0.21386,0.21794,0.20443,0.20466,0.20480,0.20529,0.21740,0.21618,0.20643,0.20280,0.20725,0.20317,0.20881,0.21337,0.21264,0.20665,0.21186,0.21370,0.21491,0.23064
